"user","post","date"
"rettrkr.bsky.social","To all of you who are trying to fight the good fight, have a good night!","2026-02-15T07:03:57.342Z"
"rettrkr.bsky.social","Not only would this not end well for the protestor but also the prick behind the mask since he knew he was outnumbered.","2026-02-15T07:02:15.732Z"
"rettrkr.bsky.social","I realized tonight that there is nothing wrong with politics until it is weaponized and used against the people for whom they serve. To add to this you have media and content creators who profit off of click bait, rage posting.","2026-02-13T06:58:06.126Z"
"rettrkr.bsky.social","Can someone please explain why MAGA thinks Trump is the Messiah? The guy is a loon.","2026-02-13T01:50:47.826Z"
"rettrkr.bsky.social","In some ways I am grateful for smart phones, in other ways I despise them. They can build relationships or tear them apart. They can build a marriage or tear it apart. They can be a tool for information or disinformation. I miss the days of sending texts using T-9 and having a beeper.","2026-02-11T03:47:56.877Z"
"rettrkr.bsky.social","As a caregiver of a medically fragile child this angers and saddens me to no end. This should be enough for even MAGA to call for a stop to Trump's personal police...","2026-02-05T14:35:12.937Z"
"rettrkr.bsky.social","President TACO seems to think that everything that comes out of his mouth is the gospel yet all I hear every time is marbles and the same old 2 year old comments.","2026-02-03T14:55:01.093Z"
"rettrkr.bsky.social","@toy-collector.bsky.social I am having flashbacks from my childhood! Thank you Alf :)","2026-02-01T18:04:10.617Z"
"rettrkr.bsky.social","From one caregiver to another. Remember you are loved. Remember that you're valuable. Remember that you're strong. Remember that you take things head on even when you're exhausted and stressed out to the max. Most of all... I believe in you! #caregiver #family #specialneeds","2026-02-01T02:55:22.290Z"
"rettrkr.bsky.social","I'm sorry but in a world of chaos, we need some humor... Especially from Roger Ebert","2026-02-01T00:09:55.266Z"
"rettrkr.bsky.social","I am now finding out what it's like to be the """"Left Hander"""" in a family of """"Right Handers"""". Finding out that someone you were able to talk about your concerns in regards to Trump turns out they voted for him too. Sucks to be the only 1 of 2 who are trying to make a change...","2026-01-31T22:42:51.310Z"
"rettrkr.bsky.social","Unity is so crucial in this day and age.","2026-01-31T03:52:00.068Z"
"rettrkr.bsky.social","Voting for Trump over Harris because you believe that Trump is the lesser of the two evils is ignorance at its finest. Yes I voted for Harris, no we didn't have good choices for what I believe in, however I was smart enough to remember the damage done by Trump's first administration.","2026-01-30T16:16:14.325Z"
"rettrkr.bsky.social","Movies have dictated history without knowing it. If this becomes a reality, we are in trouble.","2026-01-30T14:46:28.757Z"
"rettrkr.bsky.social","I DON'T REALLY CARE. DO YOU? Melania Mocked as Her $75M Movie Is Already Struggling www.thedailybeast.com/melania-trum... #MelaniaMovie #MelaniaTrump #TrumpMustGo #USPol","2026-01-27T21:01:15.588Z"
"rettrkr.bsky.social","Kudos to the ICE protesters who face backlash from the conservative town we live in. Some of us honked in support others did not, but they showed solidarity that I don't see from the conservatives of our town. #abolishICE #nokings #86Trump","2026-01-27T14:48:27.178Z"
"rettrkr.bsky.social","USCIS should be the governing body over ICE. If there is a violation of Law under USCIS guidelines then Immigration has the right to step in. I have witnessed a coworker get deported because she obtained her citizenship & employment illegally through identity theft.","2026-01-26T17:15:30.778Z"
