"user","post","date"
"ricoradio.bsky.social","The Department of Homeland Security has a plan to quietly surveil anyone it wants. It’s already underway. slate.trib.al/igHggO2","2026-02-17T18:46:44.267350Z"
"ricoradio.bsky.social","These ghouls always find a soft landing somewhere, but her work for DHS should haunt her for the rest of her life.","2026-02-17T16:56:47.213Z"
"ricoradio.bsky.social","Iranian state security police and ICE are using nearly identical tactics in attacking and beating peaceful protesters. www.theguardian.com/global-devel...","2026-02-17T18:46:16.548Z"
"ricoradio.bsky.social","Nazis. Not hyperbole. Actual Nazis.","2026-02-12T14:20:28.282Z"
"ricoradio.bsky.social","Anyone currently involved in federal immigration enforcement, every officer, every bureaucrat, every lawyer, every judge, is a member of the most evil group of people this country has seen since Reconstruction. Darkness personified, every one. Doing this to children is beyond depraved.","2026-02-13T20:21:48.069Z"
"ricoradio.bsky.social","BP agent Charles Exum bragged about his shooting skills and putting seven bullet holes in Marimar Martinez. Bovino emailed him the day of the shooting calling his service in Chicago “excellent.”","2026-02-11T00:02:51.776Z"
"ricoradio.bsky.social","Hours later and I still don’t understand how a magistrate judge signed off on this","2026-02-10T23:16:11.123Z"
"ricoradio.bsky.social","The Tarrant County jail has 388 inmates with a federal immigration hold, officials said Tuesday.","2026-02-10T23:30:03.612Z"
"ricoradio.bsky.social","Police are tapping school cameras to help ICE carry out immigration raids: report www.independent.co.uk/news/world/a...","2026-02-10T23:41:15.975Z"
"ricoradio.bsky.social","""""Reports are coming out about ICE and CBP agents using high-tech facial recognition software to identify anyone who gets in their way, and the government could take retaliatory steps against them — including their trusted traveler status.""""","2026-02-08T09:11:04.923Z"
"ricoradio.bsky.social","Any real cops helping ICE should be fired so they can go join them.","2026-02-05T07:28:00.855Z"
"ricoradio.bsky.social","A retired Philadelphia man, Jon, 67, found himself in the government’s crosshairs after he emailed a lead prosecutor at DHS Joseph Dernbach, who was handling the deportation case of an Afghan refugee, asking him to consider that the man was in danger from the Taliban. newrepublic.com/post/206088/...","2026-02-04T21:49:19.126Z"
"ricoradio.bsky.social","The National Guard is still on the streets of DC.","2026-02-04T12:13:52.066Z"
"ricoradio.bsky.social","The solution for Julie Le and other DOJ attorneys setting themselves up for eventual disbarment is to simply stop doing the job.","2026-02-03T22:20:55.360Z"
"ricoradio.bsky.social","ICE was stealing equipment from the Islip Long Island fire department and a Islip Forward member documented it. ICE tried to arrest the community member but the firemen said “I don’t think so” www.islipforward.org","2026-02-02T17:32:39.412Z"
"ricoradio.bsky.social","I was curious where ICE and CBP agents in Minnesota were deploying from, so I looked at OPM data. What I found is that their duty stations are almost universally redacted from the public data. www.pbump.net/o/where-are-...","2026-02-02T15:55:23.647Z"
"ricoradio.bsky.social","Abolish ICE is the floor. DHS formed two decades ago, and no one is any safer as a result. DHS has become an unaccountable paramilitary surveillance force. The whole agency must go. The Dept of Defense already defends the “homeland.” DHS was a post-9/11 panic move.","2026-02-02T18:29:50.365Z"
"ricoradio.bsky.social","Now that most of the country wants to abolish ICE, get ready for the goalposts to shift, so that abolish ICE becomes """"reform ICE"""" as we get closer to the election. We have to continue pressure to make sure we really mean abolish, when we say it, otherwise we will be sold out.","2026-02-02T18:08:39.019Z"
"ricoradio.bsky.social","Look forward to learning more about JESUS OCHOA and RAYMUNDO GUTIERREZ","2026-02-01T21:23:08.127Z"
"ricoradio.bsky.social","ICE just tear-gassed the shit out of the entirely peaceful union protest here in Portland. Children. Elderly. Thousands of people exercising our First Amendment rights.","2026-02-01T00:55:59.094Z"
"ricoradio.bsky.social","I just got tear gassed along with thousands of union members, many of whom had their families with them. Federal agents at the ICE facility tear gassed children. We must abolish ICE, DHS, and we must have prosecutions. I expect to see enforcement of our city code prohibiting the use of tear gas.","2026-02-01T01:23:34.948Z"
"ricoradio.bsky.social","NEWS: Judge Biery has ordered the release of 5-year-old Liam Ramos. A thunderous rebuke against ICE’s violent campaign in Minnesota. Read the order below. Link: storage.courtlistener.com/recap/gov.us...","2026-01-31T20:27:46.270Z"
"ricoradio.bsky.social","""""MPR News has learned that the police chief in the small southern Minnesota city of St. Peter intervened Thursday afternoon to prevent federal immigration agents from arresting a local resident"""" who had been observing federal agents. www.mprnews.org/story/2026/0...","2026-01-31T14:48:37.697Z"
"ricoradio.bsky.social","If you think they’re building more detention facilities, increasing mass surveillance, and growing the size of ICE just to deport undocumented immigrants, then you haven’t been paying attention. Continuing to fund ICE is enabling what we all know is coming next.","2026-01-31T13:17:57.377Z"
"ricoradio.bsky.social","ICE Agents Are ‘Doxing’ Themselves www.wired.com/story/ice-ag...","2026-01-31T04:57:56.278Z"
"ricoradio.bsky.social","ICE murdered Renée Good in broad daylight. Less than 3 weeks later, they killed Alex Pretti, shooting him 10 times. Every day, we watch as people are ripped from their cars, their homes, their lives. We can't allow ourselves to look away from this cruelty. Abolish ICE.","2026-01-26T22:14:00.564Z"
"ricoradio.bsky.social","the name of the ICE agent who murdered Keith Porter is Brian Palacios www.latimes.com/california/s...","2026-01-24T21:08:52.763Z"
"ricoradio.bsky.social","No arrests of the ICE thugs who murdered Alex Pretti, Renee Good, or Keith Porter. No arrests of anyone in the Epstein Files. But they arrested Don Lemon because of his journalism.","2026-01-30T13:44:54.578Z"
"ricoradio.bsky.social","A Minnesota woman observing ICE agents in her car was cornered on one-way streets. An agent approached, called her by name—citing facial recognition. Days later, her Global Entry and TSA privileges were revoked, with no explanation.","2026-01-30T11:55:57.845Z"
"ricoradio.bsky.social","Abolish DHS","2026-01-30T17:21:02.315Z"
"ricoradio.bsky.social","""""The morning my father was taken by Customs and Border Protection, there was no warning, no explanation, and no chance to say goodbye,"""" writes Rabia Amin, a Chicago-based lawyer whose father was detained by federal immigration authorities.","2026-01-30T16:50:49.624Z"
"ricoradio.bsky.social","""""Department of Justice policy prohibits the release of mug shots for all defendants charged with federal crimes. An exception to this rule is when a defendant is a fugitive and the release of their photo would serve a legitimate law enforcement function."""" web.archive.org/web/20250711...","2026-01-28T21:47:48.086Z"
"ricoradio.bsky.social","As ICE terrorizes communities, crypto executives who spent years posting about freedom have gone conspicuously silent. But behind the scenes, they’ve contributed at least $315 million — more than double their record 2024 spending — to elect more lawmakers to enable this administration.","2026-01-29T22:21:39.969Z"
"ricoradio.bsky.social","Read the Report on Alex Pretti’s Killing — and the Bizarre Q&A CBP Gave Congress First. When Congress pressed CBP for a report on Pretti’s killing, it offered answers to a list of questions. CBP also supplied the questions itself. join.theintercept.com/go/83888?t=5...","2026-01-29T22:23:00.242Z"
"ricoradio.bsky.social","Judge Catherine Salinas and US Attorney Thomas Albus are conspiring with the Trump regime to steal the midterms.","2026-01-29T22:38:05.477Z"
"ricoradio.bsky.social","Sanctuary policies are legal. The Supreme Court has been clear for decades that the federal government cannot commandeer state or local governments to enforce federal immigration law. This isn’t “playing with fire.” It’s constitutional law.","2026-01-29T00:26:06.591Z"
"ricoradio.bsky.social","""""The Intercept built a guide of the official shoulder patches ICE uses for unit identification, as well as known insignias worn by [..] CBP personnel and unofficial patches conveying [..] political messages that federal agents have been spotted wearing."""" #Minnesota #USA #Deportation #EthnicCleansing","2026-01-29T00:32:49.419Z"
"ricoradio.bsky.social","Anti-ICE protesters gather outside Immigration and Customs Enforcement office in Buffalo - wkbw.com","2026-01-29T00:39:23Z"
"ricoradio.bsky.social","If you work at DHS and know the identities of the CBP officers that murdered Alex Pretti, my Signal contact info is in my bio. I’ll keep you anonymous.","2026-01-28T19:31:34.233Z"
"ricoradio.bsky.social","www.theguardian.com/us-news/2026... Families in Maine scramble to halt ICE’s transfer of detainees out of state","2026-01-28T20:14:13.923Z"
"ricoradio.bsky.social","""""You raise your voice, I erase your voice."""" Meet 𝐄𝐝𝐠𝐚𝐫𝐝𝐨 𝐆𝐨𝐧𝐳𝐚𝐥𝐞𝐳, an ICE Deportation Officer from Miami, FL (originally from Puerto Rico). Gonzalez has lived in Miami and Hollywood, FL. He decided it would be fun to travel to Miami to kidnap and threaten people. #OneOfOursAllOfYours #UnmaskICE","2026-01-28T01:47:03.889Z"
"ricoradio.bsky.social","BREAKING: The petitioner (""""T.R."""" or Juan Tobay Robles) whose non-release prompted Chief Judge Schilitz to threaten ICE director Todd Lyons with contempt has now been RELEASED, according to what the civil chief of the US Atty's office has told his atty and his atty has relayed to me.","2026-01-27T19:40:25.499Z"
"ricoradio.bsky.social","Every court order to ICE should, by default, come with an order for Todd Lyons to appear in person and explain why he should not be held in contempt, contingent upon ICE following the order.","2026-01-27T23:04:17.779Z"
"ricoradio.bsky.social","""""Members of this Bar have a duty of candor to the Court. The Government’s response does not meet that standard..."""" U.S. Attorneys Gregory W. Kehoe & Joy Warner """"must show cause why they should not be sanctioned."""" Pleased to make your acquaintance, Gregory W. Kehoe & Joy Warner!","2026-01-27T18:50:22.786Z"
"ricoradio.bsky.social","ICE & U.S. Customs & Border Protection employed at least 30 people with sexual & violent criminal histories in recent years. At least 20 agents committed offenses with underage victims. The bulk of abuse happened within the last two years. This article includes names of the agents.","2026-01-27T08:18:00.233Z"
"ricoradio.bsky.social","Something important to understand about ICE thugs in the Twin Cities is that they're harassing innocent kids and parents at bus stops and schools every single day. Even after the Pretti shooting. It's terrorism.","2026-01-27T19:30:57.204Z"
"ricoradio.bsky.social","Under Constitution: States are sovereign, w. plenary “police powers” & primary responsibility for criminal law enforcement within their borders. Fed govt’s powers are “enumerated” & purportedly limited, particularly where local law enforcement is concerned. www.publicnotice.co/p/trump-minn...","2026-01-27T16:15:03.953Z"
"ricoradio.bsky.social","It's not quite the most pressing issue at the moment, but the American people absolutely have a right to know the names of the federal officials who shot and killed a man peacefully protesting, who was on his knees, prone in the street when they shot him in the back.","2026-01-27T13:58:45.406Z"
"ricoradio.bsky.social","NEW: Chief U.S. District Judge Laura T. Swain has picked Nick Deml, former CIA officer and Vermont prison head, as the receiver for the New York City jail system. Deml's primary task will be reining in extreme violence that has long plagued the institution. www.nytimes.com/2026/01/27/n...","2026-01-27T15:37:47.434Z"
"ricoradio.bsky.social","It should be a matter of perpetual shame that the courts allowed ICE to get away with violating court orders for as long as it did.","2026-01-27T12:11:59.909Z"
"ricoradio.bsky.social","The Maine Immigrant Rights Coalition is in desperate need of Hotline operators. If you speak Spanish, French, or Portuguese and have a few hours a week to help with calls they really need you. Please spread the word. #maine #immigrant #ice docs.google.com/forms/d/e/1F...","2026-01-22T16:07:14.615Z"
"ricoradio.bsky.social","Fascist handmaiden Ana Voss runs interference while DHS staff destroy evidence.","2026-01-25T19:34:09.826Z"
"ricoradio.bsky.social","Update: In the evidence preservation lawsuit, the current Civil Chief at the Minnesota U.S. Attorney's Office (who appears to be Ana Voss, based on the letter), refused to accept email service of the lawsuit last night and then refused to accept in-person service until Monday. Ridiculous behavior.","2026-01-25T18:24:54.282Z"
"ricoradio.bsky.social","If you are running for president you should make clear you’re gonna send Greg Bovino to prison","2026-01-25T14:58:55.140Z"
"ricoradio.bsky.social","Bovino deported from Minnesota.","2026-01-26T21:54:46.334Z"
"ricoradio.bsky.social","DHS is using explosives on people’s homes??? “Bovino has often used the phrase “turn and burn” to describe Border Patrol operations, a reference to actions like smashing windshields, using explosives to blow down the doors of homes and engaging in car chases.” www.nytimes.com/2026/01/26/u...","2026-01-26T14:27:54.696Z"
"ricoradio.bsky.social","Bovino pricing flights to Buenos Aires.","2026-01-26T23:53:00.200Z"
"ricoradio.bsky.social","A Massachusetts criminal justice bill would provide resentencing or pretrial diversion to people whose actions were directly related to experiences of abuse. Passing it “would be the beginning of restoration,” says one incarcerated survivor.","2026-01-26T21:02:00.000Z"
"ricoradio.bsky.social","Our attorneys are fighting an impossible situation: clients are denied early release for not completing programs they were never given access to. The system promises a path and then sets them up to fail. ⬇️ https://nysfocus.com/2026/01/26/doccs-prison-programs-early-release-parole-guard-strike","2026-01-26T21:52:17.091036409Z"
"ricoradio.bsky.social","Brantley Mayers joined the DOJ three months ago, and is now defending the government in Minnesota. That's all I need to know about him to form a very strong opinion about that kind of a person he is.","2026-01-26T16:48:31.748Z"
"ricoradio.bsky.social","Crazy how Trump's lawyers have never seen anything Trump has ever said or done.","2026-01-26T17:01:03.317Z"
"ricoradio.bsky.social","Naming someone is not doxxing. They aren’t undercover. They aren’t intelligence agents overseas. This is outrageous - we are supposed to be a free Republic and these people want an authoritarian police state. Lawsuits should be filed & ranking Dems in Congress should act.","2026-01-26T16:35:42.313Z"
"ricoradio.bsky.social","Time for a general strike. Shut the country down until this illegitimate administration is replaced by a democratic one","2026-01-25T14:03:38.342Z"
"ricoradio.bsky.social","i do genuinely think we need to jail every single person currently working for ICE","2026-01-24T17:50:37.405Z"
"ricoradio.bsky.social","Interesting how all the gun rights absolutism melts away in defense of federal death squads -- who are allegedly the reason for gun rights absolutism.","2026-01-24T16:57:17.247Z"
"ricoradio.bsky.social","ICE agents are America's failures, basically indistinguishable from lazy school shooters, losers who want to play Call of Duty on our streets against people who can't fight back. They have unlimited ammo and toss tear gas like they're pressing L1. They have to be defunded and jailed. All of them.","2026-01-24T17:13:11.586Z"
"ricoradio.bsky.social","Two women trained as first responders were abducted by three ICE agents. One of the agents starts seizing. The other two don’t know what to do. The women jump into action and save the agent’s life, only to be re-handcuffed and processed. www.startribune.com/detained-by-...","2026-01-23T23:47:09.650Z"
"ricoradio.bsky.social","The parents of a 7 year old, all of whom are in the process of applying for asylum, took their daughter to the ER when her nose wouldn't stop bleeding. ICE picked them up near the hospital and they are now in detention in Texas, presumably awaiting deportation. www.oregonlive.com/portland/202...","2026-01-23T19:30:35.496Z"
"ricoradio.bsky.social","UPDATE: Mag. Judge Shannon Elkins has ordered release of 3rd person arrested in connection with the anti-ICE church protest in MN Sunday, William Kelly. A top DOJ officialcalled him a 'domestic terrorist,' but judge said there was no basis for pretrial detention. Stay also denied","2026-01-23T21:53:34.956Z"
"ricoradio.bsky.social","The Department of Homeland Security has ordered immigration officers to gather identifying information about anyone filming them and to “send that information to Intel who will do a ‘work-up’ on them,” a federal law enforcement official involved tells me. www.kenklippenstein.com/p/ice-making...","2026-01-23T21:06:26.839Z"
"ricoradio.bsky.social","ICE was never about immigration enforcement, or whatever garbage justification was used to create the dept.","2026-01-23T21:32:34.057Z"
"ricoradio.bsky.social","ICE keeps abducting babies. www.startribune.com/agents-detai...","2026-01-23T21:25:23.876Z"
