"user","post","date"
"robmo1968.bsky.social","Stephen Colbert effectively told CBS and FCC Chair Brendan Carr to go fuck themselves. #BravoZulu #CrushingFascism","2026-02-18T00:23:53.644Z"
"robmo1968.bsky.social","Wonderful. Just wonderful. An amazing story of perseverance.","2026-02-17T23:14:38.900Z"
"robmo1968.bsky.social","This keeps happening.","2026-02-18T01:19:23.260Z"
"robmo1968.bsky.social","I am sick to death of guns and republicans.","2026-02-16T22:03:33.892Z"
"robmo1968.bsky.social","John Hoffman returning to the Minnesota State Capitol today after MAGA terrorist Vance Boelter, supporter of Trump, tried to assassinate him.","2026-02-18T01:37:15.152Z"
"robmo1968.bsky.social","youtu.be/eH70qG_1Ot4?...","2026-02-18T00:06:35.047Z"
"robmo1968.bsky.social","MAGA Trump Republicans have lost the immigration narrative so this is what they are doing.","2026-02-18T01:34:47.615Z"
"robmo1968.bsky.social","LEFT: Liam Ramos, imprisoned for being a child. RIGHT: Donald Trump, *not* imprisoned for raping children.","2026-02-18T00:01:14.656Z"
"robmo1968.bsky.social","Today the Minnesota House gaveled into session for the first time since we lost Speaker Hortman, Mark, and Gilbert. In the spirit of Melissa, we commit to doing our work with humility, grace, and compassion.","2026-02-17T21:32:31.500Z"
"robmo1968.bsky.social","If Kamala Harris was president she'd be like """"I wish I could stop the Parliamentarian from starving Cuba but I can't""""","2026-02-17T17:44:33.308Z"
"robmo1968.bsky.social","LEFT: Someone who appears in the Epstein files over a million times. Epstein called him his """"best friend."""" RIGHT: Someone never mentioned in the Epstein files—even once. And she never met him. So guess which one is being hauled before our corrupt, cover-upping Congress to testify about Epstein.","2026-02-18T00:48:42.514Z"
"robmo1968.bsky.social","You know both of those thing can be true, in Rubios case, it most definitely is true !","2026-02-18T01:25:30.649Z"
"robmo1968.bsky.social","Just a reminder that TWO MONTHS have now gone by since the deadline for releasing ALL of the Epstein files. Trump's corrupt DOJ has released less than half, and those that were released were illegally redacted to protect pedophiles and their enablers. (Victims names and images were exposed.)","2026-02-16T22:47:14.630Z"
"robmo1968.bsky.social","So dumbass, what the hell do you think elections are for, you dipshit mother fucker!","2026-02-18T01:22:16.428Z"
"robmo1968.bsky.social","Meanwhile, in Germany, the public weighs in on what they think of the Epstein Administration. #BrutalButAccurate","2026-02-17T20:55:39.835Z"
"robmo1968.bsky.social","youtu.be/oiTJ7Pz_59A?...","2026-02-17T16:03:10.091Z"
