"user","post","date"
"rosepatriots.bsky.social","Senator Ted Cruz: Based on the Budapest Memorandum, the USA has an obligation to help 🇺🇦 militarily. Ukraine gave up the world's third-largest nuclear weapons stockpile (~4155 nuclear warheads), ~100 strategic bombers, 176 missile complexes in exchange for safety.","2024-11-10T09:01:15.908Z"
"rosepatriots.bsky.social","Stubb 🇫🇮: ◾️ Can Europe defend itself without the Americans 🇺🇸? My answer is unequivocally yes. ◾️ If you ask me the question, """"Can the Finnish 🇫🇮 military defend itself against a Russian attack?"""" The whole defense composure of the way that we do it - yes, we can. ( @antongerashchenko.bsky.social )","2026-01-26T18:14:01.540Z"
"rosepatriots.bsky.social","Trump Administration Takes Another Stake in Rare Earth Sector","2026-01-27T00:47:10Z"
"rosepatriots.bsky.social","当事国の台湾も同様ｗ 政治家は中国を刺激できず、国民に危機を呼びかけられないので 台湾人は割と楽観的 食料自給率は日本より悪く30％ 近年、政治的には危機感が増し アメリカから兵器を買ったり 徴兵期間を4ヶ月→1年に延ばしてますが 昔の徴兵期間は約３年 そう、有事に台湾の成人男性は全員戦う💪 台湾の世論調査 「私は台湾人であり中国人ではない」65％～90％ 少数は「台湾人であり中国人でもある」という意見もあるが 「中国の支配下に入りたくない」は ほぼ一致してる 面白い中国一般人 台湾について学校で習わない 情報は報道だけ 「台湾は中国の一部」なのに「統一」という矛盾 「独立反対」…はぁ？ｗ","2026-01-18T22:24:28.833Z"
"rosepatriots.bsky.social","それは世界でとてつもない経済損失を生む 侵攻した中国もとんでもない損失 加えて中国に対する経済制裁などで もはや中国は国家として保っていられない これが中国が台湾に侵攻できないもっとも大きな理由です 台湾 個人所得は世界でもトップクラス アジアではシンガポールに次ぎます そんな台湾を世界の多くの人は知らないｗ なぜなら中国がウルサイからｗ 下手に政治家が台湾をイジると中国が経済制裁までしてくる だから、多くの国は台湾を独立国だと思っているが… その扱いはあやふやだったり、中国の言う通りにしたり 当然、学校で台湾について教えないし 報道機関は言葉を選ぶ だから私たちは知らないｗ","2026-01-18T22:24:28.832Z"
"rosepatriots.bsky.social","そうアメリカは参戦 台湾侵攻で中国が勝つ条件は厳しい ・中国の輸出トップはアメリカ ・中国の輸入トップ3は台湾、日本、韓国 最近、これらの国との貿易は減少傾向ですが潜在的に不可欠 戦争被害は最小限 長期戦も後々負け 経済損失が多大、各国の経済制裁も長く 中国が崩壊する可能性あり 中国が勝つ条件 台湾を最小限の被害で短期間で制圧し実行支配した後 各国との関係を改善し経済制裁を早期に解く それが可能なのは 日米が軍事介入しなくて台湾が早期に降伏する場合に限る 日米参戦でほぼ不可能 それでも 数カ月の長期戦が予想される 中国は負けても崩壊危機だから 沖縄は攻撃されるので日本は当然参戦","2026-01-25T20:54:02.624Z"
"rosepatriots.bsky.social","西沙諸島の島々 本来ベトナムの領土 ベトナム戦争時のドサクサ中に中国が実行支配 南沙諸島の島々 本来フィリピンの領土 かつての植民地から米軍基地が撤退されたスキをついて 中国が実行支配 ちなみに、チベットもそうで 朝鮮戦争のドサクサ中に中国がチベットに侵攻し支配 全部アメリカが関係ｗ ただ近年 フィリピン軍事基地は米軍との共同利用が増えてきてる パラオ 日本や台湾の友好国ですが 中国からのサイバー攻撃 （台湾が受ける中国からのサイバー攻撃1日あたり２６３万件） パラオはひとたまりもない 中国からの旅行者が急に来なくなる フェンタニルなど… パラオ港は米軍艦が寄港できるように改修","2026-01-25T20:54:02.623Z"
"rosepatriots.bsky.social","報道で言わているような台湾侵攻？ 「日米が勝つ」とか被害が大き過ぎて「勝つ」とかじゃない 主にSNS上で 「アメリカ軍事不介入」「日本が巻き込まれる」 「中国が勝つ」とかの意見がある… 中国はSNS上で世論工作をして それと同じことを言ってますｗ どの位の人が中国の情報工作にノせられてるんですか？ｗ 第一列島線 日本、台湾、フィリピンとその島々に囲まれ 中国の軍艦は自由に太平洋に出れません 台湾が中国に支配された場合 中国の軍艦が太平洋に出てくるので 日米は軍事費を上げねばならないし 米国は覇権国の地位を失っていくでしょう ですから日米が引くわけがありません 台湾の次は日本ですから…","2026-01-25T20:54:02.622Z"
"rosepatriots.bsky.social","It was designed by someone on facebook. This one is for MA. Here is the one for MN.","2026-01-27T00:59:38.398Z"
"rosepatriots.bsky.social","@catmama42014.bsky.social Love your profile picture!","2026-01-27T00:56:40.930Z"
"rosepatriots.bsky.social","@rosepatriots.bsky.social Yeeeeees Score! I🩵🫵🏼🫵🏼🫵🏼🫵🏼🫵🏼for the follow! We got this! Welcome!","2026-01-26T20:25:02.931Z"
"rosepatriots.bsky.social","I'm True #BlueCrew Resister ! Load Me In Your Next #StarterPack & Watch Me Work... 💙💙 Follow Back 💙💙","2024-12-30T20:40:45.151Z"
"rosepatriots.bsky.social","@murray.senate.gov @cantwell.senate.gov @mayorspokane.bsky.social You are horrified as I. You have access that I do not. How are you using that access for us? For her? For her father? Please make a public announcement.","2026-01-26T19:39:48.681Z"
"rosepatriots.bsky.social","#Pranam Shri Shri Shri #Shivabalayogi You Your Sun. Saw You as #BeringSea Walking. You said #Something I still have not heard. You tell to simply raise our sail of faith as the #Grace from #Guru is always flowing. #MAHASAMADHI 🧘🏻‍♀️🧘🏻‍♀️🧘🏻‍♀️ May your devotee become an effective servant to Your People. 🤲🏻🤲🏻🤲🏻","2026-01-24T02:38:45.401Z"
"rosepatriots.bsky.social","We can all submit binding Applications to Congress, Instructing our public servants to hold ICE accountable: A lesser known constitutional Right that the People remain in sole possession of as part of our Supreme Right to self govern. Get in touch for a copy of this SCOTUS enforceable template. #Win","2026-01-26T19:07:09.773Z"
"rosepatriots.bsky.social","Thank you! Good, because now this is what I'm sending out to everybody I know. Call your senators! ICE funding for 2026 is on their desk. Let them know what you want. This might help you:","2026-01-26T17:40:57.832Z"
"rosepatriots.bsky.social","As happy as I am that Governor Walz has deployed and activated the National Guard over the weekend, I am curious to see how this turns out. What say you? #ICEoutofMinnesota #DefundIce #SheShed #Pinks","2026-01-26T03:53:31.431Z"
"rosepatriots.bsky.social","Where is our Free Press Corps of Journalists? Making trillions in revenue every year selling digital ads and other clickbait as thinly veiled Ad Agencies who have AI Bots write their articles and Offshore Analysts proof read and edit them—Oh, that’s right.. #GuenMagdolyn #AerenAuenIrisForGweneve","2026-01-26T17:12:14.666Z"
"rosepatriots.bsky.social","Any thoughts on whether the leaps in Gold as priced in USD suggest the USD will lose its Reserve Status when Fed Chairman Powell is replaced by Trumpery? That is, will the subsequent Digital USD (DUSD) invert BTCUSD or send the price of BTC to the moon, and beyond? www.google.com/finance/beta...","2026-01-26T16:20:49.059Z"
"rosepatriots.bsky.social","Love her!","2026-01-26T15:35:00.730Z"
"rosepatriots.bsky.social","Says the guy who is on video inciting an ACTUAL insurrection.","2026-01-26T13:59:43.718Z"
"rosepatriots.bsky.social","“Iceland” was done on purpose, no? Office of President likely thinks it’s funny because the endgame is to create a buffer zone around the Great Lakes or something else deepstately: The reality is, he’s one heck of a smart cookie, as can be seen in this & other depositions: youtu.be/p26ZcSAAK3Q?...","2026-01-22T07:41:08.450Z"
"rosepatriots.bsky.social","Was the Press wrong to print this story in the first place—Or is the “forgotten documents” revelation as an explanation just a chill-down that follows advice from gov’t officials? We, the People of this shared Republic must seek the Truth on behalf of one another: www.nytimes.com/athletic/699...","2026-01-22T06:33:48.344Z"
"rosepatriots.bsky.social","@votehub.com Wow! Fascinating. Please consider joining us at the Rose Patriot League of Republican-Democrats, where we work to neutralize artificially manufactured division among Americans—And prevent violence by reuniting US into one Nation under Nature’s God! (Truth, or Being)","2026-01-22T04:44:23.513Z"
"rosepatriots.bsky.social","Boa Noite Amigos da Rede Azul 💙👨‍🚀 ✨✨✨✨✨✨✨✨ São 20:43 na capital do Rio de Janeiro ⛱️ Noite muito quente! 🌡️♨️ 🏀.....................🚴‍♂️","2026-01-16T23:42:10.634Z"
"rosepatriots.bsky.social","@rankednews.bsky.social Did you see any of the posts suggesting Jeffrey Epstein’s brother disclosed under oath that Donald Trump and Jeffrey Epstein “murder-suicided” victims after assaulting them? The information has since become hard to come but presumably that’s what they’re trying to hide.","2026-01-22T03:29:02.569Z"
"rosepatriots.bsky.social","I understand that Jerome Powell enjoys the #gratefuldead. Maybe Bobby is channeling big balls from the afterlife?","2026-01-12T15:34:58.128Z"
"rosepatriots.bsky.social","Türk balası kurt olur ,bastığı yer yurt olur.🇹🇷🐺🇹🇷🐺🇹🇷","2026-01-21T16:49:16.834Z"
"rosepatriots.bsky.social","Artık almamız gereken pozisyon ektedir. Tüm evlerde Türk bayrakları asılmalıdır.","2026-01-20T19:02:57.546Z"
"rosepatriots.bsky.social","Hitler didn't think anyone would stand up to him if he invaded Poland and couldn't believe it when they did. Trump wants Greenland.. He follows the Nazi playbook. He is not original. He is not a great thinker. He is not a genius. Just a copy cat of one of the worst things in history.","2026-01-22T00:37:16.356Z"
"rosepatriots.bsky.social","I'm Kat Abughazaleh and I'm running for Congress.","2025-03-24T13:30:34.999Z"
"rosepatriots.bsky.social","@momsdemandaction.org Join the Rose Patriot League of Republican-Democrats to Reunite as one Nation under Nature’s God, and #WinInNovember! apnews.com/article/poll...","2026-01-21T22:03:49.517Z"
"rosepatriots.bsky.social","@justinbuntingfornc.bsky.social Join the Rose Patriot League of Republican-Democrats to Reunite as one Nation under Nature’s God, and #WinNovember! apnews.com/article/poll...","2026-01-21T22:00:55.156Z"
"rosepatriots.bsky.social","@jocelynbenson.bsky.social Join the Rose Patriot League of Republican-Democrats to Reunite as one Nation under Nature’s God, and #WinInNovember! apnews.com/article/poll...","2026-01-21T21:58:28.192Z"
"rosepatriots.bsky.social","@demwomencaucus.bsky.social Join us at the League of Rose Compatriot Republican-Democrats & become part of the movement to Neutralize-the-Technocrats as One Republic under Nature’s God (Being, Truth), and #WinNovember! “Americans increasingly rejecting Democratic & Republican parties, poll shows”","2026-01-21T21:12:53.181Z"
"rosepatriots.bsky.social","@marcgraham4az28.bsky.social Join us at the League of Rose Compatriot Republican-Democrats & become part of the movement to Neutralize-the-Technocrats as One Republic under Nature’s God (Being, Truth), and #WinNovember! “Americans increasingly rejecting Democratic & Republican parties, poll shows”","2026-01-21T21:11:21.047Z"
"rosepatriots.bsky.social","@timoriamcqueen.bsky.social Join us at the League of Rose Compatriot Republican-Democrats & become part of the movement to Neutralize-the-Technocrats as One Republic under Nature’s God (Being, Truth), and #WinNovember! “Americans increasingly rejecting Democratic & Republican parties, poll shows”","2026-01-21T21:09:42.178Z"
"rosepatriots.bsky.social","Repost to join the League of Rose Compatriot Republican-Democrats and become part of the movement to reunify as One Republic under Nature’s God (Being, or Truth), dissolving division being sewn between us! “Americans are increasingly rejecting the Democratic and Republican parties a new poll shows”","2026-01-21T20:59:48.900Z"
"rosepatriots.bsky.social","@linuxrebel.org “Country before Party!” (Love it!)","2026-01-21T18:50:51.444Z"
"rosepatriots.bsky.social","@joncooper-us.bsky.social Hypothetically, what if obsession with Greenland wasn’t about heading off a land invasion of foot-soldiers via Russia — but a disruption in the water-cycle associated with accelerating severe weather patterns globally (climate change) Would this Administration tell us?","2026-01-21T17:24:38.517Z"
"rosepatriots.bsky.social","@radiofreetom.bsky.social What if obsession with control of Greenland (and now Canada?) wasn’t about a land invasion of foot-soldiers via Russia—but a disruption in the water-cycle associated with accelerating severe weather patterns globally (climate change) Would this Administration tell us?","2026-01-21T17:22:23.801Z"
"rosepatriots.bsky.social","Hypothetically, what if obsession with control of Greenland (and now Canada?) wasn’t about heading off a land invasion of foot-soldiers via Russia — but a disruption in the water-cycle associated with accelerating severe weather patterns globally (climate change) Would this Administration tell us?","2026-01-21T16:58:34.891Z"
"rosepatriots.bsky.social","@jenny2024475.bsky.social Love your profile—Do you agree the """"perfect equality of [hu]mankind"""" is an “absolute truth” as James Madison did in 1789? Repost for a copy of our “Template for Instructing Your Representatives"""" (Feb.) using a const. process lost to the Halls of Congress since the mid-1800s","2026-01-21T15:43:55.215Z"
"rosepatriots.bsky.social","@sdenyaredrain.bsky.social Love your profile—Do you agree the """"perfect equality of [hu]mankind"""" is an “absolute truth” as James Madison did in 1789? Repost for a copy of our “Template for Instructing Your Representatives"""" (Feb) using a const. process lost to the Halls of Congress since the mid-1800s","2026-01-21T15:40:16.803Z"
"rosepatriots.bsky.social","@mollyjongfast.bsky.social Dear Ms. Molly—Do you agree the """"perfect equality of [hu]mankind"""" is an “absolute truth” as James Madison did in 1789? Repost for a copy of our “Template for Instructing Your Representatives"""" (Feb.) using a const. process lost to the Halls of Congress since the mid-1800s","2026-01-21T14:30:11.468Z"
"rosepatriots.bsky.social","Just wait till the EU dumps US bonds and sends the US economy into a tailspin. Trump really thinks he can bully Europe like the Nazis.","2026-01-21T14:21:36.486Z"
"rosepatriots.bsky.social","@atrupar.com HiArron! Do you agree the """"perfect equality of [hu]mankind"""" is an “absolute truth” as James Madison did in 1789? Repost for a copy of our “Template for Instructing Your Representatives"""" (February) that employs a constitutional mechanism lost to the Halls of Congress since the mid-1800s.","2026-01-21T14:23:57.480Z"
"rosepatriots.bsky.social","@altnps.bsky.social Love you all! Do you agree the """"perfect equality of [hu]mankind"""" is an “absolute truth” as James Madison did in 1789? Repost for a copy of our “Template Instructing Your Representatives"""" (Feb.) employing a constitutional mechanism lost to the Halls of Congress since the mid-1800s","2026-01-21T14:19:00.626Z"
"rosepatriots.bsky.social","Love your profile! Do you agree the """"perfect equality of [hu]mankind"""" is an “absolute truth” as James Madison did in 1789? Repost for a copy of our “Template for Instructing Your Representatives"""" (February) that employs a constitutional mechanism lost to the Halls of Congress since the mid-1800s.","2026-01-21T14:13:43.622Z"
"rosepatriots.bsky.social","@maddow.bsky.social Dear Ms. Maddow: What is your reaction to the idea of a “Template for Instructing Our Representatives"""" relying on a semi-binding constitutional mechanism that has been lost in the annals of Congress? Thank you for what you do! republia.substack.com/p/as-invinci...","2026-01-21T11:54:26.429Z"
