"user","post","date"
"roxanne1731.bsky.social","😳🤯🤬","2025-10-10T04:28:54.510Z"
"roxanne1731.bsky.social","Mabel & I hope all our fellow Californians vote YES on Prop. 50! #FightFireWithFire","2025-10-09T18:16:29.584Z"
"roxanne1731.bsky.social","Thread: A year ago yesterday was a very happy day for me. I had lost my prostate. It was good riddance, as it was riddled with cancer. I’m now cancer-free — and thankful for the tax-funded technology that saved my life.","2025-10-10T01:11:18.393Z"
"roxanne1731.bsky.social","Trump's threatened crackdown on the finances and activities of liberal non-profits and groups opposed to his agenda is a multi-agency effort with top White House aide Stephen Miller playing a central role, according to officials.","2025-10-10T03:06:49.548Z"
"roxanne1731.bsky.social","Federal judge temporarily blocks the National Guard in Illinois saying “it would be like adding fuel to the fire.” Trump has declared war on Blue states. Let’s hope the courts continue to follow the law. #ProudBlue#Voices4Victory #OneV1 apple.news/AvBl1_4QlTBG...","2025-10-10T00:18:40.273Z"
"roxanne1731.bsky.social","Reporting live from Chicago, there’s no “hellscape” I’d rather be in.","2025-10-10T04:19:25.142Z"
"roxanne1731.bsky.social","Exactly, All Cuomo has are insults and a rotten track record⁉️🙄🤷‍♀️🥴💙🌊⚖","2025-10-06T17:41:58.884Z"
"roxanne1731.bsky.social","GO MAMDANI GO !!! 👏🏻👏🏾👏🏽👏🏼👏🏿👏🏽👏🏼👏🏽👏🏾👏🏿👏🏻👏🏽👏🏾👏🏼👏🏿👏🏻👍🏾 💙💙💙💙💙✔️","2025-10-06T18:02:30.509Z"
"roxanne1731.bsky.social","Everyone needs changes they can measure in time. Across all divisions you can measure time and highlight precisely who is stealing from whom. This is how we move forward to build a better world, by admitting and mapping life accurately. www.hivegeist.us/2025/08/13/i...","2025-10-06T15:32:22.505Z"
"roxanne1731.bsky.social","More of this! If theyre gonna bow down to trump and the 30% of crazy white nazis in the country, no more civility","2025-10-09T01:42:45.157Z"
"roxanne1731.bsky.social","Developing: Trump considering $10 billion bailout for farmers he singularly drove into poverty by taking away their biggest customers and markets. No hyperbole here. He started the fire and now he’s giving them a cup of water to put it out. And of course, he expects them to thank him for it.","2025-10-06T12:57:37.975Z"
"roxanne1731.bsky.social","New Yorkers deserve change they can measure in their own lives. Our new Affordability Calculator shows exactly how much our plans would save your family on childcare, rent, and bus fare. Check your savings → zohranfornyc.com/calculator","2025-10-06T14:48:21.849Z"
"roxanne1731.bsky.social","@annettebeebe.bsky.social Ty💙 @phoenix509.bsky.social @gr3te.art @saskatquach.bsky.social @phyllisjsilver.bsky.social @mspeggy.bsky.social @sassy0210.bsky.social @maplemama20.bsky.social @dailykotzn.bsky.social @annettebeebe.bsky.social @dcombes.bsky.social","2025-10-03T09:34:21.973Z"
"roxanne1731.bsky.social","Why does Trump want a ballroom? World leaders do not wish to party with him. So what is the purpose of this wasteful project? A playroom for the toddler-in-chief.","2025-10-04T14:39:42.788Z"
"roxanne1731.bsky.social","The latest government shutdown centers on health care. Democrats want Obamacare subsidies extended and GOP Medicaid cuts reversed. Trump and the GOP shut the government and spread false claims about undocumented immigrants. Here’s what’s at stake in a showdown that impacts millions of Americans.","2025-10-02T22:36:05.072Z"
"roxanne1731.bsky.social","Roll Call 1 New Starter Pack from our friend @hopeful66.bsky.social go.bsky.app/KKjzWB9","2025-10-03T05:02:38.114Z"
"roxanne1731.bsky.social","Holy shit. Russ Vought is 49. I seriously thought this mutherfucker was in his late 60s. Further proof that being a monster will age you hard.","2025-10-03T03:28:56.891Z"
"roxanne1731.bsky.social","so the US government just forced a tech company to delete an app it doesn’t like, which is totally normal stuff www.404media.co/iceblock-own...","2025-10-03T02:38:58.132Z"
"roxanne1731.bsky.social","A government run by billionaires is not “for the people”. It’s for billionaires. It’s why they’re getting billions in subsidies, tax breaks and government contracts. Meanwhile, working class Americans are losing their jobs and healthcare.","2025-10-01T18:40:14.321Z"
"roxanne1731.bsky.social","24 millions Americans shouldn’t have to lose their healthcare so that Elon Musk can blow up more rockets.","2025-10-01T21:09:47.688Z"
"roxanne1731.bsky.social","Every time Donald Trump puts up a racist AI generated video of Hakeem Jefferies or any of my colleagues, I’ll put a new movie poster about Trump and Epstein. #ReleasetheEpsteinFiles","2025-10-01T01:54:05.267Z"
"roxanne1731.bsky.social","mdavis19881.substack.com/p/epstein-12...","2025-10-01T06:59:45.238Z"
"roxanne1731.bsky.social","Please sound the alarm!!! #USDemocracy","2025-09-29T11:28:03.860Z"
"roxanne1731.bsky.social","👀 ⛳️ 🏌️‍♂️ 🏆 #RyderCup","2025-09-29T02:59:49.027Z"
"roxanne1731.bsky.social","He wants to dictate what the press can say. What a university can teach. Whom a company can employ. And to whom the law shall apply. He who wants all this is not a president, But strives to be a dictator. And all who succumb are not citizens, But subjects.","2025-09-28T17:36:38.224Z"
"roxanne1731.bsky.social","Republicans would rather shut down the government than help millions of Americans afford health care. This article tells some of their stories, and is a good reminder of what’s at stake.","2025-09-28T16:02:02.500Z"
"roxanne1731.bsky.social","I will never forgive these shitty people.","2025-09-28T17:36:36.997Z"
"roxanne1731.bsky.social","Trump gets fooled into retweeting something about MEDBEDS like qanon but dumber","2025-09-28T18:27:22.901Z"
"roxanne1731.bsky.social","Things are starting to get more interesting. The Epstein estate has turned over another batch of materials to the House Oversight Committee more than 8,000 documents in total, including unredacted calendars, call logs, and cash ledgers.","2025-09-26T19:27:43.856Z"
"roxanne1731.bsky.social","ICE GOONS 'RELIEVED OF CURRENT DUTIES' AFTER VIOLENT CONFRONTATION CAUGHT ON CAMERA KEEP FILMING EVERYTHING!","2025-09-27T01:22:55.102Z"
"roxanne1731.bsky.social","California is awarding $127M in grants to local communities for programs that address the mental health & drug issues on our streets. This adds to the multi-billion-dollar investment we've made to support substance abuse treatment & mental health services to keep families safe.","2025-09-27T15:51:57.283Z"
"roxanne1731.bsky.social","Morelle: Here’s the problem whenever the president speaks—and I hate to make light of this because he’s the president—but it’s almost always just fantasy. This week he’s suddenly a scientist, telling us what we should do for a fever if you’re a pregnant woman. It’s an endless series of baloney.","2025-09-27T01:46:37.064Z"
"roxanne1731.bsky.social","Be smart. No panic. No violence anywhere. This regime is making its move. No it's not a warrior ethos pep rally. Portland don't take the bait.","2025-09-27T15:50:05.916Z"
"roxanne1731.bsky.social","Perryman: With respect to the Homan situation, this is highly concerning. It’s, as you said, a tale as old as time. We’ve requested that information through the Freedom of Information Act, and if the government doesn’t respond, we’ll sue.","2025-09-26T21:02:23.499Z"
"roxanne1731.bsky.social","""""We want what everyone else wants, and what Zohran Mamdani is best equipped to deliver."""" —Eli Williams-Szenes Director of Advocacy and Political Affairs Bend the Arc: Jewish Action 4/x","2025-09-26T18:02:51.249Z"
