"user","post","date"
"sasurvivors.bsky.social","We won! Community outrage and activism we think prompted the owner not to sell his warehouse to ICE. We are making a difference folks! Keep fighting! @maddow.bsky.social #RESIST #ICEOUT","2026-02-17T15:07:43.295Z"
"sasurvivors.bsky.social","We really need to fight this SAVE AAmerica Act, it is voter suppression on steroids, disenfranchising countless voters, it is a poll tax! It’s easy to call your Congresspersons with the 5 calls app! #RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-16T21:47:18.423Z"
"sasurvivors.bsky.social","Please sign this petition it will go directly to your Congresspersons via email! #RESIST","2026-02-16T21:37:16.644Z"
"sasurvivors.bsky.social","Ciji Graham, remember her name, she died because the doctor placed the life of the child above hers. Ciji died. Because abortion bans limit healthcare for women. #RESIST","2026-02-16T20:45:11.454Z"
"sasurvivors.bsky.social","#RESIST","2026-02-16T09:53:13.256Z"
"sasurvivors.bsky.social","#RESIST","2026-02-16T09:45:38.079Z"
"sasurvivors.bsky.social","#RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-15T16:59:02.445Z"
"sasurvivors.bsky.social","#RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-15T16:46:33.234Z"
"sasurvivors.bsky.social","#RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-14T22:34:44.462Z"
"sasurvivors.bsky.social","#RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-14T22:27:21.901Z"
"sasurvivors.bsky.social","Happy Valentines Day! View this card especially for you!","2026-02-14T22:04:56.727Z"
"sasurvivors.bsky.social","Mr. Brown’s case is among the 16 shootings by on-duty federal immigration agents patrolling in U.S. cities and towns over the past year, including those that took the lives of Minnesota protesters Renee Good and Alex Pretti. #RESIST #ICEOUT","2026-02-14T21:58:29.055Z"
"sasurvivors.bsky.social","What happened? #RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-13T02:03:04.604Z"
"sasurvivors.bsky.social","Bondi has a long history of covering up Epstein! : Critics point to Bondi's time as Florida's Attorney General (2011–2019), during which she did not investigate Epstein or his co-conspirators despite active lawsuits from victims challenging his lenient 2008 plea deal. Source: Google Gemini #RESIST","2026-02-12T20:09:20.562Z"
"sasurvivors.bsky.social","AG Bondi did not even acknowledge the survivors! Her lack of empathy for the survivors triggered them, victimized them once again, made them feel like ghosts in the room! All of us who are sexual assault survivors know how the survivors of Epstein et al feel. I know how they feel!! #RESIST #METOO","2026-02-12T18:31:02.792Z"
"sasurvivors.bsky.social","#RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-12T14:49:29.958Z"
"sasurvivors.bsky.social","Video of the ICE expansion #RESIST #BLUECREW #VOTEBLUE #PROJECT2026 #CALLOUTTHEIRNAMES #TRUMPISAPEDOPHILE","2026-02-12T08:21:56.753Z"
