"user","post","date"
"scgrassrootsdems.bsky.social","Catholic church members in Maywood, IL walking out after mass and marching to the detention center where the priest demanded to go inside and bless those held. Pope Leo said """"we cannot stay silent."""" Credit: @jessicapalmadessa #TrumpsWarOnAmerica #FDT #SilenceIsComplicity","2025-10-12T19:50:09.907Z"
"scgrassrootsdems.bsky.social","Real swagger. #NoKingsDay #NoKingsInAmerica #FDT","2025-06-15T06:14:16.356Z"
"scgrassrootsdems.bsky.social","Happy Obama Day! Real men don't need $100 million ego boosts to put the swagger in their step. #NoKingsDay #NoKingsInAmerica #FDT","2025-06-14T23:56:49.002Z"
"scgrassrootsdems.bsky.social","Drama at 1600 Pennsylvania Avenue? 🍿","2025-06-06T15:49:56.133Z"
"scgrassrootsdems.bsky.social","Happy Taco Don Tuesday! 🌮 #TacoTrump #TrumpAlwaysChickensOut","2025-06-03T21:52:30.117Z"
"scgrassrootsdems.bsky.social","Pass The Buck Trump is never to blame. Like a small child that refuses to admit that they drew on the wall with Crayons, Trump never takes the blame. 🌮 #TrumpIsAnIrresponsibleChild","2025-05-31T21:44:49.752Z"
"scgrassrootsdems.bsky.social","Stop calling kidnapping and trafficking people to countries they’ve never been to “deporting.” It’s criminal behavior by a country with no conscience. www.theguardian.com/us-news/2025...","2025-05-21T15:23:20.820Z"
"scgrassrootsdems.bsky.social","Democrats are the party of the people. Republicans are the party of privilege. We're looking at you, Congressman Ron Estes.","2025-05-21T19:27:59.787Z"
"scgrassrootsdems.bsky.social","Trump needed an English to English translator. 🤦‍♂️","2025-05-17T17:30:54.017Z"
"scgrassrootsdems.bsky.social","National Security Advisor, Signal chat app poweruser, and emoji aficionado Mike Waltz is on his way out of the Trump Administration. Pictured here after getting the news. 🦶🏻💥💨🤷🏼‍♂️ #MikeWaltz #HeadOfLettuce #VotedOffTheIsland","2025-05-01T16:02:03.125Z"
"scgrassrootsdems.bsky.social","@nathanfrommi.bsky.social thanks for the starter pack inclusion. You might enjoy this list of Kansas orgs and electeds too: go.bsky.app/9HhAcH1","2025-03-17T02:40:47.004Z"
"scgrassrootsdems.bsky.social","This is what happens when a rich schoolyard bully fails up. He has no idea what he's doing. 🤦‍♂️ #PresidentMusk","2025-02-13T22:45:32.217Z"
"scgrassrootsdems.bsky.social","""""Daddy says he owns you. Can you get me an ice cream?""""","2025-02-12T01:50:45.177Z"
"scgrassrootsdems.bsky.social","Sir Stephen Fry is absolutely correct! #PresidentMusk","2025-02-08T04:40:16.022Z"
"scgrassrootsdems.bsky.social","Deplorians","2025-02-06T20:06:05.071Z"
"scgrassrootsdems.bsky.social","Let us be clear. Trump owns the blame for the tragedy that was AA 5342. His finger pointing and blame game is reprehensible. DEI is not to blame. A self-serving, self-righteous, grifting criminal in the White House is to blame. 67 lives were lost and families forever changed thanks to felon Trump.","2025-02-04T01:53:49.958Z"
"scgrassrootsdems.bsky.social","Thank you for your messages of support following the crash of AA 5342 that originated here in Wichita, KS. The community and country have rallied to support the families affected. We paused our posting in response to the tragedy, but we can wait no longer. Tyranny moves too quickly.","2025-02-04T01:43:07.059Z"
"scgrassrootsdems.bsky.social","One of the first school shootings performed by a student with intent to commit a mass shooting occurred right here in Sedgwick County, Kansas. It happened in 1985 in Goddard, resulting in the death of Principal James McGee was killed. School safety boards and commissions exist for a reason.","2025-01-29T05:29:08.644Z"
"scgrassrootsdems.bsky.social","The most dangerous president in US history.","2025-01-27T04:37:49.662Z"
"scgrassrootsdems.bsky.social","Where in the world is Carmen Sandiego? 😂","2025-01-27T04:38:37.545Z"
"scgrassrootsdems.bsky.social","Democratic Rep. Eric Swalwell: “Donald Trump does not back the blue. He backs the coup.” Nailed it! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥","2025-01-26T20:06:03.879Z"
"scgrassrootsdems.bsky.social","#ThanksTrump 🙄","2025-01-27T02:00:01.579Z"
"scgrassrootsdems.bsky.social","The USAF has reversed itself """"after uproar."""" We must continue to pay attention. We must continue to preserve & share the stories of the Tuskegee Airmen & the Women Airforce Service Pilots. I promised them I would always tell their stories. You can too. Knowledge is power! www.msn.com/en-us/news/u...","2025-01-27T00:40:20.922Z"
"scgrassrootsdems.bsky.social","This is the revenge of the kid who was always picked last for kickball.","2025-01-26T16:49:13.631Z"
"scgrassrootsdems.bsky.social","These are the good guys supporting DEI. Reward them with your business. Costco Meijer Kroger Giant Grocery Ben & Jerry’s Ulta, Macy’s Old Navy Nordstrom’s TJ Maxx GoTo Foods ( Moe’s Southwest Grill, Mcalister’s, Auntie Anne’s, Jamba, Cinnabon…) Dollar Tree Walgreens Wegmans","2025-01-26T00:07:55.788Z"
"scgrassrootsdems.bsky.social","One of these things is not like ALL the others. 🤬","2025-01-23T16:37:12.272Z"
"scgrassrootsdems.bsky.social","Not to mention praises Nazis, worships Nazis, endorses Nazis, and gives money to Nazis.","2025-01-23T16:36:42.865Z"
"scgrassrootsdems.bsky.social","This is why we can't have nice things. You can't complain if you didn't participate in the decision.","2025-01-19T20:48:44.904Z"
"scgrassrootsdems.bsky.social","President Biden has been an exemplary leader. He will be remembered well.","2025-01-19T20:47:27.589Z"
"scgrassrootsdems.bsky.social","🚨 Turn the channel on the inauguration with these counter programming suggestions From """"Twin Peaks"""" to """"Chicken Nugget,"""" preserving your sanity on Inauguration Day is just a click away www.salon.com/2025/01/19/t...","2025-01-19T20:45:38.580Z"
"scgrassrootsdems.bsky.social","Do I have this right… Republicans demanded Def Sec Austin’s resignation when he did not inform the WH he was hospitalised after prostate surgery but an incompetent drunk rapist is their dream candidate to replace him?😎","2025-01-15T01:36:14.829Z"
"scgrassrootsdems.bsky.social","Good evening, Blue Sky! Sedgwick County Grassroots Democrats is seeking refugee status from Twitter and soon possibly all things Meta too! We look forward to connecting with our neighbor here where the skies are decidedly bluer.","2025-01-14T06:45:54.425Z"
