"user","post","date"
"sea008.bsky.social","I highly recommend checking in with yourself regularly and asking yourself, """"Is this still working for me?"""" And that could mean anything: your job, a relationship, your workout routine, whatever.","2026-02-17T23:01:21.496Z"
"sea008.bsky.social","There’s only 1 person in Congress who doesn’t trade stocks, doesn’t take corporate PAC money, and has a public schedule. That’s me. And it should be the standard.","2026-02-17T16:48:09.827703585Z"
"sea008.bsky.social","There seriously should be some kind of intelligence test that candidates have to pass before they take office.","2026-02-17T02:38:49.200Z"
"sea008.bsky.social","On this President’s Day it’s an important reminder that for the first time in American history the United States doesn’t have a President but instead is being destroyed by a vindictive hateful trashy fraudulent lying diabolical sadistic criminal tyrant and his regime of crooks.","2026-02-16T16:05:56.794Z"
"sea008.bsky.social","“I’ll never vote for Gavin Newsom, because fuck that guy” is destructive. “I don’t like Gavin Newsom, so here’s why I support [different candidate] instead” is constructive.","2026-02-16T17:20:27.110Z"
"sea008.bsky.social","Far Side","2026-02-16T04:08:37.852Z"
"sea008.bsky.social","Every ICE officer who has broken the law should be arrested, tried, and imprisoned for their crimes.","2026-02-15T23:27:12.353Z"
"sea008.bsky.social","Strongly agree. We are watching immigrants with legal status deported over minor civil infractions. But, the Trump Administration can defy Congress while protecting pedophiles and that’s acceptable 🤦‍♀️","2026-02-15T18:33:59.769Z"
"sea008.bsky.social","Donald Trump, Pam Bondi, et. al., have 'proclaimed' they're now refusing to release the remaining 3 million pages-documents-images-videos of the Epstein files, as well as the voluminous redacted portions.They're stonewalling. They're holding their middle finger up to the American people and the law.","2026-02-15T17:27:51.781Z"
"sea008.bsky.social","Courts have ruled 4,400 times that ICE jailed people illegally. It hasn’t stopped.","2026-02-14T17:28:55.020Z"
"sea008.bsky.social","We spent about 1 hour and 15 minutes at Costco, and the guy parked next to us was there, with the engine on, windows open, for the entire time. A pleasant 55 F and sunny. Why? This country is so cooked","2026-02-14T22:31:33.438Z"
"sea008.bsky.social","This madman must be removed from office.","2026-02-15T00:03:54.929Z"
"sea008.bsky.social","There is no way Senate Dems should vote for DHS funding while Republicans are threatening to nationalize elections and Trump is threatening to do it by executive order. ICE reforms are no longer enough. Their authoritarianism must be fought with every legislative lever available.","2026-02-13T23:41:23.625Z"
"sea008.bsky.social","Trump's former attorney. """"THIS IS NOT A DRILL!""""","2026-02-13T21:21:06.188Z"
"sea008.bsky.social","Swalwell: ICE agents shot Alex Pretti and Renee Good. And the only person in the world who has been held accountable by DHS is the pilot who somehow forgot to move Kristi Noem’s blankie.","2026-02-14T02:27:48.216Z"
"sea008.bsky.social","Trump has to go NOW. You can’t suffer 3 more years of him. He’s already done so much damage. He’s done nothing right, nothing!Not sure how you remove him. 25th? He’s unfit for office. Everyone knows it.","2026-02-13T22:45:42.377Z"
"sea008.bsky.social","Not sure who needs to hear this but the voter fraud rate is a mere 0.000003%. Anyone telling you otherwise is making shit up so they can take away your right to vote.","2026-02-14T00:10:48.899Z"
"sea008.bsky.social","Instructive that RNC Research reads """"pedophile"""" but sees """"President Trump"""".","2026-02-13T19:57:05.953Z"
"sea008.bsky.social","🤣🤣🤣🤣","2026-02-13T12:35:36.810Z"
"sea008.bsky.social",";) I absolutely *do* know, thank you, all of that is true. It's why I run this account and I also post on FB. I've been a Medicare beneficiary since my early 30's (& have not yet hit the more normal age to be one). I posted article just today on issues for patients whose treatment is delayed/denied.","2026-02-13T21:22:12.686Z"
"sea008.bsky.social","CARTOON OF THE DAY 😕 (From @andertoon.bsky.social )","2026-02-13T04:06:01.619Z"
"sea008.bsky.social","www.nbcbayarea.com/news/local/s...","2026-02-13T17:14:15.330Z"
"sea008.bsky.social","Reminder: “The SAVE America Act” is not saving us from anything real — and was born out of the lies of a malignant narcissist who incited an insurrection. 🇺🇸 Thank you for coming to our TED Talk. www.brennancenter.org/topics/votin...","2026-02-13T15:54:54.515Z"
"sea008.bsky.social","Investigadores de Luisiana desarrollan espuma de origen vegetal con 85% de eficiencia para eliminar microplásticos del agua. ecoinventos.com/investigador...","2026-02-11T18:02:54.976Z"
"sea008.bsky.social","In just a few moments, I will vote against the so-called SAVE America Act and I am a strong no. That's because this bill would place unnecessary burdens on millions of women and eligible citizens to register to vote and make their voices heard. It is un-American & undermines our democracy.","2026-02-11T22:42:00.802Z"
"sea008.bsky.social","Trump is in it for himself, 100%. His sole aims are to expunge his intolerable 2020 loss and become immeasurably wealthy. He cares nothing for America. Even Stephen Miller's extreme cruelty is just a side benefit. #ProudBlue","2026-02-10T20:53:36.461Z"
"sea008.bsky.social","If you put 3 common grocery store items in front of him he wouldn’t have the first clue how much any of them cost. He has no idea whatsoever what life is like for 99.99% of Americans. Worse than that is that he has zero interest in finding out because he doesn’t care.","2026-02-11T01:52:14.770Z"
"sea008.bsky.social","I enjoyed watching Bad Bunny sing in American.","2026-02-10T19:02:12.757Z"
"sea008.bsky.social","Time to dismantle the system #riseup #standup #resist #revolt #respect #support #change #together #love #nomorehate #transgender #lgbtqiap2s Check out our website tws-website.com","2026-02-10T05:42:02.043Z"
"sea008.bsky.social","Reality Check by Dave Whamond | GoComics","2026-02-09T19:07:38.765Z"
"sea008.bsky.social","The President of America said this. I find it hard to root for a 34X convicted felon as president. A real loser.","2026-02-08T16:33:30.972Z"
"sea008.bsky.social","Hawks win Super Bowl! 👍","2026-02-09T03:24:09.219Z"
"sea008.bsky.social","Criticizing your country isn’t unpatriotic — this is 👇🏽","2026-02-08T22:13:42.587Z"
"sea008.bsky.social","Criticizing our country is a right afforded to us by the constitution.","2026-02-09T01:08:46.017Z"
"sea008.bsky.social","There it is... #politics #fascism","2026-02-08T22:44:39.032Z"
"sea008.bsky.social","Why are we still talking about who is in the Epstein Files? For fucks sake, believe the victims' testimonies, start legal proceedings and lock the bastards up.","2026-02-08T20:45:14.037Z"
"sea008.bsky.social","OK """"god bless america"""" and then naming every country in the americas from south to north is absolute king shit","2026-02-09T01:33:20.585Z"
"sea008.bsky.social","It's still a cover-up Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from yesterday’s Epstein files release. DEATH? The truth is probably far worse than anyone can imagine. 13,000 unredacted mentions and counting.","2026-02-08T20:03:51.986Z"
"sea008.bsky.social","The US deficit is approaching ww2 levels as a percent of GDP. Because of the “Big Beautiful Bill” that GOP voted for. We are spending more on INTEREST than on anything else including the military. This is a time bomb, and the GOP is responsible. Fiscal conservative my ass","2026-02-09T00:05:37.524Z"
"sea008.bsky.social","Leaders of the so-called “pro-life, small government” party who relentlessly warn of tyranny are standing by as masked agents roam the country and brutalize its people. The hypocrisy isn’t surprising — but it’s staggering. Remember this.","2026-02-08T21:00:09.901003Z"
"sea008.bsky.social","A purpose of human life, no matter who is controlling it, is to love whoever is around to be loved - Kurt Vonnegut Pic of the day #photography","2026-02-07T18:16:19.419Z"
"sea008.bsky.social","Your prediction? Mine: Hawks by 5 👍","2026-02-08T22:57:55.675Z"
"sea008.bsky.social","Loving the Olympics, but reminded just how dangerous some of the disciplined are, and much the athletes are prepared to risk for a medal. Keeping everything crossed that Lindsey Vonn's OK. That was a horrible fall.","2026-02-08T11:32:53.707Z"
"sea008.bsky.social","I love watching the Olympics and absorbing the arbitrary standards. You end up watching a sport you are only dimly aware exists, frowning and saying, “Oo, that guy from Norway had his knees greater than 90 degrees, now he’s bronze at best.”","2026-02-07T14:01:53.334Z"
"sea008.bsky.social","So this is a headline on Huffpost: """"Republicans Condemn 'Incredibly Offensive' Trump Post About The Obamas"""" Are you fucking kidding me? 3 fucking Republicans said something. 3. Stop giving them credit for not even doing the absolute minimum. This is ludicrous.","2026-02-07T00:55:25.081Z"
"sea008.bsky.social","I’m glad Jeffries came out swinging on this one. Trump is an unrepentant racist and his posts should not be normalized.","2026-02-06T14:56:27.368Z"
"sea008.bsky.social","As an old dude, I had never listened to Bad Bunny. I was expecting that I'd be blasted with monophonic e music and indecipherable lyrics. Man, was I off base. I just listened to one of his songs and it was GREAT! Go Hawks!","2026-02-06T23:35:10.023Z"
"sea008.bsky.social","Time for the 4th Branch of Government to take control of the situation. The 4th Branch """"We the People""""","2026-02-06T06:24:27.926Z"
"sea008.bsky.social","Dear God","2026-02-06T03:53:57.955Z"
"sea008.bsky.social","The crazy president needs to be taken out of office. He is unfit to be president.","2026-02-05T19:41:27.319Z"
"sea008.bsky.social","#Trump #Epstein #EpsteinFiles","2026-02-05T16:26:33.612Z"
"sea008.bsky.social","At this point, some leaked videos might help.","2026-02-04T11:54:31.698Z"
"sea008.bsky.social","The Supreme Court has started showing signs that justices are aware of the growing public frustration around its shadow docket, a New York Times reporter said Wednesday.","2026-02-05T01:00:20Z"
"sea008.bsky.social","Partying with Charles Manson was not a crime. But the fact that he directed the murder of people does raise suspicions about those who did party with him. And some of those people were convicted and sentenced. It'd be foolish not to suspect those who partied with Epstein.","2026-02-04T00:59:26.359Z"
"sea008.bsky.social","President Donald Trump said Tuesday that PBS and NPR are """"a waste of money,"""" having convinced the Republican-led Congress to gut funding for U.S. public media last year. https://to.pbs.org/4ahkoGd","2026-02-04T00:33:01.449408598Z"
"sea008.bsky.social","The Trump administration is accusing protesters of ‘domestic terrorism’ but this brazen tactic is as old as the country itself","2026-02-03T18:16:28.823Z"
