"user","post","date"
"sedahr.bsky.social","Good Evening #FiresideFriends, we're happy for you to share in Fat Tuesday, come dance and laugh with us! Tonight, we're at the Mazatlán Courtyard Cantina, where they have the best plantain chips and pomegranate Pico de Gallo, Tequila Sunsets and Hibiscus Lemonade! suno.com/s/OsIX0THlHL...","2026-02-18T00:55:47.203Z"
"sedahr.bsky.social","Probably one of my favorite speeches by a REAL presidential figure, not the twisted orange troll that wants to pretend to be one today. youtube.com/watch?v=A311... Good Morning; I hope you are inspired to get out there and make some Good Trouble!","2026-02-17T14:18:05.446Z"
"sedahr.bsky.social","Good evening #FiresideFriends, it's a good night for a bit of relaxation and chatter with your fellow Blueskyers at the Fireside Coffee Shop. We invite you offer up a favorite (non-impassioned) fiery moment tonight as we share stories and warmth together. Welcome! 🎶 suno.com/s/1vaNHVQaxv... 🎶","2026-02-17T00:58:27.882Z"
"sedahr.bsky.social","Mary Elizabeth is one of those kind, unassuming souls that everyone loves because that is what she offers - unconditional love for people who enter her circle - if you're not following her, you're missing out on enjoying interacting with a wonderful human being! (These people she mentioned know it.)","2026-02-16T04:46:22.520Z"
"sedahr.bsky.social","🦋GREAT NEWS!!🦋 The #BreakfastCrew will be back February 23rd at 8:00am EST, Mon-Fri. Weekends off. I want to thank you for your patience and understanding while I took some time off from the daily morning posts. I’ve missed all of you!!🥰 Let’s continue building our BlueSky 🦋 Community! #BlueCrew","2026-02-15T23:55:01.762Z"
"sedahr.bsky.social","Another piece I have worked on based from a discussion had with a few others here on Bsky, offering homage to Linkin Park's penchant to get into the grit of society's issues but make people look to the vestigial sparks of light. suno.com/s/FmdpQy3Kp5...","2026-02-16T00:28:47.750Z"
"sedahr.bsky.social","Thanks to wonderful, beautiful people in my life(especially a very special lady), I'm living this way again... youtu.be/HAAvYTXOmuk?... ... it's not what you get, it's what you give.","2026-02-15T16:45:46.022Z"
"sedahr.bsky.social","🌞 Good Morning! 🌻 It seems like we're constantly dealing with crises in our world, but remember what Zig Ziglar once said, """"Difficult roads often lead to beautiful destinations.""""","2026-02-15T11:45:10.160Z"
"sedahr.bsky.social","It's about damned time that answers were given! open.substack.com/pub/alisav/p...","2026-02-14T22:24:58.880Z"
"sedahr.bsky.social","Welcome to tonights gathering of the friends of today and the friends of the past as our families were throughout history. Please enjoy this evening music, food, overall festivities for a night enjoyment. Our dinner will be your choice of steak or Halibut fish and the winesRed and white wines","2026-02-14T00:51:20.092Z"
"sedahr.bsky.social","“We sit here surrounded by diamonds and artistic glory while the world outside is falling apart. If your voice can move millions and you choose not to use it for those who have no voice, then you are not creating change—you are creating noise.” ~The Esteemed Rowan Atkinson (Bravo, sir, BRAVO! 👏🏻)","2026-02-13T11:31:21.822Z"
"sedahr.bsky.social","Good evening #FiresideFriends, tonight we are sharing in a bit of fun with Poi Dancers of the Hawaiian Islands. That's right, you get to play with fire! youtu.be/D-vBd7v2x7w?... (Because of this, we have no alcohol at tonight's event.) And there will be some instruction for doing fire walking, too!","2026-02-13T01:09:23.181Z"
"sedahr.bsky.social","The astronomer Henrietta Leavitt was a woman living in the early 1900s, who was prohibited from the “big work” of male scientists. Instead they gave her the tedious and painstaking task of classifying stars, and measuring their brightness and spectra. (1 - ?)","2026-02-12T15:03:54.431Z"
"sedahr.bsky.social","Good evening #FiresideFriends, and welcome to Nightingale nightingale.bar Cocktail Lounge, come for the drinks, stay for the dancing, and find yourself immersed in conversation with old friends and new. And maybe, you might just hear a new tune or two. 🎶 suno.com/s/XbIAqUyEWA... 🎶","2026-02-12T01:05:22.072Z"
"sedahr.bsky.social","Good evening #FiresideFriends, tonight we are invited to share in the community amongst some good country-folk, as we share food and frivolity before the evening bonfire is lit. Grab some goodies from the Homestead Bakery, and get ready for fun and dance by the fire! the200acres.com/thb-homepage/","2026-02-11T00:58:04.398Z"
"sedahr.bsky.social","Not sure what to do for dinner? www.mylocalutah.com/local-food/r...","2026-02-10T19:31:18.867Z"
"sedahr.bsky.social","John Muir said, “When we tug at a single thing in nature, we find it attached to the rest of the world.” So, #FiresideFriends, let us tonight walk between two pines and find a doorway to a new world. Come share in the light of the fire where we offer community in laughter, song and tales.","2026-02-10T00:55:34.873Z"
"sedahr.bsky.social","Good Morning! 🌞 May you find what you need and need what you find, and all that you don't gets left far behind. 🐝","2026-02-09T11:24:39.756Z"
