"user","post","date"
"shannonmaebreen.bsky.social","Trump’s EPA just rescinded one of its most important rulings that protected public health & the climate because Trump is beholden to coal & fossil fuels. @michaelemann.bsky.social joins for a sobering conversation about our climate crisis that has perilously escalated. youtu.be/9vx1zTG6VbI?...","2026-02-17T19:40:42.424Z"
"shannonmaebreen.bsky.social","Our assignment is to embarrass fascist hack and Trump-panderer Bari Weiss by making sure this segment, which she banned from airing, gets more views on YouTube than it would have gotten on CBS. #StreisandEffect","2026-02-17T18:20:33.366Z"
"shannonmaebreen.bsky.social","A central figure in our government. Shameful shit.","2026-02-17T05:28:23.294Z"
"shannonmaebreen.bsky.social","That vid going around with the high school ice supporter is such a clear distillation of how they expect protection from the social contract while actively violating it. I'm so glad that kid punched him, knowing full well he'd get in trouble. Assholes use social norms as a shield.","2026-02-17T02:01:09.066Z"
"shannonmaebreen.bsky.social","On Tuesday, a man parked a white Mercedes SUV, got out, and started running toward the Capitol, Police Chief Sullivan said at a news conference. The man had additional rounds with him, as well as a tactical vest and tactical gloves. A Kevlar helmet and gas mask were found in his car, he added.","2026-02-17T20:08:21.786Z"
"shannonmaebreen.bsky.social","A lot of the time there are institutional barriers that prevent marginalized people from voting. So yes they do have every right to criticize the candidates. You don't know what some people are going through. So knock it off with that """"if you don't vote you have no right to complain"""" shit.","2026-02-16T22:53:28.150Z"
"shannonmaebreen.bsky.social","AOC on Randy Fine: “This is genuinely one of the most disgusting statements I have ever seen issued by an American official — It should not stop shocking us that the Republican Party openly embraces this — Fine should be censured & stripped of committees. To ignore this is to accept & normalize it”","2026-02-17T17:46:09.895Z"
"shannonmaebreen.bsky.social","youtube.com/shorts/EnGAt...","2026-02-17T20:23:09.972Z"
"shannonmaebreen.bsky.social","starting to get the feeling that Kristi Noem will not in fact win the 2028 presidential election","2026-02-17T18:26:08.284Z"
"shannonmaebreen.bsky.social","The horror stories rolling in from Minnesota are just the tip of the iceberg. This 20-year-old, who's lawfully present in the country, was arrested for being Latino, then jailed in a filthy cell where he couldn't even sit down. 18 days of illegal detention. democracyforward.org/wp-content/u...","2026-02-17T20:06:53.951Z"
"shannonmaebreen.bsky.social","youtu.be/8FoX_0YxyIM?...","2026-02-17T20:23:22.021Z"
"shannonmaebreen.bsky.social","CBS pulling @jamestalarico.bsky.social’s interview from The Late Show with Stephen Colbert is alarming and nothing short of censorship. Full breakdown on my Substack page (link below). adamkinzinger.substack.com/p/emergency-...","2026-02-17T19:43:41.630Z"
"shannonmaebreen.bsky.social","I believe the victims!","2026-02-17T20:19:16.151Z"
"shannonmaebreen.bsky.social","youtube.com/shorts/2aeld... Another instance of someone getting the day they voted for!","2026-02-17T20:18:31.784Z"
"shannonmaebreen.bsky.social","TRUMP IS A PEDOPHILE Bombshell Epstein File Reveals FBI Interviewed Underage Trump Accuser Epstein introduced her to Trump who subsequently forced her head down to his exposed penis which she subsequently bit. In response, Trump punched her… #MOG8 www.thedailybeast.com/fbi-intervie...","2026-02-17T19:47:13.009Z"
"shannonmaebreen.bsky.social","CALL IT LIKE IT IS!!! republikkkans are the THE EPSTEIN CLASS ... OF MORBIDLY RICH PEDOPHILES “We were told that MAGA was for working-class Americans. But this is a government of, by, and for the ultra-rich. It is the wealthiest Cabinet ever! This is THE EPSTEIN CLASS.” ~ Sen. Jon Ossoff (D-GA)","2026-02-17T13:15:35.907Z"
"shannonmaebreen.bsky.social","youtu.be/k4guTrQ69OE?...","2026-02-17T20:06:53.889Z"
"shannonmaebreen.bsky.social","He is. Long after he is gone this problem has been here and he amplified it even more. It will still exist. Stupidity is a National Threat. Hi Shannon🌸🌷🙃","2026-02-17T19:03:46.830Z"
"shannonmaebreen.bsky.social","Spoiler It's not because they can't, it's because they don't want to.","2026-02-17T18:41:48.250Z"
"shannonmaebreen.bsky.social","These are the sick & twisted reasons why we are here. 🤦🏽‍♂️","2026-02-17T18:17:23.761Z"
"shannonmaebreen.bsky.social","youtu.be/rIK33mGBYs8?...","2026-02-17T18:39:20.732Z"
"shannonmaebreen.bsky.social","BOUT DAMN FUKKKIN TIME!!! SHOULDA BEEN DONE AT THE 1ST JAN 6 PARDON!!! THE PEDOPHILE RELEASED HIS OWN JAN 6 ARMY ... AKA: NAZI ICE GESTAPOS!!! AKA: DEFLECTION FOR RAPING CHILDREN!!! ALL PEDOPHILES NEED TO GO TO PRISON ... AND RAPED ... JUST LIKE THEY DID TO LITTLE GIRLS!!! KARMA!!!","2026-02-17T15:14:50.664Z"
"shannonmaebreen.bsky.social","What would normally be presidency-ending scandals not even a blip on the radar Daily","2026-02-17T14:48:08.934Z"
"shannonmaebreen.bsky.social","This message is for any parent. Get your kid a therapist. Don’t ask why. Just do it. Ideally starting 5th grade. Even if they are the happiest kid on the planet. Even if they tell you everything. They don’t. Please get them a therapist. Their lives are SO MUCH MORE FUCKED than we had it growing up.","2026-02-17T14:38:42.245Z"
"shannonmaebreen.bsky.social","#EpsteinClass www.huffpost.com/entry/everyt...","2026-02-17T03:18:24.911Z"
