"user","post","date"
"silentscreatch.bsky.social","The disintegration of a once free and independent press under pressure from Trump emerges again this morning as a leading topic in major European news reporting.","2026-02-18T05:07:15.973Z"
"silentscreatch.bsky.social","Another thing to add to the Dem platform: all of these contracts were plainly procured through fraud, not one of them will be honored, and all culpable parties will be prosecuted. This isn't a """"radical"""" demand, it's the bare minimum required to re-establish the rule of law.","2026-02-17T23:01:53.906Z"
"silentscreatch.bsky.social","www.sierraclub.org/texas/greate...","2026-02-18T01:38:14.951Z"
"silentscreatch.bsky.social","If we lose our constitutional democratic form of government, history will record that too many of US made two terrible errors of judgment: They judged Democrats to be not good enough to elect and they also judged Republicans to be not bad enough not to elect.","2026-02-18T06:01:29.380Z"
"silentscreatch.bsky.social","The Sunday Times established the identities of 13 Russian soldiers suspected of killing civilians on the Zhytomyr Highway in Kyiv region in 2022. Over a three-week period, Russian soldiers killed at least 27 civilians on the highway, burning the bodies in their cars to hide the evidence.","2026-02-17T16:52:55.094Z"
"silentscreatch.bsky.social","👇👇👇","2026-02-18T06:01:49.503Z"
"silentscreatch.bsky.social","Former AG William Barr described by FBI as participating in abuse of minors alongside Leon Black. EFTA01660622","2026-02-18T04:25:46.088Z"
"silentscreatch.bsky.social","A Minneapolis City Council committee, composed of the whole 13-member council, voted 11-2 to have staff look deeper into whether two hotels have met the requirements to have their liquor licenses renewed. The full council is expected to take up the issue again when it meets Thursday, Feb. 19.","2026-02-18T00:00:09.809Z"
"silentscreatch.bsky.social","🇺🇸 This iconic NYT photo of Abigail Spanberger speaks to this moment in America. She is the first woman to lead the state in its nearly 250 yrs of existence, and won by the largest margin in six decades. Come November, Trump's soulless Republicans are going to pay dearly for their attack on decency.","2026-02-18T04:06:01.912Z"
"silentscreatch.bsky.social","There's more: Is Trump dangerous? 43% of Republicans have no opinion. Honest? 44% have no opinion. Corrupt? 43% have no opinion. Out-of-touch? 49% have no opinion. They know who he is. They just don't want to admit it.","2026-02-18T01:19:31.037Z"
"silentscreatch.bsky.social","How Ireland’s regulators are taking action against Big Tech","2026-02-18T06:02:21Z"
"silentscreatch.bsky.social","ICE killed that teacher, not the immigrant. DHS is no friend to peace or safety in USA under Kristi Noem’s leadership. She must resign and take that drunk f*ckboy mooching off the taxpayers dime with her. Insanity.","2026-02-18T00:59:06.566Z"
"silentscreatch.bsky.social","""""More than half of modern culture depends on what one shouldn't read."""" ~ Oscar Wilde","2026-02-18T06:02:40.227Z"
"silentscreatch.bsky.social","The way that Noem and Hegseth treat members of the service is, were we looking at another country, would be the kind of thing that might fuel a coup. Or at least leading military to defy, oh, say orders to interfere with elections: www.nbcnews.com/politics/imm...","2026-02-18T05:02:06.192Z"
"silentscreatch.bsky.social","This brought back memories of conversations. Thanks as always for the great @ngumenyuk.bsky.social for seeing the essential. www.nytimes.com/2026/02/15/o...","2026-02-16T10:53:14.402Z"
"silentscreatch.bsky.social","This tracks The National Geographic voice caps it off though ☠️","2026-02-18T04:49:47.500Z"
"silentscreatch.bsky.social","“.. We could spend the whole day reacting to every buffoonish spectacle coming out of the White House, but that's exactly what they want: for us to lose focus … Don't be distracted by the noise; watch what they are doing to your rights while you stare at the screen.”","2026-02-18T00:25:11.889Z"
"silentscreatch.bsky.social","open.substack.com/pub/thomhart... This fight isn’t really about immigration. It’s about whether the Constitution still restrains government power at all. When elected officials call it a “nonstarter” to require federal agents to get a judicial warrant before kicking in doors, to give","2026-02-18T04:50:19.340Z"
"silentscreatch.bsky.social","@lawrenceodonnell.bsky.social: Banned from Colbert, James Talarico says Trump is afraid of losing Texas youtu.be/Vawt9DsW3yk?...","2026-02-18T04:55:13.555Z"
"silentscreatch.bsky.social","2024 (Biden): The U.S. economy added 1.46 million jobs. 2025 (Trump): The U.S. economy added 181,000 jobs. Are you tired of so much winning yet?","2026-02-17T19:31:26.087Z"
"silentscreatch.bsky.social","Florida is a cesspool of corruption.","2026-02-18T01:45:20.140Z"
"silentscreatch.bsky.social","#ResistanceUnited Oh puhleese. The idea that platforms are suppressing """"conservative"""" outlets is total B.S. and very tiresome. The FCC is relying on a """"study"""" by Media Research Center, a far-right group that promotes right-wing propaganda and pseudoscience.","2026-02-17T17:39:47.217Z"
"silentscreatch.bsky.social","Staff members have been instructed to scrub this topic and ‘biodefense’ from the agency’s website","2026-02-17T20:40:17.498Z"
"silentscreatch.bsky.social","Today's Politics Chat with @hcrichardson.bsky.social www.youtube.com/live/y26XxXh...","2026-02-18T01:30:41.409Z"
"silentscreatch.bsky.social","🇨🇦🇨🇦Best thing’s about Mark Carney. He answers the presses questions without blaming his predecessor. *see Trump Biden* He has a plan moving forward regardless Trumps threats. He’s easy to understand as he speaks English. He doesn’t post memes of him raining shit on our people. 🇨🇦🇨🇦","2026-02-17T16:38:48.218Z"
"silentscreatch.bsky.social","Aloka. The Peace Dog.","2026-02-18T05:34:02.522Z"
"silentscreatch.bsky.social","Zelensky said the US has not issued licenses for the production of Patriot air defense missiles in Europe despite promises. He said all Ukrainian diplomats and Defense Minister Mykhailo Fedorov must be as active as possible to achieve results in supplying air defense missiles to Ukraine. #Ukraine","2026-02-17T20:14:36.834Z"
"silentscreatch.bsky.social","There's a few likely consequences of having free buses...and they will probably surprise you! Really happy to be able to share this perspective today in the New York Times. www.nytimes.com/2026/02/13/o...","2026-02-13T15:02:06.855Z"
