"user","post","date"
"smoooooveoper8tor.bsky.social","🟥 Thank u, Michelle Obama We are grateful 🦋 for all you do #BlackHistoryMonth 👇🏽 ❤️🖤💚 #BlackSky 💐","2026-02-18T08:32:58.190Z"
"smoooooveoper8tor.bsky.social","My Snow Bengal, Octavia. Is this not the cutest Cat you've ever seen?","2026-02-18T13:11:09.260Z"
"smoooooveoper8tor.bsky.social","The First Amendment protects your right to record government officials performing their duties in public. This applies to ICE agents, police, FBI, National Guard troops, and any other government officials. Learn more at aclu.org/kyr_record-","2026-02-18T01:09:23.258Z"
"smoooooveoper8tor.bsky.social","Terrific","2025-11-19T14:06:52.538Z"
"smoooooveoper8tor.bsky.social","#AirFuckOne","2026-02-17T16:37:29.835Z"
"smoooooveoper8tor.bsky.social","Gee Were Did I Go Wrong 😑? I’m Losing My CORRUPT Base! My Internal ATM Is Broken, I’m Running Dry. I’m Losing My Mind And My money 💴.","2026-02-17T02:23:30.331Z"
"smoooooveoper8tor.bsky.social","Something I can definitely get behind!","2026-02-17T12:45:35.964Z"
"smoooooveoper8tor.bsky.social","They will support a fetus before it's ever become a person, but they don't support children or people once they are born.","2025-03-19T02:07:57.799Z"
"smoooooveoper8tor.bsky.social","Oki just chilling","2026-02-16T23:21:27.507Z"
"smoooooveoper8tor.bsky.social","NO LIES 👇 DETECTED.......","2026-02-16T17:20:24.077Z"
"smoooooveoper8tor.bsky.social","Trump also holds the record for the longest government shutdown. Twice. Happy no current Presidents’ Day.","2026-02-16T20:55:49.389Z"
"smoooooveoper8tor.bsky.social","🤣🤣🤣🤣🤣😂😂😂😂😂","2026-02-16T21:48:18.341Z"
"smoooooveoper8tor.bsky.social","This is our shit bag of a governor Krll Crotchrot not pushing back on a detention center in Merrimack, NH. Meanwhile town officials are considering the offer because their town budget is always in the red!","2026-02-16T21:41:57.359Z"
"smoooooveoper8tor.bsky.social","#BlackHistoryMonth #Pinks ✊🏾","2026-02-16T13:15:52.591Z"
"smoooooveoper8tor.bsky.social","🤡🤡🤡🤡🤡","2026-02-16T16:03:57.823Z"
"smoooooveoper8tor.bsky.social","💯% 🎯🤡","2026-02-16T15:26:40.388Z"
"smoooooveoper8tor.bsky.social","National Flag Day of Canada 🇨🇦🍁 Celebrating Feb 15, 1965 — when the Maple Leaf flag was first raised.","2026-02-15T18:55:00.855Z"
"smoooooveoper8tor.bsky.social","#EpsteinFiles","2026-02-15T20:26:22.358Z"
"smoooooveoper8tor.bsky.social","Please share!!!","2026-02-14T22:41:58.250Z"
"smoooooveoper8tor.bsky.social","😂😂😂😂😂","2026-02-16T08:30:56.433Z"
"smoooooveoper8tor.bsky.social","RethugliKKKlans","2026-02-16T08:20:06.859Z"
"smoooooveoper8tor.bsky.social","KARMA is so coming for both of these fascist fucks!","2026-02-16T07:56:44.822Z"
"smoooooveoper8tor.bsky.social","Thinking of adding a new family member? Check your local shelters & rescues. Your new Best Friend May Be Waiting for You! #AdoptDontShop","2026-02-16T07:18:23.675Z"
