"user","post","date"
"socialt.bsky.social","Former-Prince Andrew is being investigated by the police—and lost his royal title. Meanwhile, on this side of the Atlantic, Trump hasn’t even lost sleep.","2026-02-09T22:27:41.984Z"
"socialt.bsky.social","🩸🩸🩸 I'm going to post this video every day so we never forget what the 34x POS convicted felon who incites political violence, adjudicated rapist & pedophile Trump did THIS IS WHAT AN INSURRECTION LOOKS LIKE ⬇️⬇️⬇️","2026-02-10T12:34:58.820Z"
"socialt.bsky.social","open.substack.com/pub/johnpavl...","2026-02-08T18:38:44.694Z"
"socialt.bsky.social","www.facebook.com/share/r/1c5X...","2025-01-26T18:41:55.561Z"
"socialt.bsky.social","Jewish non-profit chief says Musk will spur violence with his ‘Nazi salute’","2025-01-26T11:24:35Z"
"socialt.bsky.social","Empathy, respect, and support is #Resistance at its finest. #ERA #EndClassWarfare #EndTheWarOnWomen #FightDammit #SheShed","2025-01-25T16:36:57.551Z"
"socialt.bsky.social","Misogyny is terrorism.","2025-01-26T11:25:10.780Z"
"socialt.bsky.social","""""When MAGA sends its people, they're not sending their best. They're sending people that have lots of problems, and they're bringing those problems with them. They're bringing lies. They're bringing crime. They're electing rapists. And some, I assume, are good people. Kidding!""""","2025-01-24T18:59:11.699Z"
"socialt.bsky.social","Trump pardoned known white supremacists. They’re free and openly talking about “retribution” and rooting out the “deep state”—they know Trump has their back. Listen to leaders of the Proud Boys and Oath Keepers, and don’t miss the fact that they’re counting on Kash Patel to assist…","2025-01-24T15:44:31.485Z"
"socialt.bsky.social","“It’s alarming that they would invoke religious scripture as a basis for formulating U.S. foreign policy.” https://interc.pt/42kTBq5","2025-01-23T17:54:24.106Z"
"socialt.bsky.social","Actual email sent to federal employees today by the Trump regime. Fascist scum!","2025-01-23T03:08:32.406Z"
"socialt.bsky.social","The Department of Justice has just DELETED its four-year-old webpage on the US Capitol riot investigations.","2025-01-23T15:52:33.125Z"
"socialt.bsky.social","Their faith lets them worship power while they’re offended by mercy. It’s not Christianity they’re practicing.","2025-01-23T16:38:49.060Z"
"socialt.bsky.social","Nothing to see here… just Trump rolling back the clock to 1965… There’s only one reason why he would need to do this. One… and it’s got nothing to do with making anything great. A return to the time when Whites did as they pleased and everyone else was exploited. That’s where we are headed.","2025-01-23T14:38:06.231Z"
"socialt.bsky.social","www.nbcnews.com/tech/tech-ne... Couldn’t understand why ADL refused to condemn Musk’s Nazi salute. Then I remembered this.","2025-01-21T18:31:23.741Z"
