"user","post","date"
"sofia1031.bsky.social","MAGA: I just think the Super Bowl halftime show should’ve been in English so we could understand it. Really? Because the Constitution and your Bible are in English, and you can’t seem understand either of those.","2026-02-10T12:20:47.187Z"
"sofia1031.bsky.social","That there were 150 hot Latinas dancing at the Super Bowl Halftime Show and the Republicans saw 2 dudes dancing together somewhere in the mix says more about Republicans men than anything else.","2026-02-10T13:02:17.937Z"
"sofia1031.bsky.social","After watching Bad Bunny’s halftime show I’m so proud to be an American. Puerto Rico represents! Beautiful Spanish language, people of color filling my TV screen. This is what makes America great and it’s what I will always fight for. #BadBunny","2026-02-09T01:32:57.622Z"
"sofia1031.bsky.social","bsky.app/profile/tick...","2026-02-09T03:12:20.105Z"
"sofia1031.bsky.social","Hahahahaha fuck maga those babies","2026-02-09T03:04:32.682Z"
"sofia1031.bsky.social","My dump meme","2026-02-07T03:34:07.088Z"
"sofia1031.bsky.social","How the hell is he not out of office that racist pedophile","2026-02-06T23:11:19.624Z"
"sofia1031.bsky.social","Epstein files have sunk UK leader. Why not America's leader? Our Prime Minister isn't even mentioned in the files yet Trump is in there 38,000+ times!","2026-02-05T18:37:03.941Z"
"sofia1031.bsky.social","@nbcnews.com Should be ashamed of this interview with Donald Trump normalizing everything that he's doing, especially talking about a third term when the Constitution does not say a third term and The Fed not being independent, how disrespectful to the American people and the Constitution.","2026-02-05T14:53:17.111Z"
"sofia1031.bsky.social","Entertainment PR legend Peggy Siegal what ON EARTH WHAT THE FUCK","2026-02-03T04:55:56.473Z"
"sofia1031.bsky.social","thiiiiiiiis","2026-02-03T12:01:23.804Z"
"sofia1031.bsky.social","Something not getting enough attention: The owner of the New York Giants, the Commanders’ majority owner, and the owner of the New England Patriots all have something in common. They’re in the Epstein files","2026-02-02T22:42:15.731859Z"
"sofia1031.bsky.social","Football is a sacred sport in the U.S. It BLOWS MY MIND that such a huge organization, with so much money and people involved with it, from owners to coaches to staffing to players & to fans are not making more of this than they are. WHAT IS WRONG WITH YOU AMERICA??? www.espn.com/nfl/story/_/...","2026-02-01T11:44:04.953Z"
"sofia1031.bsky.social","Alex Pretti was doing a little thing, a loving thing, a necessary thing, and he was murdered for it. badfaithtimes.com/pretti-was-d...","2026-01-28T21:34:59.176Z"
"sofia1031.bsky.social","Dork Takes Out No Pussy Getting On Entire Country","2026-01-27T22:26:52.348Z"
"sofia1031.bsky.social","Resist. Persist.","2026-01-27T13:24:05.356Z"
"sofia1031.bsky.social","🔥🔥🔥 DO NOT BE DISTRACTED BY GREENLAND & STAY LOUD DONALD TRUMP IS GOING DOWN TRUMP & EPSTEIN ARE SEX TRAFFICKERS & I’m gonna post this every day so nobody forgets exactly who Pedophile Trump is and why the Epstein files have suddenly disappeared 🔥🔥🔥","2026-01-27T12:25:02.428Z"
"sofia1031.bsky.social","A nurse. A researcher. A helper.","2026-01-24T21:01:18.257Z"
