"user","post","date"
"spritepurplefairy.bsky.social","@bab102.bsky.social @lenny60.bsky.social @crankyoldcrackpot.bsky.social @spritepurplefairy.bsky.social @annmb48.bsky.social @markymark757.bsky.social @gdad1x7.bsky.social @authorstuartmiller.bsky.social @docmurphydog.bsky.social @waysideleslie.bsky.social @stat-monkey.bsky.social @j1j2.bsky.social","2026-02-15T11:41:16.428Z"
"spritepurplefairy.bsky.social","Thank you Beth 🙏🙏💙💙 @bluestormcomin1.bsky.social @sweetwitch2697.bsky.social @spritepurplefairy.bsky.social @ginly47.bsky.social @lexit27.bsky.social @everlily24.bsky.social @shelbienameless.bsky.social @justjill.sheshed.rocks @schasse60.bsky.social @mylife13.bsky.social","2026-02-16T03:10:11.889Z"
"spritepurplefairy.bsky.social","🎥 We must limit #Globalwarming to 1.5 degrees Time for #ClimateAction! PLRP 🎵 #video🩷💚💙 @i-am-brody.bsky.social @carsoncmc.bsky.social @bigdgrandroyal.bsky.social @spritepurplefairy.bsky.social @sistarista.bsky.social @redsox09.bsky.social @pissedoffwoman.bsky.social @the-old-dude.bsky.social","2026-02-16T13:42:04.669Z"
"spritepurplefairy.bsky.social","youtu.be/SZ8psP4S6BQ?... 😏😏😏😏","2026-02-15T20:28:43.128Z"
"spritepurplefairy.bsky.social","Well done AOC.","2026-02-12T00:38:42.678Z"
"spritepurplefairy.bsky.social","youtu.be/8W-lVRQQGtI?...","2026-02-15T06:07:35.073Z"
"spritepurplefairy.bsky.social","For fucks sake, if you don't think there'll be elections, then no one ll show, except for the MAGAites. Stop scaring people. GET OUT N VOTE. Last time I checked, the PEOPLE have the ultimate say. If we all show up, we can overcome the bullshit.","2026-02-14T21:16:05.624Z"
"spritepurplefairy.bsky.social","Says the guy who auctioned off little girls Says the guy who trafficked little girls Says the guy who raped little girls Voter cheating, or electoral fraud, is extremely rare in the USA Only 39 cases of voter fraud were ID'd in a recent election, a mere 0.000039% of over 100 million ballots cast","2026-02-14T21:50:53.690Z"
"spritepurplefairy.bsky.social","Poll taxes are unconstitutional. Any i.d. that is required to vote has to be provided by the government. This is a way to disenfranchise the poor. Call your senators.","2026-02-14T22:20:17.912Z"
"spritepurplefairy.bsky.social","Ghislaine Maxwell lied on her US citizenship application. She checked the no box when asked if she had ever procured anyone for prostitution. She had been trafficking since 1994. This could get another 25 years added to her sentence.","2026-02-14T20:31:43.735Z"
"spritepurplefairy.bsky.social","Not sure who needs to hear this but the voter fraud rate is a mere 0.000003%. Anyone telling you otherwise is making shit up so they can take away your right to vote.","2026-02-14T00:10:48.899Z"
"spritepurplefairy.bsky.social","⚠️ PSA - don’t take health advice from people who snort cocaine off toilet seats. We are truly living in Idiocracy, and you can thank RFK Jr. for this outbreak.","2026-02-15T03:46:37.140Z"
"spritepurplefairy.bsky.social","TY Betsy❣️ @naturalbornklutz.bsky.social @katarinakriz.bsky.social @thecaffeinator.bsky.social @eviebauer727.bsky.social @rwaymack.bsky.social @frankiemillie10.bsky.social @wagumba.bsky.social @flamekurve.bsky.social @phoenix509.bsky.social @spritepurplefairy.bsky.social","2026-02-15T03:37:01.374Z"
"spritepurplefairy.bsky.social","youtu.be/4-YPEYzPQhE?... heavy! 🧚‍♀️🤟🎸🥁🎶💯","2026-02-15T04:10:58.387Z"
"spritepurplefairy.bsky.social","@jetguy58.bsky.social youtu.be/s0VTBPdhldo?... Heavy heavy! 🎤🎶🥁🎸🤟💯😀🧚‍♀️","2026-02-15T04:08:58.847Z"
"spritepurplefairy.bsky.social","bsky.app/profile/koja... @spritepurplefairy.bsky.social","2026-02-15T02:28:14.379Z"
"spritepurplefairy.bsky.social","Yep balls!!💯","2026-02-13T20:38:17.657Z"
"spritepurplefairy.bsky.social","I totally dig it!!!💯","2026-02-13T20:39:35.772Z"
