"user","post","date"
"steveinboulder.bsky.social","A pedo exchange?","2026-02-16T17:29:32.077Z"
"steveinboulder.bsky.social","Yeah, you probably will. Because you suck.","2026-02-10T20:56:52.273Z"
"steveinboulder.bsky.social","And well nourished.","2026-02-03T18:55:59.725Z"
"steveinboulder.bsky.social","Lol. He's the next recipient of the Medal of Freedom and a likely candidate to run DHS after Noem leaves.","2026-01-09T21:24:22.468Z"
"steveinboulder.bsky.social","His name is on it. Cheryl Hines is married to RFK, and I used to like her too. Bye, bye Katy.","2026-01-03T20:05:49.024Z"
"steveinboulder.bsky.social","He also has an ivermectin distribution business.","2026-01-03T01:32:42.013Z"
"steveinboulder.bsky.social","Yeah, when malts are better than tacos (not happening) and a Chevy is a better car than Toyota (even more not happening), I'll consider Mr. Miller's words (never, ever fucking happening).","2025-12-30T00:59:29.929Z"
"steveinboulder.bsky.social","Because we suck. Duh.","2025-12-30T00:51:04.030Z"
"steveinboulder.bsky.social","Can I hate her because she's an evil piece of shit?","2025-12-30T00:10:05.607Z"
"steveinboulder.bsky.social","Among the reason why when the dust clears, Biden will be considered the worst president of all time. Yes, worse than Trump, because he gave usTrump.","2025-12-25T05:13:48.961Z"
"steveinboulder.bsky.social","Biden lost America to fascism.","2025-12-25T04:51:02.061Z"
"steveinboulder.bsky.social","Even a broken clock is right once or twice a day.","2025-12-23T21:11:24.846Z"
"steveinboulder.bsky.social","Space Oddity - Bowie,D","2025-12-19T18:28:15.451Z"
"steveinboulder.bsky.social","...and just like that, Guantanamo has a new house photographer... Now you know the rest of the story.","2025-12-18T20:29:07.702Z"
"steveinboulder.bsky.social","Not clear to me whether any of that matters.","2025-12-18T20:13:08.296Z"
"steveinboulder.bsky.social","Marla should stay away from stairs for a while.","2025-12-18T20:07:10.349Z"
"steveinboulder.bsky.social","Obviously. Or Hillary's.","2025-12-18T19:44:13.347Z"
"steveinboulder.bsky.social","Or exist in the free world.","2025-12-18T19:07:20.371Z"
"steveinboulder.bsky.social","Why did we let them have the flag and the word 'patriot'?","2025-12-17T20:17:52.771Z"
"steveinboulder.bsky.social","Well, he's correct in this case. Merrick Garland should be in prison. Guantanamo, in fact.","2025-12-17T20:14:46.081Z"
"steveinboulder.bsky.social","I'm no expert, but shouldn't the architecture be finalized before demolition begins?","2025-12-05T16:47:26.492Z"
"steveinboulder.bsky.social","93? Oh, hell no.","2025-12-05T16:44:54.867Z"
"steveinboulder.bsky.social","LOfuckingL. He missed an opportunity as a stand-up comedian.","2025-12-05T16:37:12.953Z"
"steveinboulder.bsky.social","Trump wants international soccer players to come here so he can deport them.","2025-12-05T16:35:41.419Z"
"steveinboulder.bsky.social","Actually he's neither ignorant nor incompetent. The word you're looking for is evil.","2025-12-05T16:15:45.828Z"
"steveinboulder.bsky.social","Same.","2025-11-28T17:48:45.577Z"
"steveinboulder.bsky.social","Have the two parties been colluding the whole time or is it more recent?","2025-11-10T22:35:20.007Z"
"steveinboulder.bsky.social","@rosen.senate.gov here's your hat you treasonous piece of shit.","2025-11-10T22:29:14.916Z"
"steveinboulder.bsky.social","@cortezmasto.senate.gov here's your hat you treasonous piece of shit.","2025-11-10T22:27:38.773Z"
"steveinboulder.bsky.social","@shaheen.senate.gov here's your hat you treasonous piece of shit.","2025-11-10T22:24:05.409Z"
"steveinboulder.bsky.social","@hassan.senate.gov here's your hat you treasonous piece of shit.","2025-11-10T22:23:23.661Z"
"steveinboulder.bsky.social","@durbin.senate.gov here's your hat you treasonous piece of shit.","2025-11-10T22:22:35.498Z"
