"user","post","date"
"supertk.bsky.social","The US Department of Health and Human Services just released this video.","2026-02-17T22:39:50.631Z"
"supertk.bsky.social","""""The test of our progress is not whether we add more to the abundance of those who have much; it is whether we provide enough for those who have too little."""" —FDR, 1937","2026-02-16T19:01:13.815262Z"
"supertk.bsky.social","Ossoff: """"Among today's false prophets are the election deniers who indulge this president's obsession with overturning the 2020 election. Hear me when I say this -- they tell a lie so absurd, and therefore so debasing, that the act of telling it proves the teller's total and humiliating submission.""""","2026-02-16T17:22:28.125Z"
"supertk.bsky.social","Says the guy who auctioned off little girls Says the guy who trafficked little girls Says the guy who raped little girls Voter cheating, or electoral fraud, is extremely rare in the USA Only 39 cases of voter fraud were ID'd in a recent election, a mere 0.000039% of over 100 million ballots cast","2026-02-14T21:50:53.690Z"
"supertk.bsky.social","Bring it on.","2026-02-12T12:11:07.263Z"
"supertk.bsky.social","Hasn't been for 10 years","2026-02-14T02:04:45.680Z"
"supertk.bsky.social","We are entering the “falling out of windows” phase.","2026-02-14T00:29:52.498Z"
"supertk.bsky.social","NEGUSE: AG Bondi, that man works for you now, right? The man in that video from J6 yelling 'kill them!' at cops. His name is Jared Wise. BONDI: He does work for us, yes. I believe he was pardoned NEGUSE: And you expect hard-working police officers to believe you take law enforcement seriously?","2026-02-11T18:28:01.307Z"
"supertk.bsky.social","Pam Bondi has been a complete and total failure at her job. The Epstein survivors showed more courage just by being in that room than she did under oath. She refused to answer questions and chose complicity. America deserves better.","2026-02-11T21:14:29.447Z"
"supertk.bsky.social","NEW: A page from Bondi's burn book. This is a list of the searches by Rep Jayapal of the unredacted Epstein files. That means the DOJ grabbed her search terms from the computers they set up for members of congress to view the Epstein files to use as ammunition. The photo is from Reuters.","2026-02-11T23:36:23.833Z"
"supertk.bsky.social","This says it and it’s exactly what it is….","2026-02-11T07:57:52.126Z"
"supertk.bsky.social","Republicans are still trying to pass the SAVE Act—a bill that would make it harder to vote and disenfranchise millions of Americans. Join @redistrictingaction.org and tell your member of Congress to vote no: act.redistrictingaction.org/a/natl-saveact-cte","2026-02-11T23:03:50.943Z"
"supertk.bsky.social","Textbook. If you are surprised, it is because this shit usually, at least not in the last 150 years, does not happen in the US. And the past is mild in comparison","2026-02-10T19:25:24.800Z"
"supertk.bsky.social","9 years old... Seriously WTF Republican party is covering up millionaire/billionaires who raped 9 year olds! EPSTEIN TRIALS WHEN???","2026-02-10T00:22:35.303Z"
