"user","post","date"
"suzzisulli.bsky.social","The cos playing, ass kissing bitch has called back a plane searching for a missing Coast Guard member to make sure that plane was available to deport people!! What the actual fuck is going on?!","2026-02-17T16:55:24.425Z"
"suzzisulli.bsky.social","Always. Thanks Suzzi.","2026-02-16T01:44:24.069Z"
"suzzisulli.bsky.social","@ladybug014.bsky.social @greenellsworth.bsky.social @abbarsha.bsky.social @bluestormcomin1.bsky.social @raykwong.bsky.social","2026-02-16T01:41:40.639Z"
"suzzisulli.bsky.social","@ltwlauren.bsky.social @genxer-71.bsky.social @sentenne.bsky.social @nancyjeanmarie.bsky.social @teedublavee.bsky.social @nashfarmsmusic.bsky.social @citizen-franciscus.bsky.social @comeonbraves.bsky.social @bostonbitch.bsky.social @ramblinro.bsky.social @srosnato.bsky.social","2026-02-16T01:40:18.688Z"
"suzzisulli.bsky.social","@judithbolyard.bsky.social @adoboblue.bsky.social @jenexpresses.bsky.social @dearhelen.bsky.social @coachkk.bsky.social @sassy0210.bsky.social @chaserbaybe.bsky.social @moberzan.bsky.social @hopeful66.bsky.social @jules1212.bsky.social @schultziepie.bsky.social @halostarmusic.bsky.social","2026-02-16T01:36:43.675Z"
"suzzisulli.bsky.social","@whatifisaidit.bsky.social @merlinmm.bsky.social @themadgardener.bsky.social @mochachaiguy.bsky.social @billy-x.bsky.social @bradleyperry.bsky.social @bobanibaldi.bsky.social @jnyanydts.bsky.social @mj27.bsky.social @noofieninja.bsky.social @oneveteransoath.bsky.social","2026-02-16T01:33:38.805Z"
"suzzisulli.bsky.social","@fiercemama25.bsky.social @thewelshtaffy24.bsky.social @ckinser.bsky.social @jeffrasley.bsky.social @thisweekintony.bsky.social @inmyblackopinion.bsky.social @sedahr.bsky.social @kalmyadown.bsky.social @jfkfan.bsky.social @syntha.bsky.social @skyyblue6.bsky.social","2026-02-16T01:30:50.905Z"
"suzzisulli.bsky.social","@rivergoat.bsky.social @drdigipol.bsky.social @mommamia.bsky.social @cardonebrian.bsky.social @sassysister27.bsky.social @rckymtnmn.bsky.social @alphwilliams.bsky.social @stillresisting.bsky.social @foggthat.bsky.social @fifer54.bsky.social @andrewmceo.bsky.social","2026-02-16T01:25:12.416Z"
"suzzisulli.bsky.social","@kdrandbear.bsky.social @larrycolvin.bsky.social @lafayette1111.bsky.social @bandroll.bsky.social @demofintor66.bsky.social @rebelb1ue.bsky.social @web.kim @reallyfasmiller.bsky.social @beaches1.bsky.social @neverstopthefight.bsky.social @sundaedivine.lol @gmoyer17.bsky.social","2026-02-16T01:22:02.691Z"
"suzzisulli.bsky.social","As per usual my friends, anyone interested in a boost just let me know in the comments. We’re going to win back our country, together!","2026-02-16T01:17:27.763Z"
