"user","post","date"
"sweettoothlives.bsky.social","Report and remove this maga agitator account","2026-02-07T22:06:57.973Z"
"sweettoothlives.bsky.social","abcnews.go.com/US/lawyers-a...","2026-01-19T02:36:18.938Z"
"sweettoothlives.bsky.social","This isn’t immigration policy. It’s a business model. ICE keeps growing, not because it makes America safer, but because corporations are raking in billions off cages, bodies, and suffering. ICE’s existence is a massive revenue stream.","2026-01-19T03:05:48.212Z"
"sweettoothlives.bsky.social","He's seeding the idea of the government takeover of the media.","2026-01-18T12:04:14.240Z"
"sweettoothlives.bsky.social","WELKER: Has the president crossed the line of impeachment? CHRIS MURPHY: I have common sense. I know this president has committed 10 times more impeachable offenses in his second term as he did in his first. He's stealing from the American people.","2026-01-11T15:34:46.319Z"
"sweettoothlives.bsky.social","This week an American citizen was killed by ICE. If you are concerned, you are not alone. Together we can stop the violence and #BeGood, in honor of Renee Macklin Good.","2026-01-10T12:10:47.332Z"
"sweettoothlives.bsky.social","He has a leaked audio of him (Trump) saying """"I don't care if you start a war, just stop the release of the Epstein files."""" Said he needs to stop midterm elections cuz he'll be impeached. +1 more vital note in comments. Source: Inquisir share.newsbreak.com/gq4yp44l","2026-01-10T19:23:01.425Z"
"sweettoothlives.bsky.social","ICE THUGS arrested a pastor & kept asking him """"Are you afraid?"""" numerous occasions. The pastor said NO. Eventually the THUGS let him go stating that """"You're WHITE, you're no fun to us!!"""" This is how sick & deranged these THUGS are, thanks to this REGIME‼️ youtu.be/lcSOyVrc5HM?...","2026-01-10T18:04:23.116Z"
"sweettoothlives.bsky.social","The Nazis did the same thing. They're flowing the Nazi playbook, to a Tee.","2026-01-11T05:29:56.973Z"
"sweettoothlives.bsky.social","Jesse Ventura may be radical in some of his views but he is a true patriot. I'll stand behind Ventura any day. youtu.be/udSUbBhA8I0?...","2026-01-10T13:10:36.032Z"
"sweettoothlives.bsky.social","🤦‍♀️","2026-01-10T14:29:20.515Z"
"sweettoothlives.bsky.social","“When tyranny becomes law, rebellion becomes duty”. Thomas Jefferson","2026-01-10T08:28:40.999Z"
"sweettoothlives.bsky.social","Let’s be perfectly honest. We know the primary discussion point will be be how Trump & Oil companies can maximize their profit. This has zero to do with making America safer or more affordable for We the People!","2026-01-09T19:27:41.170Z"
"sweettoothlives.bsky.social","Happy Friday Betsy. Thank you for giving us this pack filled with so many die hard 💙 resisters. I appreciate your hard work & everyone’s efforts to help the resistance. TYVM 💙","2026-01-09T18:39:56.802Z"
"sweettoothlives.bsky.social","🤣 and no, I don't give a fuck if that is a human being. Republicans view trans people as less than human, I view them as less than human. Fuck this guy","2026-01-09T19:23:59.568Z"
"sweettoothlives.bsky.social","Ahh yes """"I'm not mad at you dude"""" is such a threatening statement. Men should not be in positions of power, their emotions clearly cant handle it.","2026-01-09T19:20:55.654Z"
"sweettoothlives.bsky.social","Humor😂","2026-01-09T18:00:03.077Z"
"sweettoothlives.bsky.social","1. Texas A&M has banned a philosophy teacher from teaching Plato because it has """"gender ideology"""" in it. The banning stems from excerpts from Plato’s Aristophanes’ Myth of the Split Humans and Diotima’s Ladder of Love. Subscribe to support our journalism.","2026-01-09T15:48:49.116Z"
"sweettoothlives.bsky.social","Good Friyay morning, friends! Here's a giggle to start the day. The reasoning for the giggle, is bc we need it. It's an act of defiance. So small most don't see it. But you certainly feel it. From the start of a smile forming, to the full belly laugh. Comedy is defiance. #SheShed #FuckICE","2026-01-09T11:24:59.502Z"
"sweettoothlives.bsky.social","Oh","2026-01-09T01:49:33.237Z"
"sweettoothlives.bsky.social","This is what RFK thinks about vulnerable children.","2026-01-08T20:15:11.233Z"
"sweettoothlives.bsky.social","Amazing thread (per usual) by @mfbrodie.bsky.social. She’s intelligent, articulate and you should be following her!","2026-01-08T13:18:24.187Z"
"sweettoothlives.bsky.social","IMPEACH this bitch snd send her to prison. www.cbsnews.com/chicago/news...","2026-01-08T14:45:19.196Z"
"sweettoothlives.bsky.social","AOC: What we saw today was a criminal murder a woman while she was trying to flee for her life. What we saw today was a manifestation of every American’s worst nightmare: their government turning into a tyranny.","2026-01-08T00:20:32.982Z"
"sweettoothlives.bsky.social","This is where we are. Read this joint statement by France, Germany, Italy, Poland, Spain, the United Kingdom, and the Kingdom of Denmark on Greenland: """"Greenland belongs to its people. It is for Denmark and Greenland, and them only, to decide on matters concerning Denmark and Greenland.""""","2026-01-06T15:05:37.967Z"
"sweettoothlives.bsky.social","holy fuck my nerves went into overdrive. in < 48 hours I'm driving to a place I have never been to on my own for a potentially huge, life changing (for the better) consultation. 7 hours of total driving 😅","2026-01-06T02:18:22.935Z"
"sweettoothlives.bsky.social","Fetterman is brain damaged and needs to be removed /recalled/ gotten the fuck out of office now","2026-01-05T19:38:59.623Z"
"sweettoothlives.bsky.social","1. This weekend, far-right group Lets Go Washington announced that it had collected enough signatures to get a trans sports ban on the ballot in the state. The bill includes genital inspection provisions. It is one of the first to go forward in a blue state. Subscribe to support our journalism.","2026-01-05T16:30:46.757Z"
"sweettoothlives.bsky.social","Has he kicked the bucket yet?","2026-01-05T17:17:05.942Z"
"sweettoothlives.bsky.social","FOLKS NEED TO REALIZE HOW HUGE THIS IS For the first time in modern Texas history, Dems have candidates running in every state and federal race on the 2026 ballot. That includes all congressional seats, every state House and state Senate race, plus statewide judicial and State Board of Education.","2026-01-03T04:33:33.727Z"
