"user","post","date"
"sydneyscheide.bsky.social","We’re right there!! 🙌 ⏳ Time is almost up and donations are still matched 2X with code RESTOCK (while funds last). Every dollar helps us finish strong! 🔗 donorschoose.attn.tv/aCIFjelhtovK #ClearTheList #SupportTeachers","2026-01-15T04:13:19.024Z"
"sydneyscheide.bsky.social","⏰ Time is almost up and we are SO close! Use code RESTOCK to make your donation count 2X while funds last and help us cross the finish line! 📚✨ 🔗 donorschoose.attn.tv/aCIFjelhtovK #DonorsChoose #ClearTheList #HistoryTeacher","2026-01-14T22:13:59.880Z"
"sydneyscheide.bsky.social","🚨 MATCH ALERT 🚨 If you donate to my #DonorsChoose project using code RESTOCK, your impact goes 2X as far—while funds last! 📚✨ Help us get funded twice as fast! 🔗 donorschoose.attn.tv/aCIFjelhtovK #ClearTheList #HistoryTeacher","2026-01-14T17:35:02.768Z"
"sydneyscheide.bsky.social","🚨 MATCH ALERT 🚨 If you donate to my #DonorsChoose project using code RESTOCK, your impact goes 2X as far and helps get my project funded twice as fast! 📚✨ Every bit helps—thank you! 🔗 donorschoose.attn.tv/aCIFjelhtovK #ClearTheList #HistoryTeacher","2026-01-14T17:06:34.253Z"
"sydneyscheide.bsky.social","History deserves more than a blurry screen 👀📜 Help me give my students a clearer view of the past by supporting our classroom monitor project on #DonorsChoose! Every donation helps 👉 www.donorschoose.org/project/a-cl... #FundMyClassroom #HistoryInFocus","2026-01-13T03:36:06.545Z"
"sydneyscheide.bsky.social","History deserves more than a blurry screen 👀📜 Help me give my students a clearer view of the past by supporting our classroom monitor project on #DonorsChoose! Every donation helps 👉 www.donorschoose.org/project/a-cl... #FundMyClassroom #HistoryInFocus","2026-01-11T02:37:20.442Z"
"sydneyscheide.bsky.social","It’s my birthday! 🎉 If you feel moved to celebrate, feel free to honor this special day by removing something from my teacher wishlist. Think of it as supporting education… and my sanity. 😂📚 www.amazon.com/hz/wishlist/...","2025-11-19T21:34:19.778Z"
"sydneyscheide.bsky.social","How is it NOT criminal that loan companies deny income-based plans to public servants? How is a $2,700/mo loan payment “feasible” on a $50k teacher salary before taxes, bills, childcare, groceries? It’s predatory and pushes good educators out.","2025-11-12T22:38:27.050Z"
"sydneyscheide.bsky.social","Starting my FMLA tomorrow to take care of some health issues and give my body time to heal. As much as I know I need this time, it’s still hard knowing that teacher FMLA is unpaid. No income for weeks while also managing recovery is stressful.","2025-11-03T03:35:15.520Z"
"sydneyscheide.bsky.social","It’s #PrimeDay and a few people asked for my personal wishlist 💛 I rarely share it, but if you’d like to send a little love today, here it is: 📦 www.amazon.com/hz/wishlist/... Thank you for thinking of teachers — it really means more than you know. #ClearTheList","2025-10-08T01:38:35.434Z"
