"user","post","date"
"takenoprisoners.bsky.social","This is Trump's America.","2026-02-16T23:58:36.034Z"
"takenoprisoners.bsky.social","This keeps happening.","2026-02-18T01:19:23.260Z"
"takenoprisoners.bsky.social","Happy Birthday, #MichaelJordan! He turns 63 today. 🏀🎂","2026-02-17T17:30:04.712Z"
"takenoprisoners.bsky.social","(cartoon Jonathan Brown) #politics","2026-02-17T21:22:03.951Z"
"takenoprisoners.bsky.social","Insanity. They are laughing at us.","2026-02-17T21:46:15.635Z"
"takenoprisoners.bsky.social","Simply horrific. What are we becoming?","2026-02-18T00:00:12.420Z"
"takenoprisoners.bsky.social","I spent my childhood inside of American concentration camps. I know one when I see one. And that is what ICE is building.","2026-02-17T21:00:12.292Z"
"takenoprisoners.bsky.social","“it’s always a choice when journalists decide to clean up quotes – or not. It’s always revealing which politicians have “uh” or “um” removed...For instance, how often does the mainstream media let Donald Trump’s words speak for themselves?"""" Today’s First Draft email, on the media's coverage of AOC:","2026-02-17T18:08:42.262Z"
"takenoprisoners.bsky.social","Reminder that Paramount Skydance needs approval from Trump's minions to buy Warner Bros. Yesterday, its subsidiary CBS banned Stephen Colbert from airing an interview with TX Democrat James Talarico. Larry Ellison is sucking up to Trump by turning his media empire into MAGA propaganda.","2026-02-17T18:31:10.417038Z"
"takenoprisoners.bsky.social","Tell Us,Bernie......","2026-02-17T10:57:16.004Z"
"takenoprisoners.bsky.social","Re: Nick Shirley’s big California *expose*","2026-02-17T13:29:15.842Z"
"takenoprisoners.bsky.social","We are the laughing stock of the world.","2026-02-17T05:20:01.037Z"
"takenoprisoners.bsky.social","Newsom responds to Marsha…","2026-02-16T21:39:54.945Z"
"takenoprisoners.bsky.social","This","2026-02-16T18:40:26.831Z"
"takenoprisoners.bsky.social","💚💚💚","2026-02-17T14:46:12.963Z"
"takenoprisoners.bsky.social","What would normally be presidency-ending scandals not even a blip on the radar Daily","2026-02-17T14:48:08.934Z"
"takenoprisoners.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from Epstein files release. DEATH? The truth is probably far worse than anyone can imagine.","2026-02-17T08:09:59.662Z"
"takenoprisoners.bsky.social","Obviously 🙄 Americans that voted for Trump are just as Corrupt and Stupid as Trump. Repost so they can Feel our Wrath 😡😡😡","2026-02-16T13:34:46.076Z"
"takenoprisoners.bsky.social","I don’t need to know anything about your faith or your religion to vote for you…","2026-02-17T12:47:06.922Z"
"takenoprisoners.bsky.social","Jesse Jackson appeared on Sesame Street in 1973. During his appearance, he led a group of children in reciting his well-known poem “I Am Somebody,” a message focused on self-worth and empowerment The segment became one of the most memorable celebrity appearances from the early seasons of the show.","2026-02-17T13:30:10.171Z"
"takenoprisoners.bsky.social","😀","2026-02-17T02:32:43.016Z"
"takenoprisoners.bsky.social","Shapiro admin tells ICE to drop plans for Pa. detention centers & says no permits will be granted. All governors need to do the same!","2026-02-17T13:46:55.872Z"
"takenoprisoners.bsky.social","There are concentration camps in the USA. People are being disappeared. One facility has 3,500 people, most of them children. Now, what are we going to do about it?!","2026-02-16T21:43:22.465Z"
"takenoprisoners.bsky.social","bsky.app/profile/prou...","2026-02-17T00:27:45.889Z"
"takenoprisoners.bsky.social","The Pentagon just failed its 8th consecutive audit and still got approved for a $1 TRILLION budget without blinking so I'm gonna need every corrupt hypocritical politician complaining about made up food stamp fraud and forcing drug tests and work requirements on poor people to shut up forever. Thx.","2026-02-17T01:40:22.742Z"
"takenoprisoners.bsky.social","Just a reminder that TWO MONTHS have now gone by since the deadline for releasing ALL of the Epstein files. Trump's corrupt DOJ has released less than half, and those that were released were illegally redacted to protect pedophiles and their enablers. (Victims names and images were exposed.)","2026-02-16T22:47:14.630Z"
"takenoprisoners.bsky.social","Proven voter fraud cases are far less than 1/1000 of 1% of votes cast. (Right-wing Heritage Foundation numbers). The SAVE Act has nothing to do with election integrity and everything to do with voter suppression. P.S., in the majority of cases it's a Republican.","2026-02-16T15:42:58.083Z"
"takenoprisoners.bsky.social","March 3rd!","2026-02-15T23:52:55.154Z"
"takenoprisoners.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"takenoprisoners.bsky.social","✋","2026-02-16T21:59:42.317Z"
"takenoprisoners.bsky.social","Usually that’s up to the voters, but not when political parties become cults.","2026-02-17T00:38:34.127Z"
"takenoprisoners.bsky.social","Does that seem fair to you?","2026-02-16T23:11:32.596Z"
"takenoprisoners.bsky.social","""""We can have democracy in this country, or we can have great wealth concentrated in the hands of a few, but we can't have both."""" –Justice Louis Brandeis Words spoken many years ago that are just as relevant today. We must continue the fight to get big money out of politics.","2026-02-16T23:01:09.953168Z"
"takenoprisoners.bsky.social","FYI: If Trump weren't a pedophile, he would be suing for defamation.","2026-02-15T15:26:33.096Z"
"takenoprisoners.bsky.social","$4 BILLION — So corrupt. There is no debating this. Anyone who says otherwise is telling on themselves.","2026-02-16T17:47:21.726Z"
"takenoprisoners.bsky.social","Right-wing Heritage Foundation’s own data shows fewer than 100 noncitizens voted since 1982 (!!!) This is not a real problem. “The SAVE ACT is a Trojan horse to nationalize elections”: open.substack.com/pub/thiswill...","2026-02-16T15:23:58.555Z"
"takenoprisoners.bsky.social","On this President’s Day it’s an important reminder that for the first time in American history the United States doesn’t have a President but instead is being destroyed by a vindictive hateful trashy fraudulent lying diabolical sadistic criminal tyrant and his regime of crooks.","2026-02-16T16:05:56.794Z"
"takenoprisoners.bsky.social","Ossoff: """"Among today's false prophets are the election deniers who indulge this president's obsession with overturning the 2020 election. Hear me when I say this -- they tell a lie so absurd, and therefore so debasing, that the act of telling it proves the teller's total and humiliating submission.""""","2026-02-16T17:22:28.125Z"
"takenoprisoners.bsky.social","Cartoon by Monte Wolverton","2026-02-15T13:27:18.084Z"
"takenoprisoners.bsky.social","I didn’t make this, but it’s pretty spot on","2026-02-15T21:50:42.061Z"
"takenoprisoners.bsky.social","We can’t trust anything coming out of this administration. It’s getting tiresome.","2026-02-16T11:50:13.829Z"
"takenoprisoners.bsky.social","Power to the People!","2026-02-16T12:19:04.766Z"
"takenoprisoners.bsky.social","JFC, cut that shit in half and you’ve eradicated hunger, provided healthcare for all and made education free for all Americans. What the fuck are we doing?","2026-02-15T12:52:32.647Z"
"takenoprisoners.bsky.social","🤣🤣🤣🤣","2026-02-16T02:15:40.710Z"
"takenoprisoners.bsky.social","As you process the Epstein files, remember: Palantir received early funding from Jeffrey Epstein. It was also backed by the CIA’s venture arm, In-Q-Tel. Then came the defense contracts. Then mass data analytics at scale. This isn’t separate stories. It’s one ecosystem: the Epstein network.","2026-02-16T05:52:43.018Z"
"takenoprisoners.bsky.social","Hungary holds elections in 2 months. And the US Secretary of State is in Hungary campaigning for Viktor Orban. And as you can see, Russian state media loves it.","2026-02-16T11:25:50.424Z"
"takenoprisoners.bsky.social","When the U.S. House passed the SAVE Act last year, historians told us it was Congress’ worst attack on voting rights ever. Well, this week the House approved an even worse one. www.democracydocket.com/news-alerts/...","2026-02-15T15:53:33.434Z"
"takenoprisoners.bsky.social","1/ Some have said we have tried to run two women candidates against Trump, and the fact that both failed to win means the US isn't ready for a female president. I suggest that we are closer than ever to electing a woman for the highest political office. This is a thread.","2026-02-15T05:25:17.203Z"
"takenoprisoners.bsky.social","Reading American history will break your heart a thousand times but it will also fill you with such admiration and awe for all the people who were excluded from the protection of America’s founding principles and fought to promote, protect and expand them anyways","2026-02-16T00:19:32.441Z"
"takenoprisoners.bsky.social","I believe the Epstein files contain horrors that we can’t even imagine. I believe Trump is in the middle of it. I believe he is a psychopath. I believe a large number of the Republicans consist of psychopaths.","2026-02-15T16:02:01.366Z"
"takenoprisoners.bsky.social","A major Epstein files revelation, the DOJ cover-up intensifies, bipartisan outrage, new election interference concerns, SAVE Act pushback, DHS midterm questions, and global backlash to Trump. Our weekend bulletin is up now — completely paywall free.","2026-02-15T23:26:34.573Z"
"takenoprisoners.bsky.social","None of this is normal","2026-02-15T20:13:19.992Z"
"takenoprisoners.bsky.social","The candidate for US Senate endorsed by Gov. Brian Kemp didn’t vote for 20 years, including the 2016 & 2020 presidential elections. apnews.com/article/dere...","2026-02-16T00:48:44.224Z"
"takenoprisoners.bsky.social","Dear Humans, Remember how awesome Zohran Mamdani’s campaign was? How effortlessly he destroyed his opponents whilst unapologetically championing his ideas? You can have the same thing for the presidential election if you have the courage to nominate AOC. Please 🙏 God","2026-02-16T00:07:42.644Z"
"takenoprisoners.bsky.social","If this country was truly “pro-life,” we would have Medicare for All, a Green New Deal, gun reform, universal child care, and a living wage. The right-wing agenda isn’t about “life.” It’s about control.","2026-02-15T23:00:08.206494Z"
"takenoprisoners.bsky.social","#dumbtrump","2026-02-10T07:43:05.159Z"
"takenoprisoners.bsky.social","🎯🎯","2026-02-15T13:03:29.665Z"
"takenoprisoners.bsky.social","Measles is a bellwether. Because it’s the most contagious vaccine-preventable disease, when vaccination rates drop, it’s the first to start spreading. Now we’ve got mumps rolling up. Expect more. This is just the beginning of RFK Jr.’s successful infectious disease reintroduction plan.","2026-02-14T23:34:29.368Z"
"takenoprisoners.bsky.social","How do you clean up a system so deep into our intelligence, democracy, financial structure and our highest offices?","2026-02-15T01:55:38.389Z"
"takenoprisoners.bsky.social","Frederick Douglass’ words are evergreen.","2026-02-14T22:35:19.292Z"
"takenoprisoners.bsky.social","Survey says!!!","2026-02-14T23:24:02.060Z"
"takenoprisoners.bsky.social","The DOJ has indicted or tried to indict over a dozen of Trump's political opponents. The DOJ has also failed to indict a single victim of Epstein's victims.","2026-02-11T16:03:41.421Z"
"takenoprisoners.bsky.social","👇👇","2026-02-14T17:34:03.064Z"
"takenoprisoners.bsky.social","This is what grassroots power looks like. In Independence, Missouri, thousands of neighbors are uniting to stop a massive AI data center from devouring 80% of the city’s power. Read how """"Stop the AI Data Center"""" is winning: www.dworkinsubstack.com/p/monks-comp...","2026-02-14T16:08:30.071Z"
"takenoprisoners.bsky.social","@barackobama.bsky.social: """"When I was POTUS, I suppose I could have simply unilaterally ordered the military to go into some red state and harass and intimidate a governor or cut off funding for states that didn't vote for me... but that is contrary to how I think our democracy is supposed to work.""""","2026-02-14T17:42:18.117Z"
"takenoprisoners.bsky.social","Social media companies are suppressing terms like “Epstein” and “ICE” and “voting” because they don’t want you thinking about those things. Like and share everything you see.","2026-02-14T16:58:52.088Z"
"takenoprisoners.bsky.social","""""Donald Trump is not the disease of our politics, he’s just the worst symptom. The disease is the system that allows big corporations to buy and sell politicians in ways that leave them rigging the system against us.""""","2026-02-14T07:04:50.787Z"
"takenoprisoners.bsky.social","Please call your senators. We cannot allow this attack on our voting rights to pass. The Save Act is nothing more than a voter suppression bill intended to ensure that, in particular, women, POC, elderly, & the poor cannot vote. STOP THE SAVE ACT! #ProudBlue #OneV1 #Pinks","2026-02-14T15:00:14.537Z"
