"user","post","date"
"teekayinusa.bsky.social","I agree with that. TY Sara @sassy0210.bsky.social 🌸🩷🌸🩷 @fannynafo.bsky.social @katiewhittemore22.bsky.social @niftyfiftythe.bsky.social @teekayinusa.bsky.social @joanconnors01.bsky.social @frecklesgirl.bsky.social @jacqueline321.bsky.social @totoinkansas.bsky.social @alphacentauri53.bsky.social","2026-02-16T20:18:57.536Z"
"teekayinusa.bsky.social","I wish we had a real President to celebrate today’s Presidents’ Day.","2026-02-16T12:58:54.163Z"
"teekayinusa.bsky.social","FOLLOW THEM @bab102.bsky.social @lenny60.bsky.social @merlinmm.bsky.social @itsbek.bsky.social @fireeyebooks.bsky.social @reactionshots.bsky.social @theicequeen.bsky.social @danielgamboa820.bsky.social @seizeday.bsky.social @bluestormcomin1.bsky.social @kaplanikids.bsky.social @cindyannpedersen.com","2026-02-16T11:55:09.193Z"
"teekayinusa.bsky.social","I’m watching Things That Matter: A Town Hall with Governor Wes Moore and Laura O’Donnell. CBS. Trump will have ICE there shortly. You know he’s watching. We need more of these. Go Wes! 💙","2026-02-16T01:27:56.832Z"
"teekayinusa.bsky.social","Happy Valentines 💝 Day @teekayinusa.bsky.social @joanconnors01.bsky.social @frecklesgirl.bsky.social @jacqueline321.bsky.social @schasse60.bsky.social @gigialexander123.bsky.social @noirnuit.bsky.social @chickiero.bsky.social @michellespenc.bsky.social @winniefloof.bsky.social @genxer-71.bsky.social","2026-02-14T14:15:37.567Z"
"teekayinusa.bsky.social","Donald Trump is mentioned more than 3,000 times across the Epstein files… 3,000.","2026-02-13T21:51:20.582Z"
"teekayinusa.bsky.social","One of the better ideas I’ve seen. Scott Galloway with his “Resist and Unsubscribe. Resistandunsubscribe.com","2026-02-14T00:27:55.494Z"
"teekayinusa.bsky.social","When you’ve seen the polling","2026-02-13T23:02:44.536Z"
"teekayinusa.bsky.social","I wrote about the new Muppet Show, which is, thank God, exactly like the old Muppet Show.","2026-02-04T21:35:39.039Z"
"teekayinusa.bsky.social","Jeanine Pirro is suing the city of Rye, NY, and Con Edison for tripping on a sidewalk. Wait until they question her alcohol enthusiasm under oath. BTW, her attorney is her ex-husband Alfred, who was pardoned by Trump as his last official act in office.","2026-02-13T02:29:59.020Z"
"teekayinusa.bsky.social","11 February 1931 | French Jewish girl, Fanny Sosnowik, was born in Paris. She was deported to #Auschwitz from #Drancy on 17 August 1942. She was murdered in a gas chamber after arrival selection. --- Children at Auschwitz 📖 Lesson: https://bit.ly/4ryCOJe 🎧 Podcast: https://bit.ly/3O8yeDh","2026-02-11T00:00:12.741221118Z"
"teekayinusa.bsky.social","Russian forces hit a residential neighborhood in Zaporizhzhia, blatantly violating assurances previously given to the United States. The attack came just one day before the next round of so-called peace talks, killing an 18-year-old boy and a young girl, and injuring seven others. #FUCKRUSSIA","2026-02-04T04:54:04.053Z"
"teekayinusa.bsky.social","These are the REAL paid agitators.","2026-02-11T03:25:58.620Z"
"teekayinusa.bsky.social","#ImpeachKristiNoem #KristiNoemIsAMonster","2026-02-11T01:47:44.967Z"
"teekayinusa.bsky.social","🤷🏻‍♂️","2026-02-10T23:50:00.180Z"
"teekayinusa.bsky.social","@57kev.bsky.social THANK YOU SO MUCH!!! - @bab102.bsky.social","2026-02-10T22:35:18.890Z"
"teekayinusa.bsky.social","@teekayinusa.bsky.social @joanconnors01.bsky.social @frecklesgirl.bsky.social @jacqueline321.bsky.social @schasse60.bsky.social @gigialexander123.bsky.social @noirnuit.bsky.social @chickiero.bsky.social @michellespenc.bsky.social @winniefloof.bsky.social @genxer-71.bsky.social","2026-02-08T14:34:18.636Z"
"teekayinusa.bsky.social","FOLLOW THEM PLEASE @bab102.bsky.social @book960.bsky.social @spokelse111.bsky.social @carlyja22.bsky.social @lenny60.bsky.social @guberneyderek60.bsky.social @teekayinusa.bsky.social @pappyparki.bsky.social @bealer.net @kingresist.bsky.social @bronte1966.bsky.social @baron333.bsky.social","2026-02-09T10:01:11.951Z"
"teekayinusa.bsky.social","FOLLOW THEM PLEASE @bab102.bsky.social @book960.bsky.social @spokelse111.bsky.social @carlyja22.bsky.social @lenny60.bsky.social @guberneyderek60.bsky.social @teekayinusa.bsky.social @pappyparki.bsky.social @bealer.net @kingresist.bsky.social @bronte1966.bsky.social @baron333.bsky.social","2026-02-10T09:19:58.855Z"
"teekayinusa.bsky.social","Donald Trump is: - Openly racist - Covering up evidence he may have sexually abused children - Directly responsible for the murder of US citizens by masked agents of the state - Openly looting the treasury and taking bribes from foreign leaders - Polling at 38% amongst the American people","2026-02-06T18:55:05.677Z"
"teekayinusa.bsky.social","Notice how the idiot telling us to """"move on"""" from the Epstein files released six days ago never shuts up about an election that happened SIX YEARS AGO?","2026-02-07T20:53:04.533Z"
"teekayinusa.bsky.social","🌹🦋🌹🦋","2026-02-07T01:08:44.033Z"
