"user","post","date"
"the-bigger-picture.bsky.social","Be careful with those Valentine’s balloons! You don't want to accidentally start a 'laser war' and shut down the airport again","2026-02-14T16:04:09.930Z"
"the-bigger-picture.bsky.social","Bad Bunny managed to trigger people even more because he carried the ball for more yards than the team they were supporting did for the entire game.","2026-02-14T14:54:26.073Z"
"the-bigger-picture.bsky.social","If those files were translated to spanish, you think Mike's party finally might just get pissed about them?","2026-02-11T03:57:54.103Z"
"the-bigger-picture.bsky.social","So the spokesman chosen for healthy eating by this administration chewed off an opponents ear. Can this get any crazier?","2026-02-09T05:18:05.871Z"
"the-bigger-picture.bsky.social","If you find any fraud in Georgia that tips those votes in your favour, would this mean that any democrats that lost there would be able to look into the same fraud?","2026-01-29T16:29:03.341Z"
"the-bigger-picture.bsky.social","A date with Boebert to watch the upcoming movie might just start getting some traction for the ticket sales. All hands on deck!","2026-01-29T13:52:18.154Z"
"the-bigger-picture.bsky.social","Get ready to hear them saying they found evidence of fraud for months and promise to release it in 2 weeks. They could not release the kraken on these claims few years back and the lawyers agreed it was just a theory. Cannot put is past them to manipulate the ballots and show fake proof.","2026-01-29T06:15:27.407Z"
"the-bigger-picture.bsky.social","If many of these goons on the streets have worked for over 8 years at the border, what illegal things would they have done at the border with immigrants passing through? That probably needs to be investigated too.","2026-01-28T21:07:18.291Z"
"the-bigger-picture.bsky.social","Is the ink dry for the pardon of the Ilhan Omar attacker?","2026-01-28T14:55:27.515Z"
"the-bigger-picture.bsky.social","When does FIFA announce a schedule for presenting the first ever FIFA Best Performance Award for acting in a Movie to a person who will say they are surprised and did not know they would get it? The Kennedy Center should have alot of open slots to schedule the event.","2026-01-28T05:04:33.077Z"
"the-bigger-picture.bsky.social","Big men in body armor, masks and weapons throwing tear gas or even worse because: """"They're filming us, They're honking at us, They are blowing whistles at us! They're cursing at us! They threw a snowball at us!"""" Ihlan Omar after being attacked: """"Oh, Heck No!""""","2026-01-28T03:32:54.276Z"
"the-bigger-picture.bsky.social","So the guy who accepted $50K on video is going to be trusted to look for fraud?","2026-01-27T12:55:01.512Z"
"the-bigger-picture.bsky.social","If no one was filming, the narrative would have been that the victim actually pulled a weapon, pointed it to the govt appointed goons faces and had they not taken action, it could have been worse. Oh yeah and maybe they would say he had fentanyl on him among other things.","2026-01-25T19:35:55.407Z"
"the-bigger-picture.bsky.social","So 100% tariff on canadian goods! Where does most of US lumber come from? What happens to cost of home construction? Where does majority of US potash ( fertilizer) come from? What happens when there is fertilizer shortage? Tariff king will soon TACO once someone explains this with a drawing.","2026-01-24T15:38:19.891Z"
"the-bigger-picture.bsky.social","Dear Davos, sorry but those rooms that will be left with orange stained blankets, garbage from late night food orders are not a representation of most Americans.","2026-01-21T23:33:12.003Z"
"the-bigger-picture.bsky.social","Vance handling a newborn like he handled the championship trophy would just be disastrous...","2026-01-21T20:25:25.617Z"
"the-bigger-picture.bsky.social","When you go to Davos and say """"Without us, right now, you would all be speaking German"""" and not knowing that the main laguage of Switzerland is German.","2026-01-21T20:02:51.486Z"
"the-bigger-picture.bsky.social","Damn people voted for issues such as water coming out of the sink and plastic straw instead of paper straws.... now if they had added the awful issue of losing socks after the washer / dryer cycle that would have made it a better deal.","2026-01-21T14:06:02.388Z"
"the-bigger-picture.bsky.social","""""You will never need to vote for me again"""" was never a joke and if the sentence was to be finished, it would end with """"because I will never need to do anything to help you out""""","2026-01-20T17:08:37.808Z"
"the-bigger-picture.bsky.social","All these things happening around the USA and there are people who still believe that - it was a perfect phone call - Kamala was lying when she warned everyone what would happen - supreme leader is not in the files - supreme leader is not making any money while running the country.","2026-01-17T21:26:54.528Z"
"the-bigger-picture.bsky.social","While we are surprised about the peace prize given away, you still want to believe those golf trophies are real?","2026-01-17T16:58:15.295Z"
"the-bigger-picture.bsky.social","Next prize category coming up is for the most consecutive cognitive tests passed in a year without changing the questions at all.","2026-01-17T16:29:19.038Z"
"the-bigger-picture.bsky.social","How long before these goons on the street who hardly passed open book tests will stop buses to make sure that colored people sit at the back?","2026-01-13T18:07:44.675Z"
"the-bigger-picture.bsky.social","When donors find out the profit potential of a business, their recipient will get it for them. Oil in Venezuela Day Care business funded by govt in Minnesota.","2026-01-07T21:45:07.209Z"
"the-bigger-picture.bsky.social","UPS: What can brown do for you? ICE: Get you arrested.","2026-01-07T16:05:14.389Z"
"the-bigger-picture.bsky.social","100% of your coversations include saying tariffs are bringing in money to the country, how the heck do you have to keep telling people in your admin to keep looking at the tariff shelf as soon as they find surplus money they do not know where it came from? Your followers will never figure this out","2026-01-06T19:19:09.680Z"
"the-bigger-picture.bsky.social","Today is a day that should remind JD that his boss would not think twice if he was to put JD and his family in danger to save himself.","2026-01-06T15:51:26.060Z"
"the-bigger-picture.bsky.social","How can you say you will run another country when you are having problems running the Kennedy Center?","2026-01-05T01:57:56.223Z"
"the-bigger-picture.bsky.social","Just because Venezuela has oil,not all those reserves are ready for use. The oil needs to be processed. Your supreme leader is probably salivating that he will become a king of oil. I assume His Highness Bin Stupid knows it will be a decade or more to see the results he wants.","2026-01-04T23:06:46.035Z"
"the-bigger-picture.bsky.social","Whiskey Pete is probably looking forward to be in charge of running the distilleries in Venezuela. Noem will help with ridding the streets of any stray dogs.","2026-01-04T22:53:57.367Z"
"the-bigger-picture.bsky.social","Fine we went and launched airstrikes in Venezuela to protect USA because drugs come from Venezuela. There was big talk by this administration that fentanyl comes from China. So we expect Xi will be arrested soon by US forces? Or was this attack on Venezuela not about drugs?","2026-01-04T15:40:18.306Z"
"the-bigger-picture.bsky.social","In the future, when the world is learning the US history and looking back at this moment, the people will be wondering what were the actions of members of Congress. What will your legacy be? How would you like to be remembered?","2026-01-04T15:23:38.716Z"
"the-bigger-picture.bsky.social","The meeting in Alaska was a 1-on-1 training on illegal takeover. The student just completed their first assignment.","2026-01-03T19:26:32.466Z"
"the-bigger-picture.bsky.social","Susan Collins, Mitch McConnell, Lindsey Graham inability to take any actions are the reason for the current reactions.","2026-01-03T16:22:30.428Z"
"the-bigger-picture.bsky.social","With the actions in Venezuela, does this mean it is OK for Zelensky to bomb Vlad""""s residence and take him hostage?","2026-01-03T15:06:42.702Z"
"the-bigger-picture.bsky.social","100% of FIFA Peace Prize recipients have been involved in an illegal coup.","2026-01-03T15:00:21.595Z"
"the-bigger-picture.bsky.social","Mike Johnson might not yet have had a chance to review the current war the USA has been forced into. Will he find a reason to not bring back the house of reps?","2026-01-03T14:42:56.287Z"
