"user","post","date"
"thebadsystem.bsky.social","Honeygain is the easiest passive income app — just share your unused internet and earn in USD. 🌍💵 No surveys, no effort. Just install, let it run quietly, and earn while you’re online. 📶✨ New users instantly get FREE $3 when signing up! 🔗 : join.honeygain.com/TOMMY7F632","2025-12-05T14:05:29.230Z"
"thebadsystem.bsky.social","a new genre of photo in the last year is federal agents working for ICE pointing guns directly at photographers","2025-11-11T00:41:00.976Z"
"thebadsystem.bsky.social","Honeygain is a simple passive earning app you share your unused internet and get paid in USD. 🌍💵 No surveys, no effort just install and let it run quietly. Works on most devices, and the payouts are consistent if you stay online. 📶 🔗 Join here : join.honeygain.com/TOMMYE3197","2025-10-15T21:06:56.298Z"
"thebadsystem.bsky.social","Thank you to everyone at the #NO_KINGS rallies for making your voices heard & being part of history. The massive crowds were joyful, passionate & spectacular! So were the signs...","2025-10-19T16:49:26.859Z"
"thebadsystem.bsky.social","NOT MY KING It's time to abolish the monarchy #NotMyKing","2025-10-19T09:51:09.429Z"
"thebadsystem.bsky.social","‘We’ll stay on streets till Palestine is free’ say London marchers. The march showed the breadth, depth, and radicalism of the Palestine solidarity movement. [SOCIALIST WORKER]. socialistworker.co.uk/palestine-20...","2025-10-11T22:40:53.884Z"
"thebadsystem.bsky.social","Online surveys are still one of the easiest ways to earn a little extra USD during your spare time. 💻💵 Start small, stay consistent. 🌍 👇🏻Check the threads below for trusted survey apps!","2025-10-15T21:06:56.291Z"
"thebadsystem.bsky.social","What the fuck are we doing?","2025-10-15T18:09:03.404Z"
"thebadsystem.bsky.social","""""...14 Palestinians were killed and brought to hospitals in the Gaza Strip since dawn today, including 8 who were recovered from under the rubble. 3 of those killed were brought to Al-Shifa Medical Complex, 10 to the Ahli Arab Hospital, and one to Nasser Hospital."""" english.wafa.ps/Pages/Detail...","2025-10-15T20:15:51.867Z"
"thebadsystem.bsky.social","The world of work is shifting fast. Automation, AI, and remote tools are rewriting how people earn. The question is will you evolve or get left behind? 🌍⚙️","2025-10-15T19:29:54.861Z"
"thebadsystem.bsky.social","That’s crazy. I wonder what happened in January","2025-10-15T10:34:14.823Z"
"thebadsystem.bsky.social","Tim Walz: """"It's almost unimaginable that he's got Milei in there, giving him $20 billion, so that they can undercut us and China can buy their soybeans from them. And now China has learned they can replace our markets.""""","2025-10-15T01:02:03.378Z"
"thebadsystem.bsky.social","I’ve noticed many people say they want to earn online, but few stay consistent long enough to see results. Why do you think most people give up too early? 💭💻","2025-10-15T08:08:05.775Z"
"thebadsystem.bsky.social","What’s one thing you’ve learned this year that changed how you see money? 💵","2025-10-15T07:37:30.051Z"
"thebadsystem.bsky.social","This idiot keeps bragging about the 20 hostages being released in another country while he's kidnapping thousands of people a day here in America. Fuck him and the fascism he rode in on.","2025-10-14T17:00:53.640Z"
"thebadsystem.bsky.social","BREAKING:","2025-10-14T18:09:46.383Z"
"thebadsystem.bsky.social","Thanks a bunch, you anti-vaxxer dipshit fucks. www.npr.org/2025/10/12/n...","2025-10-13T21:39:49.249Z"
"thebadsystem.bsky.social","Living a moral life in an age of bullies requires collective action; it cannot be done alone. Each of us must organize and participate in a vast network of moral resistance. From this solidarity we will grow stronger. This is what our current moment requires.","2025-10-13T20:01:09.792298Z"
"thebadsystem.bsky.social","Respect to those who got here first.","2025-10-13T18:09:07.356Z"
"thebadsystem.bsky.social","Digital skills are the new currency. The earlier you start, the more valuable you become. 💰📈","2025-10-13T07:31:48.211Z"
"thebadsystem.bsky.social","Trying out TimeBucks recently 💻 It’s a reliable platform that lets you earn small USD rewards for simple online tasks & surveys. 🌍💵 Not a shortcut to wealth just a smart side income idea for your spare time! 👉Join here : timebucks.com?refID=226580...","2025-10-13T07:03:34.971Z"
"thebadsystem.bsky.social","US inflation rate is still high in 2025 many households are feeling the pinch. How are you coping with rising costs? 💸","2025-10-07T19:52:16.451Z"
