"user","post","date"
"thelisaa81.bsky.social","👀 👀","2026-02-12T23:57:06.409Z"
"thelisaa81.bsky.social","As it should be 💙","2026-02-12T18:05:04.431Z"
"thelisaa81.bsky.social","The reason I've fallen behind this week in acknowledging all of my fabulous friends who have included me in starter packs. She demands to be the center of attention 😂","2026-02-11T16:03:40.685Z"
"thelisaa81.bsky.social","The Right probably thinks the Bible was written in English.","2026-02-11T14:31:11+00:00"
"thelisaa81.bsky.social","Please follow and share this fantastic pack from my dear friend @mlipsitt.bsky.social Thank you, Marcie, for always working so hard to bring us all together, as well as your dedication to children. You have such a huge heart 💙","2026-02-11T03:25:31.215Z"
"thelisaa81.bsky.social","They just keep coming out of the woodwork. The fact that Bad Bunny, all by himself, has been able to enrage these bigoted stooges to the point of insanity just makes me love him more.","2026-02-10T22:05:49.557Z"
"thelisaa81.bsky.social","Right?! 😂","2026-02-10T00:27:09.037Z"
"thelisaa81.bsky.social","Silly Vanilli! Omg 🤣🤣 www.facebook.com/share/v/17zn...","2026-02-09T22:02:39.123Z"
"thelisaa81.bsky.social","These racist assholes aren't even trying to hide who and what they are. They shout it louder and prouder every day. Fuck you Andy.","2026-02-09T21:43:20.628Z"
"thelisaa81.bsky.social","Look at this, y'all. The halftime show wasn't """"white enough"""" for Loony Laura, and she's quite comfortable letting everyone know about that and her obvious disdain for immigrants.","2026-02-09T07:29:14.795Z"
"thelisaa81.bsky.social","What? He wasn't watching Kid Twonk and the rest of the yutz parade of performers nobody cares about? I am shocked! 😲😲😲 Just kidding! We all knew he'd be watching Bad Bunny! 😂","2026-02-09T07:16:43.498Z"
"thelisaa81.bsky.social","It doesn't matter to me that I couldn’t understand one word he was singing. Bad Bunny was amazing! What a fun halftime show!","2026-02-09T01:38:59.002Z"
"thelisaa81.bsky.social","PREACH SISTER! 🙌🏻","2026-02-09T01:31:48.134Z"
"thelisaa81.bsky.social","Womp womp Rock the Country South Carolina Stop Canceled After Artists Exit Tour share.google/aJfpBRKBjI2h...","2026-02-08T03:51:33.404Z"
"thelisaa81.bsky.social","Sorry about the mass SP posts. My son, his gf and daughter spent 4 days here because of no electricity for over a week due to the snow and ice. Do y'all know how destructive a (almost) 2 yr old is? It's gonna take me forever to undo the devastation! 🤣🤣 Good thing she's cute!","2026-02-07T19:49:56.424Z"
"thelisaa81.bsky.social","My friend @21sted.bsky.social created a starter pack full of great folks to follow! Honored to be included 💙 go.bsky.app/nVnEAQ","2026-02-07T19:41:07.218Z"
"thelisaa81.bsky.social","My friend @docmurphydog.bsky.social was kind enough to include me in this fabulous starter pack. Follow and share to help build our community! Thanks Doc! go.bsky.app/D49pTP8","2026-02-07T19:33:40.433Z"
"thelisaa81.bsky.social","Thank you @selim2003.bsky.social for including me in your starter pack! Follow and share! go.bsky.app/Jq7VaLY","2026-02-07T19:29:54.734Z"
"thelisaa81.bsky.social","Right back atcha Dianne. I'm honored to be included in your starter pack with this group of wonderful people! Together we can move mountains 💙 go.bsky.app/Lwun47q","2026-02-07T19:26:52.514Z"
"thelisaa81.bsky.social","My amazing friend @gezzer3115.bsky.social has a new starter pack to follow and share. We are stronger together! Thank you Gezzer 💙 go.bsky.app/AR4eQZR","2026-02-07T19:23:03.767Z"
"thelisaa81.bsky.social","Have a look then follow and share this pack from my friend @thewelshtaffy24.bsky.social Thanks Tricia! 💙 go.bsky.app/4SpWoUR","2026-02-07T19:18:37.608Z"
"thelisaa81.bsky.social","The fabulous @mlipsitt.bsky.social has another great pack to follow and share. Her dedication to children is beyond admirable. She is unstoppable! Thanks Marcie 💙 go.bsky.app/95HMs9U","2026-02-07T18:41:10.787Z"
"thelisaa81.bsky.social","Check out this great pack from my friend @carlchri.bsky.social Follows/shares are appreciated Thanks Carl! go.bsky.app/AjPTKRL","2026-02-07T18:37:31.996Z"
"thelisaa81.bsky.social","Thanks Cheryl! go.bsky.app/Ric7oCK","2026-02-07T18:34:02.446Z"
"thelisaa81.bsky.social","""""The world's lowest prices"""" he says. It's literally GoodRx with his name on it 🤦‍♀️🤣","2026-02-06T20:50:17.946Z"
"thelisaa81.bsky.social","This disgusting racist motherfucker has no bottom. The fact that he, as the sitting president of the United States, would post this is disturbing, although not surprising. He has tarnished our country's reputation to the point that it will take years to recover.","2026-02-06T17:42:28.768Z"
"thelisaa81.bsky.social","Good morning everyone! It's Groundhogs Day and Phil saw his shadow. I'm sorry y'all but this is just the dumbest holiday, or whatever it is 🤦‍♀️😂","2026-02-02T16:31:58.849Z"
"thelisaa81.bsky.social","Fantastic pack from my friend @crankyoldcrackpot.bsky.social Have a look, follow and share! Thanks Wile E 💙","2026-01-31T05:32:41.289Z"
"thelisaa81.bsky.social","Check out this awesome Friday fun pack from @lemonadegirl.bsky.social Thanks LG 💙","2026-01-31T05:20:31.765Z"
"thelisaa81.bsky.social","We have to make some noise for the children. They look to us to keep them safe and secure. We are teaching them how to fight for what they believe in when they are adults. Thanks Marcie 💙","2026-01-31T05:10:24.868Z"
"thelisaa81.bsky.social","Sorry guys, obviously I got behind again. I'm really trying to get better at reposting in a timely manner, however, procrastination is in my DNA 😂","2026-01-30T21:06:57.946Z"
"thelisaa81.bsky.social","Thanks @frankiemillie10.bsky.social ! go.bsky.app/45iTmiT","2026-01-30T20:58:22.034Z"
"thelisaa81.bsky.social","Thanks @bandroll.bsky.social for including me! go.bsky.app/F78LqXQ","2026-01-30T20:56:59.048Z"
"thelisaa81.bsky.social","Thanks for including me @rebelb1ue.bsky.social go.bsky.app/35FWfwi","2026-01-30T20:55:32.370Z"
"thelisaa81.bsky.social","Thanks for including me @docmurphydog.bsky.social go.bsky.app/A64X52h go.bsky.app/TbkCNmZ","2026-01-30T20:53:01.842Z"
"thelisaa81.bsky.social","Thanks @jodywagner.bsky.social for including me! go.bsky.app/JCfdB4o go.bsky.app/TK5THwo","2026-01-30T20:51:30.221Z"
"thelisaa81.bsky.social","Thanks for including me in these great packs @mlipsitt.bsky.social 💙 Follow and share! go.bsky.app/6oeyCwb go.bsky.app/D6ontk3 go.bsky.app/Nynmzmb go.bsky.app/BBcAHVy","2026-01-30T20:49:10.185Z"
"thelisaa81.bsky.social","A big thank you to all these awesome people who have added me to their starter packs, I am most grateful. @boldsea.bsky.social @frankiemillie10.bsky.social @lilmudda.bsky.social @rebelb1ue.bsky.social @thelisaa81.bsky.social @carlchri.bsky.social","2026-01-26T23:41:17.617Z"
"thelisaa81.bsky.social","Thanks Tricia 💙","2026-01-27T00:42:46.081Z"
