"user","post","date"
"themadgardener.bsky.social","Incredibly sad, important story: how a mom loses her son to measles. #GetVaccinated www.theatlantic.com/ideas/2026/0...","2026-02-17T23:18:52.300Z"
"themadgardener.bsky.social","Trump’s propaganda czar Brendan Carr and Trump-controlled CBS refused to let Colbert air his interview with James Talarico. You can watch the interview here, and it already has 1.4M views. youtu.be/oiTJ7Pz_59A?...","2026-02-17T17:37:55.507Z"
"themadgardener.bsky.social","Stephen Colbert: “I don't usually say this to a guest, but if people are watching this right now, it's cause they found us online on YouTube” James Talarico: “This is the party that ran against cancel culture — and now they're trying to control what we watch, what we say, what we read”","2026-02-17T16:22:44.622Z"
"themadgardener.bsky.social","Re: Nick Shirley’s big California *expose*","2026-02-17T13:29:15.842Z"
"themadgardener.bsky.social","Republican Joins With Democrats on Constitutional Amendment to Give Congress Power to Reject Trump Pardons","2026-02-17T19:12:57.623Z"
"themadgardener.bsky.social","Why GOP loves the SAVE Act: “Women are smart. They should be able to provide 9 forms of ID to prove the discrepancies b/w their maiden and married names, argue their case with a poll worker, before having to fill out a provisional ballot which we can later contest and reject as a fraudulent vote”","2026-02-17T15:14:27.854Z"
"themadgardener.bsky.social","Civil rights leader Jesse Jackson has passed away at the age of 84. My thoughts are with his family. I wanted to share this clip from his appearance on Sesame Street in 1971. His important words ring just as true today as they did back then.","2026-02-17T17:45:16.292523Z"
"themadgardener.bsky.social","BREAKING: I read the new version of the “Save America Act” (S. 1383) so u don’t have to. Here’s my summary. Point 1 is new. It requires that all 50 states send their voter rolls to the DHS to run thru DHS’s faulty “SAVE” voter purge program. Points 6 & 7 are new too. Tell ur Senators #NoOnSAVE 1/","2026-02-17T21:47:20.180Z"
"themadgardener.bsky.social","Reuters: New Mexico lawmakers on Monday passed legislation to launch what they said was the first full investigation into what happened at Zorro Ranch, where the late U.S. sex offender Jeffrey Epstein is accused of trafficking and sexually assaulting girls and women.","2026-02-17T00:25:18.370Z"
"themadgardener.bsky.social","RIP Robert Duvall","2026-02-16T21:59:30.086Z"
"themadgardener.bsky.social","""""A Prince, whose character is thus marked by every act which may define a Tyrant, is unfit to be the ruler of a free people."""" —The Declaration of Independence","2026-02-16T22:01:18.494964Z"
"themadgardener.bsky.social","I'm not acknowledging President's Day again until we have a president worth respecting.￼","2026-02-15T22:22:18.186Z"
"themadgardener.bsky.social","Preparing for the spring garden. 🌱 Snapdragons, Canterbury Bells, apricot foxglove, and lupin all potting on wonderfully.","2026-02-16T02:11:45.125Z"
"themadgardener.bsky.social","There are non US citizens influencing our elections, they’re called corporations. The establishment wants us to not focus on this.","2026-02-14T21:15:38.706Z"
"themadgardener.bsky.social","The New York Times reports that the Department of Homeland Security has sent Google, Meta, and other media corporations subpoenas for the names on accounts that criticize ICE enforcement. The department wants to identify Americans who oppose what it’s doing. I’ll save them time.","2026-02-15T17:01:12.616184Z"
"themadgardener.bsky.social","When the U.S. House passed the SAVE Act last year, historians told us it was Congress’ worst attack on voting rights ever. Well, this week the House approved an even worse one. www.democracydocket.com/news-alerts/...","2026-02-15T15:53:33.434Z"
"themadgardener.bsky.social","I knew I saw this somewhere before. Funny that it’s almost exactly what’s actually happening now.","2026-02-14T14:33:20.084Z"
"themadgardener.bsky.social","We are entering the “falling out of windows” phase.","2026-02-14T00:29:52.498Z"
"themadgardener.bsky.social","Holy Shit! 🌊🩸🦈 Rep. Massie staff receiving threats from the 🦧 & Kash goons? M@G@Ts, you still want to call MTG a liar? There’s worse than we know to be uncovered in those Epstein Files.","2026-02-14T11:16:01.951Z"
"themadgardener.bsky.social","BREAKING: Steve Bannon, a former White House adviser to Trump, discussed opposition strategies with convicted sex offender Jeffrey Epstein against Pope Francis, with Bannon saying he hoped to “take down” the pontiff, according to newly released files from the US Department of Justice.","2026-02-14T13:57:01.544Z"
"themadgardener.bsky.social","When you’ve seen the polling","2026-02-13T23:02:44.536Z"
"themadgardener.bsky.social","Regulations are what keeps ordinary Americans healthy and, often, alive. It took spoiled meat and rodent droppings out of our food. It took harmful lead out of our gasoline and paint. It took poison out of our water. Deregulation only achieves one goal: making rich corporations richer.","2026-02-13T00:57:43.158Z"
"themadgardener.bsky.social","Thanks for the mention @moberzan.bsky.social","2026-02-13T19:10:45.531Z"
"themadgardener.bsky.social","“We’re the only country in the world that has mail in ballots”. - Senile Satan","2026-02-12T23:28:37.201Z"
"themadgardener.bsky.social","In his Thursday order, U.S. District Court Judge James Boasberg ordered the government to allow any of the men deported last year to El Salvador to appear in a U.S. port of entry to be conditionally allowed in as they challenge their removal. n.pr/468i2bo","2026-02-12T19:49:22.643792Z"
"themadgardener.bsky.social","BREAKING: The House passed the so-called SAVE America Act which threatens to upend our freedom to vote. The bill could disenfranchise millions of eligible voters by requiring documents like passports or birth certificates to register to vote and forcing voter roll purges. The Senate must reject it.","2026-02-11T23:57:12.747Z"
"themadgardener.bsky.social","TY Daniel!! Brilliant 💙💙 @danielgamboa820.bsky.social @xleaver.bsky.social @moberzan.bsky.social @umagaia.bsky.social @timmens.bsky.social @themadgardener.bsky.social @the-liberator.bsky.social @tfaunealford.bsky.social @sonidavis.bsky.social @suzzisulli.bsky.social","2026-02-11T22:45:11.928Z"
"themadgardener.bsky.social","BONDI: You didn't ask Merrick Garland anything about Epstein BALINT: Weak sauce BONDI: And with this antisemitic culture right now, she voted against a resolution-- BALINT: You want to go there! Really? Talking about antisemitism to a woman who lost her grandfather in the Holocaust! *storms off*","2026-02-11T19:04:08.020Z"
"themadgardener.bsky.social","A handyman from Florida who received a pardon from President Trump for storming the U.S. Capitol on Jan. 6, 2021, was convicted on state charges of child sex abuse and exposing himself to a child. n.pr/4tx7oVq","2026-02-11T19:12:24.159254Z"
"themadgardener.bsky.social","Pam Bondi throws a fit: """"You don't tell me anything, you washed up loser lawyer""""","2026-02-11T16:47:21.875508455Z"
"themadgardener.bsky.social","SCANLON: Can we assume the DOJ has prepared that list of groups that are designated as 'domestic terrorist organizations'? BONDI: I'm not going to answer it yes or no, but I know antifa is part of it S: Will you commit to providing this committee with the list? BONDI: I won't commit to anything","2026-02-11T17:20:32.262Z"
"themadgardener.bsky.social","@meidastouch dropping bombs! 💣","2026-02-11T03:31:47.015Z"
"themadgardener.bsky.social","Angus: It’s like having to negotiate with Al Capone in his syphilitic period. You want to shut down the bridge? Go ahead. Every day, 1,500 nurses from Canada go to help keep Detroit’s health care system going. I personally think those nurses should be working in Canada.","2026-02-11T00:33:47.106Z"
"themadgardener.bsky.social","We have a federal administration led by idiots and criminals.","2026-02-11T01:49:40.105Z"
"themadgardener.bsky.social","Sen Ossoff: """"''Obey the federal government or die,' they tell us. Obey the federal government and you get to keep your life.' We the people want to know: Why are masked men, who couldn't pass an Army physical, carrying assault weapons and killing and kidnapping people?!","2026-02-10T22:29:08.913488179Z"
"themadgardener.bsky.social","Bloomington police announce arrests in sex trafficking bust: """"Rashad Johnson out of Maple Grove. This is the most disturbing arrest that we've had here. He is a backgrounder for ICE, Homeland Security, and federal agencies.""""","2026-02-10T21:04:07.016Z"
"themadgardener.bsky.social","“Raskin also said that he saw ‘references to 17-year-old girls, 16-year-old girls, 14-year-old girls, 11-year-old girls, 10-year-old girls, and I saw a reference today to a 9-year-old girl. So it is a really gruesome and grim story.’“ www.nbcnews.com/politics/tru...","2026-02-09T21:39:27.230Z"
"themadgardener.bsky.social","👇👇","2026-02-09T21:05:27.622Z"
"themadgardener.bsky.social","I'm going to do a thread of all the references and context behind Bad Bunny's performance and what it means for Puerto Ricans to see this on the biggest stage. The opening title screen is a street mural in Puerto Rico that comes to life with footballs as coconuts. Follow along!","2026-02-09T17:08:22.766Z"
"themadgardener.bsky.social","🎯🎯","2026-02-09T02:32:35.515Z"
"themadgardener.bsky.social","“You were not a bystander”","2026-02-09T15:31:29.709Z"
"themadgardener.bsky.social","Me, pointing and laughing...😅👇🤣👇😂","2026-02-09T00:37:41.654Z"
"themadgardener.bsky.social","Criticizing your country isn’t unpatriotic — this is 👇🏽","2026-02-08T22:13:42.587Z"
"themadgardener.bsky.social","Good morning. The President of the United States was in the middle of the most serious child sex trafficking ring of the last quarter century. He is referenced not a dozen times in the case files. Not 100 times. Not 1,000 times. He’s referenced 38,000 times.","2026-02-08T19:50:34.455Z"
"themadgardener.bsky.social","ICE in Italy: When American Border Politics Hit European Streets","2026-02-08T16:36:51.702Z"
"themadgardener.bsky.social","More than half the drugs on the TrumpRx site have a cheaper generic version on the market. Pristiq, an antidepressant, is available with a TrumpRx coupon for ~$200 for a 30-day supply. A generic version is on GoodRx for less than $30 and Mark Cuban's CostPlusDrugs for $16.65.","2026-02-08T18:00:10.403Z"
"themadgardener.bsky.social","BREAKING: The Epstein survivors are releasing this ad on this Super Bowl Sunday to send the message that they will not “move on” from the largest sex trafficking scandal in the world. #standwithsurvivors","2026-02-08T17:07:07.812Z"
"themadgardener.bsky.social","💯","2026-02-08T05:42:14.280Z"
