"user","post","date"
"themanicman.bsky.social","How many people you know look buffed all to hell at 72? This is weird, right?","2026-02-18T01:24:47.554Z"
"themanicman.bsky.social","The evangelical community in America uses hyperbolic language to describe their political enemies and then use that as justification for their own behavior. This is what led to Trump. Some serious reform is necessary.","2026-02-17T22:31:58.429Z"
"themanicman.bsky.social","Things could be worse. Trump could be popular.","2026-02-17T04:53:20.008Z"
"themanicman.bsky.social","I can't wait until this all looks obvious in retrospect.","2026-02-17T03:05:29.925Z"
"themanicman.bsky.social","Is there anything Trump has done that he won't deny?","2026-02-17T03:04:10.670Z"
"themanicman.bsky.social","Where are all the files on Epstein's computers and other devices? I'll bet he had multiple phones and computers. It seems like the only thing we've seen are emails and internal prosecutor files. Where's everything else?","2026-02-17T02:39:54.628Z"
"themanicman.bsky.social","If so many religious folks didn't constantly use their religion to justify being hateful and judgemental of other people, the rest of us probably wouldn't see their religion as such a major problem!","2026-02-17T00:22:34.558Z"
"themanicman.bsky.social","I'm honored that @shadowbannedmagazine.com reprinted my essay, """"The Gospel of Control: How Christianity Prepares It's Followers for Authoritarian Rule"""". Read it and support Shadow Banned magazine. They're doing great work!","2026-02-16T21:14:11.132Z"
"themanicman.bsky.social","Really? Gosh, that makes it seem like some kind of bribe.","2026-02-16T15:58:48.068Z"
"themanicman.bsky.social","This is just like the lie about the resurrection.","2026-02-16T20:02:47.747Z"
"themanicman.bsky.social","The more religious you are, the less you want to help the poor. The idea that religion teaches compassion is just bullshit religious propaganda. We need to stop letting religions get away with these lies.","2026-02-16T16:39:43.886Z"
"themanicman.bsky.social","I don't know if this is true, but if it is -- it's CRAZY!","2026-02-16T15:28:14.797Z"
"themanicman.bsky.social","Been watching that new show """"Pluribus"""". Is it just me or is it an allegory about being an atheist in a world filled with religion?","2026-02-15T18:17:33.936Z"
"themanicman.bsky.social","I believe religion should be questioned.","2026-02-15T23:06:29.700Z"
"themanicman.bsky.social","Interesting...","2026-02-15T21:51:03.821Z"
"themanicman.bsky.social","It's about keeping the rich rich and the poor poor.","2026-02-15T18:58:50.484Z"
"themanicman.bsky.social","Been watching that new show """"Pluribus"""". Is it just me or is it an allegory about being an atheist in a world filled with religion?","2026-02-15T18:17:33.936Z"
"themanicman.bsky.social","If God doesn't exist, can we all at least agree that religion is a bit silly?","2026-02-15T15:57:55.079Z"
"themanicman.bsky.social","I think probably Jesus was a lot like Trump and should be dismissed in the same way.","2026-02-15T15:54:16.723Z"
"themanicman.bsky.social","Sunday funday. Who else isn't in church?","2026-02-15T15:41:01.332Z"
"themanicman.bsky.social","I'm sensing a pattern...","2026-02-14T14:41:49.270Z"
"themanicman.bsky.social","If Trump attended the Sermon on the Mount.","2026-02-14T14:39:39.708Z"
"themanicman.bsky.social","The one thing that ties all religions together.","2026-02-14T02:46:54.846Z"
"themanicman.bsky.social","This is what insurance looks like under Trump.","2026-02-14T00:57:57.879Z"
"themanicman.bsky.social","Some people say they are reacting to the speed the world has been changing. They say it's changing too fast. I have bad news for them. The world is going to change even faster going forward. You'll either be riding that wave or get crushed by it. Good luck!","2026-02-13T20:44:51.044Z"
"themanicman.bsky.social","So many impeachment hearings!","2026-02-13T20:31:42.330Z"
"themanicman.bsky.social","Feelings don't prove a religion. Religions are designed to be emotionally appealing. If they didn't give people emotional fulfillment they wouldn't have caught on and become religions.","2026-02-13T03:54:08.387Z"
"themanicman.bsky.social","No matter how many buildings Trump names after himself, his legacy will always be his involvement with Jeffrey Epstein.","2026-02-13T20:03:50.792Z"
"themanicman.bsky.social","Imagine 100 years from now, we only have accounts of Trump's life written by members of his personality cult. What would that look like? Well, that's exactly what we have with Jesus. All of our records were written by members of the Jesus cult. Christianity is just a Trump cult from 2000 years ago.","2026-02-13T02:57:30.844Z"
"themanicman.bsky.social","The Epstein Iceberg.","2026-02-13T16:31:15.010Z"
"themanicman.bsky.social","Feelings don't prove a religion. Religions are designed to be emotionally appealing. If they didn't give people emotional fulfillment they wouldn't have caught on and become religions.","2026-02-13T03:54:08.387Z"
"themanicman.bsky.social","Are religions ideas that can't be criticized? I don't think so. That kind of thinking is how you get a religion in the first place.","2026-02-13T03:35:35.976Z"
"themanicman.bsky.social","Imagine 100 years from now, we only have accounts of Trump's life written by members of his personality cult. What would that look like? Well, that's exactly what we have with Jesus. All of our records were written by members of the Jesus cult. Christianity is just a Trump cult from 2000 years ago.","2026-02-13T02:57:30.844Z"
"themanicman.bsky.social","BREAKING: The House passed the so-called SAVE America Act which threatens to upend our freedom to vote. The bill could disenfranchise millions of eligible voters by requiring documents like passports or birth certificates to register to vote and forcing voter roll purges. The Senate must reject it.","2026-02-11T23:57:12.747Z"
"themanicman.bsky.social","Trump is trying to recreate the '80s, the decade when he was at his most prosperous and deviant. The tariffs. The powerful executive. Bringing back Coal. Trans is the new Gay. Greed is good. Nuclear weapons? A new Cold War. Pretty soon he won't know if he's recreating the '80s or living in them.","2026-02-12T04:25:11.016Z"
"themanicman.bsky.social","Seems amazing this didn't lead to a serious investigation.","2026-02-12T04:11:03.907Z"
"themanicman.bsky.social","Will Republicans destroy their own Party just to protect Trump? It's a weird kind of Stockholm syndrome.","2026-02-12T04:09:07.756Z"
"themanicman.bsky.social","This hearing today with Bondi is wild. She sounds like a petulant child. She's literally just insulting everyone, and all they are trying to do is find out how the investigation into this massive child trafficking ring is going. It's like they only have one setting and its set to asshole.","2026-02-12T04:06:30.267Z"
"themanicman.bsky.social","The Republican governor of Oklahoma is now a RINO I guess.","2026-02-12T01:37:40.032Z"
"themanicman.bsky.social","Epstein girl, Pamela Jo Bondi at today's hearing:","2026-02-11T17:48:10.425Z"
"themanicman.bsky.social","Some people just have a cult mindset. That's why it's so easy to move people from the Jesus cult to the Trump cult, and when Trump's gone they'll be looking for a new cult.","2026-02-11T16:31:50.951Z"
"themanicman.bsky.social","I'm trying to start a moral panic about toxic Christianity.","2026-02-11T16:25:28.129Z"
"themanicman.bsky.social","""""Trust the plan"""" is the MAGA equivalent of Christianity's """"God works in mysterious ways"""".","2026-02-11T16:15:49.835Z"
"themanicman.bsky.social","Blaming all the bad stuff on Christianity is probably more accurate than blaming all the bad stuff on not being Christian, which is what Christians do.","2026-02-11T16:10:45.921Z"
"themanicman.bsky.social","Ha! 😜","2026-02-11T15:58:39.542Z"
"themanicman.bsky.social","The Epstein files are the direct result of a toxic Christian culture.","2026-02-11T15:13:50.766Z"
"themanicman.bsky.social","Toxic religions like Christianity trap people with shame, fake transformations, passive waiting, performative rules, shallow community, and isolation from the world. Real healing requires self-trust, depth, and freedom. Don't accept the Snake Oil version of life.","2026-02-11T15:12:37.059Z"
"themanicman.bsky.social","Let's use the Epstein file to completely tear down the Epstein Class. Take their assets, destroy their power and influence, and return those resources to the people. A better world awaits!","2026-02-11T15:01:19.469Z"
"themanicman.bsky.social","God can't answer this question.","2026-02-11T13:25:32.024Z"
"themanicman.bsky.social","Evangelical Christians love hateful people and hate wonderful people. That says something about the evangelical character, I think.","2026-02-11T04:06:35.652Z"
"themanicman.bsky.social","I'm starting to think this moral depravity that has infested evangelical Christianity is the result of the religious ideology not in spite of it.","2026-02-11T03:42:47.961Z"
"themanicman.bsky.social","Ask White evangelical Christians what is the most persecuted group in the country, and 80% of them will say themselves.","2026-02-11T03:20:08.783Z"
"themanicman.bsky.social","Damn straight.","2026-02-11T03:04:48.805Z"
"themanicman.bsky.social","If he admits to one visit, you know there were others he hasn't admitting to!","2026-02-11T02:37:24.670Z"
"themanicman.bsky.social","Democrats crushed it in another election--this time in TEXAS.","2026-02-11T02:30:12.913Z"
"themanicman.bsky.social","The MAGA movement is just becoming so CRINGE. This Bad Bunny outrage just cemented it. It has """"old creepy man yelling at the moon"""" vibes.","2026-02-11T02:27:07.118Z"
"themanicman.bsky.social","In a cult, abuse is often reframed as love.","2026-02-11T01:27:39.679Z"
"themanicman.bsky.social","New poll from Trump's favorite pollster. Things are not going well. Trump is losing to Sleepy Joe (again).","2026-02-11T00:49:06.957Z"
"themanicman.bsky.social","#MakeTheEpsteinFilesBilingual","2026-02-11T00:06:58.486Z"
"themanicman.bsky.social","Release all the files. No redactions.","2026-02-11T00:03:57.009Z"
"themanicman.bsky.social","a MILLION times?!","2026-02-10T20:22:28.628Z"
"themanicman.bsky.social","I don't know if this is the greatest image for Susan Collins re-election announcement.","2026-02-10T19:46:27.475Z"
"themanicman.bsky.social","Conservatives always complain that Communist countries always devolve into authoritarian States, but now we know so does Capitalism.","2026-02-10T03:29:34.932Z"
"themanicman.bsky.social","Sometimes you just have to laugh at the absurdity of it all","2026-02-10T03:19:18.556Z"
"themanicman.bsky.social","good point","2026-02-10T02:12:23.881Z"
"themanicman.bsky.social","That is correct. Since Republicans pre-funded ICE with a massive slush fund, they have given Dems no other choice but to leverage the rest of the DHS budget to get badly needed changes that a big majority of Americans want and will never get unless they take a stand now.","2026-02-10T01:20:48.800Z"
"themanicman.bsky.social","Criticizing your country isn’t unpatriotic — this is 👇🏽","2026-02-08T22:13:42.587Z"
"themanicman.bsky.social","What is more likely: people thousands of years ago figured out the cause of the whole universe, or we don't know yet?","2026-02-09T01:21:13.358Z"
"themanicman.bsky.social","MAGA likes to claim Trump is some sort of Davidic King. Maybe they are right: Trump does seem like the type to send one of his soldiers to die on the frontlines to cover up for the fact that he knocked up his daughter.","2026-02-08T00:38:31.711Z"
"themanicman.bsky.social","This is spot on! 🎯 Good analysis.","2026-02-07T22:34:23.052Z"
"themanicman.bsky.social","The idea of the early persecution of Christians is mostly a myth. Christianity encourages an obsession with one's own victimhood and discourages adherents from empathizing w the victimization of others (often by Christians). This was as true at the beginning of Christianity as it is today!","2026-02-07T21:40:18.176Z"
"themanicman.bsky.social","These scams are really starting to annoy me.","2026-02-07T16:18:41.458Z"
"themanicman.bsky.social","Gen Z 1.0: school walkouts against gun violence Gen Z 2.0: school walkouts against ICE Photos: longfellow_nokomis_messenger","2026-01-13T19:36:43.738Z"
"themanicman.bsky.social","This is a powerful (and accurate) image!","2026-02-07T16:13:48.371Z"
"themanicman.bsky.social","White Christian Nationalism is the biggest threat to America in its history. It's racist. It's authoritarian. It's delusional. I hope if Democrats regain power, they don't pussyfoot around in pulling it out by its roots and burning it in a pyre. None of this crap about offending evangelicals!","2026-02-06T18:31:46.893Z"
"themanicman.bsky.social","We really need to repeal tax exemptions for religious organizations. Republicans are setting up political groups and calling them """"religious"""" so they don't have to pay taxes. It gives Republicans an UNFAIR ADVANTAGE. No politics in church, and no tax exemption unless your doing non-partisan charity!","2026-02-07T04:20:45.005Z"
"themanicman.bsky.social","It’s almost like Putin is running our elections.","2026-02-07T15:28:42.634Z"
"themanicman.bsky.social","He doesn’t even try to hide the fact that whether people in a particular state get disaster relief from the federal government depends entirely on partisan politics.","2026-02-06T23:37:42.940Z"
"themanicman.bsky.social","We really need to repeal tax exemptions for religious organizations. Republicans are setting up political groups and calling them """"religious"""" so they don't have to pay taxes. It gives Republicans an UNFAIR ADVANTAGE. No politics in church, and no tax exemption unless your doing non-partisan charity!","2026-02-07T04:20:45.005Z"
"themanicman.bsky.social","This is your presidential moment, Gov Moore!","2026-02-07T03:31:56.432Z"
"themanicman.bsky.social","Hoorah!","2026-02-07T02:05:02.149Z"
"themanicman.bsky.social","Someone call Tim Scott.","2026-02-07T01:57:37.633Z"
"themanicman.bsky.social","It's only taken them 15 years to notice.","2026-02-07T01:47:00.485Z"
"themanicman.bsky.social","He's at it again.","2026-02-07T01:45:51.778Z"
"themanicman.bsky.social","Tim Scott's prayers were not answered.","2026-02-07T01:41:07.856Z"
"themanicman.bsky.social","Comer runs interference for his boss. Plain as day to see.","2026-02-06T23:00:07.913Z"
"themanicman.bsky.social","Ro Khanna: “He absolutely is going to have to testify, & that's why he doesn't want Clinton to testify — you can bet that when we have Chairman Garcia, he's going to call Donald Trump to testify, as he should — he does have answers, that he needs to answer for in terms of what happened with Epstein”","2026-02-06T19:59:36.683Z"
"themanicman.bsky.social","Why is there no correspondence from anyone in the Trump administration in the Epstein files? No emails from Pam Bondi, Kash Patel or Dan Bongino. Why not? Inquiring minds want to know!","2026-02-06T21:14:20.604Z"
"themanicman.bsky.social","It's time to admit religion does not have the moral high-ground. It never has. It's always been about justifying authoritarian rule over others.","2026-02-06T19:43:14.620Z"
"themanicman.bsky.social","Christianity is an inherently Fascist ideology. That's why in every Fascist movement in history, the Christian Church has been right in the center of it.","2026-02-06T19:22:02.177Z"
"themanicman.bsky.social","For Musk, AI isn't about extending human capabilities. It's about controlling the narrative.","2026-02-06T19:16:26.222Z"
"themanicman.bsky.social","The sad part is that it didn't actually take much convincing.","2026-02-06T19:13:51.735Z"
"themanicman.bsky.social","Because it was Trump that posted it. It's always Trump. The fish rots from the head down.","2026-02-06T19:10:38.863Z"
"themanicman.bsky.social","It's a rich, white people problem.","2026-02-06T19:08:10.392Z"
"themanicman.bsky.social","This is the """"Christian"""" president. 🤮","2026-02-06T18:48:18.860Z"
"themanicman.bsky.social","White Christian Nationalism is the biggest threat to America in its history. It's racist. It's authoritarian. It's delusional. I hope if Democrats regain power, they don't pussyfoot around in pulling it out by its roots and burning it in a pyre. None of this crap about offending evangelicals!","2026-02-06T18:31:46.893Z"
"themanicman.bsky.social","We have more power than we realize. It's time to start using it! Let's tear down these billionaires, break up the toxic social media companies and expose the crimes and corruption from our politicians that we have been putting up with until now!","2026-02-06T16:44:16.445Z"
"themanicman.bsky.social","If Congress is going to conduct investigative hearings into the Epstein case, and force the Clintons to testify, it should be public, and I can think of some other people who should be required to testify! William Barr? Donald Trump? Alex Acosta?","2026-02-06T16:42:09.812Z"
"themanicman.bsky.social","The rich and powerful are afraid we might work together and destroy their carefully manufactured reality. Let's make that happen!","2026-02-06T15:16:06.835Z"
"themanicman.bsky.social","I know the TikTok boycott has lost some steam, but this is a reminder as to why it is so important to move away. It is quickly becoming yet another propaganda mouthpiece owned by a billionaire and a Trump loyalist. therealnews.com/tiktok-takes...","2026-02-05T11:31:40.244Z"
"themanicman.bsky.social","Very good discussion about why the best description of Trump's style of government is Fascism, between Sam Harris and Jonathan Rauch. It's easy to say, """"I told you so"""" but I appreciate when someone can admit that they were wrong!","2026-02-06T04:27:08.891Z"
"themanicman.bsky.social","Well, well, well...","2026-02-06T03:00:51.696Z"
"themanicman.bsky.social","How would the world change if these men were removed from it?","2026-02-06T02:38:40.183Z"
"themanicman.bsky.social","Why is it always the evangelicals?","2026-02-06T00:39:32.582Z"
"themanicman.bsky.social","Presented by American Christianity everybody.","2026-02-06T00:25:30.304Z"
"themanicman.bsky.social","Bingo!","2026-02-05T21:54:49.404Z"
"themanicman.bsky.social","Time to give Trump the Benghazi treatment!","2026-02-05T18:08:43.901Z"
"themanicman.bsky.social","When employment was high, we used to bring in tons of revenue. That just isn't the case anymore, because of enormous tax cuts that disproportionately went to the richest Americans.","2026-02-05T17:09:55.399Z"
"themanicman.bsky.social","Moulton: This is state-sponsored terror. This is what you would expect to see in North Korea or Iran or the old Soviet Union. We’ve got to crack down on the government before they crack down on the American people.","2026-02-04T22:38:58.204Z"
"themanicman.bsky.social","America 4 sale.","2026-02-05T17:43:30.526Z"
"themanicman.bsky.social","The ONLY reason to “nationalize” elections is to make it easier to cheat in them.","2026-02-05T17:42:40.743Z"
"themanicman.bsky.social","This is American Christianity in a nutshell.","2026-02-05T17:11:40.730Z"
"themanicman.bsky.social","No one should be opposed to this.","2026-02-05T16:58:57.172Z"
"themanicman.bsky.social","If you think the Trump administration has released the worst of the Epstein files, you're delusional. The WORST IS YET TO COME!","2026-02-05T17:06:29.768Z"
"themanicman.bsky.social","Big Oil """"purchased solar and EV patents to ensure others couldn’t use them, solicited control of renewable markets and then abandoned them, and funded powerful institutions to promote false solutions, all while using trade groups to downplay the harms of fossil fuels, according to the complaint."""" 😠","2026-02-04T17:16:00.913Z"
"themanicman.bsky.social","The morning after mass layoffs, The Washington Post publishes this as their lead editorial. The owner and publisher clearly have no idea why they are losing subscribers. Meanwhile they have destroyed a storied brand. Support independent media. hubs.ly/Q03M8rql0","2026-02-05T12:29:21.067Z"
"themanicman.bsky.social","We need to start treating evangelical Christians the way evangelical Christians treat illegal immigrants.","2026-02-05T16:20:55.958Z"
"themanicman.bsky.social","Donald Trump is the end of the moral decline of Christianity in America, not it's beginning.","2026-02-05T16:15:22.043Z"
"themanicman.bsky.social","Trump is more important to the Epstein files than Jesus is to the Bible.","2026-02-05T16:09:24.828Z"
"themanicman.bsky.social","Join the Secular Democrats and help maintain the wall of Separation between Church and State! seculardems.org","2026-02-05T16:08:42.047Z"
"themanicman.bsky.social","Unmask them ALL!","2026-02-05T16:00:37.485Z"
"themanicman.bsky.social","Let's elect another president who isn't in a child predator!","2026-02-05T15:55:53.381Z"
"themanicman.bsky.social","Believe him the first time is starting to sound redundant.","2026-02-05T15:38:03.115Z"
"themanicman.bsky.social","If Democrats lose again because a failure of imagination, I'm gonna be so pissed.","2026-02-05T15:37:20.727Z"
"themanicman.bsky.social","There is a pattern of obvious hypocrisy that is sometimes hard to believe.","2026-02-05T15:02:10.224Z"
"themanicman.bsky.social","Has there ever been a more loathsome figure in American government?","2026-02-04T17:56:53.165Z"
"themanicman.bsky.social","Good advice.","2026-02-03T15:34:47.101Z"
"themanicman.bsky.social","{gift link} www.nytimes.com/2026/02/01/u...","2026-02-02T10:51:17.397Z"
"themanicman.bsky.social","The AntiChrist is only mentioned in the New Testament in the letters of John. But here's the thing. He was writing to other Christians because he knew Christians are the ones drawn to such a figure. And it turns out he was right to be worried.","2026-02-02T04:35:53.332Z"
"themanicman.bsky.social","Many of the redactions of the Epstein files are not allowed by the Epstein Transparency Act. Only the names of victims and National Security are supposed to be redacted. Not nouns or verbs unless it has to do with NS. We should focus on those specific redactions. That's something they're hiding.","2026-02-02T04:08:24.349Z"
"themanicman.bsky.social","The Epstein files might be the perfect opportunity to do something about the massive wealth inequality in this country. It seems that it mostly involves very rich men. Seize their assets and put them in jail. I imagine it would do wonders for our politics too!","2026-02-02T02:09:13.603Z"
"themanicman.bsky.social","I've got some bad news for evangelical Christians.","2026-02-02T02:42:00.172Z"
"themanicman.bsky.social","The AntiChrist is only mentioned in the New Testament in the letters of John. But here's the thing. He was writing to other Christians because he knew Christians are the ones drawn to such a figure. And it turns out he was right to be worried.","2026-02-02T04:35:53.332Z"
"themanicman.bsky.social","It's so ridiculous how much damage he's done in just a year. Completely destroyed our relationships with Europe, Canada, Mexico, Ukraine and more. Aligned us with Russia. Our children will spend a generation trying to repair it.","2026-02-02T04:18:14.638Z"
"themanicman.bsky.social","Here's an opportunity to support the other journalist arrested today; Georgia Fort, who will have far fewer resources available to her than Don Lemon.","2026-01-30T17:31:28.666Z"
"themanicman.bsky.social","Many of the redactions of the Epstein files are not allowed by the Epstein Transparency Act. Only the names of victims and National Security are supposed to be redacted. Not nouns or verbs unless it has to do with NS. We should focus on those specific redactions. That's something they're hiding.","2026-02-02T04:08:24.349Z"
"themanicman.bsky.social","Crime has been going down for the last two years because of legislation the Biden administration passed.","2026-02-02T03:52:50.940Z"
"themanicman.bsky.social","@davidfrum.bsky.social","2026-02-02T01:18:53.676Z"
"themanicman.bsky.social","Lunatic","2026-02-02T03:32:44.928Z"
"themanicman.bsky.social","Obama out here breaking brains just by not being a mess.","2026-02-02T01:39:02.960Z"
"themanicman.bsky.social","How it all ends. I can't decide.","2026-02-02T03:31:23.781Z"
"themanicman.bsky.social","Thank goodness he didn't do anything really bad… 🤬","2026-02-01T16:16:48.467Z"
"themanicman.bsky.social","I once had a dream that went like this","2026-02-02T02:34:21.771Z"
"themanicman.bsky.social","I guess we can say now that he may have been checking for his own name in there.","2026-02-02T02:08:31.998Z"
"themanicman.bsky.social","I've got some bad news for evangelical Christians.","2026-02-02T02:42:00.172Z"
"themanicman.bsky.social","“This is an all-of-government effort to undermine the midterms,” @mawaldman.bsky.social talks to John Avlon of @thebulwark.com about the threat to free and fair elections in November.","2026-02-02T02:20:29.144Z"
"themanicman.bsky.social","Jesus.","2026-02-01T22:51:20.953Z"
"themanicman.bsky.social","Such blatant corruption — which the media will, of course, totally ignore.","2026-02-01T15:19:05.277Z"
"themanicman.bsky.social","The Epstein files might be the perfect opportunity to do something about the massive wealth inequality in this country. It seems that it mostly involves very rich men. Seize their assets and put them in jail. I imagine it would do wonders for our politics too!","2026-02-02T02:09:13.603Z"
