"user","post","date"
"thirstytwins.satan.social","@thesatanictemplegermany.de @theonion.com @bsky.art @bloomberg.com @opinion.bloomberg.com @nbcnews.com @cnn.com @globalnews.ca @huffpost.com @huffingtonpost.fr @huffpost.co.uk @huffpostjapan.bsky.social @wsj.com @washingtonpost.com #Google #GoogleLove #GoogleCommunity #OnlineLove #Satanic #DarkArts","2026-02-17T22:44:46.003Z"
"thirstytwins.satan.social","@thesatanictemplegermany.de @theonion.com @bsky.art @bloomberg.com @opinion.bloomberg.com @nbcnews.com @cnn.com @globalnews.ca @huffpost.com @huffingtonpost.fr @huffpost.co.uk @huffpostjapan.bsky.social @wsj.com @washingtonpost.com #Google #GoogleLove #GoogleCommunity #OnlineLove #Satanic #DarkArts","2026-02-17T22:44:46.003Z"
"thirstytwins.satan.social","18th February, 1978: """"Doctor Who: The Invasion of Time"""" part 3. #DoctorWho","2026-02-17T22:07:31.168Z"
"thirstytwins.satan.social","Good morning from Haarlem. #GoodMorningFromHaarlem","2026-02-17T12:32:06.664Z"
"thirstytwins.satan.social","Discovering Early Modern Women Artists in Iberia by Cathy Hall-van den Elsen for the #ArtHerstory blog artherstory.net/discovering-...","2026-02-17T13:06:14.776Z"
"thirstytwins.satan.social","""""Oh shit, the series is ending? Quit, hit all the classic superhero tropes we haven't done yet.""""","2026-02-17T01:53:07.000Z"
"thirstytwins.satan.social","more explorations in gouache and going through these mini paintings. Gonna start working on bigger pieces soon. #art #paintings #studies","2026-02-17T19:20:35.174Z"
"thirstytwins.satan.social","me and @abcfoolery.bsky.social went out for a special pancake breakfast for pancake day! happy pancake day!!","2026-02-17T16:38:11.493Z"
"thirstytwins.satan.social","@opensource.google @developers.google.com #GoogleLove #LifeInTech #DigitalConnection #TechAndLife #GoogleVibes #LoveYourLife #TechWithHeart #LifeInTheCloud #GoogleCommunity #Nostalgia #Flashback #TimeCapsule #LookingBack#FunnyContent #LOL #Humor #ComedyGold #GoogleLord #GOOGLE #google www.google.cn","2026-02-17T22:27:37.037Z"
"thirstytwins.satan.social","@opensource.google @developers.google.com #GoogleLove #LifeInTech #DigitalConnection #TechAndLife #GoogleVibes #LoveYourLife #TechWithHeart #LifeInTheCloud #GoogleCommunity #Nostalgia #Flashback #TimeCapsule #LookingBack#FunnyContent #LOL #Humor #ComedyGold #GoogleLord #GOOGLE #google www.google.cn","2026-02-17T22:27:37.037Z"
"thirstytwins.satan.social","Twisty trees and water ? Yes it’s an another post from Rachel’s page 🙂…. Willows and Taviton brook, near Whitchurch Down today, #Dartmoor, #Devon. #photography","2026-02-17T20:24:40.167Z"
"thirstytwins.satan.social","🍇🎉@bsky.app @bsky.art @jay.bsky.team @thesatanictemplegermany.de @theonion.com @t3.gg @cnn.com @boom-studios.com @404media.co @nbcnews.com @huffpost.com @huffingtonpost.fr @washingtonpost.com @huffpost.co.uk @huffpostjapan.bsky.social #CoolNews #google #InTheKnow #HotTopics #NewsYouCanUse #GOOGLE 🍇🎉","2026-02-17T19:33:25.131Z"
"thirstytwins.satan.social","🍇🎉@bsky.app @bsky.art @jay.bsky.team @thesatanictemplegermany.de @theonion.com @t3.gg @cnn.com @boom-studios.com @404media.co @nbcnews.com @huffpost.com @huffingtonpost.fr @washingtonpost.com @huffpost.co.uk @huffpostjapan.bsky.social #CoolNews #google #InTheKnow #HotTopics #NewsYouCanUse #GOOGLE 🍇🎉","2026-02-17T19:33:25.131Z"
"thirstytwins.satan.social","you have no idea how good prime Jett Fillmore was (can you tell i just watched Goat)","2026-02-17T18:55:09.282Z"
"thirstytwins.satan.social","Common Kestrel #birds #photography","2026-02-17T16:55:27.496Z"
"thirstytwins.satan.social","🔈A little black nose bunny ASMR to start your day! 😋🌿 ~Snowbelle ❄️🥀🐰 #bunny #rabbit","2026-02-17T13:43:49.373Z"
"thirstytwins.satan.social","Happy Year of the Horse! I wasn't able to draw something new and properly thematic for the occassion, so enjoy this spectral horse from a couple of years ago 🐴 (Available in my print store: www.inprnt.com/gallery/pepp...) #art #animalart","2026-02-17T10:15:14.701Z"
"thirstytwins.satan.social","Hubble image of Arp 321, also known as Hickson 40. This group of galaxies include three spiral galaxies, an elliptical galaxy, and a lenticular (lens-like) galaxy. Credit: NASA, ESA, STScI, A. Pagan Source","2026-02-17T12:31:43.402807+00:00"
"thirstytwins.satan.social","🤖 image processing for #JWST 🔭 data (J1257+4102). RGB Filters: 1130, 1000, 770 PI: Flury, Sophia R, program 05554. CRVAL: 194.334726, 41.06335 Credits: NASA, ESA, CSA, STScI.","2026-02-17T14:48:51.376460+00:00"
"thirstytwins.satan.social","🤍 In loving memory of #WarrenFrost, who passed away on February 17, 2017 And in honor of Doc Hayward - one of the most lovable characters in #TwinPeaks 🤍 🪽 The angels will return, and when you see the one that’s meant to help you, you will weep with joy. 🪽 How they biting back there, Doc?","2026-02-17T15:24:26.460Z"
"thirstytwins.satan.social","Restored Peatlands Could Become Carbon Sinks Within Decades eos.org/articles/res...","2026-02-17T15:37:13.524Z"
"thirstytwins.satan.social","Happy Lunar New Year! For the Year of the Horse, we're celebrating equine science","2026-02-17T14:45:47.010Z"
"thirstytwins.satan.social","Moss makes everything better #PNW #waterfalls","2026-02-17T17:27:27.730Z"
"thirstytwins.satan.social","#DragonTuesday #aiartcommunity","2026-02-17T11:04:34.624Z"
"thirstytwins.satan.social","Early arrival at NFC if you like to see the video it is here vm.tiktok.com/ZNRPJT81w/ #furry #furrytiktok #fursuit #nfc2026 #furryfandom","2026-02-17T17:03:34.724Z"
"thirstytwins.satan.social","Day 1328 of #IansDailyPhotoChallenge and even the ladybugs are now having meetings, asking how long it is until spring 🤗🐞🐞🐞❤️ #inspiringnature #wildlife #naturephotography #MentalHealthMatters #365DaysWild","2026-02-17T11:28:33.704Z"
"thirstytwins.satan.social","Nacreous Nebula #417 taken 6:24 pm #art #photography #abstract #macro","2026-02-17T15:31:58.252Z"
"thirstytwins.satan.social","The husky is on his way to Sweden, I see you all later on my cuties.❤️ #furry #fursuit #furryfandom #NFC2026","2026-02-17T09:36:26.345Z"
"thirstytwins.satan.social","American figure skater Ilia Malinin fell short of winning a medal in the men’s singles figure skating competition despite entering as the heavy favorite for gold.","2026-02-16T15:20:06Z"
"thirstytwins.satan.social","Six years ago today I was chatting with one of the young people that spoke at the jam-packed @sanders.senate.gov rally in the Tacoma Dome and all of a sudden this dude comes up and photobombs my shot. How rude!","2026-02-17T16:08:14.105Z"
"thirstytwins.satan.social","Walter Shirlaw: Male Nude on Steps (1872) #art #man #male","2026-02-17T18:07:45.513Z"
"thirstytwins.satan.social","#TheVictorianBookoftheDead #MardiGras Death as Jester, from Quarles Emblems, Charles Bennett, 1860 collections.vam.ac.uk/item/O12363/...","2026-02-17T13:56:26.350Z"
"thirstytwins.satan.social","“As the airplane took off, Epstein started touching me forcibly in between my legs, and I freaked out. I realized, this is not a modeling opportunity, I've been kidnapped. They whisked me away to the island. I was stuck there. They never arranged any modeling opportunities, I was completely conned.""""","2026-02-17T18:06:32.937Z"
"thirstytwins.satan.social","The female cardinal is underway, about half way there I reckon. I’m recording a timelapse to share with you too of her being painted. #watercolours #birdart 🪶","2026-02-17T12:32:37.361Z"
"thirstytwins.satan.social","This weird and wonderful Greek amphoriskos (flask) depicts a bird-man, but the explanation is astonishing. It almost certainly relates to Aristophanes' famous comedy 'The Birds' (first produced 415/414 BCE) and may represent a costume worn by members of the chorus. 🏺 #ancientbluesky #MetMuseum 📸 me","2026-02-17T18:00:12.645Z"
"thirstytwins.satan.social","The Bridgeport Covered Bridge over the South Yuba River #bridgeportcoveredbridge #nevadacounty #southyubariverstatepark #americasstateparks #sisraanevada","2026-02-17T16:46:13.148Z"
"thirstytwins.satan.social","www.youtube.com/watch?v=r7eF... #google #GOOGLE #rap #rapmusic #TwinsRap #RapDuo #TwinVibes #HipHopTwins #TwinLyricists #RapSiblings #TwinBeats #DynamicDuo #TwinFlow #RapTogether #RapGoogle #HipHopInnovation #MusicTech #RapCulture #RapCommunity #FutureOfRap @thesatanictemplegermany.de #GoogleUpdate","2026-02-17T19:08:05.368Z"
"thirstytwins.satan.social","Really proud of myself. My instructor assured me that I could easily do blues, and then she helped teach me a bit more. I gotta practice more, but I'm feeling better and better about my skill as I keep practicing! I'm already noticing that I'm going faster, but more controlled each run.","2026-02-17T18:54:35.558Z"
"thirstytwins.satan.social","Mixed Media Works Bring an Impressionist Hand to Rural #Canadian #Landscapes - #paintings by Stev’nn Hall #art #skyscapes #mixedmedia Link for more #photos of his stunning paintings & information: www.thisiscolossal.com/2016/03/mixe...","2026-02-17T16:47:34.828Z"
"thirstytwins.satan.social","The Terrell-Penrose effect would make objects moving at nearly the speed of light look oddly rotated. Physicists have finally seen it in real life","2026-02-17T18:36:13.514Z"
"thirstytwins.satan.social","A stunning “ring of fire” eclipse was totally visible to a lucky few in the Southern Hemisphere. Here’s how to see the next one","2026-02-17T16:13:48.915Z"
"thirstytwins.satan.social","A Big SCOTUS Test: Will They Overturn the EPA's Abandoning of All Climate Regs? #ABlueView🧵1/3 The EPA wants to gut it's climate change regs by invalidating their legal foundation. SCOTUS, however, will have the last word & given all the evidence backing EPA's Endangerment ...","2026-02-17T16:55:00.000Z"
"thirstytwins.satan.social","In case you’re wondering what a 1951 Bowman Los Angeles Rams set missing one guy looks like. Am a sucker for these beautiful skies. #CardSky","2026-02-17T02:36:32.507Z"
"thirstytwins.satan.social","This is the most I've ever been invested in anything related to the NBA. All because for some reason they went with a medieval-era looking France.","2026-02-16T22:10:14.968Z"
"thirstytwins.satan.social","More coverage of zoanthid similarity between Brazilian and Japanese Waters www.discoverwildlife.com/animal-facts...","2026-02-17T12:47:56.917Z"
"thirstytwins.satan.social","Nice hour on the clifftop this afternoon.","2026-02-17T10:20:30.276Z"
"thirstytwins.satan.social","#CORTIS opens for NBA All-Star 2026 with bold stage performance www.allkpop.com/article/2026...","2026-02-16T16:58:05.060Z"
"thirstytwins.satan.social","A chain of sea hares mating and egg laying is almost the end of the line for these adult sea slugs. After egg laying (that clump of spaghetti below and left of the sea hares) the adults die where they roll around in the swell, it reminds me of old footballs or old tennis shoes rolling in the surf.","2026-02-17T15:54:17.798Z"
"thirstytwins.satan.social","www.hot97.com @hot975.bsky.social @radiohead.wastehq.social @ks1075.bsky.social @kissfm92-5.bsky.social","2026-02-17T18:21:34.729Z"
"thirstytwins.satan.social","I bought the most adorable tiny cake at the grocery store today. Fork for size perspective. The whole thing is 4 servings (300 cal ea) or 2 x 600 cal if you consider it dinner, like I am doing. I love myself. #CakeWhore","2026-02-17T03:05:22.705Z"
"thirstytwins.satan.social","Caroline Polachek, Celeste, and Amy Taylor star in McQueen's spring 2026 campaign along with Alex Consani and Sora Choi. """"Each woman has a power that feels inherently McQueen,"""" says creative director Seán McGirr. """"They bring the house’s propulsive spirit to life."""" [📷: Harley Weir]","2026-02-17T18:17:46.255Z"
"thirstytwins.satan.social","That is one messy Kitten. 😳","2026-02-17T17:37:30.667Z"
"thirstytwins.satan.social","Are you one of those people who unpacks their suitcase and puts everything in the room's dresser drawers? Not me, but I did it partly this time anyway! As you can see, I'm serious and normal on this trip. 😇","2026-02-17T10:34:08.502Z"
"thirstytwins.satan.social","🍈😍🍎 @bsky.app @thesatanictemplegermany.de @bsky.art @cnn.com @wsj.com @wsjudd.bsky.social @theonion.com @nbcnews.com @eastbaytimes.com @denverpost.com @financialtimes.com @huffpost.com @huffingtonpost.fr @huffpost.co.uk @huffpostjapan.bsky.social @nytimes.com @washingtonpost.com #GOOGLE #google 🍈😍🍎","2026-02-15T19:03:58.751Z"
"thirstytwins.satan.social","🍈😍🍎 @bsky.app @thesatanictemplegermany.de @bsky.art @cnn.com @wsj.com @wsjudd.bsky.social @theonion.com @nbcnews.com @eastbaytimes.com @denverpost.com @financialtimes.com @huffpost.com @huffingtonpost.fr @huffpost.co.uk @huffpostjapan.bsky.social @nytimes.com @washingtonpost.com #GOOGLE #google 🍈😍🍎","2026-02-15T19:03:58.751Z"
"thirstytwins.satan.social","#TheVictorianBookoftheDead #WinterOlympics #MilanoCortina Death and the Tobogganer, etching by Swain, 1862 wellcomecollection.org/works/kxghsvfb","2026-02-15T15:25:52.635Z"
"thirstytwins.satan.social","Now playing on African Rhythms: """"Mr. Grammarticalogylisationalism Is the Boss"""" by Fela Kuti","2026-02-15T18:28:00+00:00"
"thirstytwins.satan.social","#StreetArt by #Paddy in #Paris #TheWallsAreSpeaking","2026-02-15T15:52:35.055Z"
"thirstytwins.satan.social","Great to see Red Squirrel at Loch Leven, wish we had them down South ,instead of the invasive Grey Squirrel .","2026-02-15T11:20:59.994Z"
"thirstytwins.satan.social","Dick Nunis to C. V. Wood: """"Heels sinking in freshly paved asphalt. Send help!""""","2026-02-15T18:23:26.172Z"
"thirstytwins.satan.social","meet albert, the polar bear pirate 🐻‍❄️🏴‍☠️🦜","2026-02-15T13:03:37.204Z"
"thirstytwins.satan.social","Here's a photo I took this morning of Birch Bay and the North Cascades Range as a background. Freezing temperatures this morning but mostly clear skies.","2026-02-15T18:19:26.179Z"
"thirstytwins.satan.social","@thesatanictemplegermany.de","2026-02-15T18:23:39.321Z"
"thirstytwins.satan.social","www.sfchronicle.com/bayarea/arti...","2026-02-15T14:48:29.171Z"
"thirstytwins.satan.social","miss sweetie new girl 🥹💖 #spider #tarantula #brachypelmahamorii #mexicanredknee #arachnophiles","2026-02-15T17:19:14.916Z"
"thirstytwins.satan.social","Aspens, glacial erratics, and lateral moraines at Green Creek #monocounty #humboldttoiyabenationalforest #easternsierra #sierra #sierranevada","2026-02-15T16:42:17.453Z"
"thirstytwins.satan.social","😍🍈😍 @jay.bsky.team @thesatanictemplegermany.de @littledarkcorner.bsky.social @churchofsatan.com @shiningscience.com @tstphilly.bsky.social @tstiowa.satan.social @satanicfragment.substack.com @volksverpetzer.de @tsttv.bsky.social @tstaustria.bsky.social @thedevil.bsky.social @bsky.art @bsky.app 😍🍈😍","2026-02-13T23:08:51.488Z"
"thirstytwins.satan.social","😍🍈😍 @jay.bsky.team @thesatanictemplegermany.de @littledarkcorner.bsky.social @churchofsatan.com @shiningscience.com @tstphilly.bsky.social @tstiowa.satan.social @satanicfragment.substack.com @volksverpetzer.de @tsttv.bsky.social @tstaustria.bsky.social @thedevil.bsky.social @bsky.art @bsky.app 😍🍈😍","2026-02-13T23:08:51.488Z"
"thirstytwins.satan.social","AS DARKNESS CRAWLS ACROSS THE NET.... I SPARK UP STREAM AND WHAT COMES NEXT... SOME OF THE SCARIEST VIDEOS YOU'VE EVER SEEN... RIGHT HERE ON TWITCH TV. IT IS FRIDAY THE 13TH, JOIN ME AS I WATCH THE SCARIEST VIDS ON YOUTUBE, SENT IN BY YOU... 7PM EST @ twitch.tv/socpens","2026-02-13T21:15:10.027Z"
"thirstytwins.satan.social","#PedoProtector's #Epstein #EpsteinFiles","2026-02-13T19:23:22.978Z"
"thirstytwins.satan.social","My version of Harmony and Pignite - wip #pokemonlegendsza #pokemonfanart","2026-02-13T17:52:22.924Z"
"thirstytwins.satan.social","Happy #fursuitfriday Taken at @fursquared.com","2026-02-13T15:17:49.291Z"
"thirstytwins.satan.social","Blue, But Dancing It is hard to find joy in the world these days. This piece embodies the idea of finding joy or lightness when things feel dark and unbearable. #monoprint Acrylic on Paper #art #printmaking #abstractfigurative #findingjoy #risingup","2026-02-13T20:41:09.246Z"
"thirstytwins.satan.social","The original Kratos confirms that the Greek Trilogy is getting a remake and that fans can play a brand-new entry in the series right now. bit.ly/4bUpbQ9","2026-02-13T22:45:04Z"
"thirstytwins.satan.social","Beautiful Bouquetin (ibex) dating to the Middle Magdalenian 14.400-13.300BP. Galleria Inferior de la Garma. Omoño Ribamontán al Monte, Cantabria. 📷 At Museum of Prehistory and Archaeology of Cantabria in Santander. #FindsFriday","2026-02-13T21:28:56.808Z"
"thirstytwins.satan.social","First #sunflower of the year! Hard to believe it made it through a couple nights of freezes. """"Planted"""" by the birds (it's in front of the black oil sunflower seed feeder), it's a cheerful spot of sunshine yellow on an otherwise gray sky day. #photography #flowers","2026-02-13T21:59:02.258Z"
"thirstytwins.satan.social","At child D's request: bacon and onion quiche which a herb short crust pastry #hobbybaker #homemade #bakesky #foodie #Whatscooking #quiche 🍽️🍜🥧","2026-02-13T18:13:22.738Z"
"thirstytwins.satan.social","Covered Bridge #Photography","2026-02-13T21:32:01.966Z"
"thirstytwins.satan.social","Happy #fursuitfriday! The first small outing for Lumina! These awesome pics taken by the lovely @systemdemon.bsky.social Come find me at NFC! Ask me for a hug, some stickers, but please be gentle, it's my first time suiting! 💜","2026-02-13T09:59:03.989Z"
"thirstytwins.satan.social","Disney's Tom Sawyer Island & the changing of eras since debuting in '56: -Cabin torched, settler dead with Indian-shot arrow -'70s: Arrow removed. River pirates killed him -'80s: Dead cuz he was a moonshiner -'90s: No body, fire put out -'16: Razed for Star Wars + Pirate's Lair","2026-02-13T16:43:55.494Z"
"thirstytwins.satan.social","Mr Organised does it again 🙌 Tomorrow's threads sorted for the footy 😍 Hope to see some of you tomorrow Villans 👊 #avfc 🦁 💜 💙 #facup🏆","2026-02-13T10:50:57.547Z"
"thirstytwins.satan.social","""""In this article, I will present my reasons why the Sea of Green method is best suited for home growers who want to make the most of their time and lower their electricity bills."""" hightimes.com/grow/trainin.... #growmies #cannabis #weed #mmj #gardening #CannabisCommunity","2026-02-13T12:23:40.972Z"
"thirstytwins.satan.social","I have a GREAT happy hour suggestion in Tacoma — Chez Lafayette Creole Brasserie at 11th and Tacoma Ave. That generous Manhattan and HUGE dilled shrimp remoulade baguette were only $16! Many tables have nice views of The Mountain. HH is 2-5 Tues-Fri. HH menu in Comments. #pnw","2026-02-13T01:35:44.921Z"
"thirstytwins.satan.social","🤖 image processing for #JWST 🔭 data (AT2025aarm). RGB Filters: 1800, 1000, 560 PI: Somalwar, Jean, program 12470. CRVAL: 68.04153, -5.400454 Credits: NASA, ESA, CSA, STScI.","2026-02-13T16:48:54.162576+00:00"
