"user","post","date"
"toweather.bsky.social","While it makes complete and total sense arresting someone threatening others, please explain how it makes sense not arresting someone threatening the entire world.","2026-01-21T16:30:03.691Z"
"toweather.bsky.social","Hey maga. You voted for trump. You voted for this. You pulled the trigger. You killed her. Blood on your hands that will never wash away.","2026-01-09T13:34:07.188Z"
"toweather.bsky.social","Who else is feeling like Trump is going to start WW3 and I don't have a bunker?","2026-01-06T14:24:27.844Z"
"toweather.bsky.social","It would take a vile know-nothing self-serving mental case to bring us to WW3. Trump IS that vile know-nothing self-serving mental case.","2026-01-05T13:09:10.807Z"
"toweather.bsky.social","It's a painful reality that we have to endure another 3 years before we can actually mean Happy New Year.","2026-01-01T15:42:54.010Z"
"toweather.bsky.social","If we all take a moment today and look ourselves in the mirror, we'll see America in fact remains. Merry Christmas guys.","2025-12-25T17:58:09.843Z"
"toweather.bsky.social","Hey guys, take a little break from the madness.. I'm out here rescuing a boat on Chesapeake Bay. Out here the world seems still real and unaffected. Dolphins know nothing of Trump. We should be so lucky..","2025-12-20T18:49:42.670Z"
"toweather.bsky.social","Once lived a time I thought myself in control, as though I understood well enough. At some point a poison arrived, through unnatural means. Cold, horrid, and I certainly don't understand. It's been difficult, but really more than difficult, it etched my soul.","2025-12-16T16:25:42.415Z"
"toweather.bsky.social","Good morning! I want Pete Hegseth imprisoned for murder! Have a great day!","2025-11-29T13:35:14.305Z"
"toweather.bsky.social","Bluesky desperately needs the ability to create a poll. Let's do it this way: Trump again, after the press conference, said it's a Dem hoax. America, yes or no, is it a hoax?","2025-09-03T16:34:55.281Z"
"toweather.bsky.social","Yikes? So I says to myself, go ahead, live on a sailboat on Chesapeake Bay, it'll be fun. Here's to hoping she misses the islands and East Coast and harms no one.🫰","2025-08-14T17:01:18.000Z"
"toweather.bsky.social","Trump and his band of misfits would do well to know that every day is No Kings Day.","2025-06-15T18:35:12.037Z"
"toweather.bsky.social","Good morning. I really miss the days when waking would rescue me from the nightmare.","2025-04-06T14:39:56.765Z"
"toweather.bsky.social","Real quick before my head combusts and I can no longer type... GET TRUMP THE HELL OUT OF THE WHITE HOUSE!","2025-02-28T19:26:19.251Z"
"toweather.bsky.social","King Trump claims Ukraine started the war with Russia. Have we arrived yet at the entirely numb location their plan hopes we'll find? We have not yet begun to fight. Why haven't we? It's time we do.","2025-02-21T17:34:56.669Z"
"toweather.bsky.social","When I was a kid, had I known this was coming, it's possible I wouldn't have bothered looking both ways before crossing the street.","2025-02-19T17:50:53.794Z"
"toweather.bsky.social","When I think of all those that have come before us. Those that built and sacrificed for America. For it all to end this way. ...I'm glad I can't hear them. Far too painful. They would be right and their pain real. No end. We fight. For them. For us. For America.","2025-02-18T18:20:36.184Z"
"toweather.bsky.social","Well now, have you noticed how the pathetic less thans, maga, no longer wear the red hats? Of course, it's who they are. Vote for a demon as a result of their maga flaws, destroy America, possibly the world, then take no responsibility. Sound familiar? Put the hats on cretins. America insists.","2025-02-16T18:15:42.859Z"
"toweather.bsky.social","Well, NOAA going bye-bye huh? Living on a sailboat, having hurricane reports was handy. Even life-saving? Perhaps I can call Trump and ask him and his Sharpie if there are any hurricanes.","2025-02-15T18:09:44.277Z"
"toweather.bsky.social","Having trouble writing on Bluesky lately as I simply refuse to curse on Bluesky.","2025-02-14T19:25:34.883Z"
"toweather.bsky.social","Trump is a primitive creature. In his thinking, actions. One foot still in the cave. His supporters pathetic and deluded. All living close to primal instinct and far from the thinking mind. Entirely tragic this. Shake off the fear, lean into it, and fight like hell. We will prevail.","2025-02-07T04:09:33.816Z"
"toweather.bsky.social","Hey Google, is it normal to go to sleep in America and wake up in 1930's Germany?","2025-01-21T02:46:33.158Z"
