"user","post","date"
"trenablue.bsky.social","Presbyterian seminarian adamantly anti- Christian Nationalism, antithetical to his Christian faith. If he and Jasmine together can bring more awareness & ppl to the vote, it could work out. The 2 of them being in the race guarantees more visibility into primary","2026-02-17T15:22:54.913Z"
"trenablue.bsky.social","Colbert went on YT with the interview. No more F***S to give. www.youtube.com/watch?v=oiTJ...","2026-02-17T14:44:30.503Z"
"trenablue.bsky.social","#TALARICO bsky.app/profile/dvsm...","2026-02-17T15:16:26.535Z"
"trenablue.bsky.social","Or both.","2026-02-17T15:48:59.329Z"
"trenablue.bsky.social","Moskowitz: By the president’s own metrics, what accomplishments does Noem have? • She’s holding up 200 miles of border wall. • She’s deported fewer people than Obama. • She’s not helping any of these red-state governors with their disasters. Why hasn’t he fired her?","2026-02-15T00:00:37.006Z"
"trenablue.bsky.social","If you really think the colour of your neighbour's skin, or their sexual orientation, or the religion they practice is a problem, it's not. Turns out it's YOU that's the problem.","2026-02-16T13:20:12.894Z"
"trenablue.bsky.social","Obama: """"At some point, you age out. You're not connected directly to the immediate struggles that folks are going through. I'm not making a hard and fast rule here, but I think Democrats do well when we have candidates who are plugged into the moment. To the zeitgeist. To the times.""""","2026-02-16T20:57:12.519Z"
"trenablue.bsky.social","www.nytimes.com/2026/02/14/b...","2026-02-16T17:59:26.489Z"
"trenablue.bsky.social","His personal doc specialized in gastroenterology.... coincidental? I think not 🙂 www.nbcnews.com/politics/don... en.wikipedia.org/wiki/Harold_...","2026-02-16T17:38:22.799Z"
"trenablue.bsky.social","That he is. He was Epstein's pilot","2026-02-15T23:08:28.338Z"
"trenablue.bsky.social","Here’s the thread I wrote on Elizabeth Peratrovich on her birthday. bsky.app/profile/bamb...","2026-02-16T20:37:50.037Z"
"trenablue.bsky.social","Boom💥🤣","2026-02-16T20:55:12.804Z"
"trenablue.bsky.social","Nope, we the People will NEVER stop demanding the #EpsteinFiles #Epstein #TrumppIsAPedo","2026-02-16T17:42:22.537Z"
"trenablue.bsky.social","George W. Bush throws subtle shade at Senile Satan. “Our first president could have remained all-powerful, but twice he chose not to.” By “relinquishing power rather than holding onto it,” Mr. Bush continues, “he ensured America wouldn’t become a monarchy, or worse.”","2026-02-16T19:37:47.526Z"
"trenablue.bsky.social","Keep talking about the #EpsteinFiles The most litigious felon ever, doesn’t sue?","2026-02-16T19:34:37.483Z"
"trenablue.bsky.social","""""The richest man starving the poorest child"""" - Paraphrase of Bill Gates about E. Musk","2026-02-16T19:07:02.493Z"
"trenablue.bsky.social","""""The test of our progress is not whether we add more to the abundance of those who have much; it is whether we provide enough for those who have too little."""" —FDR, 1937","2026-02-16T19:01:13.815262Z"
"trenablue.bsky.social","FBI won’t provide Minnesota investigators with evidence in Alex Pretti killing, state says minnesotareformer.com/briefs/fbi-w...","2026-02-16T17:50:03.456Z"
"trenablue.bsky.social","4/","2026-02-16T19:21:41.959Z"
"trenablue.bsky.social","3/ The SAVE system had at least a 14% error rate in one Texas county, as reported here. www.texastribune.org/2026/02/13/s...","2026-02-16T19:21:12.168Z"
"trenablue.bsky.social","Page 15 of the GOP’s Save America Act wld force all 50 states to submit their voter rolls to the DHS’s centralized voter purge program (called “SAVE”), which they know has had error rates as high as 14% & links to an SSA database that they know was compromised by DOGE. #NoOnSave 1/","2026-02-16T19:18:41.706Z"
"trenablue.bsky.social","How to cause a narcissistic collapse #rant #teacher #dumptrump #resist","2026-02-16T19:21:41.960Z"
"trenablue.bsky.social","AOC’s biggest problem if she runs for president is that the white men who control our media ecosystem will not so much put a finger on the scale to stop her as an entire hand it can be done (see: Zohran) but it’s going to be blatant and it’s going to be infuriating","2026-02-16T19:21:00.547Z"
"trenablue.bsky.social","""""Official ICE policy says 'ICE should not detain, arrest, or take into custody for an administrative violation of the immigration laws individuals known to be pregnant, postpartum, or nursing” except in exceptional circumstances. reproductiverights.org/news/pregnan...","2026-02-16T18:04:21.562Z"
"trenablue.bsky.social","💙 W JUDGE","2026-02-16T19:22:07.985Z"
"trenablue.bsky.social","Oh look, another confession from maga. 🙄","2026-02-15T19:24:28.014Z"
"trenablue.bsky.social","⚡️UPDATE - JUDGE BLOCKS TRUMP’S PHILLY SLAVERY EXHIBIT REMOVAL, citing Orwell: “As if the Ministry of Truth in George Orwell’s 1984 now existed…” storage.courtlistener.com/recap/gov.us...","2026-02-16T19:06:47.170Z"
"trenablue.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"trenablue.bsky.social","French prosecutors announce special team to review Epstein files","2026-02-15T17:15:14.240Z"
"trenablue.bsky.social","This","2026-02-16T18:40:26.831Z"
"trenablue.bsky.social","$4 BILLION — So corrupt. There is no debating this. Anyone who says otherwise is telling on themselves.","2026-02-16T17:47:21.726Z"
"trenablue.bsky.social","Where's your gold Trump phone, losers? That's right, you got scammed. It ain't coming.🤪","2026-02-16T17:38:23.422Z"
"trenablue.bsky.social","Ossoff: """"Among today's false prophets are the election deniers who indulge this president's obsession with overturning the 2020 election. Hear me when I say this -- they tell a lie so absurd, and therefore so debasing, that the act of telling it proves the teller's total and humiliating submission.""""","2026-02-16T17:22:28.125Z"
"trenablue.bsky.social","The Bari Weiss hire, who appears in the Trump-Epstein files 1,838 times, wrote in a 2016 email: “I go into JE withdrawal when I don’t see him.” www.theguardian.com/media/2026/f...","2026-02-16T16:05:29.713Z"
"trenablue.bsky.social","US had almost *no* job growth in 2025. Hiring numbers were revised down by over a million jobs. Largest annual revision in over 20 years. www.nbcnews.com/business/eco...","2026-02-16T17:30:43.836Z"
"trenablue.bsky.social","Ask your MAGA family & neighbors if they heard about this sick 2 month-old baby named Juan Nicolás & his mother, Mireya López Sánchez, who've been held by ICE in Dilley, Texas with hundreds of other children, where the water is foul, the food has mold & they're denied medical care.🧵 #ICELawlessness","2026-02-16T16:17:08.666Z"
"trenablue.bsky.social","I want to remind folks of something that’s still raw for me. After the 2024 loss, most Dems in Congress went quiet. You remember the silence. It was deafening. Jasmine Crockett did the opposite. She stepped up early, got loud, and was never afraid to take on Trump. @jasmineforus.bsky.social 🧵","2026-02-15T21:40:50.896Z"
"trenablue.bsky.social","WATCH: “Your reaction should be anger. You should be pissed off the federal government is lying to you like this.” @mikenellis.bsky.social in NASHVILLE with Michael Knowles and the Daily Wire and a bar full of Trump supporters. #TrumpEpsteinFiles","2026-02-15T19:42:05.705Z"
"trenablue.bsky.social","Speaking at a university in Berlin, Rep. AOC just called for Pam Bondi's resignation over the Epstein files: """"You are the Attorney General of the United States of America and you don't want to hold anyone of these pedophiles accountable? Resign or be impeached!""""","2026-02-16T01:52:57.086Z"
"trenablue.bsky.social","ABC: Do you still have confidence in Pam Bondi as AG? MASSIE: I don't think Pam Bondi has confidence in Pam Bondi. She wasn't confident enough to engage in anything but name calling in a hearing. So no, I don't. She was responsible for the document production.","2026-02-15T14:57:41.290Z"
"trenablue.bsky.social","👀 👀","2026-02-15T14:49:59.098Z"
"trenablue.bsky.social","Scooch-over G. Max. Now, we have 3 whacks!","2026-02-16T03:15:07.654Z"
"trenablue.bsky.social","We’re struggling to recruit, yet the DoD is closing doors to top academic institutions. That sends a clear message to recruits and their parents: the military values obedience over intellect.","2026-02-16T03:15:09.000Z"
"trenablue.bsky.social","Today, the Trump administration repealed the endangerment finding: the ruling that served as the basis for limits on tailpipe emissions and power plant rules. Without it, we’ll be less safe, less healthy and less able to fight climate change—all so the fossil fuel industry can make even more money.","2026-02-12T19:46:12.277Z"
"trenablue.bsky.social","Rep. Angie Craig: """"The attacks on Black and brown people in Minnesota have been egregious. At the end of the day, what they wanted out of Minnesota was for us to riot. I think this will go down in American history as one of the greatest examples of peaceful resistance from an entire community.""""","2026-02-15T14:37:40.528Z"
"trenablue.bsky.social","BOOM. Exactly right. Bad Bunny knows the score.","2026-02-12T19:53:54.499Z"
"trenablue.bsky.social","Yes! I would not be surprised if buried bodies are discovered involving the Epstein sex trafficking operation. Here is what recent locals are saying in New Mexico. Also heard of a trap door on Epstein’s Island! youtube.com/watch?v=kQ8Y...","2026-02-15T21:59:17.593Z"
