"user","post","date"
"trg613.bsky.social","THE MORE YOU KNOW …💫 Lindsey Graham sent an email to Epstein asking to hook him up with a ‘Romanian Angels’ boy… The Romanian Angels used to be run by Kirk's wife, Erica. They are all connected.","2026-02-18T06:55:07.313Z"
"trg613.bsky.social","He is not my president... NOT","2026-02-18T07:56:24.282Z"
"trg613.bsky.social","Donald Trump is so focused on putting his name on everything, so let's grant him his wish by calling them the Trump-Epstein files. This is a massive cover-up by Trump and his cronies, and I won’t stop until we hold them accountable.","2026-02-17T02:50:25.779Z"
"trg613.bsky.social","“STOP TALKING ABOUT IT” is basically the ceremonial ribbon cutting for everyone to start talking about it.","2026-02-18T10:03:43.550Z"
"trg613.bsky.social","Another song from 1994 that's even more relevant in 2026. Pearl Jam - WMA youtu.be/HGLrPfKE-Qc?...","2026-02-16T12:14:19.925Z"
"trg613.bsky.social","trump's idea of making America great again is to destroy it. Then his ultra-wealthy friends, who actually call the shots, can rebuild it into the legal oligarchy they want. If you aren't of Western European descent, you are inferior to them. It's about Elitism, Racism & the Haves & Have-nots.","2026-02-16T10:57:20.109Z"
"trg613.bsky.social","Power to the People!","2026-02-16T12:19:04.766Z"
"trg613.bsky.social","Another song from 1994 that's even more relevant in 2026. Pearl Jam - WMA youtu.be/HGLrPfKE-Qc?...","2026-02-16T12:14:19.925Z"
"trg613.bsky.social","🎯🎯","2026-02-15T13:03:29.665Z"
"trg613.bsky.social","Cartoon by Sam and Cynthia Sousa Machado. #IGotThis","2026-02-15T14:31:22.308Z"
"trg613.bsky.social","Welcome to the Plutocracy","2026-02-14T02:03:20.476Z"
"trg613.bsky.social","When you’ve seen the polling","2026-02-13T23:02:44.536Z"
"trg613.bsky.social","If you agree firing Kristi Noem is way overdue, here’s something you can do about it RIGHT NOW!","2026-02-07T23:27:02.783Z"
"trg613.bsky.social","When Trump dies, he will not lay in state at the Capitol. His outcast family will have a wake for him at Mar-a-Lago, they’ll bury him on a golf course, and he’ll go down in history as one of the greatest stains on our nation.","2026-02-13T03:27:39.778Z"
"trg613.bsky.social","www.thebulwark.com?utm_campaign...","2026-02-12T17:45:16.405Z"
"trg613.bsky.social","Tuesday was the ICE oversight hearing. Today was Pam Bondi’s. I watched them both for you. The bottom line: There are (mostly Democratic) members of Congress who understand how important the moment is & they are standing up and showing courage. open.substack.com/pub/joycevan...","2026-02-12T04:08:35.709Z"
"trg613.bsky.social","""""We all saw today, the performance that she [Bondi] had. She was screaming, thrashing – and I think it is because she knows that she is implicated in a massive cover-up to protect a powerful ring of pedophiles..."""" Rep. AOC","2026-02-12T07:26:08.124Z"
"trg613.bsky.social","""""Trump's name appears more times in the Epstein files than God's name appears in the book about God"""" — Jared Moskowitz","2026-02-11T19:31:07.485Z"
"trg613.bsky.social","Pamela Jo Bondi coldly ignoring the Epstein survivors as she memorizes her next irrelevant lie to protect one of the main perpetrators.","2026-02-11T17:18:15.029Z"
"trg613.bsky.social","Always speak truth to power. Always. Thank you, Rep. Delia Ramirez.","2026-02-11T05:51:27.800Z"
"trg613.bsky.social","Aloka and the monks made it to dc.. So beautiiful","2026-02-11T06:13:22.364Z"
"trg613.bsky.social","If it looks like a duck… @mmpadellan.bsky.social substack.com/@jojofromjerz","2026-02-11T01:27:59.521Z"
"trg613.bsky.social","I think we should all be sharing these new photos of the suspect in the Nancy Guthrie case, Savannah Guthrie’s mom. This video has important commentary. Maybe someone will recognize a clue and report it.","2026-02-10T20:37:21.716Z"
"trg613.bsky.social","Jen uses the right term here. """"Ethnic cleansing."""" It is the goal of Trump, Vance, Miller and the entire white Christian nationalist cabal. It is not about immigration. It is about racism.","2026-02-09T14:09:32.247Z"
"trg613.bsky.social","LMAOOOOO😂😂🤣","2026-02-10T09:55:46.414Z"
"trg613.bsky.social","open.substack.com/pub/adamkinz...","2026-02-09T21:04:35.479Z"
"trg613.bsky.social","“Nobody understands a word this guy is saying. I’m gonna listen to Bawitdaba Da Bang Da Bang Diggy Diggy Diggy instead.”","2026-02-09T04:57:10.762Z"
"trg613.bsky.social","A great Superbowl meme: Pedo Bowl: www.youtube.com/shorts/MjXB4...","2026-02-08T14:10:09.558Z"
"trg613.bsky.social","Nothing unites America like uninviting half of it.","2026-02-07T16:39:28.104Z"
"trg613.bsky.social","The official posture of 2026: reclined acceptance - I stopped fighting reality and upgraded my lumbar support.","2026-02-07T11:39:41.538Z"
"trg613.bsky.social","Sen. Elissa Slotkin is refusing to voluntarily comply with the Justice Department investigation into that video she organized urging U.S. military members to resist illegal orders. Slotkin's legal team is requesting Jeanine Pirro preserve all relevant documents for """"anticipated litigation.""""","2026-02-06T00:35:27.350Z"
"trg613.bsky.social","Trump has posted on Truth Social about 65 times in the last 90 minutes, including a video he posted at 8:44 PM PT describing election fraud lies that shows racist AI images of Michelle and Barack Obama as monkeys at the end. I’ve confirmed this is real and watched it myself. 25th Amendment now.","2026-02-06T06:06:24.608Z"
"trg613.bsky.social","Tell Congress: Stop Trump's move to take over state elections actionnetwork.org/letters/tell...","2026-02-06T09:30:02.880Z"
"trg613.bsky.social","This is no longer about politics. It is about good vs evil. Remember this. You have not got hate so deep in your soul it makes you evil. You still have your moral code, and don’t have to pretend to be religious for pseudo righteousness.","2026-02-06T07:13:33.336Z"
"trg613.bsky.social","I'm becoming more and more convinced that he also rigged the 2024 election...","2026-02-05T05:06:56.613Z"
"trg613.bsky.social","If Jeff Bezos could afford to spend $75 million on the Melania movie & $500 million for a yacht to sail off to his $55 million wedding to give his wife a $5 million ring, please don't tell me he needed to fire one-third of the Washington Post staff. Democracy dies in oligarchy.","2026-02-05T00:16:16.597Z"
"trg613.bsky.social","The Supreme Court hasn’t ruled on Trump’s tariffs because they’re scared stiff. Rule for him and admit you’re a hack. Rule against him and anger Trump, billionaires, and the MAGA mob. So they stall. Cowardice, with robes. 💣","2026-02-04T11:42:49.995Z"
"trg613.bsky.social","That's right on the money. People are in denial. They want to think it's trumps usual bluster & loud mouth. He told us at those Klan rallies he loves to do, that he would do A, B, & C. Then he became Pres & has done A, B, & C. Had the network news shown what he was saying, they might have said """"NO.""""","2026-02-03T10:56:33.788Z"
"trg613.bsky.social","They are not followers of Christ. They are C.I.N.O.'s. (Christian in Name Only). Christ wouldn't condone letting kids go hungry. He wouldn't have condoned the Crusades, the Witch Hunts, Anti-Semitism, Slavery, the Holocaust, White Supremacy, discrimination, or trumpism. He stood for peace & Love.","2026-02-02T11:29:20.760Z"
"trg613.bsky.social","He tells us what he’ll do. We laugh, then it happens. He promised invasion; he invaded. He promised troops at home; they’re here. He promised retribution; prosecutors and investigators are now targets. He seized ballots; he’s calling to seize elections. This isn’t bluster; it’s a plan. Stop laughing","2026-02-03T10:29:38.871Z"
"trg613.bsky.social","People tore down Hitler's buildings and statues. People tore down monuments to the Confederacy. Everything Trump builds we will tear down.","2026-02-02T00:56:22.291Z"
"trg613.bsky.social","Yeah...we're not stopping. This movement will only grow stronger. It is growing stronger...as I write. That's irrefutable.","2026-02-01T22:36:51.060Z"
"trg613.bsky.social","To all the Minnesotans who are making their voices heard and protesting peacefully: The world is watching, and when change comes, it will be because of you.","2026-02-01T15:49:45.732Z"
"trg613.bsky.social","""""History will have to recall that the greatest tragedy of this period was not the vitriolic words and violent actions of the bad people, but the appalling silence and indifference of the good people."""" Martin Luther King Jr. Now is the time to RISE. Now is the time to STAND. Now is the time to SPEAK","2026-02-01T16:54:17.559Z"
"trg613.bsky.social","Happy Sunday! ☕️☀️❄️🎵☮️🌸💗","2026-02-01T11:41:18.298Z"
"trg613.bsky.social","Holy shit. I had to read this 3X. But buried in this word salad is the following: Trump’s threatening to deploy ICE, Border Patrol, and the military against protests, while blaming “poorly run” Democratic cities. He says local officials must ask nicely for help, but also claims… 1/2","2026-02-01T12:16:26.854Z"
