"user","post","date"
"ttt5701.bsky.social","🤔","2026-02-18T03:41:04.173Z"
"ttt5701.bsky.social","🤔 ... belated ❤️","2026-02-17T16:43:26.997Z"
"ttt5701.bsky.social","🎉🎊🎉","2026-02-17T16:42:04.493Z"
"ttt5701.bsky.social","🤔 Let's hear it for separation of Church and State... and for hope!","2026-02-17T16:37:09.806Z"
"ttt5701.bsky.social","🤔","2026-02-17T15:41:21.403Z"
"ttt5701.bsky.social","You guys, stop saying Megyn Kelly’s rapper name is Bad Person. It's so childish....","2026-02-11T21:17:14.518Z"
"ttt5701.bsky.social","🤔","2026-02-11T21:03:29.567Z"
"ttt5701.bsky.social","🤔","2026-02-10T17:30:28.338Z"
"ttt5701.bsky.social","🤔 Is this effin' clown the KKKaren serious?","2026-02-10T16:25:29.298Z"
"ttt5701.bsky.social","🤔","2026-02-10T16:18:25.718Z"
"ttt5701.bsky.social","As part of the generation that made hits out of Nena’s “99 Luftballoons,” Gerardo’s “Rico Suave” among others (Falco, anyone?), I have no problem with this halftime show and have found it pretty entertaining. Not to mention… holy shit, RICKY MARTIN!!??!! Nice cameo! And OMGAGA!!","2026-02-09T01:38:55.663Z"
"ttt5701.bsky.social","🤔","2026-02-09T00:01:25.340Z"
"ttt5701.bsky.social","🤔 💔 ❤️","2026-02-09T00:00:44.325Z"
"ttt5701.bsky.social","🤔 When you’re woke, you’re eyes are open, you learn, you change. When you’re anti woke, you have your head up your ass.","2026-02-08T23:52:58.480Z"
"ttt5701.bsky.social","🤔","2026-02-08T16:40:31.062Z"
"ttt5701.bsky.social","🤔","2026-02-08T16:27:59.116Z"
"ttt5701.bsky.social","You guys, stop calling him Virgin Voldemort. It's so childish....","2026-02-08T00:39:21.608Z"
"ttt5701.bsky.social","You guys, stop calling him Mar-a-Lardo. It's so childish...","2026-02-08T00:33:12.680Z"
"ttt5701.bsky.social","🤔","2026-02-08T00:28:21.682Z"
"ttt5701.bsky.social","🤔 Oh no! the Kid Rock show tomorrow is cancelled! What will pedo white trash and racists watch while we all dance to Bad Bunny?","2026-02-08T00:24:29.217Z"
"ttt5701.bsky.social","The President and his cult followers are racists, pedophiles, and share a single brain cell amongst them. We're going to need a much bigger basket.","2026-02-06T22:07:58.330Z"
"ttt5701.bsky.social","❤️","2026-02-04T17:57:03.544Z"
"ttt5701.bsky.social","🤔 The US no longer has a government. It has a dumpster fire dictatorship led by an evil, petty, tragic, old, incontinent sociopath con job.","2026-02-03T06:30:04.299Z"
"ttt5701.bsky.social","🤔","2026-02-02T20:53:11.174Z"
"ttt5701.bsky.social","🤔 “No one is illegal on stolen land.”","2026-02-02T14:39:45.301Z"
"ttt5701.bsky.social","🤔 God, he was a brilliant social commentator and humorist and a great patriot!","2026-02-01T02:48:38.241Z"
"ttt5701.bsky.social","🤔 You guys, stop comparing ol' tRumpy to Hitler. After all, Hitler never raped kids...","2026-01-31T21:35:33.937Z"
"ttt5701.bsky.social","🤔","2026-01-31T19:54:12.564Z"
"ttt5701.bsky.social","🎬🎟️🍿 Watching a real First Lady. You should too. Let’s make her Netflix show get more views than the former illegal immigrant hooker. Allegedly 😑","2026-01-31T19:49:33.855Z"
"ttt5701.bsky.social","💔 Not the obit I wanted to read today. God, was she kind and funny!","2026-01-30T20:01:56.867Z"
"ttt5701.bsky.social","💡The more you know.... youtube.com/shorts/z4dy0...","2026-01-30T17:33:41.862Z"
"ttt5701.bsky.social","🤔 🎬🍿🎬🎟️","2026-01-30T17:15:43.377Z"
"ttt5701.bsky.social","🤔","2026-01-30T17:07:47.508Z"
"ttt5701.bsky.social","🤔 Now the orange menace and his band of thugs is arresting journalists. Cool. Officially Authoritarian. Happy Friday.","2026-01-30T17:07:32.460Z"
"ttt5701.bsky.social","You guys, stop calling it, """"Lies, Camera, Action! Third Wife's a Charm."""" It's so childish...","2026-01-30T17:01:21.104Z"
"ttt5701.bsky.social","I just read the names of the """"A-List"""" celebs who will be at the former Kennedy Center premiere of the movie, """"Melania."""" After reviewing the names, it was clear a typo had been made. It wasn't A-List, it was just... a list.","2026-01-29T23:25:44.609Z"
"ttt5701.bsky.social","🥶 Chilling....","2026-01-29T22:30:24.103Z"
"ttt5701.bsky.social","You guys, stop calling it, """" The Liar, the Witch, and the wardrobe."""" It's so childish...","2026-01-29T20:45:35.642Z"
"ttt5701.bsky.social","🤔 Can you imagine growing up and realizing your mom is KKKaroline Leavitt? Ouch, baby. Very ouch!","2026-01-29T16:51:58.038Z"
"ttt5701.bsky.social","🤔","2026-01-28T18:16:37.618Z"
"ttt5701.bsky.social","🤔","2026-01-28T15:47:33.891Z"
"ttt5701.bsky.social","🤔 youtube.com/shorts/gPssc...","2026-01-27T20:05:02.652Z"
"ttt5701.bsky.social","🤔","2026-01-27T19:49:07.796Z"
"ttt5701.bsky.social","💔","2026-01-27T19:01:03.219Z"
"ttt5701.bsky.social","🤔","2026-01-27T19:00:15.291Z"
"ttt5701.bsky.social","🤔","2026-01-27T15:42:28.681Z"
"ttt5701.bsky.social","🤔","2026-01-27T14:31:13.217Z"
"ttt5701.bsky.social","💔","2026-01-27T03:22:15.697Z"
"ttt5701.bsky.social","👏👏👏","2026-01-26T21:55:08.793Z"
"ttt5701.bsky.social","Aty General Mayes is right. Stand your ground laws & a proliferation of guns makes for a very dangerous combo for ICE """"agents."""" If some masked jackass with a gun & no visible badge came thru my door, I would for sure stand my ground... Thanks to the Republican party's decades-long twisting of 2A.","2026-01-26T21:51:45.751Z"
"ttt5701.bsky.social","🤔","2026-01-26T16:50:35.101Z"
"ttt5701.bsky.social","🤔 Queue the wailing and gnashing of teeth...","2026-01-26T01:52:51.895Z"
"ttt5701.bsky.social","😥 youtube.com/shorts/OJOow...","2026-01-26T01:50:15.226Z"
"ttt5701.bsky.social","🤚 I'm with the Honorable Ms. Omar!","2026-01-25T23:16:21.347Z"
"ttt5701.bsky.social","🤔","2026-01-25T23:14:32.027Z"
"ttt5701.bsky.social","🤔 When ICE and DHS come to snatch and kill me for being a vocal critic of the President, please tell my MAGA family that this was their fault and never let them forget that.","2026-01-25T21:47:56.744Z"
"ttt5701.bsky.social","Chilling...","2026-01-25T18:54:22.003Z"
"ttt5701.bsky.social","🤔 Why would anyone want to travel to the US to watch sporting events? I certainly wouldn't consider traveling to North Korea or Belarus to watch ⚽.","2026-01-25T18:50:37.735Z"
"ttt5701.bsky.social","So hey, are we great yet?","2026-01-25T02:09:11.611Z"
"ttt5701.bsky.social","You guys, stop calling him Don Whoreleone. It's so childish...","2026-01-22T00:00:03.040Z"
"ttt5701.bsky.social","You guys, stop calling him PeeWee German. It's so childish...","2026-01-21T23:55:05.675Z"
"ttt5701.bsky.social","🤔 If ol' tRumpy is the Acting President (or whatever) of Venezuela, why is the US still seizing their oil tankers?? Does this mean that he and Melania should be whisked off to Brooklyn to stand trial, too?","2026-01-21T19:46:36.473Z"
"ttt5701.bsky.social","🤔","2026-01-21T15:47:35.818Z"
"ttt5701.bsky.social","🤔💯🇳🇴","2026-01-21T15:46:27.274Z"
"ttt5701.bsky.social","🤔","2026-01-21T15:37:50.517Z"
"ttt5701.bsky.social","Congrats to ol' Pence Jr. on his pregnancy with baby #4, a boy, to be named Ottoman Davenport Vance","2026-01-21T14:08:13.318Z"
"ttt5701.bsky.social","💔","2026-01-21T14:06:52.507Z"
"ttt5701.bsky.social","🤔","2026-01-21T13:40:35.552Z"
"ttt5701.bsky.social","🤔","2026-01-21T04:46:07.964Z"
"ttt5701.bsky.social","🤔","2026-01-21T04:27:47.738Z"
"ttt5701.bsky.social","🤔 So how does a military coup work? Asking for a friend....","2026-01-21T04:25:00.067Z"
"ttt5701.bsky.social","🤔","2026-01-19T23:30:19.040Z"
