"user","post","date"
"ulrikemoran.bsky.social","Last year, surveillance giant Palantir (who got an 8-figure contract from ICE) paid $0 in federal income tax despite making $1.5 BILLION, partly due to new tax cuts in Trump's Big, Beautiful Bill. They cut Medicaid & SNAP to pay for this. This monstrosity must be reversed.","2026-02-17T20:48:39.412Z"
"ulrikemoran.bsky.social","GOP Rep. Carter (GA): """"We can't have a warrant every time"""" You cannot be a """"patriot"""" and be OK with lawlessness.","2026-02-17T18:45:03.525095745Z"
"ulrikemoran.bsky.social","Here's a James Talarico interview the FCC can't block: https://www.youtube.com/watch?v=pQ0-mwi1Tso","2026-02-18T13:29:01.244741068Z"
"ulrikemoran.bsky.social","Rep. Buddy Carter claims that a teacher who was killed in a car wreck after ICE got into a chase with a man who had no criminal record would still be alive if the Democrats hadn't """"encouraged people not to conform to ICE""""","2026-02-18T13:09:13.230Z"
"ulrikemoran.bsky.social","Hassett: """"The basic theory of President Trump's tariffs is sure, we're importing stuff from China, but we've got producers in US who make stuff, maybe at alightly higher place. If we bring stuff home, create demand, then that will hurt China & drive up wages & American consumers will be better off.""""","2026-02-18T13:14:44.898Z"
"ulrikemoran.bsky.social","Hassett on the notion that tariffs are regressive: """"The bottom line is Trump policies are meant to onshore production and create jobs, and those jobs aren't there for Jeff Bezos, they're meant for people who didn't have a job before. So they're by definition the people at the bottom.""""","2026-02-18T13:17:18.766Z"
"ulrikemoran.bsky.social","Moskowitz on Maria Bartiromo show's: """"Americans voted to have people deported -- criminals and gang members -- they did not vote for people to be shot in the street by masked men. So I think Kristi Noem needs to go.""""","2026-02-18T13:24:36.009Z"
"ulrikemoran.bsky.social","Trump abolished DEI and replaced it with unqualified and unfit white people throughout every area of the govt.","2026-02-18T12:15:47.322Z"
"ulrikemoran.bsky.social","Sounds to me like lil’ Ron is in some deep sh*t. 💩","2026-02-18T12:19:25.695Z"
"ulrikemoran.bsky.social","There’s just 258 days until the 2026 U.S. midterm elections on November 3!!!","2026-02-18T12:27:35.916Z"
"ulrikemoran.bsky.social","🩸🩸🩸 I'm going to post this video every day so we never forget what the 34x POS convicted felon who incites political violence, adjudicated rapist & pedophile Trump did on J6 🩸🩸🩸 THIS IS WHAT AN INSURRECTION LOOKS LIKE ⬇️⬇️⬇️","2026-02-18T12:28:28.848Z"
"ulrikemoran.bsky.social","🔥🔥🔥 DO NOT BE DISTRACTED & STAY LOUD DONALD TRUMP IS GOING DOWN TRUMP & EPSTEIN ARE SEX TRAFFICKERS & I’m gonna post this every day so nobody forgets exactly who Pedophile Trump is and why the Epstein files have suddenly disappeared 🔥🔥🔥","2026-02-18T12:30:07.710Z"
"ulrikemoran.bsky.social","🚨🚨🚨🚨🚨 WAKE UP!!!! 🚨🚨🚨🚨🚨 Donald Trump is a radical domestic terrorist and war criminal. ARREST HIM NOW!!! 🚨🚨🚨🚨🚨","2026-02-18T12:30:20.115Z"
"ulrikemoran.bsky.social","‼️‼️‼️ Renee Good did NOT deserve to have her brains blown out in front of her dog for not complying with armed vigilantes who were terrorizing HER community. You simply arrest, fine and release. YOU DO NOT MURDER! ARREST ICE AGENT ROSS NOW ‼️‼️‼️","2026-02-18T12:33:17.514Z"
"ulrikemoran.bsky.social","🚨🚨 Trump MURDERED an ICU nurse THEN called him a terrorist! Alex Pretti saved lives for a living!! Trump repaid this American citizen by pumping 10 BULLETS into him and is now lying about it Anyone who supports this brutal lynching should be considered an accomplice and dealt with accordingly 🚨🚨","2026-02-18T12:33:45.979Z"
"ulrikemoran.bsky.social","AIPAC is secretly funnelling millions into three Chicago House races Democrats say the powerful pro-Israel group is meddling in their races, using shell organizations to secretly crush progressive candidates in Chicago. If you care about the future of the Democratic Party, you should be outraged.","2026-02-18T12:34:45.906Z"
"ulrikemoran.bsky.social","Never trust a man who tells a woman to """"smile"""" more","2026-02-18T12:40:33.778Z"
"ulrikemoran.bsky.social","New in PN: CBS obeys in advance """"A routine TV hit which would have been quickly forgotten became a national story about government censorship and a Democratic candidate being silenced by Trump’s henchmen. In a tough primary, you couldn’t buy better exposure. Nice work, FCC Chair Brendan Carr.""""","2026-02-18T12:55:06.864Z"
"ulrikemoran.bsky.social","Mark Zuckerberg takes the stand today in a trial over whether social media companies are fueling the teen mental health crisis. And, Tricia McLaughlin is leaving the Department of Homeland Security. n.pr/46bh0eF","2026-02-18T13:02:15.903377Z"
"ulrikemoran.bsky.social","Hey Lawrence Jones, what about young, straight white men? They commit the vast, vast, vast majority of mass shootings in this country. Should they not be allowed to own guns too? www.mediaite.com/media/news/f...","2026-02-18T13:02:40.016Z"
"ulrikemoran.bsky.social","BARTIROMO: Could the president just implement an executive order to get the SAVE Act across the finish line going into the midterms? REP. MARK HARRIS: That's a great question. I don't know the answer to that, quite frankly.","2026-02-18T13:06:46.550Z"
"ulrikemoran.bsky.social","Rather than turn former Honduran President Hernández over to immigration officials when he was released from prison just four years into a 45-year sentence for allowing traffickers to export more than 400 tons of cocaine to the U.S, the Trump administration paid to transport him to a posh NYC hotel.","2026-02-18T13:07:18.241Z"
"ulrikemoran.bsky.social","This is such a good, thoughtful, interesting and important piece by @WindsorMann.bsky.social. If you read anything this week, please read this👇","2026-02-18T00:44:26.622Z"
"ulrikemoran.bsky.social","Democrats, just don’t go. Quit playing silly little games. Trump is everything our Founders feared. He has masked thugs lawlessly roaming our streets terrorizing immigrants & citizens. Democrats, no little acts of protest. Go bigger, ALL of you. DO NOT ATTEND the SOTU. Period.","2026-02-18T13:18:51.179Z"
"ulrikemoran.bsky.social","Foreign Minister of Hungary Szijjártó: The war in Ukraine is not our [European] war. We have no responsibility for this war. We believe it is a major lie when both Ukrainian and European leaders claim that Ukraine is protecting Europe. That is not true.","2026-02-18T09:13:51.548Z"
"ulrikemoran.bsky.social","What Marco Rubio conveniently left out of his """"ode to empire"""" at Munich over the weekend. I brought some receipts about the human costs of Western imperialism in my latest Guardian column: www.theguardian.com/commentisfre...","2026-02-18T02:06:24.281Z"
"ulrikemoran.bsky.social","On the day I die, a lot will happen. Many things will change. The world will be busy. On the day I die, all the important appointments I made will be left unattended. The many plans I had yet to complete will remain forever undone... johnpavlovitz.substack.com/p/on-the-day...","2026-02-18T01:44:39.770Z"
"ulrikemoran.bsky.social","Florida is a cesspool of corruption.","2026-02-18T01:45:20.140Z"
"ulrikemoran.bsky.social","BREAKING: Millions of files related to Jeffrey Epstein suggest the existence of a 'global criminal enterprise' that carried out acts meeting the legal threshold of crimes against humanity, a panel of independent experts appointed by the UN Human Rights Council says","2026-02-18T01:28:59.408Z"
"ulrikemoran.bsky.social","So, I guess shutting down the government and stopping the funding of DHS and ICE doesn’t matter, huh? So WHO is funding this Fascist regime??? RUssia???? Heritage Foundation? Qatar? Isreal??? ?WHO??????????????","2026-02-18T01:05:26.399Z"
"ulrikemoran.bsky.social","After a discussion with their attorney, I have confirmed that Juan, his 16-month-old sister, his mom, and his dad have been deported.","2026-02-18T00:49:32.828Z"
"ulrikemoran.bsky.social","Despicable. Evil. Thread.👇","2026-02-18T01:31:33.851Z"
"ulrikemoran.bsky.social","The US Department of Health and Human Services just released this video.","2026-02-17T22:39:50.631Z"
"ulrikemoran.bsky.social","They are moving from Colorado.","2026-02-18T00:44:55.536Z"
"ulrikemoran.bsky.social","When even Megyn Kelly thinks that you’re a bigot.","2026-02-17T23:53:51.765Z"
"ulrikemoran.bsky.social","She is going to eviscerate this couch fucker.","2026-02-17T23:55:53.561Z"
"ulrikemoran.bsky.social","Ramadan Mubarak, Illinois! As this holy month begins, we come together for reflection, prayer, and community. Let there be no doubt that our state will continue to shine as a beacon of hope and diversity for all.","2026-02-17T23:59:45.108Z"
"ulrikemoran.bsky.social","Simply horrific. What are we becoming?","2026-02-18T00:00:12.420Z"
"ulrikemoran.bsky.social","LEFT: Liam Ramos, imprisoned for being a child. RIGHT: Donald Trump, *not* imprisoned for raping children.","2026-02-18T00:01:14.656Z"
"ulrikemoran.bsky.social","CBS Censors Colbert? Trump’s FCC Sparks Free Speech War youtu.be/qMZxf2hmRqc","2026-02-18T00:14:13.710Z"
