"user","post","date"
"veryoldlady.bsky.social","Anything for a buck","2026-02-17T22:16:57.319Z"
"veryoldlady.bsky.social","Keep pressuring to revel the #UnredactedTrumpEpsteinFiles #Epstein #EpsteinFiles","2026-02-16T17:39:39.478Z"
"veryoldlady.bsky.social","How is it possible that Kristi Noem still has this job. Imagine if you’re a family member or a shipmate of this guardsman. www.nbcnews.com/politics/imm...","2026-02-17T15:17:01.472Z"
"veryoldlady.bsky.social","Leo Tolstoy","2026-02-17T22:13:43.889Z"
"veryoldlady.bsky.social","BONDI knew👿😈","2026-02-17T20:42:36.906Z"
"veryoldlady.bsky.social","That’s good he doesn’t even know his name!","2026-02-17T20:33:52.034Z"
"veryoldlady.bsky.social","They are trying to have concentration camps everywhere This scares me","2026-02-17T20:07:56.585Z"
"veryoldlady.bsky.social","Anderson has ethics","2026-02-17T20:01:29.776Z"
"veryoldlady.bsky.social","Horrible leadership","2026-02-17T19:57:47.114Z"
"veryoldlady.bsky.social","No words it’s true","2026-02-17T00:33:49.225Z"
"veryoldlady.bsky.social","She’s right!","2026-02-17T00:24:38.134Z"
"veryoldlady.bsky.social","Truer words were never spoken 😈👿","2026-02-17T00:18:04.090Z"
"veryoldlady.bsky.social","How convenient","2026-02-17T00:15:22.698Z"
"veryoldlady.bsky.social","Put a picture on every seat","2026-02-17T00:11:34.499Z"
"veryoldlady.bsky.social","Should we worry 🤢","2026-02-17T00:04:59.641Z"
"veryoldlady.bsky.social","I agree! ☝️","2026-02-16T23:52:47.594Z"
"veryoldlady.bsky.social","Can I post this!","2026-02-16T23:50:59.049Z"
"veryoldlady.bsky.social","I Don’t understand either?","2026-02-16T23:47:51.575Z"
"veryoldlady.bsky.social","F D T!","2026-02-16T23:45:34.491Z"
"veryoldlady.bsky.social","He is grosser then gross 🤮","2026-02-16T23:44:10.142Z"
"veryoldlady.bsky.social","He’s hurt so many people he’s needs to be impeached and tried for Treason 😈👿","2026-02-16T23:02:35.474Z"
"veryoldlady.bsky.social","That’s right!🤥","2026-02-15T20:58:12.662Z"
"veryoldlady.bsky.social","We are all waiting for this!","2026-02-15T20:55:57.528Z"
"veryoldlady.bsky.social","The Hague is waiting","2026-02-15T20:53:14.327Z"
"veryoldlady.bsky.social","This is real!😈👿🤡","2026-02-15T20:50:18.153Z"
"veryoldlady.bsky.social","He’s right","2026-02-15T20:44:55.075Z"
"veryoldlady.bsky.social","Listen to this","2026-02-15T20:42:08.995Z"
"veryoldlady.bsky.social","They need to get stories straight 😈👿💩","2026-02-15T20:18:37.572Z"
"veryoldlady.bsky.social","She has no morals none!","2026-02-15T20:13:36.051Z"
"veryoldlady.bsky.social","Trump Musk protect no one😈👿","2026-02-15T00:02:21.864Z"
"veryoldlady.bsky.social","All true👿😈","2026-02-14T23:32:46.793Z"
"veryoldlady.bsky.social","It’s a beautiful day in Minnesota. Spring is coming, people.","2026-02-14T22:29:13.997Z"
"veryoldlady.bsky.social","She got her blanket back 👿","2026-02-14T22:35:59.391Z"
"veryoldlady.bsky.social","Not surprised","2026-02-14T21:11:20.251Z"
"veryoldlady.bsky.social","Yes that’s right","2026-02-14T21:05:30.860Z"
"veryoldlady.bsky.social","Don’t Forget!","2026-02-14T21:00:02.069Z"
"veryoldlady.bsky.social","So right","2026-02-14T20:56:26.185Z"
"veryoldlady.bsky.social","QUIET","2026-02-14T20:55:38.254Z"
"veryoldlady.bsky.social","Me too!","2026-02-14T20:22:45.386Z"
"veryoldlady.bsky.social","I want to see this grinning, soulless ghoul in an orange jumpsuit.","2026-02-12T01:27:12.995Z"
"veryoldlady.bsky.social","open.substack.com/pub/meidasto... Pam Bondi and Todd Blanche should not be practicing law, and they certainly should not be the most powerful prosecutors in the US. After Bondi's performance yesterday, she should be impeached by a large majority and investigated for her role in this heinous coverup","2026-02-12T13:17:01.397Z"
"veryoldlady.bsky.social","This shot gives you a pretty good idea of how much larger the female Bald Eagle is. The female is Hannah and the male is Mr. Majestic! #LakeCasitas #Birds #Raptors #Nature #Photography","2026-02-12T19:15:05.511Z"
"veryoldlady.bsky.social","👀 👀","2026-02-12T23:57:06.409Z"
"veryoldlady.bsky.social","Howard Lutnick misled the American people about his relationship with Jeffrey Epstein because he didn't want to admit he continued interacting with Epstein even AFTER Epstein was convicted of soliciting a minor. It's a disgrace. Lutnick needs to resign as Secretary of Commerce.","2026-02-12T20:00:53.713Z"
"veryoldlady.bsky.social","This is a moral blight on America, a crime against humanity. https://robertreich.substack.com/p/who-exactly-is-ice-arresting-and","2026-02-12T23:30:14.065710Z"
"veryoldlady.bsky.social","REGULATIONS = PROTECTIONS FOR AMERICANS, HUMANS, EARTH DEREGULATIONS = ALLOWING CORPORATIONS TO HARM AMERICANS, HUMANS, EARTH","2026-02-12T23:32:42.801Z"
"veryoldlady.bsky.social","Wait til Melania hears about this. Ahahahahah filthy bastard.","2026-02-12T16:25:22.192Z"
