"user","post","date"
"vinn113.bsky.social","www.youtube.com/watch?v=HC_v...","2026-02-03T04:04:02.313Z"
"vinn113.bsky.social","“The belief in a supernatural source of evil is not necessary; men alone are quite capable of every wickedness.” ― Joseph Conrad, Under Western Eyes","2026-01-26T01:52:35.900Z"
"vinn113.bsky.social","www.youtube.com/watch?v=pafY...","2026-01-11T03:12:11.961Z"
"vinn113.bsky.social","Great things don't come from """"Comfort Zones"""".","2026-01-10T22:20:49.526Z"
"vinn113.bsky.social","@andrea-0115.bsky.social","2026-01-10T20:38:09.925Z"
"vinn113.bsky.social","www.youtube.com/watch?v=wEBl...","2026-01-08T06:23:51.495Z"
"vinn113.bsky.social","I DEMAND, AS A CITIZEN OF THE UNITED STATES OF AMERICA, THAT THE HOUSE AND THE SENATE IMMEDIATELY CALL AN EMERGENCY SESSION TO HOLD ACCOUNTABLE DJT FOR ARTICLE 2 SECTION 4 OF THE CONSTITUTION.","2026-01-04T22:19:32.933Z"
"vinn113.bsky.social","www.youtube.com/watch?v=eHHB...","2026-01-02T05:04:14.385Z"
"vinn113.bsky.social","www.youtube.com/watch?v=azpV...","2026-01-02T04:56:05.516Z"
"vinn113.bsky.social","www.youtube.com/watch?v=D3o2...","2026-01-02T04:51:14.901Z"
"vinn113.bsky.social","www.youtube.com/watch?v=fu_f...","2026-01-02T04:48:07.293Z"
"vinn113.bsky.social","Another year forward. We have unfinished business, to be sure—but the future is unwritten, and it’s ours to shape. Let’s make it about clarity, honesty, forgiveness, and growth. I wish you every joy in the days ahead.","2026-01-02T04:36:06.250Z"
"vinn113.bsky.social","""""My grandma used to say, """"You've got plenty of time to act grown up."""" My take on that is, your ego can survive comfort, the real question is, will it survive contact? Stay humble."""" ~ Vin113","2025-12-23T04:00:59.611Z"
"vinn113.bsky.social","""""Identity does not equal immumity. Tough talk does not equal readiness. Real life doesn't award partial credit for good intentions. And honesty doesn’t care who you think you are. That’s not cynicism. That’s physics, biology, and consequence."""" ~Vin113","2025-12-23T03:56:49.458Z"
"vinn113.bsky.social","#myphotography #startrek","2025-12-18T10:01:50.368Z"
"vinn113.bsky.social","🎯💯‼️🌹","2025-12-16T22:40:59.726Z"
