"user","post","date"
"voteruthlessly.bsky.social","This sequel really sucks. #ReleaseTheEpsteinFiles","2025-10-12T15:58:33.389Z"
"voteruthlessly.bsky.social","When we say “No Kings” this should include the nasty billionaires who use their money to control all media and the government.","2025-10-12T00:27:25.548Z"
"voteruthlessly.bsky.social","It's such a novelty to see Republicans finally caring about a shooting at a school.","2025-09-12T22:55:15.545Z"
"voteruthlessly.bsky.social","Update: Civil War cancelled due to shooter being demographically uncooperative","2025-09-12T16:23:18.412Z"
"voteruthlessly.bsky.social","So, what are you doing tonight? #ParamountFuckedUp #StephenColbertForPresident","2025-07-18T01:09:33.753Z"
"voteruthlessly.bsky.social","This is the consequences when we chose the wrong direction.","2025-07-13T17:27:16.853Z"
"voteruthlessly.bsky.social","Chicago ✊","2025-06-14T22:39:38.823Z"
"voteruthlessly.bsky.social","So proud to be a part of this amazing morning. Location ocean beach San Francisco #nokings","2025-06-14T20:46:19.576Z"
"voteruthlessly.bsky.social","FOTUS is deploying the military to attack citizens who are peacefully protesting. Just like millions of us will be doing for NO KINGS Day next Saturday. He is using this tactic to scare us. No way! We will not be deterred. See you on the streets America! #FOTUSIsACriminal","2025-06-08T13:24:48.695Z"
"voteruthlessly.bsky.social","He didn't send the National Guard when this happened.","2025-06-08T20:36:56.704Z"
"voteruthlessly.bsky.social","Looks like ye old yam tits woke up and shit the bed this morning. Again. 🙄 A red lightsaber certainly seems appropriate. #Dumbass","2025-05-04T18:28:29.865Z"
"voteruthlessly.bsky.social","In a world full of the likes of Karoline Leavitt and MTG, be Eleanor Roosevelt. Credit: author Kerry Chaput","2025-04-20T21:02:14.291Z"
"voteruthlessly.bsky.social","I said my main goal of this trip was to meet with Kilmar. Tonight I had that chance. I have called his wife, Jennifer, to pass along his message of love. I look forward to providing a full update upon my return.","2025-04-18T01:02:08.991Z"
"voteruthlessly.bsky.social","US Senator Van Hollen meets with Kilmar Abrego Garcia He’s alive! www.nytimes.com/2025/04/17/u...","2025-04-18T02:20:21.188Z"
"voteruthlessly.bsky.social","How is it possible U.S. citizens are being held as illegal aliens in America even after they produce their birth certificate? This is intolerable. www.nbcnews.com/news/latino/...","2025-04-18T00:13:21.155Z"
"voteruthlessly.bsky.social","People are frustrated with the GOP and it is now showing up in town halls. Let’s make sure this shows up at the polls. apnews.com/article/repu... Angst pervades a pair of Republican town halls — one in Trump country, the other in a swing state","2025-03-16T20:19:43.726Z"
"voteruthlessly.bsky.social","The White House says it ignored a court order to turn around 2 planeloads of accused Venezuelan gang members because the flights were over international waters and therefore the ruling didn't apply This headed to the Supreme Court Court www.axios.com/2025/03/16/t...","2025-03-16T20:16:37.983Z"
"voteruthlessly.bsky.social","How much longer til America is great?","2025-03-11T23:44:23.001Z"
"voteruthlessly.bsky.social","Funny....All of a sudden, no one's performing arbitrary sex-change operations on unexpecting grade-schoolers anymore.","2025-03-12T00:28:17.227Z"
"voteruthlessly.bsky.social","Jimmy Kimmel Fires Back at Elon Musk: ‘At Least My Children Like Me.’ Kimmel clapped back to a recent insult from Musk by bringing up his strained relationship to one of his children. apple.news/ACxvgWTczRl2...","2025-03-08T17:45:23.269Z"
"voteruthlessly.bsky.social","#DOGE vulture capitalists have a conspiracy going with #SocialSecurity as per higher ups just let go. Their ultimate goal is to dismantle it to the point where it doesn’t function/stop checks from going out completely in a few months. Then, they want to privatize it to make a buck on Wall Street.","2025-03-08T14:15:47.913Z"
"voteruthlessly.bsky.social","President Zelenskyy has been one of the greatest leaders of our time, guiding Ukraine through the darkest period of its recent history, rising up to Russia’s unwarranted aggression, being an inspiration to the Ukrainian people and ensuring that Ukraine’s voice is heard on the world stage.","2025-02-20T00:14:43.177Z"
"voteruthlessly.bsky.social","Don’t you just love how the people who wanted school open during the pandemic think we don’t need a Department of Education?","2025-02-16T23:11:16.563Z"
"voteruthlessly.bsky.social","More of this, please! 👏👏👏","2025-02-15T19:33:18.610Z"
"voteruthlessly.bsky.social","Who is televangelist Paula White? Reuters investigated and has the details. If you aren't already following @reuters.com, you absolutely have to! Now let's dig in... 1/","2025-02-15T16:20:47.166Z"
"voteruthlessly.bsky.social","They aren't even trying to hide it now.","2025-02-15T03:31:59.103Z"
"voteruthlessly.bsky.social","It's day 22 and he still doesn't have a plan to lower your prices.","2025-02-12T14:59:25.937Z"
"voteruthlessly.bsky.social","Protect this law at all costs ! www.nbcnews.com/politics/don...","2025-02-12T19:13:24.113Z"
"voteruthlessly.bsky.social","""""I will bring down inflation on day one."""" 😂😂😂😂","2025-02-12T16:06:16.010Z"
"voteruthlessly.bsky.social","Hey MAGA, anyone want to explain to me why getting rid of the agency that has prevented another 2008-style financial crisis is a good thing?","2025-02-10T11:48:08.798Z"
"voteruthlessly.bsky.social","These accidents keep happening.","2025-02-06T14:57:06.933Z"
"voteruthlessly.bsky.social","NEW: Shortly after Pam Bondi was sworn in Wednesday, Georgia Secretary of State Brad Raffensperger asked her to drop the Department of Justice’s lawsuit challenging the state’s 2021 voter suppression law, S.B. 202. I warned you, Raffensperger is no hero. He is a GOP vote suppressor.","2025-02-06T18:01:24.540Z"
"voteruthlessly.bsky.social","happy first birthday to Bluesky, and what a year it's been! with every day, the need for an open network that puts people first becomes increasingly clear. we're glad to be building this with you. after all, the heart of a social network is the people.","2025-02-06T17:49:48.981Z"
"voteruthlessly.bsky.social","I’ve got the morning shift. This guy is dangerous and unfit to serve and I’m about to explain why. Tune in: www.senate.gov/legislative/...","2025-02-06T12:53:35.302Z"
"voteruthlessly.bsky.social","You can’t spell FELON without ELON.","2025-02-05T16:04:44.286Z"
"voteruthlessly.bsky.social","Uhhhh…","2025-02-05T18:31:22.993Z"
"voteruthlessly.bsky.social","This !!","2025-02-05T17:47:19.558Z"
"voteruthlessly.bsky.social","Crockett: """"If feels as if y'all have just decided that y'all are gonna castrate your constitutional duty & hand it over to someone who was unelected. It doesn't matter how many cheerleaders he had on the field campaigning for him. That doesn't mean he gets to go in and sit atop any of our agencies""""","2025-02-05T17:58:30.179Z"
"voteruthlessly.bsky.social","Today’s front page of the largest newspaper in Quebec, Canada and they nailed it 🤣🎯","2025-02-04T00:23:17.846Z"
"voteruthlessly.bsky.social","🚨BREAKING: Higher Ed groups, workers, and Baltimore, repped by @democracyforward.bsky.social file federal lawsuit to block Trump’s D.E.I. Executive Orders as violating U.S. Constitution. Sign up to Democracy Docket for free to stay informed. www.democracydocket.com/me-subscribe...","2025-02-04T01:32:05.248Z"
"voteruthlessly.bsky.social","Trump must have seen something familiar in these guys. Can't imagine what that might be. 💁‍♀️","2025-02-03T23:20:15.883Z"
"voteruthlessly.bsky.social","Finally! Signs of opposition life.","2025-02-03T23:17:16.619Z"
"voteruthlessly.bsky.social","I’ve got to agree with the Wall Street Journal editorial board this time.","2025-02-01T19:42:36.540Z"
"voteruthlessly.bsky.social","Starting today, Donold’s idiotic 25% tariff hike on imports from Canada and Mexico (and 10% on China) is set to make life more expensive for every American. Even his own voters are furious over what they voted for. Let’s break down this economic self-own.","2025-02-01T17:07:35.938Z"
"voteruthlessly.bsky.social","It's not a game show and it's not reality TV. It's real life and Duffy, like all the rest, is unqualified to be there.","2025-02-01T00:41:08.845Z"
"voteruthlessly.bsky.social","In no way is Kash Patel qualified to even be a meter maid, let alone lead our nation's highest law enforcement agency.","2025-01-31T15:40:44.144Z"
"voteruthlessly.bsky.social","The head of the FAA was fired because he held Elon Musk accountable for SpaceX safety omissions. Donald and Elon don't care about regular Americans dying in plane crashes, they only care about themselves getting richer.","2025-01-31T02:23:01.394Z"
"voteruthlessly.bsky.social","The OK State Board of Ed. has proposed new rules. Among them is requiring the citizenship status of FAMILY enrolling their children in school, to “help assess statewide educational needs like language barriers & tutoring programs.” DO NOT BELIEVE THEM They’re gonna turn them in to ICE.","2025-01-31T13:25:36.695Z"
"voteruthlessly.bsky.social","Best use of this movie's audit track yet! Show @caladrius25-erinj.bsky.social some Blue Sky love for her work!","2025-01-31T15:16:59.216Z"
"voteruthlessly.bsky.social","Unfucking believable. 🤬","2025-01-31T15:15:25.536Z"
"voteruthlessly.bsky.social","Gosh, I remember when we had an actual president instead of a loudmouth bully who won't take responsibility for his actions.","2025-01-30T20:57:32.099Z"
"voteruthlessly.bsky.social","Compelling. Insightful. Fascinating to watch. And then he opened his mouth. 🤦‍♀️ 🤣 Props to @sarahhesterross.bsky.social for this glorious video. Give her some love on Blue Sky! 👏","2025-01-31T01:47:29.739Z"
"voteruthlessly.bsky.social","Kimberly Gargoyle was horrified to learn she's not in the musical 'Grease', but rather in the country Greece.","2025-01-29T05:26:33.606Z"
"voteruthlessly.bsky.social","I’ve introduced a resolution to the 8th Amendment, clarifying that if someone is as fucking stupid as Andy Ogles, launching them into the sun is not considered cruel or unusual punishment","2025-01-24T03:52:56.357Z"
"voteruthlessly.bsky.social","Right out of the gate they are detaining U.S. citizens and saying their “papers”are fake. It was always a lie.","2025-01-23T23:30:50.509Z"
"voteruthlessly.bsky.social","Love to see it","2025-01-23T19:17:30.334Z"
"voteruthlessly.bsky.social","I see that Melania chose to wear her Hamburglar hat to honor the criminals in the nation--and next to her.","2025-01-20T17:15:44.309Z"
"voteruthlessly.bsky.social","True leaders will always lead. Even in the face of loss, adversity, and strife. Thank you, Madam Vice President. 💙","2025-01-20T18:59:58.487Z"
"voteruthlessly.bsky.social","Ketamine is a hell of a drug.","2025-01-20T18:06:59.166Z"
"voteruthlessly.bsky.social","Pete Hegseth Crashes Golf Cart Into Inauguration Stage theonion.com/pete-he...","2025-01-20T15:10:00.000Z"
"voteruthlessly.bsky.social","Precisely. We have been saying this about Trump's plans for months now. He can't do half of what he claims he's going to do unilaterally. He doesn't have the authority. #FDJT","2025-01-20T17:29:54.406Z"
"voteruthlessly.bsky.social","Protection for those that did the hard work is more than warranted. 👏👏👏","2025-01-20T17:28:33.214Z"
"voteruthlessly.bsky.social","Reproductive rights leader and icon Cecil Richards has died. She fought for those rights to the very end. She will be missed. 💙 19thnews.org/2025/01/ceci...","2025-01-20T16:45:12.071Z"
"voteruthlessly.bsky.social","Hegseth with close friend at his side, for courage.","2025-01-20T16:37:21.131Z"
"voteruthlessly.bsky.social","New presidential seal released.","2025-01-19T18:26:00.795Z"
"voteruthlessly.bsky.social","A lesson from the TikTok Affair should be that bipartisan efforts to preserve U.S. national security are vulnerable to the incoming president getting bought off and switching sides for his own personal and political benefit. Not great!","2025-01-19T14:24:25.435Z"
"voteruthlessly.bsky.social","here's today's post: """"elderly Florida resident too frail to be outdoors in the cold"""" — cry me a river, cultists. thanks for reading, and please sign up for my daily newsletter to keep getting the good stuff —","2025-01-19T16:20:36.796Z"
