"user","post","date"
"wellwattayaknow.bsky.social","Some of our black eyes Susans from 2025. The colour is so brilliant.","2026-02-17T13:18:27.534Z"
"wellwattayaknow.bsky.social","🇪🇪🇪🇺 Any Russian soldier fighting in Ukraine can still apply for a Schengen visa or obtain a residence permit in the EU under normal procedures. This must be prevented, — Le Monde citing Estonian Foreign Minister","2026-02-16T12:40:28.284Z"
"wellwattayaknow.bsky.social","This is not something to be proud of. The American peace efforts are confusing and arbitrary for the moment - much like Hungary's position on many things. I hope that Orban has chosen sides wisely - for the sake of Hungarians.","2026-02-16T14:32:55.539Z"
"wellwattayaknow.bsky.social","Roderich Kiesewetter once again speaking out clear facts: Russia must be defeated on Ukrainian soil & completely pushed out of Ukraine. To achieve this, Europe must support Ukraine much more strongly with air defense, but above all with long-range systems such as Taurus among others.","2026-02-15T22:12:24.331Z"
"wellwattayaknow.bsky.social","In Canada when Children die, politics are pushed aside. #cdnpoli","2026-02-15T10:24:58.474Z"
"wellwattayaknow.bsky.social","Chantal Hébert on Trump's Gordie Howe bridge rant: """"In the end there was not a single sentence of his statement that stood the test of reality."""" #cdnpoli","2026-02-15T11:31:41.380Z"
"wellwattayaknow.bsky.social","Given this perspective Russia's gains at the negotiating table are the result of American efforts. Ukraine is certainly not receiving any concessions or consideration at the table.","2026-02-15T15:01:00.203Z"
"wellwattayaknow.bsky.social","It seems to be American propaganda. His mention of migration suggests that nothing has changed - same bigotry that is part of Trump's viewpoint.","2026-02-14T16:27:24.390Z"
"wellwattayaknow.bsky.social","⚡️ Zelenskyy and NATO chief warn Russia uses peace talks to pursue its aims","2026-02-14T14:04:26.185Z"
"wellwattayaknow.bsky.social","Canadian bacon curling","2026-02-14T15:07:22.126Z"
"wellwattayaknow.bsky.social","The truth behind Trump and Nutlick's outburst and attack on Canada and the Gordie Howe Bridge! Once again, corruption is at the root of it all. #cdnpoli","2026-02-14T12:12:37.013Z"
"wellwattayaknow.bsky.social","""""I have searched the depths of Legal Arguments."""" No. He hasn’t. Or he would have learned the following.👇","2026-02-14T11:47:59.058Z"
"wellwattayaknow.bsky.social","Omar's rhetoric does not help. Her vitriol is as bad and unseemly as Trump's rants.","2026-02-14T15:06:58.680Z"
"wellwattayaknow.bsky.social","Ukrainians are heroes for what they are forced to endure. The world is letting down Ukraine and humanity. That's the world we live in now.","2026-02-14T15:05:01.549Z"
"wellwattayaknow.bsky.social","Ukraine has real life experience and not books and exercises. It is foolish to ignore that experience at all levels of the Ukraine armed forces. But Europe will ignore that experience given their belief that their experience in a war 80 years ago is equal min value. Valuable yes. Current to now no.","2026-02-14T15:03:24.747Z"
"wellwattayaknow.bsky.social","Unfortunately the rhetoric from many """"friends"""" and """"allies"""" doesn't match what is happening. Yet these allies and friends can place expectations on Ukraine for its behaviour to gain membership to EU or NATO. Hypocrisy.","2026-02-14T15:01:07.965Z"
"wellwattayaknow.bsky.social","Yes and it seems that relying on aircraft to hunt drones is not very efficient and costly.","2026-02-14T14:53:17.486Z"
"wellwattayaknow.bsky.social","So Graham what are you going to do other than support Trump's delays.","2026-02-13T23:31:07.783Z"
"wellwattayaknow.bsky.social","The Americans are preparing to sell out Ukraine and the rest of Europe. Trump has done little toto accomplish a peace agreement. He has been more an obstacle and distraction from peace talks. The Europeans need to take up the slack quickly and stop being concerned about US.","2026-02-13T23:29:40.883Z"
"wellwattayaknow.bsky.social","The Americans have different priorities than Europe. If ending the war in Ukraine was important then the scheduling conflict would have been resolved to allow Rubio to attend the meeting on Ukraine. We have no idea whether a conflict was actual or a convenient excuse.","2026-02-13T23:27:22.750Z"
"wellwattayaknow.bsky.social","Putin and Lavrov speak of the agreement between Russia and the United States that was made in Alaska. Russia wants that agreement implemented. The agreement met Russia's demands. That's what Trump wants Ukraine to accept.","2026-02-13T23:22:26.802Z"
"wellwattayaknow.bsky.social","🇺🇦 If Russia only agrees to freeze the conflict without clear guarantees, then this is a pause before a new war. We have already been through this after 2014. We do not need another “Minsk” that will give Russia time to prepare, — Zelensky","2026-02-13T20:22:47.055Z"
"wellwattayaknow.bsky.social","❗️Zelensky: """"We have made many compromises. Putin and his friends are not in prison (!). This is the biggest compromise that the world has already made.""""","2026-02-13T20:51:45.911Z"
"wellwattayaknow.bsky.social","How is it that Ukraine can't obtain armaments? Are none being manufactured? Are other countries hoarding armaments?","2026-02-13T23:18:16.536Z"
"wellwattayaknow.bsky.social","🇺🇦🙏 I continue to receive many threats from Russians. I believe that these Games now and this step of the IOC also serve as a propaganda tool for Russia, — Ukrainian skeletonist Vladyslav Heraskevych.","2026-02-13T22:06:11.118Z"
"wellwattayaknow.bsky.social","President Zelensky said Ukraine has made many compromises and called the fact that Putin and his associates are not in prison the biggest compromise the world has already made. He said Kyiv agreed to an unconditional ceasefire proposed by Trump, but Putin refused. #Ukraine","2026-02-13T22:21:47.970Z"
"wellwattayaknow.bsky.social","President Zelenskyy puts a lot of energy into attempting to include the United States. It is up to the United States to get involved in a solution but their involvement is spotty.","2026-02-13T23:06:34.474Z"
"wellwattayaknow.bsky.social","The Americans have a history of being unreliable. Just another example of them putting their interests and Russia's interests ahead of ending the war.","2026-02-13T23:05:01.542Z"
"wellwattayaknow.bsky.social","🇨🇦 The Swedish curlers accused Canada of cheating. The Canadian curlers didn't take the accusation lightly and spoke the truth back to the Swedes - in language that had to be beeped on CBC. People are saying: Canadians are nice until they're not. We are not always polite.","2026-02-13T23:02:53.611Z"
"wellwattayaknow.bsky.social","The IOC seems less and less a decent agency. Between the doping issues by Russia to the killing of hundreds of Ukrainian athletes Russia deserves to be expelled from the IOC. I admire Vladislav - he lives by his values. Slava Ukraini! www.ucc.ca/2026/02/12/u...","2026-02-12T19:11:51.422Z"
"wellwattayaknow.bsky.social","The civil servants who keep the United States operating despite the behaviour of Trump and his supporters are heroes. I think sitting through the lies and antics is soul killing.","2026-02-12T11:44:25.075Z"
"wellwattayaknow.bsky.social","Pamela Jo Bondi coldly ignoring the Epstein survivors as she memorizes her next irrelevant lie to protect one of the main perpetrators.","2026-02-11T17:18:15.029Z"
"wellwattayaknow.bsky.social","Bad Bunny was full of energy and wonderful music. I don't speak Spanish but I really like the music.","2026-02-12T11:40:37.709Z"
"wellwattayaknow.bsky.social","A reminder: The Attorney General of the United States should be the people's lawyer, not the president's personal attorney. The Department of Justice should act to protect the public, not the occupant of the Oval Office and his political allies.","2026-02-11T16:13:30.780730Z"
"wellwattayaknow.bsky.social","Raskin: """"I want the whole country to look at this. This is the attorney general of the US whose job is law enforcement. We've never had a witness who has misunderstood our rules and been unable to conform his or her conduct to our rules before. Excuse me.""""","2026-02-11T17:31:40.958Z"
"wellwattayaknow.bsky.social","🇨🇦🇺🇦 Russia embraced doping as a means to look superior in sports. They have killed thousands of Ukrainians including men and women aspiring to be athletes at the Olympics. Honouring these athletes killed by Russians is in the spirit of the Olympics - just not the aged leaders of the IOC.","2026-02-12T11:37:23.411Z"
