"user","post","date"
"werms72.bsky.social","www.aol.com/articles/bil...","2026-02-04T20:05:54.422Z"
"werms72.bsky.social","So now I read in today’s paper that ICE gets around the “three day rule” here in Orlando where a detainee can only be kept in Orlando’s jail for 72 hours without charges. It seems as if they take them to an ICE facility, hold them, then bring them back and RE BOOK them to get around the law!","2026-02-04T13:34:01.935Z"
"werms72.bsky.social","Maybe Maduro gave him a few hints about the voting process in Venezuela.","2026-02-03T15:37:09.406Z"
"werms72.bsky.social","Here’s Stephanie. She posts a slur against Democratic senators, then blocks replies. Don’t be like Stephanie.","2026-01-30T23:33:40.440Z"
"werms72.bsky.social","FBI is raiding the Elections Office in heavily Democratic Fulton County, Georgia, right now. If you think we’re going to have fair elections this November and take over the House, you certainly haven’t been paying attention.","2026-01-28T19:58:49.079Z"
"werms72.bsky.social","Vice President Vance supports taking a 5 year old into custody. IF he runs for President, EVERY SINGLE AD against him should include this statement.","2026-01-23T16:33:04.783Z"
"werms72.bsky.social","I was in the military. I would refuse these orders.","2026-01-21T17:24:13.396Z"
"werms72.bsky.social","Never in my life did I think I would see a headline like this in our country.","2026-01-20T14:02:04.892Z"
"werms72.bsky.social","If you people want to scream about impeachment and releasing the Epstein files do it on your own god damn timeline because I have NO patience for that Pollyanna shit anymore.","2026-01-14T20:22:10.655Z"
"werms72.bsky.social","I can’t believe they have the Director of ICE on Meet the Press spewing his propaganda that the murder of the driver in Minneapolis was self defense. And she just nods her head….","2026-01-11T15:08:04.352Z"
"werms72.bsky.social","@marcelias.bsky.social Mark, DeSantis is at it again with his special session to redistrict Florida. Please save us!!!!","2026-01-09T06:22:16.236Z"
"werms72.bsky.social","Flash back to 1940. Roosevelt meets Churchill, calls Hitler.","2025-12-29T12:40:01.496Z"
"werms72.bsky.social","Imagine going to your swearing in ceremony after going through all the LEGAL steps to become a citizen. Let’s guess the skin color, or religion of those denied?. The Statue of Liberty is weeping today.","2025-12-10T13:35:52.447Z"
"werms72.bsky.social","So Trump wins the INAUGURAL FIFA Peace Prize. 😂😂😂😂😂😂😂","2025-12-05T19:35:11.990Z"
"werms72.bsky.social","So our totalitarian government is up to 30 countries whose citizens can’t travel to the U.S. Shades of the 1950’s Iron Curtain.","2025-12-02T17:42:13.527Z"
"werms72.bsky.social","We obviously have a moron as a sportswriter here in Orlando. Haven’t we suffered enough with Tommy Tuberville?","2025-10-02T17:28:27.757Z"
"werms72.bsky.social","Under this Administration, only the dumbest can serve.","2025-09-04T15:22:55.153Z"
"werms72.bsky.social","What in the world has happened to my state? I love the beaches. Living here, but now it’s time to go.","2025-09-03T20:42:43.447Z"
"werms72.bsky.social","Deflect, Deflect, Deflect","2025-09-02T20:32:00.164Z"
"werms72.bsky.social","""""Gavin Newsom’s #viral all-caps, dɯnɹꓕ-style posts are actually crafted by 29-year-old strategist Camille Zapata. Raised in Stockton, she started in #politics with then-Mayor Michael Tubbs and has become a key digital voice in #California ⭐ 🏄 👩🏻‍💻."""" www.youtube.com/watch?v=E7Hb...","2025-08-25T06:26:53.225Z"
"werms72.bsky.social","www.facebook.com/reel/1222316...","2025-08-25T06:29:33.845Z"
"werms72.bsky.social","They act like they like each other, but they’ve never been “close”. Will be interesting to see where this goes.","2025-08-20T14:49:08.819Z"
"werms72.bsky.social","The little things the government is slipping through on us. 1. The Labor Department is suggesting lower than minimum wage for home healthcare workers, plus no overtime pay. 2. Migrant farm workers with an H-2A visa would no longer be required to wear seat belts while being driven","2025-07-23T13:46:16.031Z"
"werms72.bsky.social","We have gone full Nazi.","2025-07-21T22:01:30.920Z"
"werms72.bsky.social","I don’t always agree with Governor Newsom, but he’s using language EVERY Democrat should use in describing the Trump administration.","2025-07-20T19:25:41.916Z"
"werms72.bsky.social","If I’m Skenes agent I’m getting him out of Pittsburgh. They’re a pathetic team, and he deserves better.","2025-07-07T00:03:43.276Z"
