"user","post","date"
"weshightower.bsky.social","Can I come pick you up for a late night drive? 🛞","2025-12-24T03:56:12.274Z"
"weshightower.bsky.social","Hold on, these are the """"we don't have to bake your gay wedding cake"""" people?","2025-09-16T02:53:54.998Z"
"weshightower.bsky.social","No","2025-09-11T04:31:47.567Z"
"weshightower.bsky.social","Ossoff: Did anyone really think the sexual predator president who used to party with Jeffrey Epstein was going to release the Epstein files?","2025-07-12T21:20:29.834Z"
"weshightower.bsky.social","Kash Patel, Dec 2023: """"What the hell are the House Republicans doing? They have the majority. You can’t get the list?...Put on your big boy pants, and let us know who the pedophiles are."""" The """"black book"""" is """"under direct control of the director of the FBI...Release it all."""" Kash Patel today:","2025-07-12T22:20:45.382Z"
"weshightower.bsky.social","Now do the pee pee tapes…","2025-02-25T11:16:22.043Z"
"weshightower.bsky.social","France saved us from the Britain in the 18th century. We saved them from Germany in the 20th. And now there trying to save us from Trump in the 21st.","2025-02-26T01:23:43.273Z"
"weshightower.bsky.social","🤮","2025-02-26T06:11:57.561Z"
"weshightower.bsky.social","I shouldn’t laugh at this but I somehow needed to.","2025-02-07T18:30:10.212Z"
"weshightower.bsky.social","Meet Jimmy. Jimmy builds houses for the homeless. Be like Jimmy.","2024-12-31T02:55:46.400Z"
"weshightower.bsky.social","Exactly. I miss when Twitter was a site where I could find news before it was a headline. Now it’s just a far-right shitshow.","2024-12-29T16:53:14.613Z"
"weshightower.bsky.social","hey! it's me!","2024-11-25T03:27:55.771Z"
"weshightower.bsky.social","Game. Set. Match.","2024-12-20T00:39:28.236Z"
"weshightower.bsky.social","TIME magazine’s ‘Person of the Year.’","2024-12-13T00:30:32.528Z"
"weshightower.bsky.social","Posted this at the old place, but thought folks on @bsky.app might like to know I finally met my """"mother"""".","2024-12-12T22:56:08.063Z"
"weshightower.bsky.social","Alphaville wrote this song during the Cold War and is a song for the times we're living in now. #USDemocracy youtu.be/oNjQXmoxiQ8?...","2024-12-12T19:34:07.750Z"
"weshightower.bsky.social","Together with @prep4allnow.bsky.social, GLAAD has joined together with 100+ advocacy and nonprofit organizations to petition Congress to reject $700M of proposed cuts to HIV funding. Sign the petition now at GLAAD.org/WorldAIDSDay","2024-12-02T18:42:20.264Z"
"weshightower.bsky.social","For the first time in history, the White House displayed the AIDS Memorial Quilt on the South Lawn on Sunday, marking an extraordinary and emotional #WorldAIDSDay ceremony.","2024-12-02T18:29:53.076Z"
"weshightower.bsky.social","A top White House official on Wednesday said at least eight U.S. telecom firms and dozens of nations have been affected by a Chinese hacking campaign. www.stripes.com/theaters/us/...","2024-12-04T21:22:59.327Z"
"weshightower.bsky.social","The Voyager 1 spacecraft is functioning normally again after the aging probe's dwindling power supply triggered a communications blackout. It's one of several challenges faced by the spacecraft this year.","2024-12-04T00:07:14.324Z"
"weshightower.bsky.social","BEHOLD! I bring you tidings of great joy. Deranged MAGA psychopath Marjorie Taylor Greene and unhinged MAGA lunatic Laura Loomer are still at each other’s throats, and lo, it getting good.","2024-12-04T21:30:22.252Z"
"weshightower.bsky.social","""""It's bad to leave Twitter because-"""" We live in a society run by weird little billionaires who would prefer we are all unhappy so we keep spending to get occasional hits of dopamine. It is okay to leave the website that makes you feel horrible. Go & be free.","2024-12-01T18:59:36.206Z"
"weshightower.bsky.social","Politely hidden behind construction hoarding, razor wire and a gauze of scaffolding, “Our Lady of Paris” has been healing.","2024-12-01T03:08:34.726Z"
"weshightower.bsky.social","After tumblr died but before it was declared dead*, the site became mostly a Pig Wrestling** platform. * Tumblr is actually very much alive and quite cool now. ** As in the old adage, Never wrestle with a pig. You get dirty and the pig likes it. Anyway, twitter has entered its Pig Wrestling Era.","2024-12-01T15:03:08.286Z"
"weshightower.bsky.social","So glad Bluesky is cracking down on impersonators and parody accounts. NOTE: Since no one can prove God is real, I am therefore not an impersonation or a parody. Hi, I’m God.","2024-12-01T15:56:54.041Z"
"weshightower.bsky.social","EUROPA CLIPPER HAS SUCCESSFULLY DEPLOYED ITS ICE-PENETRATING RADAR!!! ❄️","2024-11-25T17:33:37.349Z"
"weshightower.bsky.social","Wesley Andrew Hightower on Facebook","2024-11-24T20:31:27.127Z"
"weshightower.bsky.social","We already have 50,000+ followers on @bsky.app. Thank you all for joining us in remembering and honoring the victims of Auschwitz. Thank you for amplifying our voice. This engagement is vital as it helps us educate the world about the tragic history of the camp. We remember together.","2024-11-24T08:59:10.929Z"
"weshightower.bsky.social","This isn’t just The Good Place. It’s The Resistance Place.","2024-11-24T09:50:26.498Z"
"weshightower.bsky.social","Same with me. For over a decade, there’s never been a site to reliably curate news other than Twitter. In just the last few days, I’ve seen news break here before I saw it on Twitter.","2024-11-23T20:25:07.646Z"
"weshightower.bsky.social","""""Don't quote me, and don't quote me as not wanting to be quoted."""" #QuotableQuote","2024-11-23T21:43:02.704Z"
"weshightower.bsky.social","Okay, y’all… I have finally decided that retreat is the better part of valor. Bringing some rainbow energy over to these blue skies. #bydhttmwdi","2024-11-18T19:43:02.576Z"
"weshightower.bsky.social","Thanks for noticing.","2024-11-17T23:05:35.273Z"
"weshightower.bsky.social","@versof.bsky.social pls add me","2024-11-24T19:01:56.208Z"
"weshightower.bsky.social","One of my favourite poems.","2024-11-23T19:55:59.110Z"
"weshightower.bsky.social","@gaysof.bsky.social Pls add me","2024-11-24T18:06:58.638Z"
"weshightower.bsky.social","(Finally) escaping twitter reminds me of this mystic I once read who said that the gates of hell are always open for those who are ready to leave.","2024-11-24T17:35:56.363Z"
"weshightower.bsky.social","An assertive group of cross-country travelers pinned and duct-taped an unruly passenger mid-flight this week after he allegedly tried to force open a plane door at 30,000 feet, according to public safety records and someone onboard.","2024-11-21T21:46:36.919Z"
"weshightower.bsky.social","Looking for chat, friendship, and conversations. Looking for more than a hookup or playdate. All the Gay apps and dating sites are boring and predictable. Hit me up if you you actually want to connect.","2024-11-21T21:35:49.334Z"
"weshightower.bsky.social","A new movie from the Chandra X-ray Observatory shows a pulsar blowing out a 10-trillion-mile-long jet of matter and antimatter. Which is cool, but the PR folks are calling it a """"flame-throwing guitar,"""" which is making me wonder if everybody's OK at NASA. 🧪🔭 chandra.cfa.harvard.edu/photo/2024/g...","2024-11-21T04:33:25.662Z"
"weshightower.bsky.social","Imaging a dark nebula is like trying to take a picture of a black cat, at night, with his eyes closed, 2 miles away. Hard to spot and even harder to image. Meet Barnard 150 (B150) a dark nebula called the Seahorse in Cepheus.🔭 #astrophotography","2024-11-21T13:26:51.990Z"
"weshightower.bsky.social","I just don’t understand why, as an adult, no one is giving me a personal pan size pizza everytime I read ten books. 🤔","2024-11-21T03:03:39.899Z"
"weshightower.bsky.social","The hubris is apparent to all, and it will prove his undoing.","2024-11-21T10:11:36.764Z"
"weshightower.bsky.social","A friend of mine asked for a dozen roses to give her partner for their birthday next week. Hopefully these will bring a smile to her face. #3Dprinting","2024-11-21T10:44:26.879Z"
"weshightower.bsky.social","JUST IN: Former GOP Rep. Matt Gaetz is withdrawing from consideration to be President-elect Donald Trump's attorney general. cnn.it/4fEA1IY","2024-11-21T17:45:02.417Z"
"weshightower.bsky.social","Someone spray some Mace.","2024-11-20T16:04:23.617Z"
"weshightower.bsky.social","What happened here with Don Jr at the SpaceX launch today","2024-11-20T02:43:17.671Z"
"weshightower.bsky.social","Rep. Jasmin Crockett is always 🔥","2024-11-20T08:35:31.762Z"
"weshightower.bsky.social","I heard that Andrew Tate tried to come stretch his awkward wings here and got banned in just one day. Sorry, hate has no home here. Stay in the bad place, thanks.","2024-11-20T15:29:42.728Z"
"weshightower.bsky.social","I just want to live longer than twitter.","2024-11-15T17:11:16.734Z"
"weshightower.bsky.social","recent photos of jupiter from juno ☁️","2024-11-15T03:41:21.278Z"
"weshightower.bsky.social","Howdy from Augusta, Georgia, USA","2024-11-14T22:01:58.617Z"
