"user","post","date"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-02-17T15:17:34.106Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com i prefer not to eat the rich, cannibalism is just unsavory. and since the gop or democrats dont want to tax them there is an alternative. #artists #guillotines","2026-02-16T18:50:21.742Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com immigrants are not the problem the problem is the same as its always been, the rich. its time to tax them out of existence. #artists #taxtherich","2026-02-16T15:02:13.129Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pendants $16 #artists #nokings #iceout","2026-02-15T16:21:15.252Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum pins $12 pendants $16 earrings $22 #artists #iceout","2026-02-15T11:49:33.709Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-02-14T19:04:25.508Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum pendants $16 earrings $22 #artists #antifa","2026-02-14T15:19:23.323Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com this weeks best sellers..ive sold alot #artists #iceout #antifa","2026-02-12T11:36:54.183Z"
"wild999.bsky.social","i dont work in silver for various reasons. its heavy, tarnishes and super expensive. most silver artists make small pieces because of the cost. i make big shit. i work in aluminum so even big earrings are weightless, it does not tarnish and i can keep my prices down.","2026-02-10T19:14:30.373Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pins $12 pendants $16 #artists #iceout","2026-02-10T17:38:27.992Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pins $12 pendants $16 #artists","2026-02-08T10:06:15.390Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com Pins $12 pendants $16 #artists #iceout","2026-02-07T17:31:37.301Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pins $12 pendants $16 earrings $22 #artists #guillotines #fucktrump #nokings","2026-02-06T12:41:36.787Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-02-05T16:54:21.178Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pendants $16 #artists #dsa","2026-02-05T09:58:31.044Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com i sold a bunch of pins. i made a pendant pins $12 pendants $16 #artists","2026-02-04T19:26:03.219Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pendant $16 #artists #iceout","2026-02-04T18:01:26.750Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pins $12 pendants $16 #artists #fucktrump #iceout #punchnazis","2026-02-02T14:07:38.656Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pins $12 pendants $16 #artists #resist #punchnazis","2026-02-01T12:53:41.345Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-30T16:32:12.975Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com Billy mother fucking Strings #artists #bmfs","2026-01-30T14:14:50.198Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-26T13:22:49.294Z"
"wild999.bsky.social","the democrats in the house voted to fund ice. no one in govt is going to stop the horrific actions of trump. the time to rise up is now. if you want a future then you must act","2026-01-25T09:57:14.635Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com we are a few hours from some serious ice and snow here in texas so this has a double meaning for me stay safe out there friends #artists #iceout","2026-01-24T10:28:21.706Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com i sold one of these to Minneapolis about an hour ago. to all of you out in the streets, you are heros. be brave be strong and be careful #artists #iceout","2026-01-24T08:17:15.902Z"
"wild999.bsky.social","i spent almost a third of my life in new orleans and i have heard iko iko by the nevile bros, wild magnolias even sunpie but the best version is always a bunch of white boys from s.f. . the good old grateful dead","2026-01-23T18:34:27.375Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #guillotines","2026-01-23T13:07:08.014Z"
"wild999.bsky.social","i loved living in Seattle most everyone had a good bit of cool. i am from s.f. were everyone is pretty cool but a lot of them are scary too","2026-01-22T18:35:49.975Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-22T17:12:01.630Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com i am one sale away from 3500 #artists #iceout","2026-01-22T12:16:24.899Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists","2026-01-21T16:40:34.073Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum pins $12 pendants $16 #artists #nokings","2026-01-21T12:16:02.386Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum bracelets $26 #artists","2026-01-20T18:28:49.399Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #dsa","2026-01-20T17:02:47.485Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #guillotines","2026-01-20T15:32:07.016Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists","2026-01-20T14:20:12.247Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com aluminum pins $12 #artists","2026-01-20T10:13:50.351Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-19T19:32:50.196Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum pin $12 #artists #iceout","2026-01-19T18:16:35.316Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com earrings $22 pendants $16 #artists #iceout #nokings","2026-01-18T13:46:00.979Z"
"wild999.bsky.social","i see alot of unusual and funny screen name come thru my etsy page . my favorite after all these years is Rolinda Dubie","2026-01-17T17:58:17.380Z"
"wild999.bsky.social","do it rudytuesdaydesigns.etsy.com #artists #punchnazis","2026-01-17T14:12:30.576Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #dsa #antifa","2026-01-17T13:24:51.621Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-17T10:25:29.702Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16","2026-01-16T16:53:01.669Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16","2026-01-16T13:45:34.748Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum cat pins $12 #artists #cats","2026-01-16T10:25:10.409Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum pins $12 #artists #taxtherich #resistance","2026-01-15T17:31:50.128Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #gratefuldead","2026-01-15T14:17:13.393Z"
"wild999.bsky.social","ann rice erick von danicken and david bowie cam into my life at probably 13","2026-01-14T20:18:42.248Z"
"wild999.bsky.social","there are some magatards here but really how much do you have to fear from some 34 year old incel living in his moms basement","2026-01-14T19:47:41.952Z"
"wild999.bsky.social","this is an example of maga infiltration","2026-01-14T19:42:36.024Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists #dsa","2026-01-14T19:38:20.563Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists","2026-01-14T17:41:16.389Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-14T11:03:27.048Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-14T09:47:19.205Z"
"wild999.bsky.social","im not a very good guitar player but i had a ibanez artist custom before it was stolen and i became zoso","2026-01-13T19:30:55.335Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum $16 #artists","2026-01-13T06:54:42.563Z"
"wild999.bsky.social","the first instrument i played was an old rosewood upright piano. i loved piano but it was the 60s i wanted a guitar. my first guitar bought at a pawnshop was a 57 telecaster radius neck and all loved it even used the nut guard as an ashtray","2026-01-12T19:20:33.580Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum $16 #artists #iceout","2026-01-12T15:55:19.905Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum necklaces $26 #artists #gratefuldead","2026-01-12T10:35:11.331Z"
"wild999.bsky.social","the long strange trip is over. thank you Bobby for all that you gave us. may the four winds blow you safely home.","2026-01-11T07:45:31.611Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-09T17:26:57.092Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #noice #resistance","2026-01-09T14:29:54.881Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists #punchnazis","2026-01-09T11:57:14.481Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists #noice","2026-01-09T10:52:18.578Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum $16 #artists","2026-01-08T17:59:49.561Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-08T15:16:38.637Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-07T18:35:23.753Z"
"wild999.bsky.social","gold is the finest metal for jewelry but the cost is...well. silver is junk metal it is heavy and freshly polished is beautiful but that polish fades fast and it turns black, great to work with from a makers perspective but the price is stupid. aluminum is the stuff.","2026-01-07T18:05:52.546Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-07T17:13:45.430Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16","2026-01-07T15:53:04.872Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum $16","2026-01-07T12:58:29.051Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com this spring i did not see the usual number of honey bees however they are back in big numbers now. i did plant a lot more flowers that are still blooming","2026-01-07T12:21:59.535Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $12 pins #artists #fucktrump #antifa","2026-01-06T16:29:23.030Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-05T17:28:04.208Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com if your a Sagittarius or an archer this is for you $16 #artists","2026-01-05T14:39:17.319Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-04T20:29:02.260Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #dsa","2026-01-04T12:47:04.990Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists","2026-01-04T07:54:06.916Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artiss #gratefuldead","2026-01-03T14:24:17.192Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists","2026-01-03T07:54:53.374Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artisit #guillotines","2026-01-03T06:45:41.284Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists #sociaism","2026-01-02T14:42:07.815Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-02T07:26:14.182Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2026-01-01T16:12:23.788Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $16 #artists #nokings","2026-01-01T12:55:07.276Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #orcas","2025-12-31T18:11:08.035Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com aluminum pins $11 #artists #cats #dogs","2025-12-31T14:21:47.983Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com dogs and cats Pins $11 earrings $21 #artists #dogs #cats","2025-12-30T16:26:41.203Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com pendants $16","2025-12-29T05:26:48.544Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com cats dogs and oh yea...fuck trump recycled aluminum pins $11 #artists #cats #dogs #fucktrump","2025-12-28T15:14:50.192Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2025-12-27T19:32:05.432Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com $11 pins #artists #caturday #dogs","2025-12-27T17:16:15.475Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com recycled aluminum dog pin $11 #artists #dogs","2025-12-27T16:32:19.349Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com i thought the paint brush symbolized artists but is a writing brush symbolizing educators but if you can do those asian letters with a brush your an artist to me #artists","2025-12-27T16:24:30.758Z"
"wild999.bsky.social","i have a few orders to get out and there will be a few from people who get etsy gift cards and then i get a break. after the new year its dog jewelry and some woke af pins and such. merry christmas my friends","2025-12-25T11:03:44.384Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com i have sold an unusually large number of these over the holiday shopping season and i dont know why. they are certainly a beautiful piece. aluminum cuff bracelet $26 #artists #orcas","2025-12-23T11:16:22.355Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com","2025-12-22T19:38:39.739Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com merry christmas happy solstice and fuck trump","2025-12-21T12:10:41.013Z"
"wild999.bsky.social","rudytuesdaydesigns.etsy.com #artists #taxtherich","2025-12-20T16:17:36.513Z"
