"user","post","date"
"wokeeverett.bsky.social","go.bsky.app/Gf9XM2v","2026-02-17T22:30:43.110Z"
"wokeeverett.bsky.social","A fantastic pack by my friend GG @whatifisaidit.bsky.social! These are amazing people 💙","2026-02-16T23:15:02.804Z"
"wokeeverett.bsky.social","Thank you Liz 😊 Stronger together 💪 💙 go.bsky.app/MPox27f","2026-02-16T23:49:13.457Z"
"wokeeverett.bsky.social","A fantastic pack by Marcie @mlipsitt.bsky.social. These are all amazing accounts 💪💙","2026-02-16T19:30:52.348Z"
"wokeeverett.bsky.social","An outstanding pack by @mrsdeborahlynn.bsky.social. These are all amazing accounts 💙","2026-02-16T22:45:09.434Z"
"wokeeverett.bsky.social","Watching the Olympics has really made this quite clear and truthful!","2026-02-16T02:55:18.496Z"
"wokeeverett.bsky.social","Yeah sure Storm the Capital, Change Laws of the Constitution, force Americans to get and pay for unobtainable requirements to vote..to weed out the (avg) of 4 illegal immigrant votes per Election","2026-02-15T15:04:47.916Z"
"wokeeverett.bsky.social","Definitely never address him as president. #USDemocracy","2026-02-14T17:39:58.847Z"
"wokeeverett.bsky.social","Thanks Don for the new Blue resisters!","2026-02-13T23:45:28.239Z"
"wokeeverett.bsky.social","Homan talks about the agents in Minnesota as being in theater and as they prepare to leave as a drawdown. Their use of military terms is because they believe they are in a war against all blue cities and states. Immigration is simply an excuse to invade every place trump lost! It's always about him!","2026-02-13T05:27:37.693Z"
"wokeeverett.bsky.social","A fantastic pack by my friend GG @whatifisaidit.bsky.social. These are all amazing people! 💙","2026-02-12T23:51:22.115Z"
"wokeeverett.bsky.social","Thank you dear Tricia @thewelshtaffy24.bsky.social 🙏🏻💙🥂 go.bsky.app/Vnoa3Xi","2026-02-12T23:12:34.582Z"
"wokeeverett.bsky.social","They send masked goons to terrorize our communities. They think fear will silence us. On March 28, we show them what real power looks like. Organized. Disciplined. Unbreakable. #NoKings2026 social.demcast.com/s/6vuDMPDi","2026-02-12T20:34:11.557Z"
"wokeeverett.bsky.social","A comment posted to an article by The Mirror on MSN titled """"Donald Trump accused of lying on Fox as viewers fume he's killing America"""". All credit to """"whoa whoa"""" for the spot on comment!","2026-02-12T05:17:24.532Z"
