"user","post","date"
"wolfie1414.bsky.social","substack.com/@parislychee...","2026-02-18T12:56:34.761Z"
"wolfie1414.bsky.social","Is it possible that MAGA IDIOTS are not aware that white people from South Africa are immigrants?","2026-02-18T11:27:56.951Z"
"wolfie1414.bsky.social","#NewYork 🚨 from #NY_AG","2026-02-17T20:43:47.383Z"
"wolfie1414.bsky.social","Sick, and this is going to kill people who served. The VA has overwritten PTSD disability levels based on if it can be treated with medication","2026-02-17T20:43:24.946Z"
"wolfie1414.bsky.social","#TrumpEpsteinFiles‼️‼️‼️ www.independent.co.uk/bulletin/new...","2026-02-17T20:41:57.990Z"
"wolfie1414.bsky.social","I keep thinking about all his comments on voter fraud. Here's a thought; If there was widespread voter fraud, don't you think that Democrats would have won in 2016, 2020 & 2024?","2026-02-17T00:58:44.623Z"
"wolfie1414.bsky.social","ICE reliance on Microsoft technology surged amid immigration crackdown, documents show Exclusive: ICE more than tripled the amount of data stored in Microsoft’s cloud at the same time that its arsenal of surveillance technology ballooned. The Guardian: apple.news/AX9GnlgnuSD6... 🔥😡🔥😡","2026-02-17T19:17:58.222Z"
"wolfie1414.bsky.social","And with the money is being stashed in a Qatari bank account.","2026-02-17T16:36:29.467Z"
"wolfie1414.bsky.social","👇","2026-02-17T19:29:03.187Z"
"wolfie1414.bsky.social","Since October, federal courts have ruled more than 4,400 times that ICE is illegally jailing immigrants. Now the agency wants to spend $38B to turn warehouses across the country into detention camps. Remember that some of Trump's biggest supporters are private prison companies running these camps.","2026-02-17T19:15:17.074841Z"
"wolfie1414.bsky.social","This is a bombshell: One of Epstein's victims accused Trump of sexually and violently assaulting her when she was """"13 to 15"""" and the FBI deemed her credible enough to warrant an interview.","2026-02-17T04:15:45.709Z"
"wolfie1414.bsky.social","Innocent people don’t resign","2026-02-17T20:38:51.774Z"
"wolfie1414.bsky.social","Why hasn’t anyone followed the money trail?‼️","2026-02-17T16:45:03.135Z"
"wolfie1414.bsky.social","Oh hell NO!","2026-02-17T20:34:29.421Z"
"wolfie1414.bsky.social","Former Rep. Marjorie Taylor Greene (R-GA) accused President Donald Trump's team of sharing """"nods"""" to the conspiracy theory group QAnon to """"brainwash"""" supporters.","2026-02-17T20:00:42Z"
"wolfie1414.bsky.social","EXCLUSIVE: The FBI Knew About Howard Lutnick and Jeffrey Epstein — And Did Nothing open.substack.com/pub/narativ/...","2026-02-17T16:57:10.142Z"
