"user","post","date"
"womanatmile0.bsky.social","www.bbc.com/news/article...","2026-02-18T04:44:20.416Z"
"womanatmile0.bsky.social","#CBS boss #BariWeiss gets hit with the bad news after #StephenColbert defies the network's attempt to fall in line with Trump's #FCC chair's block on interviewing #TexasDemocrat running for a Senate seat, #JamesTalarico, and the un-televised interview surges in popularity. youtu.be/dcACnIVG7GQ?...","2026-02-18T02:28:23.972Z"
"womanatmile0.bsky.social","The FBI interviewed a Jeffrey Epstein victim who alleged that Trump sexually abused her when she was a teenager, documents from the Justice Department file dump revealed. www.thedailybeast.com/fbi-intervie...","2026-02-18T02:26:26.992Z"
"womanatmile0.bsky.social","I mean, that about captures it www.axios.com/2026/02/17/t...","2026-02-18T02:47:40.142Z"
"womanatmile0.bsky.social","Voting matters www.pbs.org/newshour/sho...","2026-02-18T03:45:11.603Z"
"womanatmile0.bsky.social","The mainstream media is professionally negligent by their avoidance to discuss in detail, crimes committed by the state of Israel￼ and the full support of much of the west. Also the lack of investigative journalism into all the powerful men implicated in the Epstein case.","2026-02-17T06:14:14.130Z"
"womanatmile0.bsky.social","Trump is a vile racist of very low intelligence, infantile temperament and insistently malevolent nature. No further explanation is necessary. I’m going to post everyday until he’s removed by congress or a body bag.","2026-02-17T13:14:15.978Z"
"womanatmile0.bsky.social","UN panel says #Epstein abuses may constitute - ‘crimes against humanity’ #Resist #EpsteinFiles #Trump-EpsteinFiles www.aljazeera.com/news/2026/2/...","2026-02-18T03:17:07.219Z"
"womanatmile0.bsky.social","a crackhead and a methhead walk into a bar","2026-02-18T01:38:16.120Z"
"womanatmile0.bsky.social","Trump supporters' extreme views driven by personal insecurity: research identified a phenomenon known as “last place aversion,” where people fear being at the very bottom of a social hierarchy and Trump voters apparently feel the sting of smallness more acutely www.alternet.org/maga-voters-...","2026-02-18T02:43:31.030Z"
"womanatmile0.bsky.social","SOMEONE PLEASE EXPLAIN TO ME HOW ANY OF OUR SENATE OR CONGRESS CAN TOLERATE ALLOWING A TREASONOUS CHILD & WOMEN RAPIST? WTF POS IS OUR GOVERNMENT COMPOSED OF THAT THEY ALLOW THIS? & 2 RAPISTS ON OUR SUPREME COURT? SURELY THE PEOPLE OF OUR COUNTRY DESERVE BETTER! OUR TAXES R PAYING FOR THIS SHIT!","2026-02-18T01:12:26.745Z"
"womanatmile0.bsky.social","If we rigged elections, we wouldn’t be in this mess.","2026-02-17T01:35:36.693Z"
"womanatmile0.bsky.social","✔️✔️","2026-02-18T02:52:16.532Z"
"womanatmile0.bsky.social","Absolutely true. 😎","2026-02-18T06:52:36.037Z"
"womanatmile0.bsky.social","@jamestalarico.bsky.social: Backlash to Trump is why he's 'worried we're going to flip Texas' youtu.be/EDee8yfY78I?...","2026-02-18T04:39:25.592Z"
"womanatmile0.bsky.social","Once ok but twice wth","2026-02-18T06:53:32.080Z"
"womanatmile0.bsky.social","After all the Nazi shit I’ve seen over the last three years, it’s still literally shocking for me to see grown ass men physically attacking teen girls because they got their political beliefs were being challenged.","2026-02-18T03:25:03.664Z"
"womanatmile0.bsky.social","Trump and his administration are engaging in the biggest cover up in U.S political history. Every member of Congress who has viewed the unredacted files has expressed extreme concern. We demand accountability now. #truth #Corruption #accountability #democracy #justice #america #politics","2026-02-18T00:26:46.813Z"
"womanatmile0.bsky.social","@kerjal.bsky.social Here is Senator Wyden entering on the Congressional Record the 4,785 Transfers from Trump to Epstein you POTATO.","2026-02-17T21:04:57.645Z"
"womanatmile0.bsky.social","I noticed Wyden is one of the few “representatives” who actually speaks out against ongoing COINTELPRO DOMESTIC SURVEILLANCE operations and the targeting of Americans. We have the evidence, we have the proof, yet this CIA, FBI, NSA, DOJ DHS, DOD, Fusion Center BS continues!","2026-02-17T22:30:02.503Z"
