"user","post","date"
"woods-dem.bsky.social","I don’t care what anybody says, the 2024 election was stolen by Trump and Musk! Kamala won that election but they cheated on the counting of the votes!!","2025-11-05T14:50:43.141Z"
"woods-dem.bsky.social","DOJ removed study from website showing most domestic terrorism is right-wing www.snopes.com/fact-check/d...","2025-09-20T16:37:13.946Z"
"woods-dem.bsky.social","REPOST if you stand with Jimmy Kimmel!","2025-09-17T23:31:17.321Z"
"woods-dem.bsky.social","One of America’s best presidents ever!!","2025-06-14T13:32:40.822Z"
"woods-dem.bsky.social","This asinine plan of a military parade for the orange turd’s birthday is crazy! WHAT CAN WE THE AMERICAN PEOPLE DO TO STOP IT!","2025-05-03T13:15:47.231Z"
"woods-dem.bsky.social","Florida Gators are going to the college basketball national championship game! GO GATORS!!!!!","2025-04-06T00:52:25.806Z"
"woods-dem.bsky.social","This man was courageous enough to stand up to Trump and Vance. So it's important to post this message and photo to 27 million people. Don't just """"like"""" it -- that only means that YOU'VE seen it. Postb it, blow it up and get it out there! #SlavaUkraini 🇺🇦","2025-03-08T06:23:08.501Z"
"woods-dem.bsky.social","👇 packs 7, 8, 9 7 go.bsky.app/BBqnT7g 8 go.bsky.app/VR6e9Ef 9 go.bsky.app/CLMcqW3","2025-04-04T18:58:54.736Z"
"woods-dem.bsky.social","Senate Democrat: Party ‘lost touch with working people’ https://twp.ai/1ZIOGE","2025-03-31T15:29:05.000Z"
"woods-dem.bsky.social","🎯","2025-03-10T02:32:36.470Z"
"woods-dem.bsky.social","go.bsky.app/MUQJ78T","2025-03-08T02:06:38.449Z"
"woods-dem.bsky.social","Another strong woman speaks the TRUTH…","2025-03-03T00:12:09.998Z"
"woods-dem.bsky.social","www.facebook.com/share/p/1Beh...","2025-02-12T23:47:49.561Z"
"woods-dem.bsky.social","Rest in peace President Carter","2024-12-29T21:59:51.129Z"
