"user","post","date"
"writerlion.bsky.social","Jasmine Crockett: Why are folks protecting a 34-count convicted felon while America crumbles? People are dying, rights are eroding and families are suffering? GOP priorities scream corruption. Demand better. Hold them accountable. The country's watching. #sheshed","2026-02-17T04:49:59.192Z"
"writerlion.bsky.social","Obviously 🙄 Americans that voted for Trump are just as Corrupt and Stupid as Trump. Repost so they can Feel our Wrath 😡😡😡","2026-02-16T13:34:46.076Z"
"writerlion.bsky.social","When my """"great giving up the Ghost day comes"""", I will not yield my Unalienable Rights cowardly, as prey!!! I will be defending my brothers and sisters, writers of Cain hear me, I AM their keeper!🗽💙⚖️❤️🖤💚🌈🇺🇦🇲🇽🇨🇦⛓️⛓️‍💥","2026-02-17T19:25:02.499Z"
"writerlion.bsky.social","Human Power recognizes Human Power. It does NOT recognize humanity's suffering as victims of terror. FOMO, Fear Of Missing Out, is a powerful malignancy for the rich & famous!","2026-02-17T18:57:08.900Z"
"writerlion.bsky.social","I feel exactly the same way.😢","2026-02-14T08:05:38.678Z"
"writerlion.bsky.social","I agree!","2026-02-17T18:49:25.828Z"
"writerlion.bsky.social","JFC, cut that shit in half and you’ve eradicated hunger, provided healthcare for all and made education free for all Americans. What the fuck are we doing?","2026-02-15T12:52:32.647Z"
"writerlion.bsky.social","The MAGA GOP. That’s what the hell is wrong with this country.","2026-02-16T02:18:43.249Z"
"writerlion.bsky.social","lmao you know shits bad when Bush seems like a voice of reason","2026-02-17T11:18:29.176Z"
"writerlion.bsky.social","Borrowing a line from an O'Jays song, Voters 🎵""""I can feel you fading ... slipping away from me!""""🎶. If only more voters learned this in 2024. If we get this 2026 chance, VOTE! If you won't fight for Lady Liberty, who else will?","2026-02-17T18:46:02.518Z"
"writerlion.bsky.social","My wonderful Resistance friends, I am way beyond my healthy sleep-periods. I can never do enough of what I am able to do for the cause. To feel determine for my new day, I part with 1 of my new Favs, """"American Land"""" by Sister Resister, Amy Jean Nobles Good night world. soundcloud.com/iamamyjean/a...","2026-02-17T08:18:48.795Z"
"writerlion.bsky.social","""""... Can you feel it now? RISE!"""" Amy Jean Nobles soundcloud.com/iamamyjean/a...","2026-02-17T08:02:14.604Z"
"writerlion.bsky.social","You really do have to wonder how these RNC researchers made the connection they did.","2026-02-17T07:22:43.622Z"
"writerlion.bsky.social","Trump's Nazism is as naked as it's going to get. RISE UP R I S E U P R I S E U P www.commondreams.org/opinion/why-...","2026-02-05T19:30:20.751Z"
"writerlion.bsky.social","Ahhh ... this is why he is copying off of Caesar! 👑","2026-02-17T07:44:06.930Z"
"writerlion.bsky.social","Ty Espresso 💙 @6cats4adomino.bsky.social @stephen5150.bsky.social @raykwong.bsky.social @debralamm.bsky.social @paperammunition.com @bostonbitch.bsky.social @lilmudda.bsky.social @larryherbison.bsky.social @frida3rdact.bsky.social @bluestormcomin1.bsky.social","2026-02-16T18:10:06.439Z"
"writerlion.bsky.social","That's what happened to the USA treasury!!! What happened to the electric bolts in his neck?","2026-02-17T07:34:14.308Z"
"writerlion.bsky.social","I think MY MEME is more plausible than the 2nd meme ...","2026-02-17T07:28:41.181Z"
"writerlion.bsky.social","I understand the Unalienable Rights but-DAMN- SHE EMBARRASSES ME!","2026-02-17T07:25:12.427Z"
"writerlion.bsky.social","""""War is Peace"""". """"Ignorance is Strength"""". """"Freedom is Slavery"""". - George Orwell's, """"1984"""" book.","2026-02-17T07:21:57.570Z"
"writerlion.bsky.social","Aaah ... if Trump gets his White House Ballroom, will there be orgies held their? Just askin!?!","2026-02-17T07:15:48.475Z"
"writerlion.bsky.social","SAY IT LOUD! 🙈🙉🙊 no evils, with those red caps, gold shoes and perverted Bibles out there, can't understand you!","2026-02-17T07:02:56.622Z"
"writerlion.bsky.social","Chickens coming home to roost again? Just askin! {snicker}","2026-02-17T06:57:43.865Z"
"writerlion.bsky.social","If you feel the Resistance pressure overwhelming, have a laugh, do something silly, take a tasty break and then ... COME BACK AND KICK TRUMPS TREASONOUS ORANGE {bleep}! Ahem ... apologies, every time I hear his name, I get carried away! Thank you, Cindy, for this warm moment of fun!","2026-02-17T06:24:06.691Z"
