"user","post","date"
"writingfactory.bsky.social","A ROMP FOR A COLD WINTER WEEKEND """"With warmth, humor and his unique eye for life’s absurdities, Jeffrey Robinson turns one man’s adventure in the real world into the “feel good” novel of the year.""""","2026-02-01T21:58:40.926Z"
"writingfactory.bsky.social","They buried Bardot today in St. Tropez. Au revoir ma belle. More people have left less of a legacy than you.","2026-01-06T17:35:28.774Z"
"writingfactory.bsky.social","And to all, a good night.","2025-12-22T12:02:08.898Z"
"writingfactory.bsky.social","writingfactory.substack.com/p/thanksgivi...","2025-11-23T19:56:06.166Z"
"writingfactory.bsky.social","An oldie but goodie. Like mama always said, """"Dont Talk To Strangers!""""","2025-11-13T21:58:38.626Z"
"writingfactory.bsky.social","The last time anyone tried to destroy the White House it was the British in a desperate attempt to end our democracy and restore a king. Sound familiar?","2025-10-23T20:49:06.185Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/theres...","2025-09-19T21:33:19.747Z"
"writingfactory.bsky.social","Fifty Years Ago I Went To Enlist In The French Foreign Legion, Kind Of, Almost. www.linkedin.com/pulse/fifty-...","2025-08-17T03:28:20.170Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/oldie-...","2025-07-04T14:30:13.914Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/george...","2025-06-13T16:08:54.593Z"
"writingfactory.bsky.social","I am very proud to announce I've just joined forces with The Washington Speakers Bureau for all future bookings. wsb.com/speakers/jeffrey-robinson/","2025-06-12T23:27:26.978Z"
"writingfactory.bsky.social","This just in from ChatGPT: If you’re looking for Jeffrey Robinson’s best novel, The Monk's Disciples is your best bet. It’s the one that most clearly shows his narrative skills from nonfiction carried into a fictional thriller format.","2025-06-01T21:34:49.923Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/grand-...","2025-05-21T22:04:24.585Z"
"writingfactory.bsky.social","A quarter of a century ago, I was doing motivational speeches off the back of my books “The Risk Takers” and “The Risk Takers Five Years On” in which I’d documented entrepreneurial success. This has got to be my favorite ever!For what it’s worth: www.youtube.com/watch?v=E5zN...","2025-05-03T15:56:46.300Z"
"writingfactory.bsky.social","The Unwelcome Return of Snake Oil www.linkedin.com/pulse/unwelc...","2025-03-30T14:40:04.238Z"
"writingfactory.bsky.social","writingfactory.substack.com/p/my-grandpa...","2025-03-23T16:39:34.902Z"
"writingfactory.bsky.social","www.tiktok.com/@haligonia/v...","2025-03-21T12:43:01.875Z"
"writingfactory.bsky.social","GO CANADA!!! www.youtube.com/watch?v=8pei...","2025-03-07T16:50:27.364Z"
"writingfactory.bsky.social","PLEASE JOIN US --- 📅 When: 22nd January ⏰ Time: 9.30 AM EST/3.30 PM CET 📍 Where: Online. Virtual link to be sent after registration","2025-01-13T23:58:01.449Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/money-...","2025-01-12T16:59:35.754Z"
"writingfactory.bsky.social","YES, VIRGINIA, THERE IS A SANTA CLAUS www.linkedin.com/pulse/yes-vi...","2024-12-20T16:27:18.281Z"
"writingfactory.bsky.social","An oldie but goodie. After reading this, all hotels, wherever you stay, will never be the same. writingfactory.substack.com/p/the-hotel-...","2024-12-17T15:38:17.050Z"
"writingfactory.bsky.social","And speaking of the """"bestselling""""... albeit free... top podcast on ACAMS Financial Crime Matters website with the inimitable Kieran Beer, here it is. soundcloud.com/financialcri...","2024-03-26T14:46:28.614Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/who-kn...","2024-12-10T15:43:07.269Z"
"writingfactory.bsky.social","writingfactory.substack.com/p/one-year-a...","2024-12-05T16:43:06.417Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/explai... Art Buchwald's classic column","2024-11-27T13:17:48.467Z"
"writingfactory.bsky.social","Day 9 - Fraud Awareness Week: Vox Pop, On The Mean Streets Of New York Talking Identity Theft (Just Click On The Link Below) www.linkedin.com/pulse/day-8-...","2024-11-25T13:32:17.273Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/day-8-...","2024-11-24T13:53:26.183Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/day-7-...","2024-11-23T13:48:08.764Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/day-6-...","2024-11-22T13:55:01.466Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/day-5-...","2024-11-21T13:49:12.852Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/day-4-...","2024-11-20T15:14:26.857Z"
"writingfactory.bsky.social","Day 3 - Fraud Awareness Week: Your New Best Friend, The Tooth Fairy www.linkedin.com/pulse/day-3-...","2024-11-19T15:14:51.094Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/day-2-...","2024-11-18T14:02:31.887Z"
"writingfactory.bsky.social","Happy Fraud Week - 9 Days of Discussing Fraud www.linkedin.com/feed/update/...","2024-11-17T15:23:43.361Z"
"writingfactory.bsky.social","www.linkedin.com/pulse/mornin...","2024-11-06T22:51:24.482Z"
"writingfactory.bsky.social","www.thedailybeast.com/13-ex-trump-...","2024-10-25T16:34:59.867Z"
"writingfactory.bsky.social","I CAN NO LONGER REMAIN SILENT www.linkedin.com/pulse/i-can-...","2024-10-17T15:19:38.824Z"
"writingfactory.bsky.social","I CAN NO LONGER REMAIN SILENT www.linkedin.com/pulse/i-can-...","2024-10-17T15:19:38.824Z"
