"user","post","date"
"x007x009.bsky.social","Aside from the fact that property taxes are state taxes, Trump is ticking up his already almost perpetual stream of lies to capture the any vote by any means necessary. They don;t care how stupid these statements make them look if it gets the stupid ones to the polls.","2026-02-16T22:50:14.804Z"
"x007x009.bsky.social","Trump and his administration are engaging in the biggest cover up in U.S political history. Every member of Congress who has viewed the unredacted files has expressed extreme concern. We demand accountability now. #truth #Corruption #accountability #democracy #justice #america #politics","2026-02-18T00:26:46.813Z"
"x007x009.bsky.social","Rachel Maddox exposed the Republican governor of New Hampshire for working with ICE for a detention center that people of New Hampshire are totally against. youtu.be/0WdqphevyUY?...","2026-02-17T14:00:57.874Z"
"x007x009.bsky.social","We need to rein in ICE and CBP. We need to call out the avalanche of lies. And most importantly, we need to stand up for our communities—because they are being terrorized by their own government. The American people are demanding Congress meet this moment.","2026-02-17T19:37:56.486Z"
"x007x009.bsky.social","gizmodo.com/tesla-robota...","2026-02-18T01:23:20.646Z"
"x007x009.bsky.social","New Mexico AG should get a warrant and start searching .","2026-02-18T01:51:08.491Z"
"x007x009.bsky.social","Sure is interesting that Texas MAGA politician & Trump acquaintance Don Huffines, whose son is working in the White House, bought Epstein's infamous Zorro Ranch, where bodies of sex trafficking victims are rumored to be buried, and the purchase was all hidden behind an LLC. Sure. is. interesting.","2026-02-17T00:53:07.871Z"
"x007x009.bsky.social","Early on, the CEO is “the best person at the company” at some things. Often sales (passion + knowledge) or product vision. But by 100 people, if the CEO is “better than everyone” at 𝘢𝘯𝘺𝘵𝘩𝘪𝘯𝘨, the CEO has hired poorly, and the company is suffering. Tough transition.","2026-02-17T00:54:58.408Z"
"x007x009.bsky.social","Stephen Colbert effectively told CBS and FCC Chair Brendan Carr to go fuck themselves. #BravoZulu #CrushingFascism","2026-02-18T00:23:53.644Z"
"x007x009.bsky.social","🔥 😂🔥","2026-02-17T22:45:52.138Z"
"x007x009.bsky.social","George W. Bush would like to help save this country from a president even stupider than he, but is simply too busy creating amateurish paintings on his fake ranch in Texas.","2026-02-17T22:40:50.893Z"
"x007x009.bsky.social","The link to the Colbert Talarico interview. youtu.be/oiTJ7Pz_59A?...","2026-02-17T23:47:02.975Z"
"x007x009.bsky.social","BREAKING: Millions of files related to Jeffrey Epstein suggest the existence of a 'global criminal enterprise' that carried out acts meeting the legal threshold of crimes against humanity, a panel of independent experts appointed by the UN Human Rights Council says","2026-02-18T01:28:59.408Z"
"x007x009.bsky.social","Trump moved to Florida because he burned his reputation in New York and couldn't keep doing business there. Now he's burning America's reputation all over the world. Where will America do business next? Mars?","2026-02-17T19:16:58.784Z"
"x007x009.bsky.social","Hopefully the President who raped children will resign, because he's making all of us look bad, as people.","2026-02-17T02:42:34.072Z"
"x007x009.bsky.social","This Presidents Day, we celebrate true courage, leadership, knowledge, and patriotism of leaders past. Qualities Donald Trump knows nothing about...","2026-02-17T13:21:53.946Z"
"x007x009.bsky.social","This keeps happening.","2026-02-18T01:19:23.260Z"
"x007x009.bsky.social","""""When Lewandowski was told Noem's personal items had been left behind, including a heated blanket, he yelled at Coast Guard staff The pilot came out of cockpit to see what was happening & Lewandowski insisted plane return to collect Noem's items When he refused, Lewandowski announced he was fired""""","2026-02-17T15:27:16.163Z"
"x007x009.bsky.social","Stephen Colbert says he was told by CBS lawyers """"in no uncertain terms"""" that he could not have Texas State Rep. James Talarico on his program. """"Because my network clearly doesn't want us to talk about this, let's talk about this.""""","2026-02-17T14:15:11.636Z"
"x007x009.bsky.social","BREAKING: Donald Trump is reportedly furious after a group of 125 presidential scholars put out their annual collective ranking of the presidents today, and both of Trump’s terms were unanimously ranked as the two worst in US history...","2026-02-17T12:55:08.838Z"
"x007x009.bsky.social","Australians returning from prison camps in Syria are clearly loathed by politicians. But what about the thousand or so Australians who’ve also spent time in the Middle East fighting in the IDF against innocent gardens. What happens to them when they come home?","2026-02-17T01:14:00.727Z"
"x007x009.bsky.social","I think they killed Epstein, but if it had gone down a few years later, they would've instead given him a cabinet position.","2026-02-17T18:29:59.958Z"
"x007x009.bsky.social","Watched Colbert’s interview with Talarico. Worth your time. Up to 1.5 million views on YouTube.","2026-02-17T18:32:21.574Z"
"x007x009.bsky.social","So sick of stupid f*cking people who refuse to grasp the fact that the Constitution doesn't apply exclusively to American citizens, but to every person within the U.S. And they bask in the arrogance of ignorance. Is it any wonder that it's hard not to hate them.","2026-02-17T18:52:02.219Z"
