"user","post","date"
"xidcat.bsky.social","An American President threatening his own people.","2026-01-13T16:56:27.501Z"
"xidcat.bsky.social","How Did Epstein Make His Fortune? """"He Stole It,"""" Finds NYT Investigation Democracy Now! 12/17/2025 www.youtube.com/watch?v=Sc6b... David Enrich, deputy investigations editor at The New York Times and lead author","2025-12-26T20:33:43.096Z"
"xidcat.bsky.social","Well, 2cd stray we picked up in a month. First the cat, now this little girl. My wife saw her almost get hit by a motorbike. No one claimed her, no siblings or mother close by, so I guess we’re puppy parents now. This is Honey.","2025-12-24T17:12:42.896Z"
"xidcat.bsky.social","go.bsky.app/HR2cmjC","2025-12-17T20:48:31.595Z"
"xidcat.bsky.social","We found a feral cat living in the jungle near the MIL’s house about a yr ago. Thing about took my finger off. No one had seen in the past 8 mos, we assumed a cobra got it. Went to see Mom this weekend. When we got home, found a stowaway in the back of the truck. Seems he has forgotten he’s feral.","2025-12-10T14:06:02.422Z"
"xidcat.bsky.social","Which was the whole purpose of my 30 yrs in the military. However, it appears the only good that came out of those years was that I was able to meet my wife.","2025-12-10T13:55:58.885Z"
"xidcat.bsky.social","Trump’s a degenerate","2025-12-10T11:46:01.298Z"
"xidcat.bsky.social","Free, fair midterms? We’re on our way to state media. In the early 90s I had first hand experience on the ground in Yugoslavia. Using state media, they primarily used religion to divide its citizenry. Our regime is using a toxic mix of religion, racism and otherism. This is bad. Very bad.","2025-12-09T03:08:00.487Z"
"xidcat.bsky.social","Please Follow All On @dailykos.com 's Starter Pack And Repost To Share","2025-12-09T00:01:22.773Z"
"xidcat.bsky.social","Mike Johnson Willingly Chooses to be the Most Impotent Man in Washington #ABlueView🧵1/2","2025-12-08T16:56:00.000Z"
"xidcat.bsky.social","🤣","2025-12-08T20:34:10.733Z"
"xidcat.bsky.social","Facts.","2025-12-07T13:15:07.581Z"
"xidcat.bsky.social","They’re desperately trying to separate the pipe bomber from MAGA, Trump, and 1/6. It’s why there’s a 22-day gap in the arrest affidavit. I’ll be covering this on the @meidastouch.com channel tomorrow at noon PT.","2025-12-07T04:51:16.949Z"
"xidcat.bsky.social","My State Senator, Roland Gutierrez, from San Antonio putting it down in plain talk. I know some people take issue with “almost criminal”, but innocent until proven guilty, shouldn’t be too hard. We maintain a house in Texas for residency so we can vote.","2025-12-07T01:48:18.920Z"
"xidcat.bsky.social","arguablysomaya on TT. Very well sums up the rage baiters over on the right.","2025-12-06T03:29:46.552Z"
"xidcat.bsky.social","We can only hope.","2025-12-05T17:59:46.123Z"
"xidcat.bsky.social","Push To Impeach Hegseth Gains Momentum, MAGA Voters Turn On Trump In Shocking New Poll, and NY Times Sues Pentagon To Regain Access","2025-12-05T15:48:47.131Z"
"xidcat.bsky.social","Islamophobia is on the rise in the US, with the Council on American-Islamic Relations (CAIR), a civil liberties group, reporting sharp increases in anti-Muslim violence & rhetoric over the last two years. In Texas, the issue has come to the fore in multiple high-profile incidents. No pay wall.","2025-12-05T14:22:27.569Z"
"xidcat.bsky.social","Yeah, I did 30+ years in the military to PREVENT shit like this. We left the US because my wife is a non-white immigrant, and, despite the fact that she’s a US citizen, her safety is not guaranteed. Other than the fact that I was able to meet my wife, sure seems like I wasted 30 yrs of my life.","2025-12-04T21:06:47.463Z"
"xidcat.bsky.social","This administration is turning into the Third Reich & is planning to take the rest of the country right along with them. We now know why we don't hear about the Proud Boys, Oathkeepers, & the Three Percenters. They are all now employed by ICE. youtube.com/shorts/szvub...","2025-12-04T20:30:22.692Z"
"xidcat.bsky.social","It's classic Trump to destroy something before having any plan for replacing it. This incompetence and Congress's refusal to do something about it are hallmarks of this regime","2025-12-04T20:22:37.688Z"
"xidcat.bsky.social","Speaker Mike Johnson, being a traditional “Christian,” is disparaging of women. He even recently complained that they “can’t compartmentalize” their thoughts. So it’s fitting that four women reps in the GOP are setting fire to his leadership in very interesting and damaging ways. My write-up below.","2025-12-04T18:05:41.235Z"
"xidcat.bsky.social","If Capt Mark Kelly doesn’t run in 28 I’m going to be a very sad puppy.","2025-12-02T13:42:46.679Z"
"xidcat.bsky.social","Thank you so very much, Candyce, for including me in this spectacular starter pack!!🤩 I have followed all and encourage everyone else to do the same. And don’t forget to share it!🌟💙💫💙💫💙💫💙💫💙 @candycemv1.bsky.social","2025-12-02T08:06:14.819Z"
"xidcat.bsky.social","Republicans, the party that loves vets. My ass.","2025-12-02T13:05:58.112Z"
"xidcat.bsky.social","No matter what is going on out there or personally, I come here and the resisters are still going! It's beyond heartwarming. You all guys continue to give me hope. Thanks for that!💙","2025-12-02T03:11:58.237Z"
"xidcat.bsky.social","On a lighter note, or a timeline cleanse as some say. Several people asked about my profile photo. It was taken at Wat Phra That Phaesorkaew in Phetchabun Province, Thailand. It’s not well known, foreigners are rare in that area.","2025-12-02T05:14:25.942Z"
"xidcat.bsky.social","The files have left the news cycle, that’s all they wanted.","2025-12-01T13:32:40.405Z"
"xidcat.bsky.social","Agree 💯........","2025-11-30T12:27:16.518Z"
"xidcat.bsky.social","Question. I don’t live in the US now, and I can’t find anything on this. Have flags been lowered to half staff for our fallen National Guard? I mean, if Kirk rated a week (from what I heard, wasn’t there), a Guardsman killed in a terror incident, gets what, a day, nothing?","2025-11-30T13:40:22.036Z"
"xidcat.bsky.social","@deadder.bsky.social 😔😔😔","2025-11-28T20:20:06.565Z"
"xidcat.bsky.social","Hits home as my wife is a non-white immigrant.","2025-11-28T12:01:26.835Z"
"xidcat.bsky.social","Down the rabbit hole we go.","2025-11-26T23:28:48.073Z"
"xidcat.bsky.social","Trump has shown he's more loyal to foreign interests than he is to the needs of Americans. And Republicans have shown they'll do nothing to stop him.","2025-11-25T16:52:32.857Z"
"xidcat.bsky.social","Exactly. No GDP, inflation or jobs reports. And now they are literally blaming the Democrats. “the Democratic shutdown may have permanently damaged the federal statistical system” per Leavitt. The sewage that spews from her mouth. 🤮","2025-11-26T04:51:17.059Z"
"xidcat.bsky.social","Measles Are Back 😧😡🤬#ABlueView🧵1/3 """"As of Nov. 13, the C.D.C. had confirmed 1,723 measles cases nationwide, 87% of which were associated with a record 45 outbreaks so far this year. By contrast, 16 outbreaks were reported in 2024."""" """"About 92% of the reported cases this...""""","2025-11-25T19:55:02.000Z"
"xidcat.bsky.social","All the doggy boys just run his bot farms on our 💰💰","2025-11-25T12:56:59.451Z"
"xidcat.bsky.social","I see the contrast between the US and Thailand, where we live. People drop everything if they see someone struggling. We have some elderlies nearby, family can’t afford to move here to care for them. So everyone cares for them. Even the police drop by once a week to check and drop off water, food.","2025-11-25T10:29:16.748Z"
"xidcat.bsky.social","😂😂😂😂","2025-11-23T10:39:51.717Z"
"xidcat.bsky.social","Independents outvoted Dems in 24 and were tied with Reps. They are crucial to either party in future. As an Indie myself, neither party is good at reaching out to the Indies. Arguably the Dems are worse at it. I believe either side could win back Indies if they became relevant, as Bernie says.","2025-11-22T15:24:21.722Z"
"xidcat.bsky.social","😢 State of the nation","2025-11-22T01:47:38.386Z"
"xidcat.bsky.social","To the country house for the weekend, get out of the city for a bit, have some peace and quiet. Wild bananas, papaya, mango and other fruits, vegetables grow everywhere.","2025-11-21T18:47:10.019Z"
"xidcat.bsky.social","Yep.","2025-11-21T13:52:21.586Z"
"xidcat.bsky.social","I believe this to be true. Billions have been dumped into AI companies. Most if not all have failed to even come close to the break even point or are being propped up by related companies.","2025-11-21T11:05:02.762Z"
"xidcat.bsky.social","Greg Abbott was ordered to release some of his Emails with Elon Musk. Most are blacked out. #Salon","2025-11-21T11:01:51.000Z"
"xidcat.bsky.social","Democrats fear political violence after Trump accuses lawmakers of sedition","2025-11-21T07:03:47.941Z"
"xidcat.bsky.social","Bill Cassidy: “We’re all trying to find the guy who did this” 😒","2025-11-21T05:23:43.874Z"
"xidcat.bsky.social","If it made the news at all, that's a win...","2025-11-21T01:18:59.208Z"
"xidcat.bsky.social","Happy Birthday, Joe Walsh! 🎸 What's a favorite Joe Walsh solo tune, Eagles song, or Walsh collaborative work? 🎶 Born in Wichita, Kansas, on November 20, 1947, Walsh received his 1st guitar when he was 10 and formed his first band, Measles, in 1965. Over his 6 decades in music, the 👇","2025-11-20T14:10:16.109Z"
"xidcat.bsky.social","Hahaha...😅🤣","2025-11-20T20:14:35.331Z"
"xidcat.bsky.social","""""Our servicemembers should know that we have their backs as they fulfill their oath to the Constitution and obligation to follow only lawful orders...Every American must unite and condemn the President’s calls for our murder and political violence. This is a time for moral clarity."""" Exactly right.","2025-11-20T18:42:46.764Z"
"xidcat.bsky.social","Truly vile behavior from this President, and we all have to call it out for what it is: dangerous and un-American rhetoric from a man who wants to be king.","2025-11-20T18:37:45.275Z"
"xidcat.bsky.social","Venezuela had better batten down the hatches. Between the Epstein files, quiet piggy, calling for the execution of sitting members of Congress and impeachment rumblings, Trump is going to need one helluva misdirect. ¡Suerte Venezuela!","2025-11-20T21:13:34.453Z"
"xidcat.bsky.social","Well, I suspect he’s probably not wrong. 🙃","2025-11-20T11:52:28.596Z"
"xidcat.bsky.social","Smooth Move Orange Exlax- youve chased all the goddamn money away and allies","2025-11-19T22:09:17.999Z"
"xidcat.bsky.social","I was deployed to Somalia, Panama, Desert Storm, Serbia, Africa, Iraq, Afghanistan and other primo vacation spots. Even in combat zones we had to have 100% positive ID before any engagement. 100%. We make mistakes, yes, did we try to prevent the same mistakes? Yes. There’s a whole book about it.","2025-11-20T09:59:41.418Z"
"xidcat.bsky.social","🎯","2025-11-19T22:31:45.740Z"
"xidcat.bsky.social","Thanks John Roberts.","2025-11-19T22:40:11.802Z"
"xidcat.bsky.social","Important piece on how we got here. Brownstone raised millions to undermine COVID prevention policies. Now at least 8 people with ties to Brownstone hold senior positions at federal health agencies, where they are restricting vaccines and cutting science funding.","2025-11-19T19:12:12.861Z"
"xidcat.bsky.social","Love seeing older articles, pre-Trump/MAGA that shed light on today’s events. When journalists were still reporting and not filtering or being filtered.","2025-11-18T21:45:27.713Z"
"xidcat.bsky.social","Seems like every browser is incorporating AI. Over a year ago, Vivaldi has took a stance against this, for many good reasons. vivaldi.com/blog/technol...","2025-11-18T14:44:15.231Z"
"xidcat.bsky.social","Sunset this evening. Khao Yai Thieng Resevoir. Overlooking the M6 Motorway and Route 2 Mittraphap Rd, the main roads between Bangkok and Nakhon Ratchasima. Lam Takhong Resevoir is in the background. maps.app.goo.gl/qfW4FQsZhZF1...","2025-11-18T11:05:00.804Z"
"xidcat.bsky.social","This is a good article, and touches on something AI supporters miss: human cognition is rooted in our meat. While an airplane doesn't need to flap its wings to fly, human thinking takes, well, humans - our specific meat. Other kinds of 'thinking'? The article covers that pretty well.","2025-11-18T08:20:55.517Z"
"xidcat.bsky.social","But are they really gone the Internet Research Agency was supposedly wrapped up in 2023, surely there’s a successor. Interesting reading, it is Wiki, so a deeper dive is needed. en.wikipedia.org/wiki/Interne...","2025-11-18T08:35:44.488Z"
"xidcat.bsky.social","Excellent article. The US used to be looked up as a the guiding light of Democracy. Not only have we lost our way, but others are following us into the darkness.","2025-11-18T07:27:06.624Z"
"xidcat.bsky.social","Department of efficiency.","2024-12-10T16:34:10.090Z"
