"user","post","date"
"ysasworld.bsky.social","Woohoo! 🎉 Go Seahawks Go!! 👊🏼","2026-02-18T03:55:34.852Z"
"ysasworld.bsky.social","I am quite surprised that three of his most vile and destructive cabinet members are women. Between Gabbard, Noem and Bondi, it is hard to believe that women would align themselves with the likes of Hegseth, Miller, Bove and Blanch, all on one single mission. Support for a treasonous man. Sick","2026-02-15T13:24:56.620Z"
"ysasworld.bsky.social","This piece has been viewed over 14 million times over the last 48 hours. Unbelievable. I'm so encouraged to see how many people are as disgusted by this as I am. Sometimes you just need to be reminded that you're not alone. Keep fighting, good people! johnpavlovitz.substack.com/p/dear-pam-b...","2026-02-15T02:58:16.515Z"
"ysasworld.bsky.social","👇👇👇👇","2026-02-13T20:50:20.025Z"
"ysasworld.bsky.social","BREAKING: Federal authorities announce the end of an immigration crackdown in Minnesota that led to mass detentions, protests and two deaths.","2026-02-12T14:27:14Z"
"ysasworld.bsky.social","🩸 NEW RELEASE 🩸 A massive boneyard of human remains is uncovered in the remote hills of western Pennsylvania—and the town of Betonville erupts in fear. FBI Agent Tom Milner knows Betonville well. He grew up there. And he’s never escaped what happened under a blood-red moon… #booksky #readers #horror","2026-02-10T22:46:29.560Z"
"ysasworld.bsky.social","This administration has done some bizarre shit but this is really up there. A ten day no fly zone over a major city for no stated reason? And neither @joaquincastrotx.bsky.social nor any local officials seem to have had any notice or reason given? Totally bizarre.","2026-02-11T10:56:30.099Z"
"ysasworld.bsky.social","Heartbroken by this horrific school shooting in British Columbia. The people of California stand with our neighbors in Canada in grief and solidarity — no community should endure this kind of violence.","2026-02-11T05:07:40.019Z"
"ysasworld.bsky.social","All of BC is wrapping the families of Tumbler Ridge with love. Supports are available: BC Mental Health Support Line: 310-6789 Kids Help Phone: Text “CONNECT” to 686868 Thank you to the emergency responders on the ground for the work they are doing.","2026-02-11T04:47:56.057Z"
"ysasworld.bsky.social","I can’t help comparing the massive effort to find Nancy Guthrie and her kidnapper to the total lack of interest shown by various authorities when Native and Black women and girls disappear and are murdered.","2026-02-11T02:55:52.256Z"
"ysasworld.bsky.social","Per ABC News, a person has been detained for questioning in the Guthrie investigation. This follows reports of a SWAT team driving south of Tucson: youtu.be/kK7TYhF0qg0","2026-02-11T02:37:33.220Z"
"ysasworld.bsky.social","I lived close to this beautiful community for 13 years. An incredibly horrible situation. 10 dead, 25 injured, 2 who are critical.","2026-02-11T02:44:46.883Z"
"ysasworld.bsky.social","Um, Don, if this was the greatest economy in history, people would notice it in their own lives and you wouldn't have to """"get the word out.""""","2026-02-10T21:58:21.761Z"
"ysasworld.bsky.social","🚨BREAKING: Puerto Rico has been part of the United States since 1898, and people still act confused that Puerto Ricans are American. States that joined after Puerto Rico: • Oklahoma — 1907 • New Mexico — 1912 • Arizona — 1912 • Alaska — 1959 • Hawaii — 1959 Yet somehow this is still news to folks.","2026-02-10T04:36:02.198Z"
"ysasworld.bsky.social","Attn Pet Owners : As we near the cold months of winter please consider making use of your cat or dogs shedded/brushed fur. Build a Floof Box (See mine Below 👇👇👇) Birds will gladly use that fur in their nests to stay warm this winter.... #Birds #Nature","2025-12-06T19:27:47.447Z"
"ysasworld.bsky.social","I hope Walker gets the MVP. He was everywhere tonight. SEATTLE SEAHAWKS SUPER BOWL LX CHAMPIONS ‼️‼️‼️🏆🏈💙💚","2026-02-09T03:27:09.353Z"
"ysasworld.bsky.social","Seattle Seahawks ride a dominant defensive performance to beat the New England Patriots 29-13 in Super Bowl 60 www.nbcnews.com/sports/nfl/l...","2026-02-09T03:27:09.232Z"
"ysasworld.bsky.social","As it should be.","2026-02-09T03:24:52.514Z"
"ysasworld.bsky.social","Well... Bad Bunny's halftime show made me feel more proudly American than anything Kid Rock or Donald Trump have ever done. How about you?!","2026-02-09T03:14:24.244Z"
"ysasworld.bsky.social","THE SEAHAWKS ARE SUPERBOWL CHAMPIONS!!! What an AMAZING game!! 💙🏆💚","2026-02-09T03:23:51.070565014Z"
"ysasworld.bsky.social","With respect to the #Patriots #Superbowl","2026-02-08T22:14:58.604Z"
