"user","post","date"
"chumptrump.bsky.social","If these MFers actually wanted to """"protect kids"""", they would: Pass gun control Stop demonizing vaccines Fund education and healthcare Punish every single creep in the Epstein files Censoring the internet does nothing to actually help kids. It only makes them ignorant.","2026-02-10T14:13:36.228Z"
"chumptrump.bsky.social","Congratulations to Bad Bunny for his wonderful, love-filled tribute to the American continent!","2026-02-09T18:00:19.487Z"
"chumptrump.bsky.social","Not giving up","2026-02-09T18:41:49.717Z"
"chumptrump.bsky.social","So he watched it.","2026-02-09T18:40:05.233Z"
"chumptrump.bsky.social","But of course MAGAts would be offended","2026-02-09T04:02:59.160Z"
"chumptrump.bsky.social","After Shinedown, Ludacris, Creed, Morgan Wade and Carter Faith bailed on Kid Rock’s “Rock the Country” festival, the South Carolina July 25–26 dates were canceled. Promoters blame “unforeseen circumstances.” Translation: everyone ran.","2026-02-07T22:03:37.697Z"
"chumptrump.bsky.social","Your Black History Moment Not in The Epstein Files.","2026-02-06T21:33:16.668Z"
"chumptrump.bsky.social","Jasmine Crockett: “Most of us already know who Trump is — we already know there are no bounds to how low he’s willing to go. We know that he has no moral compass. We know that he is a disgrace — when will Republicans in Congress condemn his behavior — your silence is complicity & it is very loud”","2026-02-06T21:49:42.837Z"
"chumptrump.bsky.social","It is really infuriating to see how misogyny really does unite men across the sociopolitical spectrum. And, in so far as the Epstein files go, they sort women into two categories: fuckable or irrelevant. When they near a hint of accountability they complain about not being able to make women prey.","2026-02-05T19:33:45.589Z"
"chumptrump.bsky.social","Feb 4, 2026 DONALD TRUMP IS A PEDOPHILE RAPIST AND SERIAL CHILD MURDERER! 🔥🔥🔥😡😡😡😡😡🔥🔥🔥🔥 THE EPSTEIN FILES HAVE EXPOSED DONALD TRUMP TO BE UNFIT FOR THE PRESIDENCY AND SHOULD BE ARRESTED NOW 🔥🔥😡😡🔥🔥😡😡🔥🔥😡😡 NYT:TRUMP REFERENCED 38K TIMES IN EPSTEIN FILES 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥","2026-02-04T22:41:04.540Z"
"chumptrump.bsky.social","Call me crazy but I think Jeffrey Epstein was murdered to keep him silent.","2026-02-03T22:01:34.752Z"
"chumptrump.bsky.social","“Imagine if we had to follow the law”","2026-02-03T17:16:37.916Z"
"chumptrump.bsky.social","Illegally arresting journalists before releasing the Epstein Files. Falsifying Georgia voting records before releasing the Epstein Files. Tying to destroy the independence of Federal Reserve before releasing the Epstein Files. Never stop talking about the Epstein Files.","2026-01-30T15:32:03.573Z"
"chumptrump.bsky.social","It's a tie But it's a great start with 95.3% of voters","2026-01-30T12:30:36.974Z"
"chumptrump.bsky.social","Children raped and killed. American citizens shot in the street. Immigrants illegally shackled, tortured, killed. Journalists arrested. While a $300 million ballroom is constructed and a trash documentary released.","2026-01-31T03:48:45.223Z"
"chumptrump.bsky.social","Gavin Newsom: “ You will not have a country if he rigs this election — you will have a president who will be running for a third term He is wrecking this country, wrecking the economy. He's a lawless president. Wake up, America — wake up to what's going on”","2026-01-29T21:10:27.863Z"
"chumptrump.bsky.social","I hope every person on Earth listens to this. America is not gone yet.","2026-01-30T03:50:13.114Z"
"chumptrump.bsky.social","1. Don't have enough resources and time to release the Epstein files. 2. Do have enough resources and time to abscond with Georgia's voter rolls.","2026-01-29T17:07:48.518Z"
"chumptrump.bsky.social","FIRST: In 2015, Trump claimed his net worth was $10B. THEN: Earlier this month, Trump froze $10B in funding to five blue states for child care. NOW: He's suing the American people for $10B. Only in a dictator's America.","2026-01-30T04:18:03.028939Z"
"chumptrump.bsky.social","RENEE NICOLE GOOD AMERICAN MOM MURDERED BY ICE ALEX PRETTI ICU NURSE MURDERED BY ICE Minnesota","2026-01-30T02:15:47.040Z"
"chumptrump.bsky.social","A million percent. Follow Lev Parnas on substack. He told us this👇 2 weeks ago. substack.com/@levparnas?u...","2026-01-27T03:03:43.414Z"
"chumptrump.bsky.social","They are murdering citizens in the streets because releasing the Epstein files will bring down the whole system.","2026-01-26T01:27:30.753Z"
"chumptrump.bsky.social","Nothing about guilty consciences for killing people tho. Scumbags.","2026-01-26T22:20:23.070Z"
"chumptrump.bsky.social","#EPSTEIN HE IS IN IT, MANY TIMES RELEASE THE DAMN EPSTEIN FILES NOW!! COME ON JUDGE. WE ARE TIRED OF THE LIES AND DELAYS!","2026-01-26T21:55:41.194Z"
"chumptrump.bsky.social","They figured out a nifty way to keep the Epstein files out of the news cycle: publicly execute American citizens.","2026-01-26T14:54:24.278Z"
"chumptrump.bsky.social","“How rich is it that she is saying showing up to the scene of a protest with a legally owned weapon should be grounds for a person’s death, execution at the hands of the state, by the same party and the same administration that praises Kyle Rittenhouse?” www.yahoo.com/news/article...","2026-01-26T21:58:01.718Z"
"chumptrump.bsky.social","As a fuck you to the orange felon for withdrawing the United Stares from the World Health Organization, California has joined instead thanks to Governor Gavin Newsome. Good, love that.","2026-01-24T04:02:46.943Z"
"chumptrump.bsky.social","Chaos is happening in many states, people are protesting and getting shot and murdered and unlawfully detained and tortured. If you haven’t had to deal with this yet, you will. These thugs are trying to forcibly change America to a fascist country. Do we really want that? I do not!","2026-01-23T12:01:44.120Z"
"chumptrump.bsky.social","Gavin Newsom: “I mean, heck, Donald Trump tried to steal the election — the last election, tried to light democracy on fire, and then pardoned everyone that participated in that — is anyone paying attention to what the hell is going on in the United States of America?”","2026-01-22T19:16:47.109Z"
"chumptrump.bsky.social","Just call him President Epstein. Always.","2026-01-23T07:07:43.262Z"
"chumptrump.bsky.social","I'm convinced they're waiting for Trump to die before releasing the Files. We all know he's not well, he's clearly trying to collect accolades so he can bargain his way into heaven, and once he's gone his cronies can throw him under the bus and try to make themselves look good by comparison.","2026-01-22T20:52:38.443Z"
"chumptrump.bsky.social","The reality is that 2024 was a fundamental test of the moral character of the nation and we failed spectacularly. We’re living with the consequences now. Maybe we improve. I hope so.","2026-01-23T04:14:20.689Z"
"chumptrump.bsky.social","This is all about the Epstein files. And Congress knows it.","2026-01-20T22:03:52.228Z"
"chumptrump.bsky.social","AG Ellison: """"If you're not gonna do an investigation, and you won't rely on other authorities to do an investigation, it sounds like you're trying to do a coverup.""""","2026-01-21T01:29:59.317Z"
"chumptrump.bsky.social","Enough talk. ACTION","2026-01-20T23:31:40.240Z"
"chumptrump.bsky.social","WTF?","2026-01-20T23:31:05.859Z"
"chumptrump.bsky.social","BELGIAN PRIME MINISTER: “.. We have to wake up, we have to rearm, we have to integrate our market and we have to seek new alliances. .. He can make us slaves.” @politico.com www.politico.eu/article/trum...","2026-01-20T16:23:30.670Z"
"chumptrump.bsky.social","Donald Trump could be naked, yelling at cars on the freeway, and Republicans would still be all """"Democrats have just never witnessed a genius at work"""".","2026-01-19T16:15:33.571Z"
"chumptrump.bsky.social","As long as the Epstein files remain secret, they will be used to blackmail people in power. Only by the full release of the files will this control of the powerful be broken.","2026-01-20T14:59:25.407Z"
"chumptrump.bsky.social","“My precious…”","2026-01-20T16:16:00.347Z"
"chumptrump.bsky.social","> @therickwilson.bsky.social","2026-01-20T14:46:55.005Z"
"chumptrump.bsky.social","🔥 Regime propagandist Scott Jennings only proves Trump desperately wants us to look away from #Epstein. Are the knickers of survivors in a twist, Scott? 🧾 is.gd/SAcaBX 🦋 Epstein survivor files letter asserting need for special master to ensure full Epstein files release: bsky.app/profile/pams...","2026-01-20T15:37:10.478Z"
"chumptrump.bsky.social","What the fuck is the point of the 25th Amendment if we can’t invoke it against a President who is clearly insane?","2026-01-20T14:43:13.992Z"
"chumptrump.bsky.social","Please more victims must come forward. I don't believe with most government officials running the pedaphile club for all countries. Epstein files are hidden to protect Mike Johnson and Jim Jordan and andy Biggs plus tRump and many more. Bondi is guilty too. And Patel. And more. Damn GOP.","2026-01-20T04:09:46.100Z"
"chumptrump.bsky.social","Enlighten me. Epstein files. Epstein and money. Epstein and sexual depravity. Epstein and Putin. Trump and Epstein. Trump as amoral and only interested in sex and money. Putin and KGB resources. Documentation and exchange. Trump gains office to enrich himself and stay out of prison. Epstein files.","2026-01-19T18:14:57.006Z"
"chumptrump.bsky.social","Since Congress passed a law requiring Trump to release the Epstein Files, Trump has: - Tried to start a war with NATO over Greenland - Threatened to use the military to suppress free speech in Minnesota - Illegally withheld 99% of the files and heavily redacted the ones that were released","2026-01-18T17:31:45.827Z"
"chumptrump.bsky.social","What worries me with ice is that the public has no way of knowing if they are really ice. They have unmarked vehicles, wear masks, show no warrants or legal paperwork, no identification, and appear very unprofessional and violent. Anyone could be impersonating ice to terrorize our communities.","2026-01-18T21:41:08.039Z"
"chumptrump.bsky.social","""""Trade is not fundamentally about competition. It's not us versus Canada. It's us and Canada."""" It's really about cooperation. And if the United States won't cooperate reliably with Canada, we shouldn't be surprised when Canada looks for new friends to cooperate with. And Americans miss out.","2026-01-18T22:56:54.778Z"
"chumptrump.bsky.social","Five bucks says “internal bleeding” is Trumpese for baby got a widdle bruise","2026-01-14T17:33:38.509Z"
"chumptrump.bsky.social","Did he have internal bleeding (a bruise) on his trigger finger?","2026-01-16T20:03:24.154Z"
