"user","post","date"
"djmicdrop.bsky.social","Trump-appointed judge denies DOJ access to Michigan voters’ private information. Constitution says states run elections. 👏👏👏 www.mlive.com/news/2026/02...","2026-02-15T13:32:04.157Z"
"djmicdrop.bsky.social","Happy National Flag Day to My Canadian friends !","2026-02-15T14:06:42.522Z"
"djmicdrop.bsky.social","When you have NO ideas, NO support, YOU try to steal elections. There is NO evidence real election fraud. No one wants the Feds involved in our elections. Florida has a voter ID requirement that works just fine. Voting should be as easy as possible for all citizens. #wheresashley on this?","2026-02-15T14:11:22.262Z"
"djmicdrop.bsky.social","🙏","2026-02-15T13:00:50.902Z"
"djmicdrop.bsky.social","Other countries can do it, why can’t we? www.france24.com/en/live-news...","2026-02-15T03:41:39.492Z"
"djmicdrop.bsky.social","This is what a rigged economy looks like.","2026-02-14T23:01:11.038652Z"
"djmicdrop.bsky.social","📢","2026-02-14T17:01:21.287Z"
"djmicdrop.bsky.social","✌️✌🏻✌🏼✌🏽✌🏻✌🏻✌🏿","2026-02-14T17:00:29.583Z"
"djmicdrop.bsky.social","🎯","2026-02-14T16:59:14.180Z"
"djmicdrop.bsky.social","💯","2026-02-14T16:58:32.164Z"
"djmicdrop.bsky.social","Trump surrounds himself with white nationalists, fraudsters, grifters, and sex abusers. Some are all four, including him.","2026-02-14T00:39:55.876Z"
"djmicdrop.bsky.social","THIS 👇 HERE.......","2026-02-13T10:14:59.425Z"
"djmicdrop.bsky.social","Trump protects and hides his raping young girls by hiring and appointing only pedophiles. Now we know the rest of the story. #Voices4Victory #DemVoice1 #Pinks #SheShed","2026-02-12T13:40:54.993Z"
"djmicdrop.bsky.social","Another good day to remember: #USDemocracy #Voices4Victory","2026-02-12T13:50:19.995Z"
"djmicdrop.bsky.social","💯","2026-02-12T14:27:46.677Z"
"djmicdrop.bsky.social","Rep. Lieu: “Were there any underage girls at any party that Trump attended with Epstein?” Bondi: “This is so ridiculous…There is no evidence that Donald Trump has committed a crime. Everyone knows that.” Lieu: “I believe you just lied under oath.” Bondi: “Don't you ever accuse me of a crime.”","2026-02-11T17:05:28.911Z"
"djmicdrop.bsky.social","Bondi is a disgrace","2026-02-11T17:35:57.537Z"
"djmicdrop.bsky.social","Likely-historic photo by NBC News of all the Epstein victims asked to raise their hands if they've not yet been asked to meet with the DOJ as Bondi testifies in foreground","2026-02-11T17:15:47.987Z"
"djmicdrop.bsky.social","Well, he works for him…","2026-02-10T22:51:18.417Z"
"djmicdrop.bsky.social","@deadder.bsky.social has so many great cartoons:","2026-02-10T19:19:57.677Z"
"djmicdrop.bsky.social","Rep. Delia Ramirez to DHS officials: """"I have as much respect for you as I do for the last white men who put on masks to terrorize communities of color. I have no respect for the inheritors of the Klanhood and the slave patrol. Those activities were criminal and so are yours.""""","2026-02-10T17:11:46.495Z"
"djmicdrop.bsky.social","We have a federal administration led by idiots and criminals.","2026-02-11T01:49:40.105Z"
"djmicdrop.bsky.social","🤷🏻‍♂️","2026-02-10T23:50:00.180Z"
"djmicdrop.bsky.social","It always does!","2026-02-11T02:23:15.595Z"
"djmicdrop.bsky.social","President of the Umpa-Loompas!","2026-02-11T02:22:28.445Z"
"djmicdrop.bsky.social","Just like Kid Rock…those lyrics didn’t age well 😳","2026-02-11T02:11:50.914Z"
"djmicdrop.bsky.social","So the Mid-Terms will be cancelled by Trump? Not going to happen. They’re lobbing propaganda bombs trying to soften the ground under our feet. They want to wear down expectations, lower our resolve, until we surrender. My answer to that? Fvck you-make me! #TakeBackCongress #ImpeachTrump","2026-02-11T02:07:12.575Z"
"djmicdrop.bsky.social","No notes, Jessica. You nailed it!","2026-02-11T01:39:42.598Z"
"djmicdrop.bsky.social","The Birther-in-Chief's disgusting history of racism has its own page on Wikipedia. See for yourself, here: shorturl.at/UQaXQ","2026-02-07T19:38:07.631Z"
"djmicdrop.bsky.social","While the billionaires kowtow and look the other way, actual patriots recognize their responsibility to speak out and assert right from wrong.","2026-02-10T22:13:12.136Z"
"djmicdrop.bsky.social","www.tiktok.com/t/ZThuRA1p9/","2026-02-10T22:33:20.724Z"
"djmicdrop.bsky.social","The Guardian has a rough outline of what the Tulsi whistleblower complaint is about: NSA found someone close to Trump in contact with foreign intelligence, and rather than doing something about that, Tulsi brought the report to Susie Wiles. www.theguardian.com/us-news/2026...","2026-02-07T18:04:59.705Z"
"djmicdrop.bsky.social","""""For years, a cottage industry of political observers has contorted itself to obscure and occlude the obvious. That regardless of what others see in him, Trump’s entire political career...cannot be understood outside the context of his bitter, deep-seated racism."""" (gift link)","2026-02-07T16:49:50.599Z"
"djmicdrop.bsky.social","Morning #BlackHistoryMonth Powerful Message From Tyler Merritt My Wish They would air this clip during tomorrow's Superbowl","2026-02-07T15:29:34.390Z"
"djmicdrop.bsky.social","In California:","2026-02-07T15:30:45.685Z"
