"user","post","date"
"gus1965.bsky.social","#BlueskyResistance #Voices4Victory #ProudBlue ‘Nuff said","2026-02-14T19:25:22.164Z"
"gus1965.bsky.social","Disclosure would prove he is one.","2026-02-14T11:24:23.342Z"
"gus1965.bsky.social","😂👇😂","2026-02-14T01:12:34.917Z"
"gus1965.bsky.social","He is us, and we are him. Bad Bunny is all of us tonight. We are woven into the history of this nation, and no amount of hate will erase us. Love will conquer hate tonight and always. Keep the faith, America! #BadBunny #SuperBowl","2026-02-09T03:18:51.848Z"
"gus1965.bsky.social","I remember when my mom, who’s in her 70s, and I heard Kamala Harris announce her care-at-home plan. We were so excited. She even explained it was cheaper than hospital care. To us, it felt like someone was actually planning to make healthcare better. Now look where we are. #TrumpFumbled","2026-02-07T22:42:33.991Z"
"gus1965.bsky.social","💯","2026-02-07T07:46:51.304Z"
"gus1965.bsky.social","Wow, this is something. The United States of America really needs right now. A true leader and a real man not a fake felon bitch in the White House like what we have right now","2026-02-07T07:26:50.905Z"
"gus1965.bsky.social","The FELON is a Fucking PIG full stop","2026-02-06T14:11:07.885Z"
"gus1965.bsky.social","“If you follow ICE, unfollow me. Don’t come to my shows and don’t watch my movies.”—John Leguizamo #JohnLeguizamo #ProudBlue #Pinks #Resist #FuckICE","2026-01-31T02:20:52.654Z"
"gus1965.bsky.social","“Brothers and Sisters, thank you for welcoming us to the Battle of Minneapolis.” ~Tom Morello","2026-01-31T02:12:28.569Z"
"gus1965.bsky.social","I'm Kat Abughazaleh and I approve this message.","2026-01-31T16:53:36.042Z"
"gus1965.bsky.social","I love to see Felon supporters put their foot in their mouths","2026-01-31T08:24:12.868Z"
"gus1965.bsky.social","A real nightmare…","2026-01-30T06:45:10.917Z"
