"user","post","date"
"stacydaless.bsky.social","This is exactly what is needed.","2026-02-15T21:05:20.037Z"
"stacydaless.bsky.social","I think we are going to have a Democratic-controlled Senate. And all we will need for the leadership of that Democratic Senate to do is hold actual, real, impeachment trials. As the Constitution requires. Not the bullshit fake trials like the ones that the Senate held in 2020 and 2021...","2026-02-15T16:49:51.875Z"
"stacydaless.bsky.social","1/ I’m saddened to hear of the passing of former Rep. John Viola. He was kind, compassionate, and dedicated to his family, his colleagues, and his community—values I saw up close as an advocate.","2026-02-15T20:34:48.142Z"
"stacydaless.bsky.social","While Donald Trump is wrecking our alliances and dismantling the stable world America helped create, California will always be a trusted, reliable partner. Instead of bending a knee to authoritarianism, California is proving that democracy remains our best bet for the future.","2026-02-15T20:36:12.485Z"
"stacydaless.bsky.social","Trump must resign!","2026-02-15T21:02:02.140Z"
"stacydaless.bsky.social","Wow. I wish #Minnesota all the high-quality beauty it can handle, and lots of love.","2026-02-15T14:04:21.892Z"
"stacydaless.bsky.social","Criminal president.","2026-02-06T21:36:48.690Z"
"stacydaless.bsky.social","👉 👈 👇","2026-02-15T20:57:14.900Z"
"stacydaless.bsky.social","#EpsteinFiles","2026-02-15T20:26:22.358Z"
"stacydaless.bsky.social","This includes those who are covering it up in Congress and Senate. Do not confirm any one!","2026-02-15T20:56:50.789Z"
"stacydaless.bsky.social","They all must go.","2026-02-15T20:55:31.266Z"
"stacydaless.bsky.social","Need assistance with a federal agency? We’re here to help you cut through the red tape and navigate. Team Costa can assist with Social Security, IRS issues, passports, visas, veterans benefits, and more. To learn more or request help, visit ⤵️ costa.house.gov/services","2026-02-15T01:00:07.363Z"
"stacydaless.bsky.social","Happy Valentine’s Day, Sacramento County! 💌 I want to thank every school that participated in my office’s annual Valentines for Veterans program.","2026-02-15T01:51:00.199Z"
"stacydaless.bsky.social","His attacks on the midterms are real and dangerous… and aren’t going to work. Running down the case for an optimistic threat assessment @theunpopulist.net :","2026-02-13T19:10:21.011Z"
"stacydaless.bsky.social","Says the guy who auctioned off little girls Says the guy who trafficked little girls Says the guy who raped little girls Voter cheating, or electoral fraud, is extremely rare in the USA Only 39 cases of voter fraud were ID'd in a recent election, a mere 0.000039% of over 100 million ballots cast","2026-02-14T21:50:53.690Z"
"stacydaless.bsky.social","This guy raped little girls.","2026-02-14T04:50:27.410Z"
"stacydaless.bsky.social","To be in the US without proper documentation is a civil offense, not a criminal one. Deportation not imprisonment is the common penalty “Illegal entry"""" is a federal misdemeanor. ( people shd not be imprisoned for a misdemeanor) (""""illegal reentry"""" after deportation is a felon)","2026-02-14T14:16:21.521Z"
"stacydaless.bsky.social","ICE is planning to spend tens of billions of dollars on mega-prisons where the agency can disappear thousands of people. It's $38.3 billion plan to launch a “new detention center model” would expand the agency’s detention capacity by 92,600 beds by the end of FY26. newrepublic.com/post/206591/...","2026-02-15T01:36:26.888Z"
"stacydaless.bsky.social","@barackobama.bsky.social praises those who protest ICE """"with the truth and with cameras and with peaceful protest and with shining a light on the behavior that, in the past, we've seen in authoritarian countries and dictatorships, but we have not seen in America.""""","2026-02-15T01:34:11.426Z"
"stacydaless.bsky.social","ICE using the same ruse that Ted Bundy used to kidnap people should tell you something.","2026-02-15T01:51:26.907Z"
"stacydaless.bsky.social","A criminal case collapses after ICE agents were caught lying under oath, as federal courts flex contempt powers and a grand jury’s refusal to indict six members of Congress — plus the deepening Epstein fallout and mounting pressure on Pam Bondi. Watch Legal AF live now!","2026-02-15T01:50:36.923Z"
"stacydaless.bsky.social","“I’ve never protested before - but I just watched 4th & 5th grade kids run away from our own government.” 😕🇺🇸💔 (From @crindivisible.bsky.social )","2026-02-15T00:45:31.147Z"
"stacydaless.bsky.social","Still selling out children. This is an absolute disgrace. He is a pedophile! WTF!","2026-02-15T01:42:09.468Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣 📣","2026-02-15T01:39:21.111Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣 📣 📣","2026-02-14T19:37:07.471Z"
"stacydaless.bsky.social","Celebrate Valentine’s Day with your little ones at San José Public Library 💕 Visit today between 3–4 PM for crafting and storytime. Find all the details at the link below. sjpl.bibliocommons.com/events/69692...","2026-02-14T19:28:23.577Z"
"stacydaless.bsky.social","It’s laughable that Kristi Noem chose to come to Arizona to make the case for the SAVE Act — Trump’s attempt to nationalize elections and force states to handover their voter data. MAGA Republicans have spent six years lying about the outcome of our elections, with zero evidence.","2026-02-14T19:29:26.912Z"
"stacydaless.bsky.social","The United States is operating 225 concentration camps across the US with 75,000 men, women, & children being kept in inhumane conditions experiencing abuse, torture, rape, murder, & being denied basic human rights. #Pinks","2026-02-14T18:33:10.931Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣 📣","2026-02-12T19:02:52.074Z"
"stacydaless.bsky.social","We have a $3,500 goal to meet by tonight. It means food and essential supplies for 100+ more families before the weekend. Every dollar goes directly to food which is bought in bulk. You can be part of this. $25, $50, $100 — any amount helps. The more we raise, the more families we serve.","2026-02-12T18:07:11.292Z"
"stacydaless.bsky.social","As children starve and get sick without health care or immunizations.","2026-02-12T19:01:33.146Z"
"stacydaless.bsky.social","under questioning by Rand Paul, ICE officials confirm that yelling at officers is not assault and recording officers is not a crime","2026-02-12T16:47:11.136Z"
"stacydaless.bsky.social","Remember his name: Alex Pretti. Remember who shot him to death repeatedly firing bullets into his already dead body after the bullet to his head. #ProudBlue #DV1 #Pinks","2026-02-11T22:02:55.700Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣 📣 📣","2026-02-12T18:59:32.522Z"
"stacydaless.bsky.social","Insane levels of corruption. www.wsj.com/finance/curr...","2026-02-11T03:31:16.134Z"
"stacydaless.bsky.social","ICE is not focused on the """"worst of the worst."""" We have the data to prove it. But this regime will do anything to justify deploying masked ICE agents into our cities so they can continue massive sweeps of our communities just to meet their cruel immigration quotas.","2026-02-12T18:51:35.389Z"
"stacydaless.bsky.social","He is killing our children.","2026-02-12T18:56:02.335Z"
"stacydaless.bsky.social","Yeah, you should definitely antagonize House Democrats with unprofessional personal insults right before they retake control of the chamber, that's a really good idea. Hell, she's taking on Massie, who could throw control of the House to the Dems by getting two colleagues to go independent with him","2026-02-11T19:06:38.493Z"
"stacydaless.bsky.social","Today I heard directly from auto workers and customers about the brazen acts of fraud that are jacking up auto insurance premiums. Cracking down on these fraudsters is one way we will help lower costs for drivers here on Long Island and across the state.","2026-02-11T19:16:15.954Z"
"stacydaless.bsky.social","If Republicans were serious about election integrity they wouldn't try to force states to turn over voter rolls, make it harder for married women to vote, or discourage voting by mail. Let’s stop pretending this bill defends democracy and start helping the American people.","2026-02-11T19:17:53.109Z"
"stacydaless.bsky.social","Shame on this woman! There is a very special place in hell for her.","2026-02-11T19:25:33.191Z"
"stacydaless.bsky.social","NEW Turkey is now investigating the Epstein Network. Prosecutors have opened a probe after a DOJ document allegedly referenced minors being trafficked to Epstein’s island. Attorney Dogan Bekin says more than 104,000 children reported missing in Turkey between 2008–2016 — most of them girls.","2026-02-11T19:14:04.803Z"
"stacydaless.bsky.social","Rep. Banlint: """"Was the President aware of Secretary Lutnick's ties to Epstein when he chose him to lead the Department of Commerce?"""" Bondi: """"Chris Maland was a border patrol agent— Banlint: “So I'm going to conclude that the president…did know about his ties.""""","2026-02-11T19:17:14.392Z"
"stacydaless.bsky.social","She should be indicted.","2026-02-11T19:23:59.737Z"
"stacydaless.bsky.social","U.S. employers added 130,000 jobs in January as the unemployment rate dipped to 4.3% from 4.4% in December. Annual revisions show that job growth last year was far weaker than initially reported.","2026-02-11T19:07:18.002Z"
"stacydaless.bsky.social","Join me as I sign important legislation supporting Planned Parenthood after Donald Trump's Big, Ugly Defund. Watch live at 11:30am PT. YouTube: www.youtube.com/live/Hm2hC5Y... Facebook: facebook.com/events/s/gov... Instagram, X, Twitch: @CAgovernor","2026-02-11T19:19:07.326Z"
"stacydaless.bsky.social","Pam Bondi wouldn’t answer my questions because the DOJ is likely listing Americans who disagree with the Trump administration as domestic terrorists, while the Oath Keepers and the Proud Boys get a pass.","2026-02-11T19:19:25.076Z"
"stacydaless.bsky.social","This is abuse of power!","2026-02-11T19:21:41.983Z"
"stacydaless.bsky.social","Republicans’ “SAVE” Act is an attempt to rig our elections. Minnesotans do not trust the Trump administration to take over our elections, review voter rolls, or block voters from registering. Our democracy depends on all American voices being heard.","2026-02-10T20:55:55.455Z"
"stacydaless.bsky.social","Funding for the DHS runs out this Friday and agencies like FEMA and TSA are at risk of shutting down because Republicans refuse to work with Democrats to rein in ICE. Democrats will not allow Republicans to use taxpayer money as a blank check for ICE’s brutality and corruption.","2026-02-10T20:56:12.721Z"
"stacydaless.bsky.social","Ghislaine Maxwell abused children. It’s unbelievable that the Trump administration moved her to a much cushier prison. If Trump pardons her, it will raise even more questions about his role in this cabal of sex traffickers.","2026-02-10T19:13:20.262Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣 📣 📣","2026-02-10T19:34:37.205Z"
"stacydaless.bsky.social","For decades he has stolen from our government.","2026-02-10T19:33:13.216Z"
"stacydaless.bsky.social","Our bipartisan bill works to change that. The Paving the Way for American Industry Act ensures that preference is given to pigments manufactured in Michigan, not China. Learn more about our bipartisan bill: www.slotkin.senate.gov/2026/02/10/s...","2026-02-10T19:15:25.916Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣","2026-02-10T19:32:11.360Z"
"stacydaless.bsky.social","saying/joking “ Qanon was right but” about the Epstein files is like saying Hitler was right about a side of the war needing to win to end it","2026-02-10T19:19:53.742Z"
"stacydaless.bsky.social","📣 📣 📣 📣 📣 📣 📣 It's our money!","2026-02-10T19:29:27.107Z"
"stacydaless.bsky.social","This is deeply dangerous. Replacing professional civil servants with political appointees is a recipe for corruption, incompetence, and waste. We must push back to protect the government services that millions of Americans rely on.","2026-02-10T19:19:56.741Z"
"stacydaless.bsky.social","Trump’s stupid, useless tariffs are costing everyday Americans $1,000 a year. Republicans need to work with Democrats to lower the cost of living instead of going along with every scam Trump concocts for his billionaire buddies.","2026-02-10T19:20:07.511Z"
"stacydaless.bsky.social","There is exactly one person in America who gives a crap about this ballroom, and his name reportedly appears in the Epstein files more than a million times.","2026-02-10T19:01:33.978Z"
"stacydaless.bsky.social","HOLY SHIT!! Trump is in the unredacted Epstein files """"more than a million times,"""" Raskin alleges. That explains why so many FBI agents were assigned to review the Epstein files and redact Trump‘s name!","2026-02-10T19:07:01.761Z"
"stacydaless.bsky.social","Major update: Trump mentioned in the “unredacted” Epstein Files more than one million times. FBI scrubbed files before giving them to the DOJ, so many “unredacted” files remain redacted. Khanna reads the names of six men on the House floor Head of Ohio State gynecology received money from Epstein","2026-02-10T19:13:39.835Z"
"stacydaless.bsky.social","Unlike in the US, in other countries, even the redacted Epstein files have caused massive shakeups, prominent people being removed from positions of power and influence, because these people haven't figured out what American politicians and business leaders know, you can just say """"nuh-uh""""","2026-02-10T19:21:44.187Z"
"stacydaless.bsky.social","Karoline Leavitt doesn't rule out that Trump made this call about Epstein in 2006: """"Look, it was a phone call that may or may not have happened in 2006. I don't know the answer to that question.""""","2026-02-10T19:20:15.244Z"
