"user","post","date"
"wolfhoun-nod.bsky.social","There should be nationwide marches against all the gigantic concentration camps.","2026-02-14T14:37:49.366Z"
"wolfhoun-nod.bsky.social","None of this is normal","2026-02-15T20:13:19.992Z"
"wolfhoun-nod.bsky.social","I’ll say it again the vast majority of these people via the circles that they ran in & their wealth would have known what he was & what he did for a living. There would be no reason for any of them to have Contact with a sex trafficking child pedophile except to avail themselves of his services.🤷🏾‍♀️","2026-02-15T18:23:23.858Z"
"wolfhoun-nod.bsky.social","Thank you.","2026-02-15T22:51:05.704Z"
"wolfhoun-nod.bsky.social","🎯🎯","2026-02-15T13:03:29.665Z"
"wolfhoun-nod.bsky.social","Great sitting down with Brian Tyler Cohen to talk about everything from the courage we saw in Minnesota, to how Democrats can be true to our values and get stuff done, to how we’re building a community of changemakers at the Obama Foundation. youtube.com/watch?v=uI-hgSE5QIw","2026-02-14T20:42:13.380Z"
"wolfhoun-nod.bsky.social","This is concerning, that a rep feels they must post this. A lot in our coalition has felt the same way and worried about it, but didn’t think we’d be here publicly.","2026-02-14T01:27:52.265Z"
"wolfhoun-nod.bsky.social","Yes it’s Valentine’s Day. But it’s also the chosen birthday of Frederick Douglass who was born in 1818 on a plantation in Talbot County, Maryland. He escaped from slavery & rose to become the most eloquent and forceful voice for the abolition of slavery & for Black voting rights in the U.S.","2026-02-14T18:45:37.463Z"
"wolfhoun-nod.bsky.social","It's clearly a cover up, and they think we’re all stupid and won't notice.","2026-02-13T21:30:13.754Z"
"wolfhoun-nod.bsky.social","Medicare for all, paid leave, universal childcare. Busting up big corporations and tackling Wall Street’s greed. Getting big money out of politics. Supporting unions and fighting for higher wages. If Dems want to win back working people, this is the agenda they must support.","2026-02-13T19:15:10.737103Z"
"wolfhoun-nod.bsky.social","One woman’s premiums are about to explode 345% in January without ACA subsidies — not just a financial death sentence, but a literal one for anyone who can’t afford care. This is Trump’s America: go broke or go without. Cruelty is the point. #TrumpAffordabilityDisaster","2026-02-13T18:39:12.893Z"
"wolfhoun-nod.bsky.social","This is wildly appropriate ☠️","2026-02-13T15:02:22.686Z"
"wolfhoun-nod.bsky.social","For context:","2026-02-10T04:32:33.058Z"
"wolfhoun-nod.bsky.social","@bobmayer.bsky.social Thanks for your service. ‘Ready and forward’","2026-02-10T20:15:14.834Z"
"wolfhoun-nod.bsky.social","A federal judge appointed by President Donald Trump dismissed the DOJ’s efforts to obtain Michigan’s unredacted voter rolls, a bruising setback for the department’s sweeping national effort to force states to disclose sensitive voter data. www.democracydocket.com/news-alerts/...","2026-02-10T15:23:31.433Z"
"wolfhoun-nod.bsky.social","🚨BREAKING: Federal Court DISMISSES DOJ lawsuit to gain access to Michigan’ unredacted statewide voter registration list. Another BIG victory for our clients and voters. Another stunning defeat for Pam Bondi. www.democracydocket.com/cases/michig...","2026-02-10T14:33:36.992Z"
"wolfhoun-nod.bsky.social","You know what they’re going to store in those warehouses? People","2026-02-09T18:46:03.965Z"
"wolfhoun-nod.bsky.social","Maybe a ranch email is in his future. bsky.app/profile/thee...","2026-02-09T18:32:12.881Z"
"wolfhoun-nod.bsky.social","Valerie Thomas spent 30+ years at NASA helping revolutionize how we see images from space & our own world. #WomenInSTEM Managed the development of the first image-processing systems for the Landsat program allowing satellites to send the 1st multi-spectral pictures of Earth back to scientists.(1/2)","2026-02-08T23:07:45.900Z"
"wolfhoun-nod.bsky.social","As reported yesterday by MeidasTouch, Ghislaine Maxwell invoked the Fifth Amendment and did not answer any questions today, including any of the questions put forth in Rep. Ro Khanna’s letter below:","2026-02-09T15:48:25.048Z"
"wolfhoun-nod.bsky.social","Crockett: """"The US is falling apart, partially bc he's allowing for killings in the street, but also bc we have a 34 count convicted felon being shielded from any type of accountability as it relates to a child sex trafficking ring. I don't understand why we're pretending any of this is normal.""""","2026-02-09T15:55:51.295Z"
"wolfhoun-nod.bsky.social","youtu.be/EPD7aYcBx1k","2026-02-09T11:27:19.616Z"
"wolfhoun-nod.bsky.social","As we begin another week, here is what Democracy Docket is tracking: Active Voting Rights Cases: 164 Active Redistricting Cases: 49 Active Anti-Voting Cases: 88 Active Pro-Voting Cases: 72 Active DOJ Lawsuits: 25 Stay informed. Subscribe today. hubs.ly/Q03M8rql0","2026-02-09T14:24:14.714Z"
"wolfhoun-nod.bsky.social","For #BlackHistoryMonth today my focus is: Mary Beatrice Davidson Kenner, a Black American inventor whose work made daily life easier for real people. blackpast.org/african-amer...","2026-02-09T13:36:35.201Z"
"wolfhoun-nod.bsky.social","Call your Representatives and Senators and demand they vote AGAINST the SAVE Act, which would deny millions of U.S. citizens their right to vote, including ANYONE who changed their name in marriage so it no longer matches their birth certificate. Save Your Right to VOTE! go.bsky.app/6uoNa1h","2026-02-09T14:23:25.976Z"
"wolfhoun-nod.bsky.social","Today's Black Fact: Jane Bolin was the first Black woman to attend Yale Law School in 1931 and became the first Black female judge in the United States. Thanks to her leadership employers were moved to hire people based on their skills, as opposed to discriminating against them because of race!","2026-02-08T20:42:16.492Z"
