"user","post","date"
"bluelion77.bsky.social","In these dark times there is a shining light!","2026-02-17T20:30:26.092Z"
"bluelion77.bsky.social","Sure, child sex trafficking is bad. But did you know the Dow is doing well?","2026-02-11T23:14:11.340Z"
"bluelion77.bsky.social","NEGUSE: AG Bondi, that man works for you now, right? The man in that video from J6 yelling 'kill them!' at cops. His name is Jared Wise. BONDI: He does work for us, yes. I believe he was pardoned NEGUSE: And you expect hard-working police officers to believe you take law enforcement seriously?","2026-02-11T18:28:01.307Z"
"bluelion77.bsky.social","Or how about this headline — “American citizen arrested without cause after exercising his Constitutional rights.” Very important that government propaganda not become the default framing.","2026-01-30T16:25:33.008Z"
"bluelion77.bsky.social","Don was taken into custody by federal agents last night in Los Angeles.","2026-01-30T12:58:15.840Z"
"bluelion77.bsky.social","Cartoon by Mike Luckovich","2026-01-28T17:45:08.711316Z"
"bluelion77.bsky.social","www.instagram.com/reel/DUD_Dl2...","2026-01-28T22:09:48.837Z"
"bluelion77.bsky.social","🎯🎯🎯🎯","2026-01-27T16:43:12.757Z"
"bluelion77.bsky.social","BREAKING: Trump doesn’t support the 2nd Amendment.","2026-01-27T20:51:29.857Z"
"bluelion77.bsky.social","BREAKING: DHS says federal agents had body cameras on during the shooting of Alex Pretti. RELEASE THEM NOW ALONG WITH THE AGENTS NAMES. Who agrees?","2026-01-26T17:41:31.718Z"
"bluelion77.bsky.social","Statistic: 2/3rds of murders in Minneapolis so far in 2026 have been committed by DHS agents","2026-01-26T03:13:20.090Z"
"bluelion77.bsky.social","Protesters in Los Angeles projected an anti-ICE video onto the Twin Towers, an ICE-linked detention facility where the Los Angeles Sheriff’s Department actively collaborates with ICE for deportation screenings.","2026-01-25T14:33:47.870Z"
"bluelion77.bsky.social","Absolutely shameful to throw your employee under the bus when they’re murdered, but that’s what happens when you’re in the dumbest cult of personality in the history of the world","2026-01-26T00:27:46.026Z"
"bluelion77.bsky.social","Minnesota National Guard members have arrived at a federal building and were directed to distribute donuts, coffee, and hot chocolate to anti-ICE protesters. Guard members were issued reflective vests so they would not be mistaken for federal agents.","2026-01-25T20:55:36.004Z"
"bluelion77.bsky.social","Reporter: You received a letter from AG Pam Bondi making several demands…. Walz: I would just give a pro tip to the AG. There's 2 million documents in the Epstein files we're still waiting on. Go ahead and work on those","2026-01-25T19:31:26.430Z"
"bluelion77.bsky.social","Imagine how much they’d be lying about what happened without all the videos showing it from multiple angles.","2026-01-24T22:24:10.394Z"
"bluelion77.bsky.social","All to please a wannabe king who is demented and thrives on violence.","2026-01-25T03:55:27.749Z"
"bluelion77.bsky.social","Today is the tipping point. youtube.com/shorts/LDETj...","2026-01-25T00:30:51.853Z"
"bluelion77.bsky.social","𝐇𝐨𝐰 𝐬𝐭𝐮𝐩𝐢𝐝 𝐢𝐬 𝐓𝐫𝐮𝐦𝐩? 𝐇𝐞 𝐣𝐮𝐬𝐭 𝐩𝐨𝐬𝐭𝐞𝐝 𝐭𝐡𝐢𝐬 𝐨𝐧 𝐗. 𝐏𝐫𝐨𝐛𝐥𝐞𝐦 𝐢𝐬 𝐩𝐞𝐧𝐠𝐮𝐢𝐧𝐬 𝐥𝐢𝐯𝐞 𝐢𝐧 𝐭𝐡𝐞 𝐒𝐨𝐮𝐭𝐡𝐞𝐫𝐧 𝐇𝐞𝐦𝐢𝐬𝐩𝐡𝐞𝐫𝐞. 𝐍𝐨𝐧𝐞 𝐢𝐧 𝐆𝐫𝐞𝐞𝐧𝐥𝐚𝐧𝐝. 𝐓𝐡𝐞 𝐢𝐝𝐢𝐨𝐭 𝐢𝐬 𝐰𝐚𝐥𝐤𝐢𝐧𝐠 𝐢𝐧 𝐀𝐧𝐭𝐚𝐫𝐜𝐭𝐢𝐜𝐚.","2026-01-24T01:57:33.525Z"
