"user","post","date"
"bobbibluewave.bsky.social","📘 This is who is currently in the Oval Office and making decisions about our economy and security... 👀","2025-08-11T18:04:10.357Z"
"bobbibluewave.bsky.social","📘 This one knows everything about Trump, Epstein and the island. Let's put her under oath. 🤷🏻‍♀️","2025-08-04T15:03:25.451Z"
"bobbibluewave.bsky.social","📘 Trump KNEW.","2025-08-03T22:00:29.846Z"
"bobbibluewave.bsky.social","""""Mirror, mirror on the wall, Who's the most incompetent of them all?"""" 📘 MIRROR:","2025-08-01T20:12:19.810Z"
"bobbibluewave.bsky.social","📘 DONALD TRUMP: """"I'm a genius"""". 📘 MEANWHILE, FORD:","2025-07-31T21:34:53.105Z"
"bobbibluewave.bsky.social","📘 """"Trump, who once called Epstein a “terrific guy” and boasted of their 15-year friendship in a 2002 New York Magazine interview, now denies they were close. But there’s the 2003 birthday letter, reportedly from Trump to Epstein, which ended with the line ...” open.substack.com/pub/bobbiblu...","2025-07-31T13:08:37.416Z"
"bobbibluewave.bsky.social","📘 Here now, in this Department of Homeland Security video, is the Secretary, Kristi Noem, HARD AT WORK, on an official visit to Chile and Argentina. It's ain't easy keeping America safe.","2025-07-31T12:53:39.590Z"
"bobbibluewave.bsky.social","📘 This period that we are currently in, will be referred to by future historians as, “The long, cruel joke.”","2025-07-29T14:40:31.875Z"
"bobbibluewave.bsky.social","📘 #PRIVILEGE","2025-07-28T16:42:44.945Z"
"bobbibluewave.bsky.social","📘 Masked ICE agents abducted this man from a doctor's office in Ontario, California (east of Los Angeles.) The United States of America no longer exists.","2025-07-09T23:43:33.153Z"
"bobbibluewave.bsky.social","📘 Where did we go wrong, that THIS is the President of the United States, and the representative face of our country? That's what I want to know.","2025-07-09T18:53:04.310Z"
"bobbibluewave.bsky.social","📘 Always so entertaining when fascists turn on each other.","2025-07-01T16:43:14.703Z"
"bobbibluewave.bsky.social","🧵 1/3 📘 My question, as always, is – if you really believe you’re doing the right thing - why hide your face?? 🤷🏻‍♀️ It’s so amazing to me how all these Trump thugs and lackeys forget that Trump’s term will end, a ...","2025-06-24T17:37:37.937Z"
"bobbibluewave.bsky.social","📘 TRUMP: """"Iran and Israel don't know what the FUCK they're doing."""" How could we have possibly voted such a classless, unqualified and demented man, as our President... AGAIN?? Boggles the mind. 🇺🇸🤷🏻‍♀️","2025-06-24T16:03:04.430Z"
"bobbibluewave.bsky.social","📘 Trump's """"Faith"""" office is actually a MOCKERY of Faith. Nothing is sacred to him.","2025-06-24T11:57:45.460Z"
"bobbibluewave.bsky.social","📘 😂😂 Whoever did THIS ⬇️ must surrender themselves IMMEDIATELY to the nearest masked ICE agents, or else...","2025-06-23T03:20:29.561Z"
"bobbibluewave.bsky.social","📘 Yep, pretty much.","2025-06-22T18:55:16.353Z"
"bobbibluewave.bsky.social","Marco Rubio abandoned a career of 15 yrs as a US Senator and a future potential Presidential nominee for the Republican Party, to become a court jester for a mad king - and is losing any and all credibility, on a daily basis. 🤦🏻‍♀️ Some """"opportunities"""" are just not meant to be taken ... Lil' Marco. 😌","2025-06-22T17:16:15.920Z"
"bobbibluewave.bsky.social","🧵 1/2 📘 The maniac, Donald, has attacked Iran. Just a few weeks ago his Intelligence director had confirmed that Iran was not pursuing a nuclear bomb. The unpopular gestapo tactics his administration has employed, the growing protests...","2025-06-22T00:27:04.057Z"
"bobbibluewave.bsky.social","📘 Message from Trump 🙂: Whoever did THIS ⬇️ should surrender themselves to masked ICE agents by midnight tonight, or else.","2025-06-20T17:12:51.506Z"
"bobbibluewave.bsky.social","🧵 1/2 """"You're a DISGRACE to the office you hold, a small-minded man whose time in power has been defined by lies, laziness, and a profound inability to rise to the challenges of leadership.” 📘 Dear DonOld ✍️, Your abrupt departure from Canada 🇨🇦 in the dead of... open.substack.com/pub/bobbiblu...","2025-06-20T01:32:03.360Z"
"bobbibluewave.bsky.social","📘 My question tonight is as it has been for the last few weeks... If you believe you are doing the right thing, WHY cover your face???","2025-06-20T00:24:19.880Z"
"bobbibluewave.bsky.social","🧵 1/2 📘 Cars exploding, Tesla's public image ruined, now rockets exploding... 🤦🏻‍♀️ Elon's companies are suffering from neglect while he prances around with chainsaws firing thousands of federal workers ...","2025-06-19T11:35:02.504Z"
"bobbibluewave.bsky.social","📘 United States Department of Tourism just released their new global Promo. 😌","2025-06-19T00:22:16.005Z"
"bobbibluewave.bsky.social","📘 Trump's version of America is mad, and small, and cruel. Its currency is hate, and FEAR. We must kill it before it grows ROOTS. How? By using our collective voices. With purpose, with courage, and with LOVE of country and each other, in our hearts. ♥️🇺🇸 #NoKings","2025-06-18T23:48:00.510Z"
"bobbibluewave.bsky.social","📘 There is no U.S. President like this... It's impossible. The last 5 months are a sick prank that someone is playing on us. That is the only possible explanation.","2025-06-18T04:34:30.136Z"
"bobbibluewave.bsky.social","📘 Aww... Always so cute when two right-wing, unhinged LOONS go at each other in public! We've been seeing that quite a bit lately - house of cards is collapsing. Bet Ted Cruz is regretting chatting with Tucker Carlson. Thought it would be the usual softballs but he walked into an EPIC ambush. 😬","2025-06-18T04:03:42.557Z"
"bobbibluewave.bsky.social","📘 Can't wait to read it! 😍","2025-06-17T02:58:08.948Z"
"bobbibluewave.bsky.social","🧵 1/1 “You’ve turned the presidency into a weapon to punish enemies and reward sycophants, betraying the sacrifices of COUNTLESS Americans who fought for a free nation.” 📘 Dear DonOld ✍️, Your presidency has become a grotesque caricature of governance, a ... open.substack.com/pub/bobbiblu...","2025-06-17T02:51:31.748Z"
"bobbibluewave.bsky.social","📘 They are making fun of Trump's parade internationally... He is a global laughing stock and a total embarrassment who is pulling our formerly respected country DOWN with him. In this video clip you can see even Melania trying not to laugh at this comical farce. 😑","2025-06-16T14:42:00.648Z"
"bobbibluewave.bsky.social","📘 This video clip of members of the Proud Boys being booed, made my day. 😃 Americans have had enough. We don't tolerate wanna-be Kings. Not HERE. 🇺🇸","2025-06-15T17:30:11.084Z"
"bobbibluewave.bsky.social","🧵 1/2 📘 Dear DonOld Trump ✍️, I continue to be appalled by the actions of your administration, which demonstrate a flagrant disregard for democratic principles, constitutional rights, and the will of the American people. 🇺🇸 Your tenure has been marked by an... open.substack.com/pub/bobbiblu...","2025-06-14T17:06:06.160Z"
"bobbibluewave.bsky.social","🧵 1/2 OUTRAGEOUS!! 📘 The way Senator Alex Padilla was manhandled and handcuffed by the Trump administration while fulfilling his oversight duties, was unacceptable! Thrown to the ground for representing Californians! This is abuse of power and a pattern of ...","2025-06-13T20:08:07.365Z"
"bobbibluewave.bsky.social","📘 😂😂😂 I LOVE this cartoon of Elon shopping for an apology card to send DonOld...","2025-06-12T21:38:23.642Z"
"bobbibluewave.bsky.social","📘 The cartoonist is precise. 🎯","2025-06-10T22:03:15.678Z"
"bobbibluewave.bsky.social","📘 When he tripped and FELL on his way up the Air Force One stairs yesterday, because the bone spurs in his weak little heels can no longer stand the weight of the Presidency ... it looks like he may have accidentally sprained his mouth. I sure hope he's ok. 👀","2025-06-10T01:41:12.390Z"
"bobbibluewave.bsky.social","**NEW VIDEO 📘 There's a reason I call him """"DonOLD"""". 😌","2025-06-08T23:00:51.833Z"
