"user","post","date"
"fridaspock.bsky.social","We don’t have to see the whole sky to trust that the stars are still there. Keep going. Keep glowing. #art #ArtWithMeaning #VisualPoetry #NarrativeArt #ArtWithAStory #SacredFeminine #DivineFeminineArt #MythicArt #DreamworldArt #SoulfulArt #AwakenCreativity","2025-04-06T21:41:21.674Z"
"fridaspock.bsky.social","I have found my tribe … youtu.be/szARlD95nWE?...","2025-03-16T16:12:48.008Z"
"fridaspock.bsky.social","Truth 💙","2025-02-11T03:09:46.395Z"
"fridaspock.bsky.social","These nazis not like us!! youtu.be/H58vbez_m4E?...","2025-02-11T11:47:52.955Z"
"fridaspock.bsky.social","People in a Dr Suess bubble are not going to understand cultural references on a James Joyce level. I said what I said. 🤷🏻‍♀️💕🔥 #squableup #halftime They at reading level 3, Kendrick Post Graduate","2025-02-10T12:26:54.294Z"
"fridaspock.bsky.social","Made a little video of some of the Uhura items at @trekfederation.bsky.social because she is amazing","2025-02-08T17:20:14.940Z"
"fridaspock.bsky.social","Well done to Cincinnati residents who scared off a group of Nazis. I love to see it. 🔥👏","2025-02-09T02:28:16.978Z"
"fridaspock.bsky.social","Jasmine Crockett: """"The problem is that Americans thought it was okay to take a full fledged criminal and make him the President of the US and then they want to act aghast when he does criminal things. Let me tell you, we have a thug in charge of the US and if we don't wake up we may not have a US""""","2025-02-02T20:31:59.023Z"
"fridaspock.bsky.social","How Trump and Elon Musk cheated: go to the account This Will Hold on BlueSky. The vote tabulation machines were RIGGED in the swing states. Stephen Spoonamore figured it out & This Will Hold shows you how. Trump lost the election. The evidence is piling up. ktla.com/business/pre...","2025-02-02T12:47:30.330Z"
"fridaspock.bsky.social","www.youtube.com/watch?v=ijAY... #80’sEarworms Here I am in silence Looking 'round without a clue I find myself alone again All alone with you","2025-01-27T04:58:52.187Z"
"fridaspock.bsky.social","ICYMI — Sharpton led a buy-in to support Costco after they didn’t back down on DEI","2025-01-27T03:43:14.132Z"
"fridaspock.bsky.social","www.tiktok.com/t/ZP8F3pTNF/. Nato articles 4 and 5 💙💙💙","2025-01-26T08:18:55.171Z"
"fridaspock.bsky.social","Good morning, a fabulously plump orange rose to bring a little happiness to your Wednesday ☺️","2025-01-22T08:30:20.503Z"
"fridaspock.bsky.social","Absolutely","2025-01-22T04:36:15.476Z"
"fridaspock.bsky.social","The gospel according to Saint Mariann","2025-01-22T01:10:05.950Z"
"fridaspock.bsky.social","If she can do it, we can all do it.","2025-01-22T10:43:47.261Z"
"fridaspock.bsky.social","What I imagine the White House looks like right now","2025-01-21T13:05:00.067Z"
"fridaspock.bsky.social","The """"he's not gonna listen to her"""" reactions are missing many points. Lots of other people are also hearing it. Lots of people can see him hearing it, then weigh what she's said with what he'll do. Lots of people can see her refusal to surrender these ancient teachings to the latest face of empire","2025-01-21T21:03:21.937Z"
"fridaspock.bsky.social","HAPPY MLK DAY‼️✨️ @candybones.bsky.social @spokelse111.bsky.social @sburr741600.bsky.social @archeryfan93.bsky.social @kiareeves.bsky.social @simplyskye.bsky.social @phillyangelhd.bsky.social @dakinegrrl.bsky.social @beccakittybear.bsky.social @landscaper72000.bsky.social @merlinmm.bsky.social Repost!","2025-01-20T16:30:23.863Z"
"fridaspock.bsky.social","Meta’s surveillance isn’t limited to your online activity. The company also encourages businesses to send them data about your offline purchases and interactions. Even deleting your Facebook and Instagram accounts won’t stop Meta from harvesting your personal data. www.eff.org/deeplinks/20...","2025-01-19T00:59:35.145Z"
"fridaspock.bsky.social","""""Even the story of his near-murder, his tragi-farcical trials, and his ordeal in the penal colony is told with humor—and humanity."""" Navalny's refusal to knuckle under is permanent, now that he's dead, and is still a threat to Putin's regime. www.thebulwark.com/p/even-in-de...","2025-01-18T13:00:51.382Z"
"fridaspock.bsky.social","Michelle Obama doesn’t have to do anything she doesn’t want to.","2025-01-16T06:19:38.021Z"
"fridaspock.bsky.social","Trump, Musk & MAGA douse California wildfires with conspiracies, hate & lies While wildfires rage across LA, the President-elect, weirdo wingman Musk & other disreputable characters in the MAGA extended universe are doing all they can to make things worse. www.usatoday.com/story/opinio...","2025-01-11T14:09:13.359Z"
"fridaspock.bsky.social","This is what Fox News chooses to speak about. Nitpicking at diversity & LGBTQ+ line items in the budget? Where the HELL is the information about how to help these people majorly impacted by the LA fires? Where’s the resources? Where are the emergency numbers? Any updated info? Absolutely sickening.🤬","2025-01-11T13:18:35.550Z"
"fridaspock.bsky.social","Asking for a friend 🤷🏻‍♀️ If her grandparent was born in another country, and she has many aunts and uncles who were born in america who are now in their 70s and 80s…. under the new Republican Administration immigration laws, do her aunts and uncles need to return to their grandma’s original country?","2025-01-05T12:39:40.081Z"
"fridaspock.bsky.social","It is not your responsibility to change the world. It is your responsibility to show kindness, empathy and compassion. That’s how you can change the world. With yourself first. Imagine if 70 million people influenced just one person to be more kind. More informed. Now imagine if they all influenced","2025-01-04T08:44:04.497Z"
"fridaspock.bsky.social","Take your time and look this over. Find your state. Then let this sink in: all of the income levels noted below will pay higher taxes so that millionaires can get the tax cut Trump promised. But hey, eggs are too expensive.","2024-12-29T02:59:42.115Z"
"fridaspock.bsky.social","Own the libs...","2024-12-29T03:36:32.246Z"
"fridaspock.bsky.social","🎄🎁🕎🦋🌈💕🧚‍♂️🎉Happy Holidays from Rubin and Cherise #iykyk #weareeverywhere 🎉🧚‍♂️💕🌈🦋🕎🎁🎄","2024-12-28T04:34:25.080Z"
"fridaspock.bsky.social","✨🖤✨","2024-12-21T10:30:10.293Z"
"fridaspock.bsky.social","Art 🧶 But Oblivion was not one to forgive. His spies, ever watchful, tracked Aaron through the Grove.","2024-12-20T17:10:11.575Z"
"fridaspock.bsky.social","Smallest statue in Budapest?","2024-12-14T20:36:02.628Z"
"fridaspock.bsky.social","DOGE wants our input gz4c.org/doge/","2024-12-13T13:47:01.356Z"
"fridaspock.bsky.social","Every conservative columnist right now.","2024-12-08T23:33:46.955Z"
"fridaspock.bsky.social","This!!","2024-12-08T19:03:45.786Z"
"fridaspock.bsky.social","This is the family in Ukraine the Russians were laughing at in the UN.","2024-12-05T12:15:19.436Z"
"fridaspock.bsky.social","How to avoid paying taxes, billionaires 101.","2024-12-02T02:26:59.777Z"
"fridaspock.bsky.social","It took over 10 years on fb to gain 983 followers, mainly family and friends… In less than 2 weeks on 🦋 🧶 and my #art have almost 3K followers!! Mostly wonderful like minded strangers. I am so #grateful. Thank you Jay, Rose, and everyone working so hard for us all. 💫🍄🐉🧚‍♂️","2024-12-01T16:40:23.606Z"
"fridaspock.bsky.social","A story of Thanksgiving, read in the comments thread. #art #gratitude #hopeless #magical #optimism Painting by Anna Todaro Sadur (FridaSpock). Acrylic on Canvas. 18”x24”","2024-11-28T17:51:41.986Z"
"fridaspock.bsky.social","💫💕🌈This community is so incredibly supportive, I an so very grateful for each and every one of you 🌈💕💫","2024-11-28T02:05:36.828Z"
