"user","post","date"
"gratefulvoice.bsky.social","They’re all NAZI wannabes.","2026-02-18T02:37:16.805Z"
"gratefulvoice.bsky.social","Extrajudicial killings have become the norm for this Administration. From shooting our own citizens in Minneapolis to these lawless killings in international waters. We must make sure that Hegseth & those who ordered these murders are held accountable.","2026-02-18T02:49:12.079Z"
"gratefulvoice.bsky.social","Now what?","2026-02-17T22:54:58.877Z"
"gratefulvoice.bsky.social","Last year, surveillance giant Palantir (who got an 8-figure contract from ICE) paid $0 in federal income tax despite making $1.5 BILLION, partly due to new tax cuts in Trump's Big, Beautiful Bill. They cut Medicaid & SNAP to pay for this. This monstrosity must be reversed.","2026-02-17T20:48:39.412Z"
"gratefulvoice.bsky.social","Applications to intern at MS NOW (f/k/a MSNBC) are due soon: jobs.smartrecruiters.com/Versant3/744...","2026-02-17T20:56:05.597Z"
"gratefulvoice.bsky.social","I spent my childhood inside of American concentration camps. I know one when I see one. And that is what ICE is building.","2026-02-17T21:00:12.292Z"
"gratefulvoice.bsky.social","As San Diego recovers from yesterday’s storm and prepares for more incoming rain, here’s a reminder on how to report damage to the city and county. Stay safe, everyone.","2026-02-17T22:04:43.609Z"
"gratefulvoice.bsky.social","We wish a reflective and peaceful Ramadan to all who observe. Ramadan Mubarak!","2026-02-17T22:10:04.238745995Z"
"gratefulvoice.bsky.social","Maybe we should regulate AI companies instead of giving them a rein to destroy jobs and our economy? Just a thought.","2026-02-17T04:20:45.896Z"
"gratefulvoice.bsky.social","I recently finished reading the science fiction classics Hyperion and Fall of Hyperion, which were published more than three and a half decades ago. The descriptions of Artificial Intelligence in the books are fascinating and prescient.","2026-02-16T23:05:55.458Z"
"gratefulvoice.bsky.social","A man at our town hall asked if love was too weak for this moment. I told him: “My faith teaches me that love is the strongest force in the universe. A new kind of politics is possible.”","2026-02-16T05:51:35.200Z"
"gratefulvoice.bsky.social","NOTE I am not suicidal; I don't drink or do drugs; my blood pressure and cholesterol are normal; I don't engage in high-risk activities; my vehicles are well kept and newly serviced. If anything happens to me, please assume foul play and only let state agents—not federal—access my data and drafts.","2026-02-16T08:35:11.601Z"
"gratefulvoice.bsky.social","I love AOC. But hasn’t the United States shown that we aren’t able to bring ourselves to elect a woman? At least not yet.","2026-02-16T14:32:53.928Z"
"gratefulvoice.bsky.social","Every ICE officer who has broken the law should be arrested, tried, and imprisoned for their crimes.","2026-02-15T23:27:12.353Z"
"gratefulvoice.bsky.social","Democrats should propose amendments to the SAVE act that require the government to furnish free IDs to all eligible voters before requiring them, automatically register all people to vote, expand mail-in voting, and create a national voting holiday. Then watch republicans block them.","2026-02-15T23:32:04.219Z"
"gratefulvoice.bsky.social","💯 Trump supports socialized losses for billionaires and corporations with privatized gains.","2026-02-16T00:59:39.319Z"
"gratefulvoice.bsky.social","👀","2026-02-14T22:49:49.761Z"
"gratefulvoice.bsky.social","It’s not reassuring that a grand jury refused to indict. Elias argues that the harm already occurred. First Amendment speech was criminally investigated, ballots were seized, and a precedent was set. These failed abuses normalize the next attempt.","2026-02-14T18:11:24.841Z"
"gratefulvoice.bsky.social","Roses are white Violets are white Santa is white America is white Happy Valentine's Day from the Trump administration.","2026-02-13T19:01:39.854Z"
"gratefulvoice.bsky.social","by @jesseduquette.bsky.social 🔥","2026-02-13T19:09:37.842Z"
"gratefulvoice.bsky.social","💯 this is the approach to take.","2026-02-13T19:22:28.340Z"
"gratefulvoice.bsky.social","Including Melania Trump?","2026-02-13T19:21:37.608Z"
"gratefulvoice.bsky.social","The State Department deserves better than this.","2026-02-13T00:02:44.350Z"
"gratefulvoice.bsky.social","He doesn’t belong at State.","2026-02-12T22:39:46.424Z"
"gratefulvoice.bsky.social","Hey! This is my neck of the woods. She needs to go back home.","2026-02-12T22:36:24.936Z"
"gratefulvoice.bsky.social","Ds successfully block vote on continued funding for DHS, which looks as if it will have to shut down or radically curtail its operations starting in a couple days.","2026-02-12T19:06:53.499Z"
"gratefulvoice.bsky.social","I asked Attorney General Pam Bondi whether she would create a federal-state-local task force to investigate the horrific abuses perpetrated through Jeffrey Epstein's human trafficking ring. Her prolonged response: *crickets*","2026-02-11T21:28:27.641Z"
"gratefulvoice.bsky.social","Massie is on fire.","2026-02-11T01:55:49.746Z"
"gratefulvoice.bsky.social","Trump already indicted Rep. LaMonica McIver for protesting at ICE facility. Now he tried to indict 6 more Democrats. We have NEVER seen a President use DOJ like this before. Dems need to make it clear they will be prosecuting Trump AND all GOP co-conspirators. Plus declare His pardons are invalid!","2026-02-11T02:46:18.597Z"
"gratefulvoice.bsky.social","Not sure of the exact ratios but would be cool if like a 1/3 of Dem electeds talked about nothing but Epstein, a 1/3 talked about nothing but the ICE Gestapo, and the other 1/3 talked about nothing but how the Trump's meddling with medical research guarantees many more people will die of cancer.","2026-02-10T19:17:52.448Z"
"gratefulvoice.bsky.social","@christopherweyant1.bsky.social","2026-02-09T22:52:42.035Z"
"gratefulvoice.bsky.social","GM, Jules! ☕️ TY for thinking of me! 🩷 @jules1212.bsky.social @seizeday.bsky.social @atoth99.bsky.social @crankyoldcrackpot.bsky.social @bostonbitch.bsky.social @journeyled1.bsky.social @bluestormcomin1.bsky.social @alicekobres.bsky.social @moberzan.bsky.social @genxer-71.bsky.social","2026-02-10T15:25:13.529Z"
"gratefulvoice.bsky.social","Is anyone surprised?","2026-02-10T19:40:14.312Z"
"gratefulvoice.bsky.social","👏","2026-02-10T19:20:14.497Z"
"gratefulvoice.bsky.social","🚨BREAKING: Federal Court DISMISSES DOJ lawsuit to gain access to Michigan’ unredacted statewide voter registration list. Another BIG victory for our clients and voters. Another stunning defeat for Pam Bondi. www.democracydocket.com/cases/michig...","2026-02-10T14:33:36.992Z"
"gratefulvoice.bsky.social","Major update: Members of Congress reviewed unredacted Epstein files. They confirmed Trump lied about a key part of his relationship with Epstein. They confirmed the DOJ redacted the names of up to 6 possible co-conspirators. Major developments. Spread the word.","2026-02-09T23:27:37.118Z"
"gratefulvoice.bsky.social","www.nbcnews.com/news/us-news...","2026-02-08T05:03:51.354Z"
"gratefulvoice.bsky.social","“Power to the people”","2026-02-08T10:05:33.259Z"
"gratefulvoice.bsky.social","No matter how bad it gets, don’t ever stop talking about the Epstein Files because the orange felon will do literally anything to distract attention away from him being a pedophile. Never stop talking about the Epstein Files. Never stop talking about the Epstein Files.","2026-02-07T03:05:39.063Z"
"gratefulvoice.bsky.social","That's funny because every time he's called out or asked about anything corrupt, racist, illegal, or just widely condemned he claims he didn't know anything about it.","2026-02-07T02:24:09.803Z"
"gratefulvoice.bsky.social","#Venezuela","2026-01-03T18:47:36.162Z"
"gratefulvoice.bsky.social","#Venezuela #Epstein #oil","2026-01-03T18:47:01.418Z"
"gratefulvoice.bsky.social","Back in my day Republicans went before Congress and the UN to lie about their justifications for invading sovereign nations before actually doing it","2026-01-03T11:57:16.021Z"
"gratefulvoice.bsky.social","#Venezuela","2026-01-03T16:17:38.467Z"
"gratefulvoice.bsky.social","#Venezuela","2026-01-03T16:17:10.120Z"
"gratefulvoice.bsky.social","Agree 💯 With John......","2025-12-14T11:42:39.009Z"
"gratefulvoice.bsky.social","Young American men volunteer for military service, knowing they may have to sacrifice their lives for their country. But they didn't volunteer to sacrifice their futures to protect the President or Secretary of Defense from being convicted of crimes. That's not the service for which we thank them.","2025-12-14T00:56:32.024Z"
"gratefulvoice.bsky.social","ICE","2025-12-13T12:57:39.918Z"
"gratefulvoice.bsky.social","The world's richest 0.001% now control 3x as much wealth as the entire bottom half of humanity combined. 56,000 wealthy individuals have more than roughly 4 billion people. Read that back.","2025-12-12T19:15:10.035606Z"
"gratefulvoice.bsky.social","Vice President Harris at the DNC Winter Meeting: The American people sent a message in November. They want leaders to fight for affordability and for health care, for the right of people to participate in their democracy.","2025-12-13T03:30:30.470575148Z"
"gratefulvoice.bsky.social","Ex FTC chair Lina Khan to @ivehaditpodcast.bsky.social on Paramount & Netflix vying for Warners: “Both of these deals look illegal — what’s striking is in the Trump administration, everything is up for sale… maybe they’ll look the other way in terms of what he and his family get.”","2025-12-13T04:23:05.609Z"
"gratefulvoice.bsky.social","ICE","2025-12-13T12:29:01.110Z"
"gratefulvoice.bsky.social","I love this. We are going to see more heroes stepping up","2025-08-05T02:04:41.576Z"
"gratefulvoice.bsky.social","This seems to be the elephant in the room.","2025-08-04T13:31:25.578Z"
"gratefulvoice.bsky.social","Russians are perpetual victims. The world is mean to them. Why should they be punished for attacking and killing their neighbors?","2025-08-04T21:34:20.550Z"
"gratefulvoice.bsky.social","""""The plans align with the Trump administration’s focus on crewed spaceflight. The White House has proposed a budget that would increase human spaceflight funds for 2026, even as it advocates for major slashes to other programs — including a nearly 50 percent cut for science missions.""""","2025-08-04T21:42:46.086Z"
"gratefulvoice.bsky.social","WTAF?! They want to build a nuclear reactor on the Moon now. It's Sean Duffy's first big move at NASA. “It is about winning the second space race,” said a NASA senior official, granted anonymity to discuss the documents ahead of their wider release. www.politico.com/news/2025/08...","2025-08-04T21:40:08.366Z"
"gratefulvoice.bsky.social","Remember: Almost all of us are the descendants of immigrants who fled persecution, or were brought to America under duress, or sought better lives for themselves and their descendants. Politicians who stoke fear and hatred over immigration want you to forget this. Do not.","2025-08-03T20:00:09.012936Z"
"gratefulvoice.bsky.social","Different story today: better.","2025-08-03T12:08:15.321Z"
"gratefulvoice.bsky.social","How hard is that?","2025-07-22T06:50:39.538Z"
"gratefulvoice.bsky.social","They’re right. ⬇️","2025-07-20T21:39:10.614Z"
"gratefulvoice.bsky.social","Quite right. The White House was pulling the strings all along and lied about it.","2025-07-20T22:56:47.568Z"
"gratefulvoice.bsky.social","This deserves more attention!","2025-07-21T01:13:27.746Z"
"gratefulvoice.bsky.social","If we saw this in any other country, we would not only make fun of it, we would be seriously concerned. And I don't think they know what the word """"iconic means."""" www.doi.gov/video/inside...","2025-07-19T15:39:06.034Z"
"gratefulvoice.bsky.social","Thank God. This cannot be the way.","2025-07-19T02:18:26.307Z"
"gratefulvoice.bsky.social","They’re everywhere. But the people are everywhere too.","2025-07-19T02:39:08.821Z"
"gratefulvoice.bsky.social","It is worth noting that *nobody* was asking for the grand jury testimony. They wanted the list that Pamela Jo Bondi said was on her desk, the list that suddenly, conveniently disappeared, if it ever existed. This is just smoke and mirrors.","2025-07-18T17:51:58.917Z"
"gratefulvoice.bsky.social","ice’s illegitimacy grows with every passing day","2025-06-22T00:42:58.636Z"
"gratefulvoice.bsky.social","It won't just be Colbert. The Daily Show is next. Colbert was the the highest rated late night show host. The message is: Emmy's, ratings, and name recognition won't save you. You criticize the oligarchs and this administration, your show is done.","2025-07-18T03:02:03.049Z"
