"user","post","date"
"heavyprof.bsky.social","The experiment (STAR) and machine (RHIC) with which I have been involved for the past 28 years will record their final events tomorrow and then shutdown in preparation for the next machine (EIC). You can watch LIVE tomorrow morning at 9 am eastern time! www.youtube.com/live/nhRbgI4...","2026-02-06T01:08:46.472Z"
"heavyprof.bsky.social","Wishing a very Happy New Year to all of you!! 🍾🎉🍾 May it be the year you’ve always wished for.","2026-01-01T16:37:37.249Z"
"heavyprof.bsky.social","Santa's work done for another year. Merry Christmas to all who celebrate! Health and happiness to those who don't! Goodnight to all of you!","2025-12-25T05:31:18.239Z"
"heavyprof.bsky.social","Happy Veterans Day to all who have served us, no matter where, no matter when!","2025-11-11T20:16:18.121Z"
"heavyprof.bsky.social","Exactly.","2025-10-03T15:27:55.126Z"
"heavyprof.bsky.social","I’m a physicist. Sewage systems are sexy.","2025-10-01T21:17:58.218Z"
"heavyprof.bsky.social","There is truth to this. I cannot prove it of course. But look at it this way, what could it hurt?","2025-09-15T18:59:43.489Z"
"heavyprof.bsky.social","Watching these kinds of videos and looking at images of galaxies and star clusters helps me remember that my problems are small and fleeting. I hope it does the same for you.","2025-09-14T16:55:57.279Z"
"heavyprof.bsky.social","Yep. Think about this as often as you can. It helps with keeping things in perspective (at least it helps me).","2025-09-14T16:43:44.039Z"
"heavyprof.bsky.social","This is the look on my students’ faces when they finally understand something I’ve been trying to get across to them (even though they’re 19 or 20). Seeing that is the best feeling in the world and it’s why I love teaching.","2025-09-03T03:31:49.427Z"
"heavyprof.bsky.social","Let’s","2025-08-17T12:38:33.161Z"
"heavyprof.bsky.social","Don’t be most people. (For those out there who grew up on Carl Sagan, his absence is still acutely felt, no?)","2025-08-08T12:57:53.786Z"
"heavyprof.bsky.social","I’m embarrassed that I never thought of this. Hope it helps someone!","2025-08-06T04:04:46.857Z"
"heavyprof.bsky.social","🌸 Good Morning 🌸 There is always more good than it seems. Find the beauty & love around you each day. Thanks for stopping by! #kindnessmatters #mentalhealthmatters #Pinks","2025-08-03T10:25:49.851Z"
"heavyprof.bsky.social","Indeed it will.","2025-07-21T03:36:04.600Z"
"heavyprof.bsky.social","This sounds spot on.","2025-07-02T03:15:13.162Z"
"heavyprof.bsky.social","This can be so hard to remember sometimes. Don’t forget your value.","2025-06-27T15:18:48.238Z"
"heavyprof.bsky.social","I know how you feel!","2025-06-18T15:18:35.222Z"
"heavyprof.bsky.social","How many of these have you lost? How many are you willing to lose?","2025-06-08T18:21:13.815Z"
"heavyprof.bsky.social","I wish all of you a peaceful and reflective Memorial Day. Stay close to those you love, and remember those who gave everything to make it possible.","2025-05-26T19:09:43.650Z"
"heavyprof.bsky.social","Can't argue with that!","2025-05-14T22:58:52.704Z"
"heavyprof.bsky.social","If you know someone who is alone or needs a friend, reach out to them. A beautiful smile, a kind word, or a gentle touch. It doesn't cost anything to be kind. And it can change a person's day or even their life ❤️","2025-03-29T14:38:24.829Z"
"heavyprof.bsky.social","So... I hear you're looking for something to watch tonight, something that will make you feel good. Watch the Bob Ross channel! It's free on a bunch of tvs (Samsung, LG, etc.) and if you don't have one of those you can find it on Roku or Pluto as well. Just search for it. It's 24/7 of chill.","2025-03-04T23:33:19.634Z"
"heavyprof.bsky.social","Sometimes, things are written in just the right way. I also wish this for you all!","2025-02-16T02:20:46.826Z"
"heavyprof.bsky.social","Wow! Just over 10k! You guys are amazing. Thank you! 🥳🎉🎉🥳","2025-02-13T23:11:48.171Z"
"heavyprof.bsky.social","Mornings like these... 🙂","2025-02-09T17:49:51.883Z"
"heavyprof.bsky.social","BREAKING NEWS: In a shocking development out of Pennsylvania this morning, Punxsutawney Phil predicts 4 more years of winter.","2025-02-02T13:14:38.252Z"
"heavyprof.bsky.social","I'm going to keep doing starter packs. If you want to be added to one, just like, reply, and repost this post so I know who wants to be on them. 💙🌊💙🔄❤️👋🏻💙🌊💙 Here is yesterday's in case you missed it. go.bsky.app/7vcGATZ","2025-01-31T13:06:40.063Z"
"heavyprof.bsky.social","I'm sure most off you know this, but just in case you don't. If you own a Samsung TV, you automatically get Samsung TV Plus. On channel 2910 you have access to the king of chill 24/7. It's The Bob Ross Channel! Enjoy it tomorrow off you need, or even if you don't. Your welcome!","2025-01-20T03:43:18.674Z"
"heavyprof.bsky.social","In the coming years, spread joy. “All the people gather, fly to carry each his burden We are young despite the years We are concern, we are hope despite the times All of a sudden, these days Happy throngs, take this joy wherever, wherever” —R.E.M., These Days www.youtube.com/watch?v=7vgE...","2025-01-19T13:34:46.562Z"
"heavyprof.bsky.social","I really like this one. I hope you do as well. You can choose to make your life out of thousands of small acts of kindness, and you will be happier for it.","2025-01-17T17:53:56.541Z"
"heavyprof.bsky.social","I'm going to keep doing starter packs. If you want to be added to one, just like, reply, and repost this post so I know who wants to be on them. 💙🌊💙🔄❤️👋🏻💙🌊💙 Here is yesterday's pack in case you missed it. go.bsky.app/UeYGL3a","2025-01-16T14:40:51.391Z"
"heavyprof.bsky.social","Did your child lose their book collection in the Los Angeles fires? Are you a teacher at a school that lost its library or your classroom library? Whether you need one book or a whole library, we can replace your books. 📚 Everyone else, please boost this post so we can connect with those in need. 🙏","2025-01-16T15:35:33.424Z"
"heavyprof.bsky.social","How many agree with George? I know I do.","2025-01-15T03:57:39.306Z"
"heavyprof.bsky.social","There is still beauty in the world.","2025-01-12T18:48:29.118Z"
"heavyprof.bsky.social","There are a bunch of good folks out there! Make a few new friends today!","2025-01-12T01:48:29.151Z"
