"user","post","date"
"indianabluedot2024.bsky.social","👇👇","2026-01-29T00:55:54.104Z"
"indianabluedot2024.bsky.social","“I watched him die… then I watched them maneuver his body like a rag doll— only to discover it was because they wanted to count the bullet wounds and see how many they ‘got’, like he was a deer.”","2026-01-28T05:46:16.346Z"
"indianabluedot2024.bsky.social","Newsom Knows…🤩","2025-11-06T02:51:21.588Z"
"indianabluedot2024.bsky.social","Republicans love free speech, but only their own. Everyone else is supposed to shut the fuck up to spare republicans fragile wittle feewings, the poor babies.","2025-09-13T18:59:58.780Z"
"indianabluedot2024.bsky.social","Fascism is alive and well in Indiana. I hate it here.","2025-09-13T21:01:19.415Z"
"indianabluedot2024.bsky.social","So after days of Republicans blaming and vilifying Democrats and trans people for Kirk’s murder despite having no clue who the person was, we find out it’s a white guy from a Republican family in Utah who loved guns.","2025-09-12T14:08:52.719Z"
"indianabluedot2024.bsky.social","Along with everyone who agrees with him.","2025-09-05T14:27:56.101Z"
"indianabluedot2024.bsky.social","Guys nothing happened. However, CEOs are still trying to convince you that quiet quitting is worse than wage theft, while planning on replacing you with a robot and charge you for the robot’s rent Unions know better. Happy Labor Day Weekend.","2025-08-30T02:50:22.803Z"
"indianabluedot2024.bsky.social","@democrats.org you need to be screaming about this from now until midterms!!!","2025-07-04T04:09:45.109Z"
"indianabluedot2024.bsky.social","Imagine this is you. You’re locked in a cell thousands of miles from home. No one knows where you are. No charges. No trial. No end in sight.","2025-07-04T02:27:19.018Z"
"indianabluedot2024.bsky.social","Per ADP, the Trump Administration shredded 33,000 jobs. The Biden Administration never suffered a loss of jobs. Are we great yet? #Pinks #ProudBlue","2025-07-03T10:53:04.955Z"
"indianabluedot2024.bsky.social","I better not see one MAGA post a video in the future crying because they lost their Medicaid/medicare for themselves or their families like some did after the tariffs and immigration policies devastated their businesses. You voted for this. You figure it out. No sympathy from me.","2025-07-03T19:35:06.632Z"
"indianabluedot2024.bsky.social","Fuck the GOP!","2025-07-01T16:43:05.263Z"
"indianabluedot2024.bsky.social","FUCK DONALD J. TRUMP!","2025-06-22T02:21:38.801Z"
"indianabluedot2024.bsky.social","Your safety is the top priority. Peaceful protesters have already been harmed for doing nothing. The story they’re selling isn’t legit. Please film everything, document everything.","2025-06-08T02:17:36.129Z"
"indianabluedot2024.bsky.social","www.tiktok.com/t/ZP8MsES2X/","2025-06-08T03:22:28.241Z"
"indianabluedot2024.bsky.social","This is some funny shit! 🤣🤣🤣🤣","2025-06-03T23:12:25.186Z"
"indianabluedot2024.bsky.social","Boss photo","2025-05-17T19:56:40.400Z"
"indianabluedot2024.bsky.social","Well this can't be good.","2025-04-22T13:31:19.821Z"
"indianabluedot2024.bsky.social","If someone is arguing against due process, just ask them if they believe someone is innocent until proven guilty. It's the same thing.","2025-04-20T19:54:08.772Z"
"indianabluedot2024.bsky.social","I try not to be mean but this lady is despicable and I have no qualms in reposting this. 🤷‍♀️","2025-04-16T02:54:51.614Z"
"indianabluedot2024.bsky.social","FUCK THEM ALL!!!!","2025-04-16T19:12:33.954Z"
"indianabluedot2024.bsky.social","I’M GOING TO KEEP POSTING THIS STORY UNTIL ANDRY IS FREED: Gay Venezuelan makeup artist sent to Salvadoran prison after a disgraced cop's report Andry Hernandez Romero sought shelter in the U.S. because he was persecuted as a gay man, one of the """"particular social groups"""" allowed to claim asylum.","2025-04-16T13:33:59.210Z"
"indianabluedot2024.bsky.social","BREAKING: 36k people showed up in LA for Bernie and AOC’s rally. In the off year. Americans are pissed — and anyone ignoring that is making a big mistake.","2025-04-12T22:11:25.970Z"
"indianabluedot2024.bsky.social","This headline from the Toronto Sun belongs in the Louvre","2025-04-07T18:12:44.323Z"
"indianabluedot2024.bsky.social","FO to every single MAGA republican...you can all GTH. That's the post.","2025-04-07T20:29:46.682Z"
"indianabluedot2024.bsky.social","Third time is a charm, amirite?","2025-04-03T21:28:10.748Z"
"indianabluedot2024.bsky.social","Pete Hegseth is a danger to this country and our men and women in uniform.","2025-03-24T21:19:52.988Z"
"indianabluedot2024.bsky.social","Top intelligence committees need to begin an investigation into Pete Hegseth's epic Signal chat mishap. ASAP. There should be televised hearings so all Americans have transparency on how such an enormous breach of national security could take place in first place.","2025-03-24T18:33:40.830Z"
"indianabluedot2024.bsky.social","Contact your reps!!! These people need to held responsible for their actions! SIGN PVYKJR to 50409 if you'd like to email your reps...or call their offices!","2025-03-24T18:54:22.669Z"
"indianabluedot2024.bsky.social","So much incompetence.","2025-03-24T16:34:42.369Z"
"indianabluedot2024.bsky.social","It is up to us","2025-03-23T21:19:52.970Z"
"indianabluedot2024.bsky.social","My maternal grandmother died in the 1918 flu pandemic. RFK Jr can go fuck himself.","2025-03-22T18:32:37.353Z"
"indianabluedot2024.bsky.social","Spot on","2025-03-21T19:36:26.278Z"
"indianabluedot2024.bsky.social","Canadian MP Charlie Angus: I am here today to urge Canadians to avoid travel to the United States if at all possible and to call on our government to stand up for our citizens who are being denied their rights through arbitrary detention in the United States.","2025-03-20T18:37:07.475Z"
"indianabluedot2024.bsky.social","Repost day #2...because it is every damn day.","2025-03-19T14:40:30.261Z"
"indianabluedot2024.bsky.social","Reposting. Every last one of them.","2025-03-18T14:58:54.161Z"
"indianabluedot2024.bsky.social","‘Confessions of a Hateful Leftist’ FULL POST: johnpavlovitz.substack.com/p/confession...","2025-03-18T13:17:29.839Z"
"indianabluedot2024.bsky.social","They're called public records for a reason. Starting today, WIRED will *stop paywalling* articles that are primarily based on public records obtained through the Freedom of Information Act, becoming the first publication to partner with @freedom.press to offer this for our new coverage.","2025-03-18T13:11:06.949Z"
"indianabluedot2024.bsky.social","Simply believing that our leaders will do what is right is irresponsible now. Trusting that everything will work out simply because it always tended work out in the past is a fool's delusion. . johnpavlovitz.substack.com/p/no-its-not...","2025-03-17T11:40:23.762Z"
"indianabluedot2024.bsky.social","The resemblance to current events is uncanny.","2025-03-17T15:41:51.603Z"
"indianabluedot2024.bsky.social","I’m just done. Done with him, his administration and his supporters. They can all FO. Every last one of them.","2025-03-17T14:49:22.837Z"
