"user","post","date"
"johnmmmps.bsky.social","ICE is forcing families to stay home and go without food. #FeedMinneapolis is stepping in — delivering groceries and essentials directly to their doors. Our goal is to feed 10,000 people. Chip in any amount — a lucky number, a dinner out, or a week of groceries. Action matters.","2026-02-10T23:20:08.909Z"
"johnmmmps.bsky.social","I will not support any funding deal that puts money in the hands of Stephen Miller, Kristi Noem, and this violent agency. Defund and abolish ICE now.","2026-02-10T16:35:50.343Z"
"johnmmmps.bsky.social","Angry crows led me to this guy!","2025-12-31T12:55:21.653Z"
"johnmmmps.bsky.social","www.rawstory.com/fulton-count...","2026-02-11T04:13:59.858Z"
"johnmmmps.bsky.social","Some of us have spent the past decade trying to convince America that they have NO IDEA how stupid Trump really is. Q: Why haven’t you succeeded? A: Because most voters are just as impaired as he is. They’re not even smart enough to recognize that they’re stupid.","2026-02-10T18:50:35.432Z"
"johnmmmps.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from yesterday’s Epstein files release. DEATH? The truth is probably far worse than anyone can imagine.","2026-02-11T06:02:42.557Z"
"johnmmmps.bsky.social","During a congressional visit, Congressman Joaquin Castro discovered that babies as young as two months old are being held at the Dilley, Texas Family Concentration Camp. (February 10, 2026)","2026-02-11T04:18:42.067Z"
"johnmmmps.bsky.social","There is horrific footage from yesterday, in which a group of Russian soldiers try to surrender, and are hunted down by the Russians with drones.","2026-02-11T01:59:35.303Z"
"johnmmmps.bsky.social","Pirro should be impeached just for attempting to get an indictment against members of Congress for speech. Her incompetence is actually useful right now because it negates her malevolence.","2026-02-11T03:24:50.764Z"
"johnmmmps.bsky.social","Russia keeps sending their troops to die on suicide flag planting missions for purely propaganda purposes that nobody believes anymore.","2026-02-11T01:51:03.161Z"
"johnmmmps.bsky.social","Sometimes I remember Reagan removing Jimmy Carter’s solar panels and I think we’ve been enduring this shit for way too many years.","2026-02-11T06:25:19.608Z"
"johnmmmps.bsky.social","I'm pretty confident we wouldn't be seeing Kamala fighting to protect herself from allegations of raping children, nor her staff being dragged in front of Congress weekly for lying about raping children and murdering citizens.","2026-02-10T16:44:09.101Z"
"johnmmmps.bsky.social","🔻…🔻","2026-02-10T19:58:30.925Z"
"johnmmmps.bsky.social","It's utterly disgraceful this country is doing fuck all to get justice for the women and children that were abused and trafficked by Epstein - but why is that surprising given that this country does nothing to protect its own citizens from harm and is in fact waging war on us.","2026-02-10T13:46:13.353Z"
"johnmmmps.bsky.social","A dresser inside a museum in New York City has been discovered as a secret stop on the Underground Railroad — the first of its kind discovered in Manhattan in over 100 years","2026-02-11T03:43:10.955Z"
"johnmmmps.bsky.social","👀 Must-watch: After reviewing unredacted #Epstein files at DOJ, Reps. @rokhanna.bsky.social & Thomas Massie say at least *six potentially incriminated men* remain hidden. Key FBI docs (302 forms/survivor interviews) were *already redacted*. Orig docs needed from FBI. 📺 youtu.be/CtjdQhTeIlM?...","2026-02-10T03:16:08.396Z"
"johnmmmps.bsky.social","🚨Buckle up!🚨 Poland is investigating potential connections between Jeffrey Epstein and Polish victims, as well as possible involvement of Russian intelligence in his activities. The Polish government has set up a special task force.","2026-02-10T03:51:38.227Z"
"johnmmmps.bsky.social","Jon Stewart nailed it tonight when he asked why is it the Super Bowl halftime performer’s responsibility to unify the country and not somebody else’s.","2026-02-10T04:37:27.861Z"
"johnmmmps.bsky.social","SWALWELL: You said you wanted to see a deportation process that was 'like Amazon Prime but with human beings.' How many times has Amazon Prime shot a mom 3 times in the face? LYONS: None SWALWELL: How many times has Amazon Prime shot a nurse 10 times in the back? LYONS: None","2026-02-10T16:14:34.062Z"
"johnmmmps.bsky.social","Massie: """"What's happened it seems is that the US attorneys and/or the FBI have redacted documents, given them to the DOJ, and then the DOJ hasn't done their diligence to go get the original documents.""""","2026-02-11T02:32:46.087Z"
"johnmmmps.bsky.social","When people are afraid to go to work, afraid to shop, or afraid to gather in their community, it hurts families, neighborhoods, and our entire economy. If you can, show up for a small business and let’s continue to show the nation what it means to respond with care and decency.","2026-02-11T02:59:58.401Z"
"johnmmmps.bsky.social","If Democratic members of Congress are NOT willing at this point to LOUDLY stand up to Trump, then step aside. It's that simple!","2026-02-11T03:23:08.404Z"
"johnmmmps.bsky.social","Khanna: There were two rounds of redactions. There was the original FBI redactions… and they did a second round of redactions at the DOJ. What they’re showing members now is the unredacted version of the DOJ’s redactions—not the original FBI redactions. They’re in blatant violation of the law.","2026-02-11T00:50:03.503Z"
"johnmmmps.bsky.social","This has to be a record for any administration and it's only year 1.","2026-02-11T01:34:26.027Z"
"johnmmmps.bsky.social","We have a federal administration led by idiots and criminals.","2026-02-11T01:49:40.105Z"
"johnmmmps.bsky.social","GOLDMAN: What guidance have you given your agents about asking people to show proof of citizenship? LYONS: We don't do that G: Really? So all of those individual citizens who have been randomly asked are lying? LYONS: If ICE is conducting an investigation, they'll ask someone their nationality","2026-02-10T17:02:04.140Z"
"johnmmmps.bsky.social","Goldman: “You & your untrained, unqualified, unvetted, unidentified agents are intentionally terrorizing our cities & communities all over this country to avoid accountability for their excessive force & their lawless actions — that is why you're wearing masks. So no one can hold you accountable”","2026-02-10T19:19:10.136Z"
"johnmmmps.bsky.social","Goldman to Lyons: """"You said in your opening statement that references to ICE as 'the Gestapo' or 'secret police' encourages threats against ICE agents. The problem is you have it backwards. People are simply making valid observations about your tactics, which are un-American and outright fascist.""""","2026-02-10T17:08:19.808Z"
