"user","post","date"
"katzgar.bsky.social","The turning point halftime show made catalytic converters safe...for a bit","2026-02-10T10:10:04.249Z"
"katzgar.bsky.social","The problem was telling Republicans they're stupid is people have been telling them they're stupid their entire life they're used to it.","2026-01-28T18:04:35.206Z"
"katzgar.bsky.social","The guy at the Ford plant that called Trump a pedophile protector has about 450,000 so far on GoFundMe","2026-01-16T21:11:09.780Z"
"katzgar.bsky.social","crooksandliars.com/2023/03/tuck...","2026-01-12T18:44:28.456Z"
"katzgar.bsky.social","www.youtube.com/watch?v=Rvla...","2026-01-10T19:29:57.429Z"
"katzgar.bsky.social","www.youtube.com/watch?v=OlPe...","2026-01-10T09:31:01.886Z"
"katzgar.bsky.social","www.youtube.com/watch?v=SZoa...","2026-01-06T19:38:31.506Z"
"katzgar.bsky.social","I live an hour north of Seattle. Am looking to source alder syrup.","2026-01-06T11:48:27.802Z"
"katzgar.bsky.social","www.youtube.com/watch?v=7G1e...","2026-01-06T03:31:48.836Z"
"katzgar.bsky.social","on Jimmy Fallon","2026-01-05T16:46:24.837Z"
"katzgar.bsky.social","Have Quora mods always been homophobic?","2026-01-05T13:32:54.902Z"
"katzgar.bsky.social","The moderna covid vaccine is significantly superior for people over 60 in terms of antibodies","2026-01-03T18:12:05.241Z"
"katzgar.bsky.social","I cry every time I watch this... www.youtube.com/watch?v=SZoa...","2026-01-03T17:49:56.787Z"
"katzgar.bsky.social","www.youtube.com/watch?v=Rvla...","2026-01-02T13:39:26.114Z"
"katzgar.bsky.social","www.youtube.com/watch?v=Rvla...","2026-01-01T17:35:55.273Z"
"katzgar.bsky.social","I am new here but I've been trying to source alder syrup it's made just the same way maple syrup is made","2025-12-31T11:20:12.582Z"
"katzgar.bsky.social","""""Stupid Canadian wolf bird""""","2025-12-30T13:39:40.789Z"
"katzgar.bsky.social","www.youtube.com/shorts/-7l01...","2025-12-30T12:25:55.119Z"
"katzgar.bsky.social","www.youtube.com/watch?v=CR11...","2025-12-30T08:28:20.996Z"
"katzgar.bsky.social","www.youtube.com/watch?v=a0B0...","2025-12-29T13:25:38.296Z"
"katzgar.bsky.social","www.youtube.com/watch?v=1oJb...","2025-12-29T00:56:31.904Z"
"katzgar.bsky.social","www.youtube.com/watch?v=1oJb...","2025-12-29T00:40:43.264Z"
"katzgar.bsky.social","The democrats that didnt vote for Harris decided it was ok for republicans to shit on minorities.","2025-12-28T15:59:05.685Z"
"katzgar.bsky.social","Mother fucker this is amazing. www.youtube.com/watch?v=OlPe...","2025-12-28T12:56:30.252Z"
"katzgar.bsky.social","@etymologos.bsky.social can you explain why the word pass has two s's","2025-12-28T02:44:01.345Z"
"katzgar.bsky.social","www.youtube.com/shorts/xfKZx...","2025-12-27T11:29:55.434Z"
"katzgar.bsky.social","www.youtube.com/watch?v=yHUV...","2025-12-26T17:37:51.029Z"
"katzgar.bsky.social","Rebirth in the New Year","2025-12-25T14:54:38.832Z"
"katzgar.bsky.social","Christmas day help with cooking.","2025-12-25T14:20:37.965Z"
"katzgar.bsky.social","Does anyone know why civil war battles were fought in state parks?","2025-12-17T15:40:41.645Z"
"katzgar.bsky.social","www.youtube.com/shorts/vnB7e...","2025-12-12T15:33:25.355Z"
"katzgar.bsky.social","www.youtube.com/shorts/jya2A...","2025-12-12T15:18:44.019Z"
"katzgar.bsky.social","www.youtube.com/watch?v=BirJ...","2025-12-11T15:16:46.813Z"
"katzgar.bsky.social","So some democrats wouldn't vote for Harris because of Palestine. Your assertion that trump has stopped the death in Palestine just means democrats that didnt vote Harris are vile putrid ass snot.","2025-12-11T13:06:41.496Z"
"katzgar.bsky.social","Where is your god now?","2025-12-09T22:51:22.167Z"
"katzgar.bsky.social","Cheese is just a loaf of milk.","2025-12-09T09:07:21.792Z"
"katzgar.bsky.social","In the past church closings were 9,000 a year but for 2025 it's projected that 15,000 churches will be abandoned","2025-12-06T16:20:25.666Z"
"katzgar.bsky.social","I saw 2 guys wearing matching outfits and asked if they were gay. They arrested me.","2025-12-02T18:05:52.043Z"
"katzgar.bsky.social","stayed in the closet several years longer because of him being tortured by republicans.","2025-12-02T08:01:33.222Z"
"katzgar.bsky.social","www.youtube.com/watch?v=nItJ...","2025-12-01T00:51:02.200Z"
"katzgar.bsky.social","Kodaline is amazing... www.youtube.com/watch?v=jGUA...","2025-11-27T23:06:52.062Z"
"katzgar.bsky.social","Can someone explain why insects are so integral to Mexican music? La Cucaracha is cock roach and the Christmas song fleas Navidad. Weird.","2025-11-23T18:19:04.846Z"
"katzgar.bsky.social","You couldn't outrun a pothole.","2025-11-22T20:39:11.753Z"
"katzgar.bsky.social","Nada","2025-11-22T10:07:28.254Z"
"katzgar.bsky.social","What did you spend your $5,000 DOGE check on?","2025-11-12T02:05:10.162Z"
"katzgar.bsky.social","Did racist democrats that didnt vote for Harris realize they pooched it?","2025-11-08T17:34:59.243Z"
"katzgar.bsky.social","skeleton goes into a bar and asks for a beer and a mop.","2025-10-28T14:38:12.912Z"
"katzgar.bsky.social","about 1.6 million LGBTQ children are homeless every year. Has anyone heard of any attempt to go after the parents for child support?","2025-10-22T18:04:24.628Z"
"katzgar.bsky.social","www.youtube.com/watch?v=-Edm...","2025-10-10T14:21:15.026Z"
"katzgar.bsky.social","Does anyone know why Democrats that didn't vote for Harris thought it would be a good idea to have morons run the country?","2025-10-09T13:11:25.704Z"
"katzgar.bsky.social","Democrats fucked up my life when they didn't vote for Harris so go to fucking hell every last one of you. All I can do is hide.","2025-10-06T12:43:20.065Z"
"katzgar.bsky.social","ICE: Waffle SS, Meal Team 6, Semper Pie and Gravy Seals","2025-10-01T00:44:03.409Z"
"katzgar.bsky.social","www.psypost.org/meta-analysi...","2025-09-04T11:27:31.057Z"
"katzgar.bsky.social","www.scientificamerican.com/article/peop...","2025-09-01T16:15:16.831Z"
"katzgar.bsky.social","If you didnt vote for Harris you are disgusting face puke.","2025-08-29T15:41:08.891Z"
"katzgar.bsky.social","www.birdsadvice.com/researchers-...","2025-08-26T21:34:38.727Z"
"katzgar.bsky.social","I would like to send food/medical to groups in the Ukraine. I find nothing at the embassy website or the Zelensky website or FB pages?","2025-08-23T15:21:38.831Z"
"katzgar.bsky.social","www.youtube.com/watch?v=x5mY...","2025-08-17T10:49:02.270Z"
"katzgar.bsky.social","White House Evacuated. www.youtube.com/watch?v=kkt-...","2025-08-16T19:49:27.977Z"
"katzgar.bsky.social","www.scientificamerican.com/article/peop...","2025-08-14T14:22:55.688Z"
"katzgar.bsky.social","Prior to Obergefell there was a progression of federal courts and state legislatures allowing same sex marriage to the point that it was legal in 37 states.","2025-08-13T12:32:24.868Z"
"katzgar.bsky.social","www.youtube.com/watch?v=peVT...","2025-08-09T14:14:13.541Z"
"katzgar.bsky.social","www.youtube.com/watch?v=hCbU...","2025-08-08T11:08:00.478Z"
"katzgar.bsky.social","www.washingtonpost.com/politics/202...","2025-08-04T13:35:05.229Z"
"katzgar.bsky.social","pubmed.ncbi.nlm.nih.gov/23921675/","2025-08-02T16:07:08.222Z"
"katzgar.bsky.social","Whats going on with Buttigieg? Is he crapping on trans people?","2025-08-01T18:02:14.107Z"
"katzgar.bsky.social","news.gallup.com/poll/692879/...","2025-07-31T22:21:28.133Z"
"katzgar.bsky.social","www.cidrap.umn.edu/covid-19/pol...","2025-07-16T05:55:14.762Z"
"katzgar.bsky.social","www.iflscience.com/researchers-...","2025-07-13T21:59:23.125Z"
"katzgar.bsky.social","www.youtube.com/watch?v=Erlw...","2025-07-13T18:35:12.786Z"
"katzgar.bsky.social","I don't understand how a woman could have triplets. Imagine being pregnant for 27 months!","2025-07-12T15:21:22.999Z"
"katzgar.bsky.social","www.youtube.com/watch?v=4T8j...","2025-07-10T12:44:19.736Z"
"katzgar.bsky.social","The United States gave its word to protect Ukraine sovereignty. Trump abandoning them is disgusting.","2025-07-06T23:01:35.036Z"
"katzgar.bsky.social","If you are a democrat and didnt vote for Harris trump is on you and killing people with no health care is your core value.","2025-06-30T12:42:43.545Z"
"katzgar.bsky.social","jamanetwork.com/journals/jam...","2025-06-25T10:12:13.036Z"
"katzgar.bsky.social","I need some help. Does anyone out there know the webmasters for the Echo Dot or the Nest device? When you program them to say """"I don't know that"""" most of the time that is not helpful. Anyone in position I would appreciate it if you would smuck those webmasters up side the head. Thank you.","2025-06-20T13:48:30.709Z"
"katzgar.bsky.social","Minnesota and SLC is on democrats that didnt vote for Harris.","2025-06-16T16:55:40.891Z"
"katzgar.bsky.social","Ok, I need some help. I keep engaging magats on FB and it always ends badly. They are just too stupid to follow a conversation. Will someone please shoot me? Thanking you in advance.","2025-06-09T23:48:57.784Z"
"katzgar.bsky.social","www.iflscience.com/researchers-...","2025-06-09T19:43:19.633Z"
"katzgar.bsky.social","Blue Sky webmaster. Why are you such a puke face? You made me sign in again for no good reason. You never even asked if I have the nuclear launch codes. Stop being a moron. This is social media not anything with a dollar value","2025-06-08T12:29:06.102Z"
"katzgar.bsky.social","BREAKING: The White House was evacuated today after a suspicious package arrived. It turned out to be a copy of the U.S. Constitution, which none of them had seen before.","2025-06-04T15:34:35.835Z"
"katzgar.bsky.social","Mexico President renames it Taco Bell","2025-06-04T00:39:50.744Z"
"katzgar.bsky.social","www.iflscience.com/researchers-...","2025-06-02T13:08:49.669Z"
"katzgar.bsky.social","www.iflscience.com/researchers-...","2025-05-26T14:25:09.242Z"
"katzgar.bsky.social","www.theguardian.com/us-news/2022...","2025-05-25T15:30:55.145Z"
"katzgar.bsky.social","Magats are disrupting the economy. Smart educated people are using delivery options to avoid Republicans. Magats are using brick and mortar and they are too poor to buy much. More then 2,500 stores are closing in May.","2025-05-22T21:00:00.521Z"
"katzgar.bsky.social","www.sciencedirect.com/science/arti....","2025-05-19T01:42:53.105Z"
"katzgar.bsky.social","spectrumlocalnews.com/us/national/...","2025-05-17T00:10:40.463Z"
"katzgar.bsky.social","sustainableagriculture.net/blog/trump-d...","2025-05-16T22:52:48.386Z"
"katzgar.bsky.social","Feathers www.youtube.com/watch?v=cr1D...","2025-05-16T02:49:32.793Z"
"katzgar.bsky.social","www.iflscience.com/researchers-...","2025-05-10T22:55:49.082Z"
"katzgar.bsky.social","www.facebook.com/nyclgbtsites","2025-05-10T15:30:11.569Z"
"katzgar.bsky.social","www.newportacademy.com/resources/me...","2025-05-08T23:33:49.194Z"
"katzgar.bsky.social","There is no one on the planet more vile putrid or disgusting than a democrat that didnt vote for Harris. You are my enemy.","2025-05-08T15:03:36.987Z"
"katzgar.bsky.social","www.youtube.com/watch?v=fTrq...","2025-05-07T12:06:02.301Z"
"katzgar.bsky.social","www.youtube.com/watch?v=g37z...","2025-05-03T16:45:19.152Z"
"katzgar.bsky.social","Somebody help me. Whenever I tell a magat they are a moron they get upset. Shouldn't they be used to it? People have been telling them they are morons their entire life. I don't get it.","2025-04-30T00:12:41.464Z"
"katzgar.bsky.social","an Indiana man followed this Chinese spy balloon for 194 miles before he realized it was bird shit on his windshield","2025-04-22T17:12:14.432Z"
"katzgar.bsky.social","MODS...stop sucking, its unnecessary","2025-04-19T16:42:53.470Z"
"katzgar.bsky.social","Does anybody know what this bush is I'm an hour north of Seattle","2025-04-17T22:24:43.348Z"
"katzgar.bsky.social","I am 74, I am tired. I am so fucking tired.","2025-04-14T17:39:13.824Z"
"katzgar.bsky.social","Do people who have webbed toes only on one foot swim in circles","2025-04-13T15:39:20.121Z"
"katzgar.bsky.social","70% of Amazon is from China.","2025-04-11T04:14:00.683Z"
"katzgar.bsky.social","I lived in Davie for 3 years. Florida is a shithole. www.miamiherald.com/news/local/e...","2025-04-08T18:54:44.424Z"
"katzgar.bsky.social","An indicator of intelligence is curiosity I have never met a maggot that has any curiosity whatsoever","2025-04-07T19:30:16.724Z"
"katzgar.bsky.social","www.cnbc.com/2025/04/03/s...","2025-04-04T12:58:46.352Z"
"katzgar.bsky.social","There is no one more disgusting than the Bluesky webmaster. This is social media we are not dealing in launch codes.","2025-03-29T12:27:47.170Z"
"katzgar.bsky.social","magats are saying doge is legal because Obama started it. magats are morons.","2025-03-25T20:30:38.662Z"
"katzgar.bsky.social","magats are saying doge is legal because Obama started it. magats are morons.","2025-03-25T20:29:34.079Z"
"katzgar.bsky.social","for the religious... www.bps.org.uk/research-dig...","2025-03-23T00:11:06.093Z"
"katzgar.bsky.social","this link is the easiest way to shut magats up. www.washingtonpost.com/politics/202...","2025-03-16T01:09:20.913Z"
"katzgar.bsky.social","""""The IFR reports that in “2023, over 39,000 industrial robots were installed in the US. This is a 10% jump from 2022, when 36,000 new robots were added to manufacturing lines.” If you're considering automation, this data shows how quickly the industry is adopting robotics.""""","2025-03-12T20:09:34.662Z"
"katzgar.bsky.social","www.facebook.com/reel/1034675...","2025-03-06T21:16:50.695Z"
"katzgar.bsky.social","www.facebook.com/reel/1616141...","2025-03-06T13:24:07.409Z"
"katzgar.bsky.social","All of viagra is made in Ireland.","2025-03-05T04:29:22.137Z"
"katzgar.bsky.social","When a magat says trump isnt a rapist give them this link. www.washingtonpost.com/politics/202...","2025-03-05T01:48:19.052Z"
"katzgar.bsky.social","why cant I post quotes?","2025-02-28T10:11:22.506Z"
"katzgar.bsky.social","It’s almost like the economy is being run by someone who went bankrupt 6 times!!","2025-02-23T15:05:39.124Z"
