"user","post","date"
"llewelynpritchard.bsky.social","Go Hillary Clinton!!! Bring trumps ignorant ass down over the Epstein files!!!","2026-02-17T19:04:34.554Z"
"llewelynpritchard.bsky.social","Now is the time to prepare for the next election. Verify your voter registration status. Get your real id, get a new birth certificate. Ladies get a new certified copy of your marriage license if you have your spouse’s name. Help your family members, neighbors & friends. 💙💙💙 go.bsky.app/JusVyFK","2026-02-13T06:20:28.208Z"
"llewelynpritchard.bsky.social","quislingborisjohnson.blogspot.com/2025/07/clim... CLIMATE CRISIS SOLUTIONS from Crisis to Climate Action: Confronting politicians’ leadership failures, exploring solutions, heeding VOICES OF CHANGE FOR A GREENER FUTURE","2026-02-17T21:00:24.822354+00:00"
"llewelynpritchard.bsky.social","not a theory","2026-02-17T12:48:09.524Z"
"llewelynpritchard.bsky.social","#Bluecrew #Resistance #Teslatakedown #StrongerTogether """"Get up, stand up Stand up for your right Get up, stand up Don't give up the fight"""" ... Bob Marley","2026-02-17T13:21:32.817Z"
"llewelynpritchard.bsky.social","Verify your registration Pay attention to any new changes!!! If we still have mail in ballots, take inside & get hand stamped cancellation! The post office has changed when the postmark the mai!","2026-02-17T12:49:07.658Z"
"llewelynpritchard.bsky.social","uk.pinterest.com/llewelynprit... #UkraineBrexit&COVIDresponseNeedsDirectActionAccountability #CorruptFailedLeadership #Putin #Trump #Farage #Johnson #Cameron #Truss #Others #CorruptToryGovernment #BetrayedVotersTrust #BritishPublicPaidThePrice #EtonSchoolRussianRules #SelfInterestAtOthersExpense","2026-02-17T14:46:04.934Z"
"llewelynpritchard.bsky.social","uk.pinterest.com/llewelynprit... #StopClimateGenocide #StopEcocide #RespectHumanRights #RespectIndigenousPeoples #Decolonise #DeToxify #DeMilitarise Source: Solutions: from Analysis of Root Causes Cost of Living Climate Crisis","2026-02-17T14:43:45.524Z"
"llewelynpritchard.bsky.social","uk.pinterest.com/llewelynprit... #EndFossilFuels #EndOil #EndGas #EndCoal #ProsecuteClimateCriminals","2026-02-17T14:41:55.693Z"
"llewelynpritchard.bsky.social","uk.pinterest.com/llewelynprit... Boris Johnson: PROXY FOSSIL WAR CLIMATE CRIMINAL #Quisling #PutinsAngel #RussianInterference #BritishPolitics #PutinAndTrumpsBrexitRealised #COP26MisMANagement","2026-02-17T14:41:01.321Z"
