"user","post","date"
"michellespenc.bsky.social","go.bsky.app/FgvHje3","2026-02-18T02:18:17.128Z"
"michellespenc.bsky.social","A sick….Yet perfect name to a wonderful starter pack Deborah! The whole regime needs to go! Thank you so much for including me, my friend @mrsdeborahlynn.bsky.social 💙💙🙏🙏","2026-02-16T18:06:05.222Z"
"michellespenc.bsky.social","We need to remove and convict the Epstein Class. go.bsky.app/PFuqeu5","2026-02-16T15:49:59.583Z"
"michellespenc.bsky.social","I’d suggest everyone use @lunafications.blue as their main source for notifications. I got the alert regarding your pack from there. It’s much faster and more reliable, nowadays than anything else.","2026-02-17T04:02:21.981Z"
"michellespenc.bsky.social","No save act!! Please check out the latest pack from @mblue.bsky.social","2026-02-16T03:58:38.702Z"
"michellespenc.bsky.social","I can relate to every one","2026-02-16T15:25:45.737Z"
"michellespenc.bsky.social","Concentration camps? Make America White Again? Epstein- Trump files will take 45 down. @markdinero.bsky.social @markrf400.bsky.social @markymark757.bsky.social @mattmcneilshow.bsky.social @mccombgjm.bsky.social @meansofshitposting.bsky.social @michellespenc.bsky.social youtu.be/V9WVHqXmhgI","2026-02-16T23:51:32.956Z"
"michellespenc.bsky.social","Cuban Artist “El Chulo” was detained at #AlligatorAlcatraz and since has spoken out about the horrible conditions and no medical care there. They are accusing him of causing riots in","2026-02-17T00:43:31.661Z"
"michellespenc.bsky.social","More Blue Dem wins! Keep flipping these seats #FlipSeatsBlue","2026-02-16T23:16:09.686Z"
"michellespenc.bsky.social","Hi Michelle 👋 it's Pizza night !! Enjoy your evening 😊","2026-02-16T22:25:32.311Z"
"michellespenc.bsky.social","Can we please do this too!??🤭","2026-02-16T20:21:35.985Z"
"michellespenc.bsky.social","I liked politics and news when it was boring.","2026-02-16T20:31:59.209Z"
"michellespenc.bsky.social","I'm not a lawyer, but I can read. The 5'th Amendment to the U.S. Constitution clearly states that NO PERSON shall be deprived of LIBERTY without DUE PROCESS OF the LAW. => NO Detention centers anywhere in the USA 🗽⚖️🇺🇸","2026-02-16T18:55:42.657Z"
"michellespenc.bsky.social","Thank you Gov Shapiro! #NoIce #NoNazis","2026-02-16T20:31:23.524Z"
"michellespenc.bsky.social","I wonder how it’s a “getaway” when he spends most of his time there.","2026-02-16T20:25:23.879Z"
"michellespenc.bsky.social","Hey friends, here's some information about the """"State of the Swamp” event being put on by the great @milestaylor.bsky.social. It’s set for 2/24 and will serve as counter-programming to the Orange Autocrat’s state of the union address. Go to defiance.org for details.","2026-02-16T15:24:28.045Z"
"michellespenc.bsky.social","They had to get rid of the ones who might speak. And smut films were made. This thing is so fucking deep. It's disgusting that so many women were killed or suffer for their entire lives, so their sick AF attackers can live lives of luxury and fame. Keep pushing hard for the remaining files.","2026-02-16T03:28:01.404Z"
"michellespenc.bsky.social","Tell your Senators to vote NO on the so-called Save America Act: 202-224-3121. The bill is blatantly dangerous. Thanks. #NoOnSave #ProtectOurVotes","2026-02-16T19:35:13.362Z"
"michellespenc.bsky.social","Note that this is a newish amendment to the Save America Act. The earlier version was plenty bad. But this is even worse. Curiously, I had a really hard time finding this latest version online. I knew to look only bc the Brennan Center alluded to an amendment along these lines.","2026-02-16T19:47:11.042Z"
"michellespenc.bsky.social","Totally agree Sheila! Well said! A lot more hell to come! We Democrats have to stick together as one! Jim","2026-02-16T17:19:31.776Z"
"michellespenc.bsky.social","Today, on President’s day, Im gonna pray for the president- what I pray is between me & Jesus","2026-02-16T15:57:15.253Z"
"michellespenc.bsky.social","It really needs to happen. He is destroying us more the longer he’s in the WH.","2026-02-16T16:34:00.233Z"
